Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,Flat,77,Se-P,Autumn,17.7,25.9,26.3,82.9,0.03,66.32,0.02,1.5,0.67
2025-09-01,05:30,Flat,77,Se-P,Autumn,35.5,26.2,27.1,82.68,0.05,66.14,0.04,2.9,0.67
2025-09-01,05:45,Flat,77,Se-P,Autumn,53.2,26.4,27.8,82.46,0.08,65.96,0.07,4.3,0.67
2025-09-01,06:00,Flat,77,Se-P,Autumn,70.9,26.7,28.5,82.23,0.11,65.79,0.09,5.8,0.67
2025-09-01,06:15,Flat,77,Se-P,Autumn,104.7,27.2,29.8,81.82,0.16,65.45,0.13,8.5,0.67
2025-09-01,06:30,Flat,77,Se-P,Autumn,138.5,27.6,31.1,81.4,0.21,65.12,0.17,11.2,0.67
2025-09-01,06:45,Flat,77,Se-P,Autumn,172.3,28.1,32.4,80.98,0.26,64.79,0.21,13.9,0.67
2025-09-01,07:00,Flat,77,Se-P,Autumn,206.1,28.6,33.7,80.57,0.31,64.45,0.26,16.6,0.67
2025-09-01,07:15,Flat,77,Se-P,Autumn,242.1,29.1,35.1,80.12,0.36,64.1,0.3,19.4,0.67
2025-09-01,07:30,Flat,77,Se-P,Autumn,278.1,29.6,36.5,79.67,0.42,63.74,0.35,22.2,0.67
2025-09-01,07:45,Flat,77,Se-P,Autumn,314.1,30.1,37.9,79.23,0.47,63.38,0.39,24.9,0.67
2025-09-01,08:00,Flat,77,Se-P,Autumn,350.1,30.6,39.4,78.78,0.52,63.03,0.44,27.7,0.67
2025-09-01,08:15,Flat,77,Se-P,Autumn,392.7,31.0,40.9,78.31,0.59,62.65,0.49,30.9,0.67
2025-09-01,08:30,Flat,77,Se-P,Autumn,435.3,31.5,42.4,77.83,0.65,62.26,0.55,34.1,0.67
2025-09-01,08:45,Flat,77,Se-P,Autumn,477.9,31.9,43.9,77.35,0.72,61.88,0.6,37.2,0.67
2025-09-01,09:00,Flat,77,Se-P,Autumn,520.5,32.4,45.4,76.88,0.78,61.5,0.66,40.4,0.67
2025-09-01,09:15,Flat,77,Se-P,Autumn,545.2,32.7,46.4,76.56,0.82,61.25,0.69,42.2,0.67
2025-09-01,09:30,Flat,77,Se-P,Autumn,569.9,33.1,47.4,76.25,0.86,61.0,0.72,43.9,0.67
2025-09-01,09:45,Flat,77,Se-P,Autumn,594.6,33.5,48.3,75.93,0.9,60.75,0.75,45.7,0.67
2025-09-01,10:00,Flat,77,Se-P,Autumn,619.3,33.9,49.3,75.62,0.94,60.5,0.78,47.4,0.67
2025-09-01,10:15,Flat,77,Se-P,Autumn,624.6,34.1,49.8,75.49,0.94,60.39,0.79,47.8,0.67
2025-09-01,10:30,Flat,77,Se-P,Autumn,629.9,34.4,50.2,75.35,0.95,60.28,0.8,48.1,0.67
2025-09-01,10:45,Flat,77,Se-P,Autumn,635.1,34.7,50.6,75.22,0.96,60.18,0.81,48.5,0.67
2025-09-01,11:00,Flat,77,Se-P,Autumn,640.4,35.0,51.0,75.09,0.97,60.07,0.81,48.8,0.67
2025-09-01,11:15,Flat,77,Se-P,Autumn,625.4,35.1,50.8,75.16,0.95,60.13,0.79,47.7,0.67
2025-09-01,11:30,Flat,77,Se-P,Autumn,610.4,35.3,50.5,75.24,0.92,60.19,0.77,46.6,0.67
