Date,Time,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,77,17.1,25.6,26.0,83.01,0.03,66.41,0.02,1.4,0.67
2025-04-01,05:30,77,34.1,25.8,26.7,82.8,0.05,66.24,0.04,2.8,0.67
2025-04-01,05:45,77,51.2,26.0,27.3,82.6,0.08,66.08,0.06,4.2,0.67
2025-04-01,06:00,77,68.2,26.3,28.0,82.39,0.1,65.91,0.08,5.6,0.67
2025-04-01,06:15,77,109.6,26.8,29.6,81.88,0.16,65.5,0.14,8.9,0.67
2025-04-01,06:30,77,151.0,27.4,31.2,81.37,0.22,65.1,0.19,12.2,0.67
2025-04-01,06:45,77,192.4,28.0,32.8,80.86,0.29,64.69,0.24,15.5,0.67
2025-04-01,07:00,77,233.7,28.6,34.4,80.35,0.35,64.28,0.29,18.7,0.67
2025-04-01,07:15,77,284.0,29.1,36.2,79.79,0.42,63.83,0.36,22.7,0.67
2025-04-01,07:30,77,334.3,29.6,38.0,79.22,0.5,63.38,0.42,26.5,0.67
2025-04-01,07:45,77,384.6,30.1,39.8,78.66,0.58,62.92,0.48,30.4,0.67
2025-04-01,08:00,77,434.9,30.7,41.5,78.09,0.65,62.47,0.55,34.1,0.67
2025-04-01,08:15,77,481.4,31.1,43.2,77.58,0.72,62.06,0.61,37.6,0.67
2025-04-01,08:30,77,528.0,31.6,44.8,77.07,0.79,61.65,0.67,41.0,0.67
2025-04-01,08:45,77,574.6,32.0,46.4,76.56,0.87,61.25,0.73,44.4,0.67
2025-04-01,09:00,77,621.1,32.5,48.0,76.05,0.94,60.84,0.79,47.8,0.67
2025-04-01,09:15,77,636.6,32.9,48.8,75.8,0.96,60.64,0.81,48.9,0.67
2025-04-01,09:30,77,652.1,33.3,49.6,75.55,0.99,60.44,0.83,49.9,0.67
2025-04-01,09:45,77,667.6,33.7,50.4,75.3,1.01,60.24,0.85,51.0,0.67
2025-04-01,10:00,77,683.1,34.1,51.1,75.05,1.03,60.04,0.87,52.0,0.67
2025-04-01,10:15,77,712.2,34.4,52.2,74.72,1.08,59.77,0.9,54.1,0.67
2025-04-01,10:30,77,741.2,34.7,53.2,74.38,1.12,59.51,0.94,56.1,0.67
2025-04-01,10:45,77,770.3,35.0,54.3,74.05,1.17,59.24,0.98,58.1,0.67
2025-04-01,11:00,77,799.4,35.4,55.4,73.72,1.22,58.97,1.02,60.0,0.67
2025-04-01,11:15,77,784.8,35.6,55.2,73.77,1.19,59.01,1.0,59.0,0.67
2025-04-01,11:30,77,770.2,35.8,55.0,73.82,1.17,59.05,0.98,57.9,0.67
2025-04-01,11:45,77,755.7,36.0,54.9,73.87,1.15,59.09,0.96,56.9,0.67
2025-04-01,12:00,77,741.1,36.2,54.7,73.92,1.13,59.13,0.94,55.8,0.67
2025-04-01,12:15,77,734.4,36.2,54.6,73.95,1.12,59.16,0.93,55.3,0.67
2025-04-01,12:30,77,727.7,36.3,54.5,73.99,1.11,59.19,0.93,54.8,0.67
2025-04-01,12:45,77,720.9,36.4,54.4,74.02,1.1,59.22,0.92,54.3,0.67
2025-04-01,13:00,77,714.2,36.4,54.3,74.05,1.09,59.24,0.91,53.8,0.67
2025-04-01,13:15,77,666.7,36.4,53.0,74.45,1.01,59.56,0.85,50.5,0.67
2025-04-01,13:30,77,619.1,36.3,51.8,74.85,0.94,59.88,0.79,47.1,0.67
2025-04-01,13:45,77,571.6,36.2,50.5,75.25,0.87,60.2,0.72,43.6,0.67
2025-04-01,14:00,77,524.0,36.1,49.3,75.65,0.79,60.52,0.66,40.2,0.67
2025-04-01,14:15,77,499.7,35.9,48.4,75.93,0.75,60.74,0.63,38.4,0.67
2025-04-01,14:30,77,475.3,35.6,47.5,76.21,0.72,60.97,0.6,36.6,0.67
2025-04-01,14:45,77,451.0,35.3,46.6,76.49,0.68,61.19,0.57,34.9,0.67
2025-04-01,15:00,77,426.6,35.0,45.7,76.77,0.64,61.42,0.54,33.1,0.67
2025-04-01,15:15,77,373.7,34.6,43.9,77.33,0.56,61.86,0.47,29.1,0.67
2025-04-01,15:30,77,320.8,34.2,42.2,77.88,0.48,62.31,0.4,25.1,0.67
2025-04-01,15:45,77,267.9,33.8,40.5,78.43,0.4,62.75,0.34,21.1,0.67
2025-04-01,16:00,77,215.0,33.3,38.7,78.99,0.32,63.19,0.27,17.0,0.67
2025-04-01,16:15,77,171.7,32.8,37.1,79.5,0.26,63.6,0.21,13.7,0.67
2025-04-01,16:30,77,128.3,32.3,35.5,80.0,0.19,64.0,0.16,10.3,0.67
2025-04-01,16:45,77,85.0,31.8,33.9,80.51,0.13,64.41,0.11,6.8,0.67
2025-04-01,17:00,77,41.6,31.2,32.3,81.02,0.06,64.82,0.05,3.4,0.67
2025-04-01,17:15,77,31.2,30.8,31.6,81.24,0.05,64.99,0.04,2.5,0.67
2025-04-01,17:30,77,20.8,30.4,30.9,81.47,0.03,65.17,0.03,1.7,0.67
2025-04-01,17:45,77,10.4,29.9,30.2,81.69,0.02,65.35,0.01,0.8,0.67
2025-04-02,05:15,77,20.4,26.1,26.6,82.81,0.03,66.25,0.03,1.7,0.67
2025-04-02,05:30,77,40.8,26.4,27.4,82.55,0.06,66.04,0.05,3.3,0.67
2025-04-02,05:45,77,61.2,26.7,28.3,82.3,0.09,65.84,0.08,5.0,0.67
2025-04-02,06:00,77,81.6,27.0,29.1,82.04,0.12,65.63,0.1,6.6,0.67
2025-04-02,06:15,77,132.0,27.5,30.8,81.5,0.2,65.2,0.16,10.7,0.67
2025-04-02,06:30,77,182.5,27.9,32.5,80.96,0.27,64.77,0.23,14.7,0.67
2025-04-02,06:45,77,232.9,28.4,34.2,80.42,0.35,64.33,0.29,18.7,0.67
2025-04-02,07:00,77,283.4,28.8,35.9,79.88,0.42,63.9,0.35,22.6,0.67
2025-04-02,07:15,77,324.1,29.3,37.5,79.39,0.48,63.51,0.41,25.8,0.67
2025-04-02,07:30,77,364.9,29.9,39.0,78.9,0.55,63.12,0.46,28.9,0.67
2025-04-02,07:45,77,405.6,30.4,40.5,78.41,0.61,62.73,0.51,31.9,0.67
2025-04-02,08:00,77,446.4,30.9,42.1,77.92,0.67,62.33,0.56,35.0,0.67
2025-04-02,08:15,77,488.8,31.3,43.5,77.47,0.73,61.97,0.62,38.1,0.67
2025-04-02,08:30,77,531.2,31.7,44.9,77.01,0.8,61.61,0.67,41.3,0.67
2025-04-02,08:45,77,573.6,32.0,46.4,76.56,0.86,61.25,0.72,44.4,0.67
2025-04-02,09:00,77,616.0,32.4,47.8,76.11,0.93,60.89,0.78,47.4,0.67
2025-04-02,09:15,77,659.4,32.6,49.1,75.69,1.0,60.56,0.83,50.6,0.67
2025-04-02,09:30,77,702.9,32.9,50.4,75.28,1.06,60.22,0.89,53.7,0.67
2025-04-02,09:45,77,746.3,33.1,51.7,74.86,1.13,59.89,0.95,56.7,0.67
2025-04-02,10:00,77,789.8,33.3,53.1,74.44,1.2,59.55,1.0,59.8,0.67
2025-04-02,10:15,77,800.7,33.5,53.5,74.31,1.22,59.45,1.02,60.5,0.67
2025-04-02,10:30,77,811.6,33.6,53.9,74.18,1.23,59.34,1.03,61.3,0.67
2025-04-02,10:45,77,822.5,33.7,54.3,74.05,1.25,59.24,1.05,62.0,0.67
2025-04-02,11:00,77,833.4,33.9,54.7,73.92,1.27,59.13,1.06,62.7,0.67
2025-04-02,11:15,77,803.5,34.0,54.1,74.13,1.22,59.3,1.02,60.6,0.67
2025-04-02,11:30,77,773.6,34.0,53.4,74.34,1.17,59.47,0.98,58.5,0.67
2025-04-02,11:45,77,743.7,34.1,52.7,74.55,1.13,59.64,0.94,56.3,0.67
2025-04-02,12:00,77,713.8,34.2,52.0,74.76,1.08,59.81,0.91,54.2,0.67
2025-04-02,12:15,77,689.6,34.2,51.5,74.95,1.04,59.96,0.88,52.5,0.67
2025-04-02,12:30,77,665.5,34.2,50.9,75.14,1.01,60.11,0.84,50.7,0.67
2025-04-02,12:45,77,641.3,34.2,50.3,75.32,0.97,60.26,0.81,49.0,0.67
2025-04-02,13:00,77,617.1,34.3,49.7,75.51,0.93,60.41,0.78,47.2,0.67
2025-04-02,13:15,77,596.3,34.2,49.1,75.71,0.9,60.57,0.75,45.7,0.67
