Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Flat,62,Se-P,22.4,25.1,29.6,81.86,0.03,65.49,0.03,1.8,0.67
2024-11-01,05:30,Flat,62,Se-P,44.7,25.2,30.3,81.64,0.07,65.31,0.06,3.6,0.67
2024-11-01,05:45,Flat,62,Se-P,67.1,25.3,31.0,81.42,0.1,65.14,0.08,5.4,0.67
2024-11-01,06:00,Flat,62,Se-P,89.4,25.5,31.7,81.2,0.13,64.96,0.11,7.2,0.67
2024-11-01,06:15,Flat,62,Se-P,135.0,25.7,33.1,80.77,0.2,64.61,0.17,10.9,0.67
2024-11-01,06:30,Flat,62,Se-P,180.6,26.0,34.5,80.33,0.27,64.26,0.23,14.5,0.67
2024-11-01,06:45,Flat,62,Se-P,226.2,26.2,35.8,79.89,0.34,63.91,0.28,18.1,0.67
2024-11-01,07:00,Flat,62,Se-P,271.8,26.4,37.2,79.46,0.41,63.57,0.34,21.6,0.67
2024-11-01,07:15,Flat,62,Se-P,324.7,26.8,38.9,78.94,0.49,63.15,0.41,25.7,0.67
2024-11-01,07:30,Flat,62,Se-P,377.6,27.1,40.5,78.42,0.57,62.73,0.47,29.7,0.67
2024-11-01,07:45,Flat,62,Se-P,430.5,27.4,42.2,77.9,0.65,62.32,0.54,33.7,0.67
2024-11-01,08:00,Flat,62,Se-P,483.4,27.7,43.8,77.38,0.73,61.9,0.61,37.7,0.67
2024-11-01,08:15,Flat,62,Se-P,526.6,28.1,45.2,76.92,0.79,61.54,0.66,40.9,0.67
2024-11-01,08:30,Flat,62,Se-P,569.7,28.4,46.6,76.47,0.86,61.18,0.72,44.0,0.67
2024-11-01,08:45,Flat,62,Se-P,612.8,28.8,48.1,76.02,0.93,60.82,0.77,47.1,0.67
2024-11-01,09:00,Flat,62,Se-P,655.9,29.1,49.5,75.57,0.99,60.46,0.83,50.2,0.67
2024-11-01,09:15,Flat,62,Se-P,681.8,29.4,50.5,75.27,1.03,60.22,0.86,52.0,0.67
2024-11-01,09:30,Flat,62,Se-P,707.7,29.7,51.4,74.97,1.07,59.97,0.9,53.9,0.67
2024-11-01,09:45,Flat,62,Se-P,733.7,30.0,52.4,74.67,1.11,59.73,0.93,55.7,0.67
2024-11-01,10:00,Flat,62,Se-P,759.6,30.3,53.3,74.36,1.15,59.49,0.97,57.4,0.67
2024-11-01,10:15,Flat,62,Se-P,758.1,30.5,53.5,74.3,1.15,59.44,0.96,57.3,0.67
2024-11-01,10:30,Flat,62,Se-P,756.7,30.8,53.7,74.24,1.15,59.4,0.96,57.2,0.67
2024-11-01,10:45,Flat,62,Se-P,755.2,31.0,53.9,74.18,1.15,59.35,0.96,57.0,0.67
2024-11-01,11:00,Flat,62,Se-P,753.8,31.2,54.1,74.12,1.14,59.3,0.96,56.9,0.67
2024-11-01,11:15,Flat,62,Se-P,728.9,31.3,53.6,74.28,1.11,59.43,0.93,55.1,0.67
2024-11-01,11:30,Flat,62,Se-P,704.1,31.5,53.1,74.44,1.07,59.55,0.89,53.3,0.67
2024-11-01,11:45,Flat,62,Se-P,679.2,31.6,52.6,74.6,1.03,59.68,0.86,51.5,0.67
2024-11-01,12:00,Flat,62,Se-P,654.4,31.7,52.1,74.76,0.99,59.81,0.83,49.7,0.67
2024-11-01,12:15,Flat,62,Se-P,597.8,31.7,50.7,75.2,0.91,60.16,0.76,45.6,0.67
2024-11-01,12:30,Flat,62,Se-P,541.2,31.8,49.3,75.63,0.82,60.51,0.69,41.5,0.67
2024-11-01,12:45,Flat,62,Se-P,484.7,31.8,47.9,76.07,0.73,60.86,0.61,37.3,0.67
2024-11-01,13:00,Flat,62,Se-P,428.1,31.8,46.5,76.51,0.65,61.21,0.54,33.1,0.67
2024-11-01,13:15,Flat,62,Se-P,389.8,31.7,45.5,76.84,0.59,61.47,0.49,30.2,0.67
2024-11-01,13:30,Flat,62,Se-P,351.5,31.6,44.4,77.17,0.53,61.74,0.44,27.3,0.67
2024-11-01,13:45,Flat,62,Se-P,313.2,31.6,43.4,77.5,0.47,62.0,0.39,24.4,0.67
2024-11-01,14:00,Flat,62,Se-P,274.9,31.5,42.3,77.84,0.41,62.27,0.35,21.5,0.67
2024-11-01,14:15,Flat,62,Se-P,248.2,31.4,41.6,78.08,0.37,62.47,0.31,19.5,0.67
2024-11-01,14:30,Flat,62,Se-P,221.5,31.2,40.8,78.33,0.33,62.67,0.28,17.4,0.67
2024-11-01,14:45,Flat,62,Se-P,194.7,31.1,40.0,78.58,0.29,62.86,0.24,15.4,0.67
2024-11-01,15:00,Flat,62,Se-P,168.0,31.0,39.2,78.83,0.25,63.06,0.21,13.3,0.67
2024-11-01,15:15,Flat,62,Se-P,143.0,30.8,38.4,79.09,0.21,63.27,0.18,11.3,0.67
2024-11-01,15:30,Flat,62,Se-P,118.0,30.6,37.6,79.35,0.18,63.48,0.15,9.4,0.67
2024-11-01,15:45,Flat,62,Se-P,93.0,30.4,36.7,79.61,0.14,63.69,0.12,7.4,0.67
2024-11-01,16:00,Flat,62,Se-P,68.0,30.2,35.9,79.88,0.1,63.9,0.08,5.4,0.67
2024-11-01,16:15,Flat,62,Se-P,51.8,29.8,35.1,80.12,0.08,64.09,0.06,4.1,0.67
2024-11-01,16:30,Flat,62,Se-P,35.6,29.5,34.4,80.36,0.05,64.28,0.04,2.9,0.67
2024-11-01,16:45,Flat,62,Se-P,19.5,29.1,33.6,80.6,0.03,64.48,0.02,1.6,0.67
2024-11-02,05:15,Flat,62,Se-P,20.1,25.0,29.5,81.92,0.03,65.53,0.02,1.6,0.67
2024-11-02,05:30,Flat,62,Se-P,40.2,25.0,30.1,81.73,0.06,65.38,0.05,3.3,0.67
2024-11-02,05:45,Flat,62,Se-P,60.4,25.1,30.6,81.54,0.09,65.23,0.08,4.9,0.67
2024-11-02,06:00,Flat,62,Se-P,80.5,25.2,31.2,81.35,0.12,65.08,0.1,6.5,0.67
2024-11-02,06:15,Flat,62,Se-P,121.2,25.4,32.4,80.98,0.18,64.78,0.15,9.8,0.67
2024-11-02,06:30,Flat,62,Se-P,161.8,25.6,33.6,80.6,0.24,64.48,0.2,13.0,0.67
2024-11-02,06:45,Flat,62,Se-P,202.5,25.7,34.8,80.22,0.3,64.18,0.25,16.2,0.67
2024-11-02,07:00,Flat,62,Se-P,243.2,25.9,36.0,79.85,0.36,63.88,0.3,19.4,0.67
2024-11-02,07:15,Flat,62,Se-P,295.7,26.1,37.5,79.37,0.44,63.5,0.37,23.5,0.67
2024-11-02,07:30,Flat,62,Se-P,348.2,26.3,39.0,78.89,0.52,63.11,0.44,27.5,0.67
2024-11-02,07:45,Flat,62,Se-P,400.7,26.5,40.5,78.41,0.6,62.73,0.5,31.6,0.67
2024-11-02,08:00,Flat,62,Se-P,453.2,26.7,42.0,77.94,0.68,62.35,0.57,35.5,0.67
2024-11-02,08:15,Flat,62,Se-P,482.8,26.9,42.9,77.65,0.73,62.12,0.61,37.7,0.67
