Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Flat,77,Se-P,22.4,25.1,25.6,83.13,0.03,66.5,0.03,1.8,0.67
2024-11-01,05:30,Flat,77,Se-P,44.7,25.2,26.3,82.91,0.07,66.33,0.06,3.7,0.67
2024-11-01,05:45,Flat,77,Se-P,67.1,25.3,27.0,82.69,0.1,66.15,0.08,5.5,0.67
2024-11-01,06:00,Flat,77,Se-P,89.4,25.5,27.7,82.47,0.13,65.97,0.11,7.3,0.67
2024-11-01,06:15,Flat,77,Se-P,135.0,25.7,29.1,82.03,0.2,65.63,0.17,11.0,0.67
2024-11-01,06:30,Flat,77,Se-P,180.6,26.0,30.5,81.6,0.27,65.28,0.22,14.7,0.67
2024-11-01,06:45,Flat,77,Se-P,226.2,26.2,31.8,81.16,0.34,64.93,0.28,18.3,0.67
2024-11-01,07:00,Flat,77,Se-P,271.8,26.4,33.2,80.72,0.4,64.58,0.34,21.9,0.67
2024-11-01,07:15,Flat,77,Se-P,324.7,26.8,34.9,80.2,0.48,64.16,0.41,26.0,0.67
2024-11-01,07:30,Flat,77,Se-P,377.6,27.1,36.5,79.68,0.56,63.75,0.47,30.1,0.67
2024-11-01,07:45,Flat,77,Se-P,430.5,27.4,38.2,79.16,0.64,63.33,0.54,34.1,0.67
2024-11-01,08:00,Flat,77,Se-P,483.4,27.7,39.8,78.64,0.72,62.91,0.61,38.2,0.67
2024-11-01,08:15,Flat,77,Se-P,526.6,28.1,41.2,78.19,0.79,62.55,0.66,41.4,0.67
2024-11-01,08:30,Flat,77,Se-P,569.7,28.4,42.6,77.74,0.86,62.19,0.72,44.6,0.67
2024-11-01,08:45,Flat,77,Se-P,612.8,28.8,44.1,77.29,0.92,61.83,0.77,47.7,0.67
2024-11-01,09:00,Flat,77,Se-P,655.9,29.1,45.5,76.84,0.99,61.47,0.83,50.9,0.67
2024-11-01,09:15,Flat,77,Se-P,681.8,29.4,46.5,76.54,1.03,61.23,0.86,52.7,0.67
2024-11-01,09:30,Flat,77,Se-P,707.7,29.7,47.4,76.23,1.07,60.99,0.89,54.6,0.67
2024-11-01,09:45,Flat,77,Se-P,733.7,30.0,48.4,75.93,1.11,60.75,0.93,56.4,0.67
2024-11-01,10:00,Flat,77,Se-P,759.6,30.3,49.3,75.63,1.15,60.5,0.96,58.2,0.67
2024-11-01,10:15,Flat,77,Se-P,758.1,30.5,49.5,75.57,1.15,60.46,0.96,58.0,0.67
2024-11-01,10:30,Flat,77,Se-P,756.7,30.8,49.7,75.51,1.14,60.41,0.96,57.9,0.67
2024-11-01,10:45,Flat,77,Se-P,755.2,31.0,49.9,75.45,1.14,60.36,0.96,57.8,0.67
2024-11-01,11:00,Flat,77,Se-P,753.8,31.2,50.1,75.39,1.14,60.31,0.96,57.6,0.67
2024-11-01,11:15,Flat,77,Se-P,728.9,31.3,49.6,75.55,1.1,60.44,0.92,55.8,0.67
2024-11-01,11:30,Flat,77,Se-P,704.1,31.5,49.1,75.71,1.06,60.57,0.89,54.0,0.67
2024-11-01,11:45,Flat,77,Se-P,679.2,31.6,48.6,75.87,1.03,60.69,0.86,52.2,0.67
2024-11-01,12:00,Flat,77,Se-P,654.4,31.7,48.1,76.03,0.99,60.82,0.83,50.3,0.67
2024-11-01,12:15,Flat,77,Se-P,597.8,31.7,46.7,76.46,0.9,61.17,0.76,46.2,0.67
2024-11-01,12:30,Flat,77,Se-P,541.2,31.8,45.3,76.9,0.82,61.52,0.68,42.0,0.67
2024-11-01,12:45,Flat,77,Se-P,484.7,31.8,43.9,77.34,0.73,61.87,0.61,37.8,0.67
2024-11-01,13:00,Flat,77,Se-P,428.1,31.8,42.5,77.78,0.64,62.22,0.54,33.5,0.67
2024-11-01,13:15,Flat,77,Se-P,389.8,31.7,41.5,78.11,0.58,62.49,0.49,30.6,0.67
2024-11-01,13:30,Flat,77,Se-P,351.5,31.6,40.4,78.44,0.53,62.75,0.44,27.7,0.67
2024-11-01,13:45,Flat,77,Se-P,313.2,31.6,39.4,78.77,0.47,63.02,0.39,24.7,0.67
2024-11-01,14:00,Flat,77,Se-P,274.9,31.5,38.3,79.1,0.41,63.28,0.34,21.8,0.67
2024-11-01,14:15,Flat,77,Se-P,248.2,31.4,37.6,79.35,0.37,63.48,0.31,19.7,0.67
2024-11-01,14:30,Flat,77,Se-P,221.5,31.2,36.8,79.6,0.33,63.68,0.28,17.6,0.67
2024-11-01,14:45,Flat,77,Se-P,194.7,31.1,36.0,79.85,0.29,63.88,0.24,15.5,0.67
2024-11-01,15:00,Flat,77,Se-P,168.0,31.0,35.2,80.09,0.25,64.08,0.21,13.4,0.67
2024-11-01,15:15,Flat,77,Se-P,143.0,30.8,34.4,80.36,0.21,64.29,0.18,11.5,0.67
2024-11-01,15:30,Flat,77,Se-P,118.0,30.6,33.6,80.62,0.18,64.5,0.15,9.5,0.67
2024-11-01,15:45,Flat,77,Se-P,93.0,30.4,32.7,80.88,0.14,64.71,0.12,7.5,0.67
2024-11-01,16:00,Flat,77,Se-P,68.0,30.2,31.9,81.14,0.1,64.91,0.08,5.5,0.67
2024-11-01,16:15,Flat,77,Se-P,51.8,29.8,31.1,81.38,0.08,65.11,0.06,4.2,0.67
2024-11-01,16:30,Flat,77,Se-P,35.6,29.5,30.4,81.62,0.05,65.3,0.04,2.9,0.67
2024-11-01,16:45,Flat,77,Se-P,19.5,29.1,29.6,81.86,0.03,65.49,0.02,1.6,0.67
2024-11-02,05:15,Flat,77,Se-P,20.1,25.0,25.5,83.18,0.03,66.55,0.02,1.7,0.67
2024-11-02,05:30,Flat,77,Se-P,40.2,25.0,26.1,83.0,0.06,66.4,0.05,3.3,0.67
2024-11-02,05:45,Flat,77,Se-P,60.4,25.1,26.6,82.81,0.09,66.25,0.07,5.0,0.67
2024-11-02,06:00,Flat,77,Se-P,80.5,25.2,27.2,82.62,0.12,66.1,0.1,6.6,0.67
2024-11-02,06:15,Flat,77,Se-P,121.2,25.4,28.4,82.24,0.18,65.8,0.15,9.9,0.67
2024-11-02,06:30,Flat,77,Se-P,161.8,25.6,29.6,81.87,0.24,65.49,0.2,13.2,0.67
2024-11-02,06:45,Flat,77,Se-P,202.5,25.7,30.8,81.49,0.3,65.19,0.25,16.4,0.67
2024-11-02,07:00,Flat,77,Se-P,243.2,25.9,32.0,81.12,0.36,64.89,0.3,19.6,0.67
2024-11-02,07:15,Flat,77,Se-P,295.7,26.1,33.5,80.64,0.44,64.51,0.37,23.8,0.67
2024-11-02,07:30,Flat,77,Se-P,348.2,26.3,35.0,80.16,0.52,64.13,0.43,27.9,0.67
2024-11-02,07:45,Flat,77,Se-P,400.7,26.5,36.5,79.68,0.6,63.74,0.5,31.9,0.67
2024-11-02,08:00,Flat,77,Se-P,453.2,26.7,38.0,79.2,0.68,63.36,0.57,36.0,0.67
2024-11-02,08:15,Flat,77,Se-P,482.8,26.9,38.9,78.92,0.72,63.13,0.61,38.2,0.67
2024-11-02,08:30,Flat,77,Se-P,512.3,27.0,39.8,78.63,0.77,62.91,0.64,40.4,0.67
2024-11-02,08:45,Flat,77,Se-P,541.8,27.2,40.7,78.35,0.81,62.68,0.68,42.6,0.67
2024-11-02,09:00,Flat,77,Se-P,571.3,27.4,41.6,78.06,0.86,62.45,0.72,44.8,0.67
2024-11-02,09:15,Flat,77,Se-P,591.2,27.5,42.3,77.86,0.89,62.29,0.74,46.3,0.67
2024-11-02,09:30,Flat,77,Se-P,611.0,27.6,42.9,77.65,0.92,62.12,0.77,47.8,0.67
2024-11-02,09:45,Flat,77,Se-P,630.9,27.8,43.6,77.45,0.95,61.96,0.79,49.2,0.67
2024-11-02,10:00,Flat,77,Se-P,650.8,27.9,44.2,77.25,0.98,61.8,0.82,50.7,0.67
2024-11-02,10:15,Flat,77,Se-P,651.4,28.0,44.3,77.21,0.98,61.77,0.82,50.7,0.67
2024-11-02,10:30,Flat,77,Se-P,652.0,28.1,44.4,77.17,0.98,61.74,0.82,50.7,0.67
2024-11-02,10:45,Flat,77,Se-P,652.6,28.3,44.6,77.13,0.98,61.71,0.82,50.8,0.67
2024-11-02,11:00,Flat,77,Se-P,653.2,28.4,44.7,77.09,0.98,61.67,0.82,50.8,0.67
2024-11-02,11:15,Flat,77,Se-P,627.5,28.4,44.1,77.28,0.94,61.82,0.79,48.9,0.67
2024-11-02,11:30,Flat,77,Se-P,601.8,28.5,43.5,77.47,0.9,61.97,0.76,47.0,0.67
2024-11-02,11:45,Flat,77,Se-P,576.1,28.5,42.9,77.65,0.87,62.12,0.72,45.0,0.67
