Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,05:15,Inverted-V,62,Se-P,Autumn,25.4,24.4,27.0,82.68,0.04,66.15,0.03,2.1,0.67
2024-09-01,05:30,Inverted-V,62,Se-P,Autumn,50.8,24.6,27.9,82.42,0.08,65.93,0.06,4.2,0.67
2024-09-01,05:45,Inverted-V,62,Se-P,Autumn,76.2,24.8,28.7,82.15,0.11,65.72,0.09,6.2,0.67
2024-09-01,06:00,Inverted-V,62,Se-P,Autumn,101.6,25.0,29.6,81.88,0.15,65.51,0.13,8.3,0.67
2024-09-01,06:15,Inverted-V,62,Se-P,Autumn,143.7,25.3,30.9,81.45,0.21,65.16,0.18,11.6,0.67
2024-09-01,06:30,Inverted-V,62,Se-P,Autumn,185.9,25.6,32.3,81.02,0.28,64.82,0.23,15.0,0.67
2024-09-01,06:45,Inverted-V,62,Se-P,Autumn,228.0,26.0,33.6,80.59,0.34,64.47,0.28,18.3,0.67
2024-09-01,07:00,Inverted-V,62,Se-P,Autumn,270.1,26.3,35.0,80.16,0.4,64.13,0.34,21.6,0.67
2024-09-01,07:15,Inverted-V,62,Se-P,Autumn,323.5,26.7,36.8,79.58,0.48,63.66,0.4,25.8,0.67
2024-09-01,07:30,Inverted-V,62,Se-P,Autumn,377.0,27.2,38.7,79.0,0.56,63.2,0.47,29.9,0.67
2024-09-01,07:45,Inverted-V,62,Se-P,Autumn,430.4,27.7,40.5,78.43,0.65,62.74,0.54,33.9,0.67
2024-09-01,08:00,Inverted-V,62,Se-P,Autumn,483.8,28.2,42.3,77.85,0.73,62.28,0.61,37.9,0.67
2024-09-01,08:15,Inverted-V,62,Se-P,Autumn,508.9,28.7,43.4,77.49,0.76,61.99,0.64,39.7,0.67
2024-09-01,08:30,Inverted-V,62,Se-P,Autumn,534.0,29.2,44.6,77.13,0.8,61.7,0.67,41.5,0.67
2024-09-01,08:45,Inverted-V,62,Se-P,Autumn,559.1,29.7,45.7,76.77,0.84,61.41,0.71,43.3,0.67
2024-09-01,09:00,Inverted-V,62,Se-P,Autumn,584.2,30.3,46.9,76.4,0.88,61.12,0.74,45.1,0.67
2024-09-01,09:15,Inverted-V,62,Se-P,Autumn,606.1,30.7,47.8,76.1,0.92,60.88,0.77,46.7,0.67
2024-09-01,09:30,Inverted-V,62,Se-P,Autumn,628.1,31.1,48.8,75.8,0.95,60.64,0.79,48.2,0.67
2024-09-01,09:45,Inverted-V,62,Se-P,Autumn,650.1,31.5,49.7,75.5,0.98,60.4,0.82,49.7,0.67
2024-09-01,10:00,Inverted-V,62,Se-P,Autumn,672.0,31.9,50.7,75.2,1.02,60.16,0.85,51.3,0.67
2024-09-01,10:15,Inverted-V,62,Se-P,Autumn,656.2,32.1,50.6,75.24,0.99,60.19,0.83,50.1,0.67
2024-09-01,10:30,Inverted-V,62,Se-P,Autumn,640.4,32.4,50.4,75.28,0.97,60.22,0.81,48.9,0.67
2024-09-01,10:45,Inverted-V,62,Se-P,Autumn,624.6,32.7,50.3,75.31,0.95,60.25,0.79,47.7,0.67
2024-09-01,11:00,Inverted-V,62,Se-P,Autumn,608.9,33.0,50.2,75.35,0.92,60.28,0.77,46.5,0.67
2024-09-01,11:15,Inverted-V,62,Se-P,Autumn,584.7,33.1,49.7,75.5,0.88,60.4,0.74,44.7,0.67
2024-09-01,11:30,Inverted-V,62,Se-P,Autumn,560.6,33.3,49.3,75.64,0.85,60.51,0.71,43.0,0.67
2024-09-01,11:45,Inverted-V,62,Se-P,Autumn,536.4,33.4,48.8,75.79,0.81,60.63,0.68,41.2,0.67
2024-09-01,12:00,Inverted-V,62,Se-P,Autumn,512.3,33.6,48.4,75.93,0.77,60.74,0.65,39.4,0.67
2024-09-01,12:15,Inverted-V,62,Se-P,Autumn,483.0,33.6,47.6,76.16,0.73,60.93,0.61,37.2,0.67
2024-09-01,12:30,Inverted-V,62,Se-P,Autumn,453.8,33.6,46.9,76.38,0.68,61.11,0.57,35.0,0.67
2024-09-01,12:45,Inverted-V,62,Se-P,Autumn,424.5,33.6,46.2,76.61,0.64,61.29,0.54,32.8,0.67
2024-09-01,13:00,Inverted-V,62,Se-P,Autumn,395.3,33.6,45.5,76.84,0.6,61.47,0.5,30.7,0.67
2024-09-01,13:15,Inverted-V,62,Se-P,Autumn,401.2,33.5,45.5,76.84,0.6,61.47,0.51,31.1,0.67
2024-09-01,13:30,Inverted-V,62,Se-P,Autumn,407.0,33.3,45.5,76.83,0.61,61.47,0.51,31.6,0.67
2024-09-01,13:45,Inverted-V,62,Se-P,Autumn,412.9,33.2,45.5,76.83,0.62,61.46,0.52,32.0,0.67
2024-09-01,14:00,Inverted-V,62,Se-P,Autumn,418.8,33.1,45.5,76.83,0.63,61.46,0.53,32.5,0.67
2024-09-01,14:15,Inverted-V,62,Se-P,Autumn,387.5,32.8,44.5,77.15,0.58,61.72,0.49,30.1,0.67
2024-09-01,14:30,Inverted-V,62,Se-P,Autumn,356.3,32.6,43.5,77.48,0.54,61.98,0.45,27.8,0.67
2024-09-01,14:45,Inverted-V,62,Se-P,Autumn,325.1,32.3,42.4,77.8,0.49,62.24,0.41,25.4,0.67
2024-09-01,15:00,Inverted-V,62,Se-P,Autumn,293.8,32.1,41.4,78.13,0.44,62.5,0.37,23.1,0.67
2024-09-01,15:15,Inverted-V,62,Se-P,Autumn,259.2,31.7,40.2,78.51,0.39,62.81,0.33,20.4,0.67
2024-09-01,15:30,Inverted-V,62,Se-P,Autumn,224.5,31.4,39.0,78.89,0.34,63.11,0.28,17.8,0.67
2024-09-01,15:45,Inverted-V,62,Se-P,Autumn,189.9,31.1,37.8,79.27,0.28,63.42,0.24,15.1,0.67
2024-09-01,16:00,Inverted-V,62,Se-P,Autumn,155.2,30.7,36.6,79.65,0.23,63.72,0.19,12.4,0.67
2024-09-01,16:15,Inverted-V,62,Se-P,Autumn,125.2,30.2,35.3,80.06,0.19,64.05,0.16,10.0,0.67
2024-09-01,16:30,Inverted-V,62,Se-P,Autumn,95.1,29.7,34.1,80.46,0.14,64.37,0.12,7.6,0.67
2024-09-01,16:45,Inverted-V,62,Se-P,Autumn,65.0,29.2,32.8,80.86,0.1,64.69,0.08,5.2,0.67
2024-09-01,17:00,Inverted-V,62,Se-P,Autumn,34.9,28.6,31.5,81.27,0.05,65.01,0.04,2.8,0.67
2024-09-01,17:15,Inverted-V,62,Se-P,Autumn,26.2,28.2,30.9,81.47,0.04,65.17,0.03,2.1,0.67
2024-09-01,17:30,Inverted-V,62,Se-P,Autumn,17.5,27.8,30.3,81.67,0.03,65.33,0.02,1.4,0.67
2024-09-01,17:45,Inverted-V,62,Se-P,Autumn,8.7,27.4,29.6,81.86,0.01,65.49,0.01,0.7,0.67
2024-09-02,05:15,Inverted-V,62,Se-P,Autumn,18.7,24.3,26.7,82.78,0.03,66.22,0.02,1.5,0.67
2024-09-02,05:30,Inverted-V,62,Se-P,Autumn,37.3,24.6,27.5,82.54,0.06,66.03,0.05,3.1,0.67
2024-09-02,05:45,Inverted-V,62,Se-P,Autumn,56.0,24.8,28.2,82.3,0.08,65.84,0.07,4.6,0.67
2024-09-02,06:00,Inverted-V,62,Se-P,Autumn,74.6,25.1,29.0,82.06,0.11,65.65,0.09,6.1,0.67
2024-09-02,06:15,Inverted-V,62,Se-P,Autumn,102.7,25.5,30.1,81.71,0.15,65.37,0.13,8.3,0.67
2024-09-02,06:30,Inverted-V,62,Se-P,Autumn,130.8,25.9,31.2,81.36,0.19,65.09,0.16,10.6,0.67
2024-09-02,06:45,Inverted-V,62,Se-P,Autumn,158.9,26.3,32.3,81.01,0.24,64.81,0.2,12.8,0.67
2024-09-02,07:00,Inverted-V,62,Se-P,Autumn,187.0,26.8,33.4,80.66,0.28,64.53,0.23,15.0,0.67
2024-09-02,07:15,Inverted-V,62,Se-P,Autumn,226.4,27.2,34.9,80.2,0.34,64.16,0.28,18.1,0.67
2024-09-02,07:30,Inverted-V,62,Se-P,Autumn,265.9,27.7,36.4,79.73,0.4,63.78,0.33,21.2,0.67
2024-09-02,07:45,Inverted-V,62,Se-P,Autumn,305.4,28.2,37.8,79.26,0.46,63.41,0.38,24.2,0.67
2024-09-02,08:00,Inverted-V,62,Se-P,Autumn,344.9,28.7,39.3,78.8,0.52,63.04,0.43,27.3,0.67
2024-09-02,08:15,Inverted-V,62,Se-P,Autumn,391.5,29.1,40.9,78.29,0.59,62.63,0.49,30.8,0.67
2024-09-02,08:30,Inverted-V,62,Se-P,Autumn,438.1,29.6,42.5,77.79,0.66,62.23,0.55,34.3,0.67
2024-09-02,08:45,Inverted-V,62,Se-P,Autumn,484.7,30.0,44.1,77.28,0.73,61.82,0.61,37.8,0.67
2024-09-02,09:00,Inverted-V,62,Se-P,Autumn,531.3,30.4,45.7,76.77,0.8,61.42,0.67,41.2,0.67
2024-09-02,09:15,Inverted-V,62,Se-P,Autumn,588.7,30.8,47.5,76.19,0.89,60.95,0.74,45.4,0.67
2024-09-02,09:30,Inverted-V,62,Se-P,Autumn,646.1,31.2,49.4,75.62,0.98,60.49,0.82,49.5,0.67
2024-09-02,09:45,Inverted-V,62,Se-P,Autumn,703.5,31.6,51.2,75.04,1.07,60.03,0.89,53.6,0.67
2024-09-02,10:00,Inverted-V,62,Se-P,Autumn,760.9,32.0,53.0,74.46,1.15,59.57,0.97,57.6,0.67
2024-09-02,10:15,Inverted-V,62,Se-P,Autumn,768.3,32.4,53.6,74.28,1.17,59.43,0.98,58.1,0.67
2024-09-02,10:30,Inverted-V,62,Se-P,Autumn,775.7,32.7,54.1,74.11,1.18,59.29,0.99,58.5,0.67
2024-09-02,10:45,Inverted-V,62,Se-P,Autumn,783.1,33.1,54.7,73.94,1.19,59.15,1.0,59.0,0.67
2024-09-02,11:00,Inverted-V,62,Se-P,Autumn,790.5,33.5,55.2,73.76,1.2,59.01,1.01,59.4,0.67
2024-09-02,11:15,Inverted-V,62,Se-P,Autumn,793.0,33.8,55.6,73.63,1.21,58.91,1.01,59.5,0.67
2024-09-02,11:30,Inverted-V,62,Se-P,Autumn,795.4,34.1,56.0,73.51,1.21,58.81,1.01,59.6,0.67
2024-09-02,11:45,Inverted-V,62,Se-P,Autumn,797.9,34.5,56.4,73.38,1.21,58.71,1.02,59.7,0.67
2024-09-02,12:00,Inverted-V,62,Se-P,Autumn,800.3,34.8,56.8,73.26,1.22,58.6,1.02,59.8,0.67
2024-09-02,12:15,Inverted-V,62,Se-P,Autumn,759.0,35.0,55.9,73.53,1.15,58.82,0.97,56.9,0.67
2024-09-02,12:30,Inverted-V,62,Se-P,Autumn,717.6,35.1,55.1,73.8,1.09,59.04,0.91,53.9,0.67
2024-09-02,12:45,Inverted-V,62,Se-P,Autumn,676.3,35.3,54.2,74.07,1.03,59.26,0.86,51.0,0.67
2024-09-02,13:00,Inverted-V,62,Se-P,Autumn,634.9,35.5,53.4,74.34,0.96,59.47,0.81,48.0,0.67
2024-09-02,13:15,Inverted-V,62,Se-P,Autumn,603.8,35.4,52.5,74.61,0.92,59.69,0.77,45.8,0.67
2024-09-02,13:30,Inverted-V,62,Se-P,Autumn,572.7,35.4,51.7,74.88,0.87,59.91,0.73,43.5,0.67
2024-09-02,13:45,Inverted-V,62,Se-P,Autumn,541.6,35.3,50.8,75.15,0.82,60.12,0.69,41.3,0.67
2024-09-02,14:00,Inverted-V,62,Se-P,Autumn,510.5,35.2,50.0,75.42,0.77,60.34,0.65,39.0,0.67
2024-09-02,14:15,Inverted-V,62,Se-P,Autumn,484.8,34.9,49.1,75.71,0.73,60.57,0.61,37.2,0.67
2024-09-02,14:30,Inverted-V,62,Se-P,Autumn,459.0,34.7,48.2,75.99,0.69,60.79,0.58,35.3,0.67
2024-09-02,14:45,Inverted-V,62,Se-P,Autumn,433.2,34.4,47.3,76.28,0.65,61.02,0.55,33.4,0.67
2024-09-02,15:00,Inverted-V,62,Se-P,Autumn,407.5,34.2,46.4,76.56,0.61,61.25,0.51,31.5,0.67
2024-09-02,15:15,Inverted-V,62,Se-P,Autumn,356.3,33.8,44.7,77.09,0.54,61.68,0.45,27.7,0.67
2024-09-02,15:30,Inverted-V,62,Se-P,Autumn,305.0,33.4,43.0,77.63,0.46,62.1,0.38,23.8,0.67
2024-09-02,15:45,Inverted-V,62,Se-P,Autumn,253.8,33.0,41.3,78.16,0.38,62.53,0.32,19.9,0.67
2024-09-02,16:00,Inverted-V,62,Se-P,Autumn,202.6,32.6,39.6,78.69,0.3,62.95,0.25,16.0,0.67
2024-09-02,16:15,Inverted-V,62,Se-P,Autumn,162.1,32.0,38.0,79.2,0.24,63.36,0.2,12.9,0.67
2024-09-02,16:30,Inverted-V,62,Se-P,Autumn,121.7,31.4,36.4,79.71,0.18,63.77,0.15,9.7,0.67
2024-09-02,16:45,Inverted-V,62,Se-P,Autumn,81.2,30.8,34.8,80.21,0.12,64.17,0.1,6.5,0.67
