Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Inverted-V,62,Se-P,24.1,25.1,27.7,82.48,0.04,65.98,0.03,2.0,0.67
2024-11-01,05:30,Inverted-V,62,Se-P,48.3,25.2,28.4,82.25,0.07,65.8,0.06,3.9,0.67
2024-11-01,05:45,Inverted-V,62,Se-P,72.4,25.3,29.2,82.01,0.11,65.61,0.09,5.9,0.67
2024-11-01,06:00,Inverted-V,62,Se-P,96.6,25.5,29.9,81.78,0.14,65.42,0.12,7.8,0.67
2024-11-01,06:15,Inverted-V,62,Se-P,145.8,25.7,31.4,81.31,0.22,65.05,0.18,11.8,0.67
2024-11-01,06:30,Inverted-V,62,Se-P,195.0,26.0,32.8,80.85,0.29,64.68,0.24,15.7,0.67
2024-11-01,06:45,Inverted-V,62,Se-P,244.3,26.2,34.3,80.38,0.36,64.31,0.3,19.6,0.67
2024-11-01,07:00,Inverted-V,62,Se-P,293.5,26.4,35.8,79.92,0.44,63.93,0.37,23.4,0.67
2024-11-01,07:15,Inverted-V,62,Se-P,350.6,26.8,37.5,79.36,0.52,63.49,0.44,27.9,0.67
2024-11-01,07:30,Inverted-V,62,Se-P,407.8,27.1,39.3,78.81,0.61,63.05,0.51,32.2,0.67
2024-11-01,07:45,Inverted-V,62,Se-P,465.0,27.4,41.0,78.26,0.7,62.61,0.58,36.6,0.67
2024-11-01,08:00,Inverted-V,62,Se-P,522.1,27.7,42.8,77.7,0.78,62.16,0.66,40.8,0.67
2024-11-01,08:15,Inverted-V,62,Se-P,568.7,28.1,44.3,77.22,0.86,61.78,0.72,44.3,0.67
2024-11-01,08:30,Inverted-V,62,Se-P,615.2,28.4,45.8,76.75,0.93,61.4,0.78,47.7,0.67
2024-11-01,08:45,Inverted-V,62,Se-P,661.8,28.8,47.3,76.27,1.0,61.01,0.84,51.0,0.67
2024-11-01,09:00,Inverted-V,62,Se-P,708.4,29.1,48.8,75.79,1.07,60.63,0.9,54.4,0.67
2024-11-01,09:15,Inverted-V,62,Se-P,736.3,29.4,49.8,75.47,1.11,60.38,0.93,56.3,0.67
2024-11-01,09:30,Inverted-V,62,Se-P,764.3,29.7,50.8,75.15,1.16,60.12,0.97,58.3,0.67
2024-11-01,09:45,Inverted-V,62,Se-P,792.3,30.0,51.8,74.83,1.2,59.87,1.01,60.2,0.67
2024-11-01,10:00,Inverted-V,62,Se-P,820.3,30.3,52.8,74.52,1.24,59.61,1.04,62.1,0.67
2024-11-01,10:15,Inverted-V,62,Se-P,818.8,30.5,53.0,74.46,1.24,59.57,1.04,62.0,0.67
2024-11-01,10:30,Inverted-V,62,Se-P,817.2,30.8,53.2,74.4,1.24,59.52,1.04,61.8,0.67
2024-11-01,10:45,Inverted-V,62,Se-P,815.7,31.0,53.4,74.34,1.24,59.47,1.04,61.7,0.67
2024-11-01,11:00,Inverted-V,62,Se-P,814.1,31.2,53.6,74.28,1.24,59.42,1.04,61.5,0.67
2024-11-01,11:15,Inverted-V,62,Se-P,787.3,31.3,53.0,74.46,1.19,59.56,1.0,59.6,0.67
2024-11-01,11:30,Inverted-V,62,Se-P,760.4,31.5,52.5,74.63,1.15,59.7,0.97,57.7,0.67
2024-11-01,11:45,Inverted-V,62,Se-P,733.6,31.6,51.9,74.8,1.11,59.84,0.93,55.7,0.67
2024-11-01,12:00,Inverted-V,62,Se-P,706.8,31.7,51.4,74.98,1.07,59.98,0.9,53.8,0.67
2024-11-01,12:15,Inverted-V,62,Se-P,645.6,31.7,49.9,75.45,0.98,60.36,0.82,49.4,0.67
2024-11-01,12:30,Inverted-V,62,Se-P,584.5,31.8,48.4,75.93,0.88,60.74,0.74,44.9,0.67
2024-11-01,12:45,Inverted-V,62,Se-P,523.4,31.8,46.9,76.4,0.79,61.12,0.66,40.4,0.67
2024-11-01,13:00,Inverted-V,62,Se-P,462.3,31.8,45.4,76.87,0.7,61.5,0.58,35.9,0.67
2024-11-01,13:15,Inverted-V,62,Se-P,421.0,31.7,44.3,77.23,0.63,61.78,0.53,32.8,0.67
2024-11-01,13:30,Inverted-V,62,Se-P,379.6,31.6,43.1,77.58,0.57,62.07,0.48,29.7,0.67
2024-11-01,13:45,Inverted-V,62,Se-P,338.3,31.6,42.0,77.94,0.51,62.35,0.43,26.5,0.67
2024-11-01,14:00,Inverted-V,62,Se-P,296.9,31.5,40.9,78.3,0.45,62.64,0.37,23.4,0.67
2024-11-01,14:15,Inverted-V,62,Se-P,268.0,31.4,40.1,78.56,0.4,62.85,0.34,21.1,0.67
2024-11-01,14:30,Inverted-V,62,Se-P,239.2,31.2,39.2,78.83,0.36,63.06,0.3,18.9,0.67
2024-11-01,14:45,Inverted-V,62,Se-P,210.3,31.1,38.4,79.09,0.31,63.27,0.26,16.7,0.67
2024-11-01,15:00,Inverted-V,62,Se-P,181.5,31.0,37.5,79.36,0.27,63.48,0.23,14.4,0.67
2024-11-01,15:15,Inverted-V,62,Se-P,154.4,30.8,36.7,79.63,0.23,63.71,0.19,12.3,0.67
2024-11-01,15:30,Inverted-V,62,Se-P,127.4,30.6,35.8,79.91,0.19,63.93,0.16,10.2,0.67
2024-11-01,15:45,Inverted-V,62,Se-P,100.4,30.4,34.9,80.19,0.15,64.15,0.13,8.0,0.67
2024-11-01,16:00,Inverted-V,62,Se-P,73.4,30.2,34.0,80.47,0.11,64.37,0.09,5.9,0.67
2024-11-01,16:15,Inverted-V,62,Se-P,55.9,29.8,33.2,80.72,0.08,64.57,0.07,4.5,0.67
2024-11-01,16:30,Inverted-V,62,Se-P,38.5,29.5,32.5,80.97,0.06,64.77,0.05,3.1,0.67
2024-11-01,16:45,Inverted-V,62,Se-P,21.0,29.1,31.7,81.22,0.03,64.97,0.03,1.7,0.67
2024-11-02,05:15,Inverted-V,62,Se-P,21.7,25.0,27.5,82.54,0.03,66.03,0.03,1.8,0.67
