Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,V-Shape,62,Se-P,Autumn,18.6,25.9,29.4,81.94,0.03,65.56,0.02,1.5,0.67
2025-09-01,05:30,V-Shape,62,Se-P,Autumn,37.2,26.2,30.1,81.71,0.06,65.37,0.05,3.0,0.67
2025-09-01,05:45,V-Shape,62,Se-P,Autumn,55.8,26.4,30.8,81.48,0.08,65.19,0.07,4.5,0.67
2025-09-01,06:00,V-Shape,62,Se-P,Autumn,74.4,26.7,31.6,81.25,0.11,65.0,0.09,6.0,0.67
2025-09-01,06:15,V-Shape,62,Se-P,Autumn,109.9,27.2,32.9,80.82,0.16,64.66,0.14,8.9,0.67
2025-09-01,06:30,V-Shape,62,Se-P,Autumn,145.4,27.6,34.3,80.39,0.22,64.32,0.18,11.7,0.67
2025-09-01,06:45,V-Shape,62,Se-P,Autumn,180.9,28.1,35.6,79.96,0.27,63.97,0.23,14.5,0.67
2025-09-01,07:00,V-Shape,62,Se-P,Autumn,216.4,28.6,37.0,79.53,0.32,63.63,0.27,17.2,0.67
2025-09-01,07:15,V-Shape,62,Se-P,Autumn,254.2,29.1,38.4,79.07,0.38,63.26,0.32,20.1,0.67
2025-09-01,07:30,V-Shape,62,Se-P,Autumn,292.0,29.6,39.9,78.61,0.44,62.89,0.37,23.0,0.67
2025-09-01,07:45,V-Shape,62,Se-P,Autumn,329.8,30.1,41.3,78.15,0.49,62.52,0.41,25.9,0.67
2025-09-01,08:00,V-Shape,62,Se-P,Autumn,367.7,30.6,42.8,77.69,0.55,62.16,0.46,28.8,0.67
2025-09-01,08:15,V-Shape,62,Se-P,Autumn,412.4,31.0,44.3,77.2,0.62,61.76,0.52,32.1,0.67
2025-09-01,08:30,V-Shape,62,Se-P,Autumn,457.1,31.5,45.9,76.71,0.69,61.37,0.58,35.4,0.67
2025-09-01,08:45,V-Shape,62,Se-P,Autumn,501.8,31.9,47.5,76.21,0.76,60.97,0.63,38.7,0.67
2025-09-01,09:00,V-Shape,62,Se-P,Autumn,546.5,32.4,49.0,75.72,0.83,60.58,0.69,41.9,0.67
2025-09-01,09:15,V-Shape,62,Se-P,Autumn,572.5,32.7,50.0,75.4,0.87,60.32,0.73,43.8,0.67
2025-09-01,09:30,V-Shape,62,Se-P,Autumn,598.4,33.1,51.1,75.07,0.91,60.06,0.76,45.6,0.67
2025-09-01,09:45,V-Shape,62,Se-P,Autumn,624.3,33.5,52.1,74.75,0.95,59.8,0.79,47.4,0.67
2025-09-01,10:00,V-Shape,62,Se-P,Autumn,650.3,33.9,53.1,74.42,0.99,59.54,0.83,49.2,0.67
2025-09-01,10:15,V-Shape,62,Se-P,Autumn,655.8,34.1,53.5,74.29,1.0,59.43,0.83,49.6,0.67
2025-09-01,10:30,V-Shape,62,Se-P,Autumn,661.4,34.4,54.0,74.16,1.0,59.32,0.84,49.9,0.67
2025-09-01,10:45,V-Shape,62,Se-P,Autumn,666.9,34.7,54.4,74.02,1.01,59.22,0.85,50.3,0.67
2025-09-01,11:00,V-Shape,62,Se-P,Autumn,672.4,35.0,54.8,73.89,1.02,59.11,0.86,50.6,0.67
2025-09-01,11:15,V-Shape,62,Se-P,Autumn,656.7,35.1,54.6,73.97,1.0,59.17,0.84,49.5,0.67
2025-09-01,11:30,V-Shape,62,Se-P,Autumn,640.9,35.3,54.3,74.05,0.97,59.24,0.82,48.3,0.67
2025-09-01,11:45,V-Shape,62,Se-P,Autumn,625.1,35.4,54.1,74.13,0.95,59.3,0.8,47.2,0.67
2025-09-01,12:00,V-Shape,62,Se-P,Autumn,609.4,35.6,53.8,74.21,0.93,59.37,0.77,46.0,0.67
2025-09-01,12:15,V-Shape,62,Se-P,Autumn,609.4,35.6,53.8,74.19,0.93,59.36,0.78,46.0,0.67
2025-09-01,12:30,V-Shape,62,Se-P,Autumn,609.4,35.7,53.9,74.18,0.93,59.34,0.78,46.0,0.67
2025-09-01,12:45,V-Shape,62,Se-P,Autumn,609.5,35.7,53.9,74.16,0.93,59.33,0.78,46.0,0.67
2025-09-01,13:00,V-Shape,62,Se-P,Autumn,609.5,35.8,54.0,74.15,0.93,59.32,0.78,46.0,0.67
2025-09-01,13:15,V-Shape,62,Se-P,Autumn,584.3,35.7,53.3,74.36,0.89,59.49,0.74,44.2,0.67
2025-09-01,13:30,V-Shape,62,Se-P,Autumn,559.2,35.6,52.6,74.58,0.85,59.66,0.71,42.4,0.67
2025-09-01,13:45,V-Shape,62,Se-P,Autumn,534.0,35.6,51.9,74.8,0.81,59.84,0.68,40.6,0.67
2025-09-01,14:00,V-Shape,62,Se-P,Autumn,508.9,35.5,51.3,75.01,0.77,60.01,0.65,38.7,0.67
2025-09-01,14:15,V-Shape,62,Se-P,Autumn,468.3,35.4,50.1,75.39,0.71,60.31,0.59,35.8,0.67
2025-09-01,14:30,V-Shape,62,Se-P,Autumn,427.8,35.2,48.9,75.76,0.65,60.61,0.54,32.8,0.67
2025-09-01,14:45,V-Shape,62,Se-P,Autumn,387.2,35.0,47.7,76.13,0.58,60.91,0.49,29.8,0.67
2025-09-01,15:00,V-Shape,62,Se-P,Autumn,346.6,34.9,46.5,76.51,0.52,61.21,0.44,26.8,0.67
2025-09-01,15:15,V-Shape,62,Se-P,Autumn,302.6,34.6,45.1,76.95,0.46,61.56,0.38,23.5,0.67
2025-09-01,15:30,V-Shape,62,Se-P,Autumn,258.6,34.3,43.7,77.4,0.39,61.92,0.33,20.2,0.67
2025-09-01,15:45,V-Shape,62,Se-P,Autumn,214.6,34.0,42.3,77.84,0.32,62.27,0.27,16.8,0.67
2025-09-01,16:00,V-Shape,62,Se-P,Autumn,170.6,33.6,40.9,78.29,0.26,62.63,0.21,13.4,0.67
2025-09-01,16:15,V-Shape,62,Se-P,Autumn,136.8,33.1,39.5,78.74,0.2,62.99,0.17,10.8,0.67
2025-09-01,16:30,V-Shape,62,Se-P,Autumn,103.0,32.5,38.1,79.18,0.15,63.35,0.13,8.2,0.67
2025-09-01,16:45,V-Shape,62,Se-P,Autumn,69.3,31.9,36.7,79.63,0.1,63.7,0.09,5.5,0.67
2025-09-01,17:00,V-Shape,62,Se-P,Autumn,35.5,31.4,35.3,80.08,0.05,64.06,0.04,2.8,0.67
2025-09-01,17:15,V-Shape,62,Se-P,Autumn,26.6,30.9,34.6,80.3,0.04,64.24,0.03,2.1,0.67
2025-09-01,17:30,V-Shape,62,Se-P,Autumn,17.7,30.4,33.8,80.53,0.03,64.42,0.02,1.4,0.67
2025-09-01,17:45,V-Shape,62,Se-P,Autumn,8.9,29.9,33.1,80.75,0.01,64.6,0.01,0.7,0.67
2025-09-02,05:15,V-Shape,62,Se-P,Autumn,22.8,25.4,29.0,82.06,0.03,65.65,0.03,1.9,0.67
2025-09-02,05:30,V-Shape,62,Se-P,Autumn,45.6,25.7,29.9,81.79,0.07,65.43,0.06,3.7,0.67
