Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,77,17.9,25.6,25.0,83.32,0.03,66.66,0.02,1.5,0.67
2025-04-01,05:30,V-Shape,77,35.8,25.8,25.7,83.11,0.05,66.49,0.04,2.9,0.67
2025-04-01,05:45,V-Shape,77,53.7,26.0,26.4,82.89,0.08,66.31,0.07,4.4,0.67
2025-04-01,06:00,V-Shape,77,71.6,26.3,27.1,82.68,0.11,66.14,0.09,5.9,0.67
2025-04-01,06:15,V-Shape,77,115.1,26.8,28.7,82.15,0.17,65.72,0.14,9.4,0.67
2025-04-01,06:30,V-Shape,77,158.5,27.4,30.4,81.63,0.24,65.3,0.2,12.9,0.67
2025-04-01,06:45,V-Shape,77,202.0,28.0,32.0,81.1,0.3,64.88,0.25,16.3,0.67
2025-04-01,07:00,V-Shape,77,245.4,28.6,33.7,80.58,0.37,64.46,0.31,19.7,0.67
2025-04-01,07:15,V-Shape,77,298.2,29.1,35.5,79.99,0.44,63.99,0.37,23.8,0.67
2025-04-01,07:30,V-Shape,77,351.0,29.6,37.4,79.41,0.52,63.53,0.44,27.9,0.67
2025-04-01,07:45,V-Shape,77,403.8,30.1,39.2,78.82,0.6,63.06,0.51,31.9,0.67
2025-04-01,08:00,V-Shape,77,456.6,30.7,41.1,78.23,0.68,62.59,0.57,35.9,0.67
2025-04-01,08:15,V-Shape,77,505.5,31.1,42.8,77.71,0.76,62.16,0.64,39.5,0.67
2025-04-01,08:30,V-Shape,77,554.4,31.6,44.4,77.18,0.83,61.74,0.7,43.1,0.67
2025-04-01,08:45,V-Shape,77,603.3,32.0,46.1,76.65,0.91,61.32,0.76,46.7,0.67
2025-04-01,09:00,V-Shape,77,652.2,32.5,47.8,76.12,0.98,60.89,0.82,50.2,0.67
2025-04-01,09:15,V-Shape,77,668.4,32.9,48.6,75.86,1.01,60.69,0.85,51.3,0.67
2025-04-01,09:30,V-Shape,77,684.7,33.3,49.4,75.61,1.04,60.49,0.87,52.4,0.67
2025-04-01,09:45,V-Shape,77,701.0,33.7,50.2,75.35,1.06,60.28,0.89,53.6,0.67
2025-04-01,10:00,V-Shape,77,717.3,34.1,51.0,75.1,1.09,60.08,0.91,54.7,0.67
2025-04-01,10:15,V-Shape,77,747.8,34.4,52.1,74.75,1.13,59.8,0.95,56.8,0.67
2025-04-01,10:30,V-Shape,77,778.3,34.7,53.2,74.41,1.18,59.53,0.99,58.9,0.67
2025-04-01,10:45,V-Shape,77,808.8,35.0,54.3,74.06,1.23,59.25,1.03,61.0,0.67
2025-04-01,11:00,V-Shape,77,839.3,35.4,55.4,73.72,1.28,58.97,1.07,63.0,0.67
2025-04-01,11:15,V-Shape,77,824.1,35.6,55.2,73.77,1.25,59.02,1.05,61.9,0.67
2025-04-01,11:30,V-Shape,77,808.8,35.8,55.0,73.83,1.23,59.06,1.03,60.8,0.67
2025-04-01,11:45,V-Shape,77,793.5,36.0,54.8,73.89,1.21,59.11,1.01,59.7,0.67
2025-04-01,12:00,V-Shape,77,778.2,36.2,54.6,73.94,1.18,59.15,0.99,58.6,0.67
2025-04-01,12:15,V-Shape,77,771.1,36.2,54.5,73.98,1.17,59.18,0.98,58.1,0.67
2025-04-01,12:30,V-Shape,77,764.0,36.3,54.4,74.02,1.16,59.21,0.97,57.6,0.67
2025-04-01,12:45,V-Shape,77,757.0,36.4,54.3,74.05,1.15,59.24,0.96,57.1,0.67
2025-04-01,13:00,V-Shape,77,749.9,36.4,54.2,74.09,1.14,59.27,0.95,56.5,0.67
2025-04-01,13:15,V-Shape,77,700.0,36.4,52.9,74.51,1.06,59.6,0.89,53.0,0.67
2025-04-01,13:30,V-Shape,77,650.1,36.3,51.5,74.92,0.99,59.94,0.82,49.4,0.67
2025-04-01,13:45,V-Shape,77,600.2,36.2,50.2,75.34,0.91,60.27,0.76,45.8,0.67
2025-04-01,14:00,V-Shape,77,550.3,36.1,48.9,75.76,0.83,60.61,0.7,42.2,0.67
2025-04-01,14:15,V-Shape,77,524.7,35.9,48.0,76.05,0.79,60.84,0.66,40.4,0.67
2025-04-01,14:30,V-Shape,77,499.1,35.6,47.1,76.34,0.75,61.07,0.63,38.5,0.67
2025-04-01,14:45,V-Shape,77,473.6,35.3,46.1,76.63,0.71,61.31,0.6,36.6,0.67
2025-04-01,15:00,V-Shape,77,448.0,35.0,45.2,76.92,0.67,61.54,0.56,34.8,0.67
2025-04-01,15:15,V-Shape,77,392.4,34.6,43.4,77.5,0.59,62.0,0.49,30.6,0.67
2025-04-01,15:30,V-Shape,77,336.9,34.2,41.6,78.07,0.51,62.46,0.42,26.4,0.67
2025-04-01,15:45,V-Shape,77,281.3,33.8,39.8,78.65,0.42,62.92,0.35,22.2,0.67
2025-04-01,16:00,V-Shape,77,225.8,33.3,38.0,79.22,0.34,63.38,0.28,17.9,0.67
2025-04-01,16:15,V-Shape,77,180.3,32.8,36.3,79.74,0.27,63.8,0.23,14.4,0.67
2025-04-01,16:30,V-Shape,77,134.8,32.3,34.7,80.27,0.2,64.22,0.17,10.8,0.67
2025-04-01,16:45,V-Shape,77,89.2,31.8,33.0,80.79,0.13,64.64,0.11,7.2,0.67
2025-04-01,17:00,V-Shape,77,43.7,31.2,31.3,81.32,0.06,65.06,0.05,3.5,0.67
2025-04-01,17:15,V-Shape,77,32.8,30.8,30.6,81.55,0.05,65.24,0.04,2.7,0.67
