Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,V-Shape,62,Se-P,Winter,23.5,25.1,28.7,82.17,0.03,65.73,0.03,1.9,0.67
2024-11-01,05:30,V-Shape,62,Se-P,Winter,46.9,25.2,29.4,81.94,0.07,65.55,0.06,3.8,0.67
2024-11-01,05:45,V-Shape,62,Se-P,Winter,70.4,25.3,30.1,81.71,0.1,65.37,0.09,5.7,0.67
2024-11-01,06:00,V-Shape,62,Se-P,Winter,93.9,25.5,30.8,81.48,0.14,65.19,0.12,7.6,0.67
2024-11-01,06:15,V-Shape,62,Se-P,Winter,141.7,25.7,32.3,81.03,0.21,64.82,0.18,11.4,0.67
2024-11-01,06:30,V-Shape,62,Se-P,Winter,189.6,26.0,33.7,80.57,0.28,64.46,0.24,15.2,0.67
2024-11-01,06:45,V-Shape,62,Se-P,Winter,237.5,26.2,35.1,80.12,0.35,64.1,0.3,19.0,0.67
2024-11-01,07:00,V-Shape,62,Se-P,Winter,285.3,26.4,36.6,79.67,0.43,63.73,0.36,22.7,0.67
2024-11-01,07:15,V-Shape,62,Se-P,Winter,340.9,26.8,38.3,79.13,0.51,63.3,0.43,27.0,0.67
2024-11-01,07:30,V-Shape,62,Se-P,Winter,396.5,27.1,40.0,78.58,0.59,62.87,0.5,31.3,0.67
2024-11-01,07:45,V-Shape,62,Se-P,Winter,452.1,27.4,41.7,78.04,0.68,62.43,0.57,35.5,0.67
2024-11-01,08:00,V-Shape,62,Se-P,Winter,507.6,27.7,43.4,77.5,0.76,62.0,0.64,39.6,0.67
2024-11-01,08:15,V-Shape,62,Se-P,Winter,552.9,28.1,44.9,77.03,0.83,61.63,0.7,43.0,0.67
2024-11-01,08:30,V-Shape,62,Se-P,Winter,598.1,28.4,46.4,76.56,0.9,61.25,0.76,46.3,0.67
2024-11-01,08:45,V-Shape,62,Se-P,Winter,643.4,28.8,47.8,76.1,0.97,60.88,0.81,49.5,0.67
2024-11-01,09:00,V-Shape,62,Se-P,Winter,688.7,29.1,49.3,75.63,1.04,60.5,0.87,52.8,0.67
2024-11-01,09:15,V-Shape,62,Se-P,Winter,715.9,29.4,50.3,75.32,1.08,60.25,0.91,54.7,0.67
2024-11-01,09:30,V-Shape,62,Se-P,Winter,743.1,29.7,51.3,75.0,1.13,60.0,0.94,56.6,0.67
2024-11-01,09:45,V-Shape,62,Se-P,Winter,770.3,30.0,52.3,74.69,1.17,59.75,0.98,58.5,0.67
2024-11-01,10:00,V-Shape,62,Se-P,Winter,797.6,30.3,53.3,74.38,1.21,59.5,1.01,60.3,0.67
2024-11-01,10:15,V-Shape,62,Se-P,Winter,796.0,30.5,53.4,74.32,1.21,59.46,1.01,60.2,0.67
2024-11-01,10:30,V-Shape,62,Se-P,Winter,794.5,30.8,53.6,74.26,1.21,59.41,1.01,60.0,0.67
