Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Flat,93,TCT,22.4,25.1,22.6,84.08,0.04,67.26,0.03,2.0,0.67
2024-11-01,05:30,Flat,93,TCT,44.7,25.2,23.3,83.86,0.07,67.09,0.06,4.0,0.67
2024-11-01,05:45,Flat,93,TCT,67.1,25.3,24.0,83.64,0.11,66.91,0.09,5.9,0.67
2024-11-01,06:00,Flat,93,TCT,89.4,25.5,24.7,83.42,0.14,66.73,0.12,7.9,0.67
2024-11-01,06:15,Flat,93,TCT,135.0,25.7,26.1,82.98,0.21,66.39,0.18,11.9,0.67
2024-11-01,06:30,Flat,93,TCT,180.6,26.0,27.5,82.55,0.29,66.04,0.24,15.8,0.67
2024-11-01,06:45,Flat,93,TCT,226.2,26.2,28.8,82.11,0.36,65.69,0.3,19.7,0.67
2024-11-01,07:00,Flat,93,TCT,271.8,26.4,30.2,81.67,0.43,65.34,0.36,23.6,0.67
2024-11-01,07:15,Flat,93,TCT,324.7,26.8,31.9,81.15,0.52,64.92,0.43,28.1,0.67
2024-11-01,07:30,Flat,93,TCT,377.6,27.1,33.5,80.63,0.6,64.51,0.5,32.5,0.67
2024-11-01,07:45,Flat,93,TCT,430.5,27.4,35.2,80.11,0.69,64.09,0.58,36.9,0.67
2024-11-01,08:00,Flat,93,TCT,483.4,27.7,36.8,79.59,0.77,63.67,0.65,41.2,0.67
2024-11-01,08:15,Flat,93,TCT,526.6,28.1,38.2,79.14,0.84,63.31,0.71,44.7,0.67
2024-11-01,08:30,Flat,93,TCT,569.7,28.4,39.6,78.69,0.91,62.95,0.76,48.1,0.67
2024-11-01,08:45,Flat,93,TCT,612.8,28.8,41.1,78.24,0.98,62.59,0.82,51.5,0.67
2024-11-01,09:00,Flat,93,TCT,655.9,29.1,42.5,77.79,1.05,62.23,0.88,54.9,0.67
2024-11-01,09:15,Flat,93,TCT,681.8,29.4,43.5,77.49,1.1,61.99,0.92,56.9,0.67
2024-11-01,09:30,Flat,93,TCT,707.7,29.7,44.4,77.18,1.14,61.75,0.95,58.9,0.67
2024-11-01,09:45,Flat,93,TCT,733.7,30.0,45.4,76.88,1.18,61.51,0.99,60.9,0.67
2024-11-01,10:00,Flat,93,TCT,759.6,30.3,46.3,76.58,1.23,61.26,1.03,62.9,0.67
2024-11-01,10:15,Flat,93,TCT,758.1,30.5,46.5,76.52,1.22,61.22,1.02,62.7,0.67
2024-11-01,10:30,Flat,93,TCT,756.7,30.8,46.7,76.46,1.22,61.17,1.02,62.5,0.67
2024-11-01,10:45,Flat,93,TCT,755.2,31.0,46.9,76.4,1.22,61.12,1.02,62.4,0.67
2024-11-01,11:00,Flat,93,TCT,753.8,31.2,47.1,76.34,1.22,61.07,1.02,62.2,0.67
2024-11-01,11:15,Flat,93,TCT,728.9,31.3,46.6,76.5,1.18,61.2,0.98,60.3,0.67
2024-11-01,11:30,Flat,93,TCT,704.1,31.5,46.1,76.66,1.14,61.33,0.95,58.3,0.67
2024-11-01,11:45,Flat,93,TCT,679.2,31.6,45.6,76.82,1.09,61.45,0.92,56.3,0.67
2024-11-01,12:00,Flat,93,TCT,654.4,31.7,45.1,76.98,1.05,61.58,0.88,54.4,0.67
2024-11-01,12:15,Flat,93,TCT,597.8,31.7,43.7,77.41,0.96,61.93,0.81,49.9,0.67
2024-11-01,12:30,Flat,93,TCT,541.2,31.8,42.3,77.85,0.87,62.28,0.73,45.4,0.67
2024-11-01,12:45,Flat,93,TCT,484.7,31.8,40.9,78.29,0.78,62.63,0.65,40.8,0.67
2024-11-01,13:00,Flat,93,TCT,428.1,31.8,39.5,78.73,0.69,62.98,0.57,36.2,0.67
2024-11-01,13:15,Flat,93,TCT,389.8,31.7,38.5,79.06,0.62,63.25,0.52,33.0,0.67
2024-11-01,13:30,Flat,93,TCT,351.5,31.6,37.4,79.39,0.56,63.51,0.47,29.9,0.67
2024-11-01,13:45,Flat,93,TCT,313.2,31.6,36.4,79.72,0.5,63.78,0.42,26.7,0.67
2024-11-01,14:00,Flat,93,TCT,274.9,31.5,35.3,80.05,0.44,64.04,0.37,23.5,0.67
2024-11-01,14:15,Flat,93,TCT,248.2,31.4,34.6,80.3,0.4,64.24,0.33,21.3,0.67
2024-11-01,14:30,Flat,93,TCT,221.5,31.2,33.8,80.55,0.35,64.44,0.3,19.0,0.67
2024-11-01,14:45,Flat,93,TCT,194.7,31.1,33.0,80.8,0.31,64.64,0.26,16.8,0.67
2024-11-01,15:00,Flat,93,TCT,168.0,31.0,32.2,81.04,0.27,64.84,0.22,14.5,0.67
2024-11-01,15:15,Flat,93,TCT,143.0,30.8,31.4,81.31,0.23,65.05,0.19,12.4,0.67
2024-11-01,15:30,Flat,93,TCT,118.0,30.6,30.6,81.57,0.19,65.26,0.16,10.2,0.67
2024-11-01,15:45,Flat,93,TCT,93.0,30.4,29.7,81.83,0.15,65.46,0.12,8.1,0.67
2024-11-01,16:00,Flat,93,TCT,68.0,30.2,28.9,82.09,0.11,65.67,0.09,5.9,0.67
2024-11-01,16:15,Flat,93,TCT,51.8,29.8,28.1,82.33,0.08,65.87,0.07,4.5,0.67
2024-11-01,16:30,Flat,93,TCT,35.6,29.5,27.4,82.57,0.06,66.06,0.05,3.1,0.67
2024-11-01,16:45,Flat,93,TCT,19.5,29.1,26.6,82.81,0.03,66.25,0.03,1.7,0.67
2024-11-02,05:15,Flat,93,TCT,20.1,25.0,22.5,84.13,0.03,67.31,0.03,1.8,0.67
2024-11-02,05:30,Flat,93,TCT,40.2,25.0,23.1,83.95,0.06,67.16,0.05,3.6,0.67
2024-11-02,05:45,Flat,93,TCT,60.4,25.1,23.6,83.76,0.1,67.01,0.08,5.3,0.67
2024-11-02,06:00,Flat,93,TCT,80.5,25.2,24.2,83.57,0.13,66.86,0.11,7.1,0.67
2024-11-02,06:15,Flat,93,TCT,121.2,25.4,25.4,83.19,0.19,66.56,0.16,10.7,0.67
2024-11-02,06:30,Flat,93,TCT,161.8,25.6,26.6,82.82,0.26,66.25,0.21,14.2,0.67
2024-11-02,06:45,Flat,93,TCT,202.5,25.7,27.8,82.44,0.32,65.95,0.27,17.7,0.67
2024-11-02,07:00,Flat,93,TCT,243.2,25.9,29.0,82.06,0.39,65.65,0.32,21.2,0.67
2024-11-02,07:15,Flat,93,TCT,295.7,26.1,30.5,81.59,0.47,65.27,0.39,25.7,0.67
2024-11-02,07:30,Flat,93,TCT,348.2,26.3,32.0,81.11,0.55,64.89,0.46,30.1,0.67
2024-11-02,07:45,Flat,93,TCT,400.7,26.5,33.5,80.63,0.64,64.5,0.53,34.5,0.67
2024-11-02,08:00,Flat,93,TCT,453.2,26.7,35.0,80.15,0.72,64.12,0.61,38.8,0.67
2024-11-02,08:15,Flat,93,TCT,482.8,26.9,35.9,79.87,0.77,63.89,0.65,41.2,0.67
2024-11-02,08:30,Flat,93,TCT,512.3,27.0,36.8,79.58,0.82,63.67,0.69,43.6,0.67
2024-11-02,08:45,Flat,93,TCT,541.8,27.2,37.7,79.3,0.87,63.44,0.73,46.0,0.67
2024-11-02,09:00,Flat,93,TCT,571.3,27.4,38.6,79.01,0.91,63.21,0.77,48.4,0.67
