Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,Inverted-V,62,TCT,Spring,6.3,22.9,25.1,83.31,0.01,66.65,0.01,0.6,0.67
2025-02-01,05:30,Inverted-V,62,TCT,Spring,12.6,23.2,25.5,83.17,0.02,66.54,0.02,1.1,0.67
2025-02-01,05:45,Inverted-V,62,TCT,Spring,18.9,23.5,25.9,83.03,0.03,66.43,0.02,1.7,0.67
2025-02-01,06:00,Inverted-V,62,TCT,Spring,25.2,23.7,26.4,82.9,0.04,66.32,0.03,2.2,0.67
2025-02-01,06:15,Inverted-V,62,TCT,Spring,61.9,24.3,27.8,82.43,0.1,65.95,0.08,5.4,0.67
2025-02-01,06:30,Inverted-V,62,TCT,Spring,98.7,24.8,29.3,81.97,0.16,65.58,0.13,8.6,0.67
2025-02-01,06:45,Inverted-V,62,TCT,Spring,135.4,25.4,30.7,81.51,0.22,65.21,0.18,11.7,0.67
2025-02-01,07:00,Inverted-V,62,TCT,Spring,172.2,25.9,32.2,81.05,0.27,64.84,0.23,14.9,0.67
2025-02-01,07:15,Inverted-V,62,TCT,Spring,216.4,26.5,33.9,80.52,0.34,64.42,0.29,18.6,0.67
2025-02-01,07:30,Inverted-V,62,TCT,Spring,260.5,27.0,35.5,79.99,0.42,64.0,0.35,22.3,0.67
2025-02-01,07:45,Inverted-V,62,TCT,Spring,304.7,27.6,37.2,79.47,0.49,63.57,0.41,25.9,0.67
2025-02-01,08:00,Inverted-V,62,TCT,Spring,348.9,28.1,38.9,78.94,0.56,63.15,0.47,29.5,0.67
2025-02-01,08:15,Inverted-V,62,TCT,Spring,408.2,28.6,40.8,78.33,0.65,62.67,0.55,34.4,0.67
2025-02-01,08:30,Inverted-V,62,TCT,Spring,467.5,29.0,42.7,77.72,0.75,62.18,0.63,39.1,0.67
2025-02-01,08:45,Inverted-V,62,TCT,Spring,526.8,29.5,44.6,77.11,0.85,61.69,0.71,43.8,0.67
