Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,93,TCT,18.4,25.6,21.0,84.59,0.03,67.67,0.02,1.6,0.67
2025-04-01,05:30,Inverted-V,93,TCT,36.8,25.8,21.7,84.37,0.06,67.49,0.05,3.3,0.67
2025-04-01,05:45,Inverted-V,93,TCT,55.3,26.0,22.4,84.15,0.09,67.32,0.07,4.9,0.67
2025-04-01,06:00,Inverted-V,93,TCT,73.7,26.3,23.1,83.93,0.12,67.14,0.1,6.5,0.67
2025-04-01,06:15,Inverted-V,93,TCT,118.4,26.8,24.8,83.39,0.19,66.71,0.16,10.4,0.67
2025-04-01,06:30,Inverted-V,93,TCT,163.1,27.4,26.5,82.86,0.26,66.29,0.22,14.3,0.67
2025-04-01,06:45,Inverted-V,93,TCT,207.7,28.0,28.2,82.32,0.33,65.86,0.28,18.2,0.67
2025-04-01,07:00,Inverted-V,93,TCT,252.4,28.6,29.9,81.79,0.4,65.43,0.34,22.0,0.67
2025-04-01,07:15,Inverted-V,93,TCT,306.7,29.1,31.7,81.19,0.49,64.95,0.41,26.5,0.67
2025-04-01,07:30,Inverted-V,93,TCT,361.0,29.6,33.6,80.59,0.58,64.47,0.48,31.1,0.67
2025-04-01,07:45,Inverted-V,93,TCT,415.3,30.1,35.5,80.0,0.66,64.0,0.56,35.5,0.67
2025-04-01,08:00,Inverted-V,93,TCT,469.6,30.7,37.4,79.4,0.75,63.52,0.63,39.9,0.67
2025-04-01,08:15,Inverted-V,93,TCT,519.9,31.1,39.1,78.86,0.83,63.09,0.7,44.0,0.67
2025-04-01,08:30,Inverted-V,93,TCT,570.2,31.6,40.8,78.32,0.91,62.65,0.77,48.0,0.67
2025-04-01,08:45,Inverted-V,93,TCT,620.5,32.0,42.5,77.78,1.0,62.22,0.84,52.0,0.67
2025-04-01,09:00,Inverted-V,93,TCT,670.8,32.5,44.2,77.24,1.08,61.79,0.9,55.9,0.67
2025-04-01,09:15,Inverted-V,93,TCT,687.5,32.9,45.1,76.98,1.11,61.58,0.93,57.1,0.67
2025-04-01,09:30,Inverted-V,93,TCT,704.3,33.3,45.9,76.72,1.14,61.38,0.95,58.4,0.67
2025-04-01,09:45,Inverted-V,93,TCT,721.0,33.7,46.7,76.46,1.16,61.17,0.97,59.6,0.67
2025-04-01,10:00,Inverted-V,93,TCT,737.7,34.1,47.5,76.2,1.19,60.96,1.0,60.8,0.67
2025-04-01,10:15,Inverted-V,93,TCT,769.1,34.4,48.6,75.85,1.24,60.68,1.04,63.2,0.67
2025-04-01,10:30,Inverted-V,93,TCT,800.5,34.7,49.7,75.5,1.3,60.4,1.09,65.5,0.67
2025-04-01,10:45,Inverted-V,93,TCT,831.9,35.0,50.8,75.15,1.35,60.12,1.13,67.9,0.67
2025-04-01,11:00,Inverted-V,93,TCT,863.3,35.4,52.0,74.79,1.4,59.83,1.17,70.2,0.67
2025-04-01,11:15,Inverted-V,93,TCT,847.6,35.6,51.8,74.85,1.37,59.88,1.15,68.9,0.67
2025-04-01,11:30,Inverted-V,93,TCT,831.9,35.8,51.6,74.91,1.35,59.93,1.13,67.7,0.67
2025-04-01,11:45,Inverted-V,93,TCT,816.1,36.0,51.4,74.97,1.32,59.98,1.11,66.5,0.67
2025-04-01,12:00,Inverted-V,93,TCT,800.4,36.2,51.2,75.03,1.3,60.03,1.09,65.2,0.67
2025-04-01,12:15,Inverted-V,93,TCT,793.1,36.2,51.1,75.07,1.29,60.06,1.08,64.6,0.67
2025-04-01,12:30,Inverted-V,93,TCT,785.9,36.3,51.0,75.11,1.27,60.09,1.07,64.1,0.67
2025-04-01,12:45,Inverted-V,93,TCT,778.6,36.4,50.8,75.15,1.26,60.12,1.06,63.5,0.67
2025-04-01,13:00,Inverted-V,93,TCT,771.4,36.4,50.7,75.19,1.25,60.15,1.05,62.9,0.67
2025-04-01,13:15,Inverted-V,93,TCT,720.0,36.4,49.4,75.61,1.16,60.49,0.98,59.0,0.67
2025-04-01,13:30,Inverted-V,93,TCT,668.7,36.3,48.0,76.04,1.08,60.83,0.9,55.0,0.67
2025-04-01,13:45,Inverted-V,93,TCT,617.3,36.2,46.7,76.47,1.0,61.18,0.83,51.0,0.67
2025-04-01,14:00,Inverted-V,93,TCT,566.0,36.1,45.3,76.9,0.91,61.52,0.76,47.0,0.67
