Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Inverted-V,62,TCT,24.1,25.1,27.7,82.48,0.04,65.98,0.03,2.1,0.67
2024-11-01,05:30,Inverted-V,62,TCT,48.3,25.2,28.4,82.25,0.08,65.8,0.06,4.2,0.67
2024-11-01,05:45,Inverted-V,62,TCT,72.4,25.3,29.2,82.01,0.11,65.61,0.1,6.3,0.67
2024-11-01,06:00,Inverted-V,62,TCT,96.6,25.5,29.9,81.78,0.15,65.42,0.13,8.4,0.67
2024-11-01,06:15,Inverted-V,62,TCT,145.8,25.7,31.4,81.31,0.23,65.05,0.19,12.6,0.67
2024-11-01,06:30,Inverted-V,62,TCT,195.0,26.0,32.8,80.85,0.31,64.68,0.26,16.8,0.67
2024-11-01,06:45,Inverted-V,62,TCT,244.3,26.2,34.3,80.38,0.39,64.31,0.33,21.0,0.67
2024-11-01,07:00,Inverted-V,62,TCT,293.5,26.4,35.8,79.92,0.47,63.93,0.39,25.1,0.67
2024-11-01,07:15,Inverted-V,62,TCT,350.6,26.8,37.5,79.36,0.56,63.49,0.47,29.8,0.67
2024-11-01,07:30,Inverted-V,62,TCT,407.8,27.1,39.3,78.81,0.65,63.05,0.55,34.5,0.67
2024-11-01,07:45,Inverted-V,62,TCT,465.0,27.4,41.0,78.26,0.75,62.61,0.62,39.1,0.67
2024-11-01,08:00,Inverted-V,62,TCT,522.1,27.7,42.8,77.7,0.84,62.16,0.7,43.7,0.67
2024-11-01,08:15,Inverted-V,62,TCT,568.7,28.1,44.3,77.22,0.92,61.78,0.77,47.4,0.67
2024-11-01,08:30,Inverted-V,62,TCT,615.2,28.4,45.8,76.75,0.99,61.4,0.83,51.0,0.67
2024-11-01,08:45,Inverted-V,62,TCT,661.8,28.8,47.3,76.27,1.07,61.01,0.89,54.6,0.67
2024-11-01,09:00,Inverted-V,62,TCT,708.4,29.1,48.8,75.79,1.15,60.63,0.96,58.2,0.67
2024-11-01,09:15,Inverted-V,62,TCT,736.3,29.4,49.8,75.47,1.19,60.38,1.0,60.3,0.67
2024-11-01,09:30,Inverted-V,62,TCT,764.3,29.7,50.8,75.15,1.24,60.12,1.04,62.4,0.67
2024-11-01,09:45,Inverted-V,62,TCT,792.3,30.0,51.8,74.83,1.28,59.87,1.08,64.4,0.67
2024-11-01,10:00,Inverted-V,62,TCT,820.3,30.3,52.8,74.52,1.33,59.61,1.12,66.5,0.67
2024-11-01,10:15,Inverted-V,62,TCT,818.8,30.5,53.0,74.46,1.33,59.57,1.11,66.3,0.67
2024-11-01,10:30,Inverted-V,62,TCT,817.2,30.8,53.2,74.4,1.33,59.52,1.11,66.1,0.67
2024-11-01,10:45,Inverted-V,62,TCT,815.7,31.0,53.4,74.34,1.32,59.47,1.11,66.0,0.67
2024-11-01,11:00,Inverted-V,62,TCT,814.1,31.2,53.6,74.28,1.32,59.42,1.11,65.8,0.67
2024-11-01,11:15,Inverted-V,62,TCT,787.3,31.3,53.0,74.46,1.28,59.56,1.07,63.8,0.67
2024-11-01,11:30,Inverted-V,62,TCT,760.4,31.5,52.5,74.63,1.23,59.7,1.03,61.7,0.67
2024-11-01,11:45,Inverted-V,62,TCT,733.6,31.6,51.9,74.8,1.19,59.84,1.0,59.6,0.67
2024-11-01,12:00,Inverted-V,62,TCT,706.8,31.7,51.4,74.98,1.15,59.98,0.96,57.6,0.67
2024-11-01,12:15,Inverted-V,62,TCT,645.6,31.7,49.9,75.45,1.05,60.36,0.88,52.8,0.67
2024-11-01,12:30,Inverted-V,62,TCT,584.5,31.8,48.4,75.93,0.94,60.74,0.79,48.1,0.67
2024-11-01,12:45,Inverted-V,62,TCT,523.4,31.8,46.9,76.4,0.84,61.12,0.71,43.2,0.67
2024-11-01,13:00,Inverted-V,62,TCT,462.3,31.8,45.4,76.87,0.75,61.5,0.62,38.4,0.67
2024-11-01,13:15,Inverted-V,62,TCT,421.0,31.7,44.3,77.23,0.68,61.78,0.57,35.1,0.67
2024-11-01,13:30,Inverted-V,62,TCT,379.6,31.6,43.1,77.58,0.61,62.07,0.51,31.7,0.67
2024-11-01,13:45,Inverted-V,62,TCT,338.3,31.6,42.0,77.94,0.54,62.35,0.46,28.4,0.67
2024-11-01,14:00,Inverted-V,62,TCT,296.9,31.5,40.9,78.3,0.48,62.64,0.4,25.0,0.67
2024-11-01,14:15,Inverted-V,62,TCT,268.0,31.4,40.1,78.56,0.43,62.85,0.36,22.6,0.67
2024-11-01,14:30,Inverted-V,62,TCT,239.2,31.2,39.2,78.83,0.38,63.06,0.32,20.2,0.67
2024-11-01,14:45,Inverted-V,62,TCT,210.3,31.1,38.4,79.09,0.34,63.27,0.28,17.8,0.67
2024-11-01,15:00,Inverted-V,62,TCT,181.5,31.0,37.5,79.36,0.29,63.48,0.24,15.4,0.67
2024-11-01,15:15,Inverted-V,62,TCT,154.4,30.8,36.7,79.63,0.25,63.71,0.21,13.2,0.67
2024-11-01,15:30,Inverted-V,62,TCT,127.4,30.6,35.8,79.91,0.2,63.93,0.17,10.9,0.67
2024-11-01,15:45,Inverted-V,62,TCT,100.4,30.4,34.9,80.19,0.16,64.15,0.13,8.6,0.67
2024-11-01,16:00,Inverted-V,62,TCT,73.4,30.2,34.0,80.47,0.12,64.37,0.1,6.3,0.67
2024-11-01,16:15,Inverted-V,62,TCT,55.9,29.8,33.2,80.72,0.09,64.57,0.07,4.8,0.67
