Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,Flat,93,TSSC,Spring,5.8,22.9,20.1,84.9,0.01,67.92,0.01,0.5,0.67
2025-02-01,05:30,Flat,93,TSSC,Spring,11.7,23.2,20.5,84.76,0.02,67.81,0.02,1.0,0.67
2025-02-01,05:45,Flat,93,TSSC,Spring,17.5,23.5,20.9,84.63,0.03,67.7,0.02,1.5,0.67
2025-02-01,06:00,Flat,93,TSSC,Spring,23.3,23.7,21.3,84.5,0.04,67.6,0.03,2.0,0.67
2025-02-01,06:15,Flat,93,TSSC,Spring,57.3,24.3,22.7,84.05,0.09,67.24,0.07,5.0,0.67
2025-02-01,06:30,Flat,93,TSSC,Spring,91.4,24.8,24.1,83.61,0.14,66.89,0.12,7.9,0.67
2025-02-01,06:45,Flat,93,TSSC,Spring,125.4,25.4,25.5,83.17,0.19,66.54,0.16,10.8,0.67
2025-02-01,07:00,Flat,93,TSSC,Spring,159.4,25.9,26.9,82.73,0.25,66.18,0.21,13.7,0.67
2025-02-01,07:15,Flat,93,TSSC,Spring,200.3,26.5,28.5,82.23,0.31,65.78,0.26,17.2,0.67
2025-02-01,07:30,Flat,93,TSSC,Spring,241.2,27.0,30.0,81.73,0.38,65.38,0.31,20.6,0.67
2025-02-01,07:45,Flat,93,TSSC,Spring,282.1,27.6,31.6,81.23,0.44,64.98,0.37,24.0,0.67
2025-02-01,08:00,Flat,93,TSSC,Spring,323.0,28.1,33.2,80.73,0.5,64.58,0.42,27.3,0.67
2025-02-01,08:15,Flat,93,TSSC,Spring,378.0,28.6,35.0,80.15,0.59,64.12,0.5,31.8,0.67
2025-02-01,08:30,Flat,93,TSSC,Spring,432.9,29.0,36.8,79.58,0.68,63.66,0.57,36.2,0.67
2025-02-01,08:45,Flat,93,TSSC,Spring,487.8,29.5,38.7,79.0,0.77,63.2,0.64,40.6,0.67
2025-02-01,09:00,Flat,93,TSSC,Spring,542.8,29.9,40.5,78.43,0.85,62.74,0.72,44.9,0.67
2025-02-01,09:15,Flat,93,TSSC,Spring,592.8,30.3,42.1,77.92,0.93,62.34,0.78,48.8,0.67
2025-02-01,09:30,Flat,93,TSSC,Spring,642.9,30.6,43.7,77.41,1.01,61.93,0.85,52.6,0.67
2025-02-01,09:45,Flat,93,TSSC,Spring,692.9,31.0,45.3,76.91,1.1,61.53,0.92,56.5,0.67
2025-02-01,10:00,Flat,93,TSSC,Spring,743.0,31.3,46.9,76.4,1.18,61.12,0.99,60.2,0.67
2025-02-01,10:15,Flat,93,TSSC,Spring,774.3,31.6,47.9,76.07,1.23,60.86,1.03,62.6,0.67
2025-02-01,10:30,Flat,93,TSSC,Spring,805.6,31.8,48.9,75.75,1.28,60.6,1.07,64.9,0.67
2025-02-01,10:45,Flat,93,TSSC,Spring,836.9,32.0,50.0,75.42,1.33,60.34,1.11,67.2,0.67
2025-02-01,11:00,Flat,93,TSSC,Spring,868.2,32.3,51.0,75.09,1.38,60.08,1.16,69.5,0.67
2025-02-01,11:15,Flat,93,TSSC,Spring,867.9,32.5,51.2,75.04,1.38,60.03,1.16,69.4,0.67
2025-02-01,11:30,Flat,93,TSSC,Spring,867.5,32.6,51.3,74.99,1.38,59.99,1.16,69.3,0.67
2025-02-01,11:45,Flat,93,TSSC,Spring,867.2,32.8,51.5,74.94,1.38,59.95,1.16,69.3,0.67
2025-02-01,12:00,Flat,93,TSSC,Spring,866.9,33.0,51.7,74.89,1.38,59.91,1.16,69.2,0.67
2025-02-01,12:15,Flat,93,TSSC,Spring,848.1,33.0,51.2,75.02,1.35,60.02,1.13,67.8,0.67
2025-02-01,12:30,Flat,93,TSSC,Spring,829.3,33.1,50.8,75.16,1.32,60.13,1.1,66.4,0.67
2025-02-01,12:45,Flat,93,TSSC,Spring,810.4,33.1,50.4,75.3,1.29,60.24,1.08,65.0,0.67
2025-02-01,13:00,Flat,93,TSSC,Spring,791.6,33.1,49.9,75.43,1.26,60.35,1.05,63.6,0.67
2025-02-01,13:15,Flat,93,TSSC,Spring,756.5,33.1,49.0,75.74,1.2,60.59,1.01,60.9,0.67
2025-02-01,13:30,Flat,93,TSSC,Spring,721.5,33.0,48.0,76.04,1.14,60.83,0.96,58.3,0.67
2025-02-01,13:45,Flat,93,TSSC,Spring,686.4,32.9,47.1,76.35,1.09,61.08,0.91,55.6,0.67
2025-02-01,14:00,Flat,93,TSSC,Spring,651.3,32.8,46.1,76.65,1.03,61.32,0.86,52.9,0.67
2025-02-01,14:15,Flat,93,TSSC,Spring,606.1,32.6,44.8,77.06,0.96,61.65,0.8,49.5,0.67
2025-02-01,14:30,Flat,93,TSSC,Spring,560.9,32.5,43.5,77.48,0.89,61.98,0.74,46.0,0.67
2025-02-01,14:45,Flat,93,TSSC,Spring,515.8,32.3,42.2,77.89,0.81,62.31,0.68,42.4,0.67
2025-02-01,15:00,Flat,93,TSSC,Spring,470.6,32.1,40.9,78.31,0.74,62.65,0.62,38.9,0.67
2025-02-01,15:15,Flat,93,TSSC,Spring,411.6,31.8,39.1,78.88,0.65,63.1,0.54,34.2,0.67
2025-02-01,15:30,Flat,93,TSSC,Spring,352.5,31.4,37.2,79.45,0.55,63.56,0.46,29.4,0.67
2025-02-01,15:45,Flat,93,TSSC,Spring,293.5,31.1,35.4,80.02,0.46,64.02,0.38,24.6,0.67
2025-02-01,16:00,Flat,93,TSSC,Spring,234.5,30.8,33.6,80.59,0.37,64.47,0.31,19.8,0.67
2025-02-01,16:15,Flat,93,TSSC,Spring,186.0,30.2,31.8,81.17,0.29,64.94,0.24,15.8,0.67
2025-02-01,16:30,Flat,93,TSSC,Spring,137.5,29.6,30.0,81.75,0.21,65.4,0.18,11.7,0.67
2025-02-01,16:45,Flat,93,TSSC,Spring,89.0,28.9,28.2,82.33,0.14,65.86,0.12,7.6,0.67
2025-02-01,17:00,Flat,93,TSSC,Spring,40.5,28.3,26.3,82.91,0.06,66.32,0.05,3.5,0.67
2025-02-01,17:15,Flat,93,TSSC,Spring,30.4,27.9,25.7,83.11,0.05,66.49,0.04,2.6,0.67
2025-02-01,17:30,Flat,93,TSSC,Spring,20.3,27.5,25.0,83.32,0.03,66.65,0.03,1.8,0.67
2025-02-01,17:45,Flat,93,TSSC,Spring,10.1,27.1,24.4,83.52,0.02,66.82,0.01,0.9,0.67
2025-02-02,05:15,Flat,93,TSSC,Spring,6.1,22.7,19.8,84.97,0.01,67.97,0.01,0.5,0.67
2025-02-02,05:30,Flat,93,TSSC,Spring,12.2,23.0,20.3,84.82,0.02,67.86,0.02,1.1,0.67
2025-02-02,05:45,Flat,93,TSSC,Spring,18.3,23.3,20.7,84.68,0.03,67.74,0.02,1.6,0.67
2025-02-02,06:00,Flat,93,TSSC,Spring,24.4,23.6,21.2,84.53,0.04,67.63,0.03,2.1,0.67
2025-02-02,06:15,Flat,93,TSSC,Spring,63.5,24.2,22.8,84.04,0.1,67.23,0.08,5.5,0.67
2025-02-02,06:30,Flat,93,TSSC,Spring,102.5,24.8,24.3,83.54,0.16,66.83,0.13,8.9,0.67
2025-02-02,06:45,Flat,93,TSSC,Spring,141.6,25.4,25.9,83.04,0.22,66.43,0.18,12.2,0.67
2025-02-02,07:00,Flat,93,TSSC,Spring,180.7,26.0,27.5,82.54,0.28,66.03,0.24,15.5,0.67
2025-02-02,07:15,Flat,93,TSSC,Spring,226.7,26.5,29.1,82.02,0.35,65.61,0.3,19.4,0.67
2025-02-02,07:30,Flat,93,TSSC,Spring,272.7,27.0,30.8,81.5,0.43,65.2,0.36,23.2,0.67
2025-02-02,07:45,Flat,93,TSSC,Spring,318.7,27.5,32.4,80.98,0.5,64.78,0.42,27.0,0.67
2025-02-02,08:00,Flat,93,TSSC,Spring,364.6,27.9,34.1,80.46,0.57,64.37,0.48,30.7,0.67
2025-02-02,08:15,Flat,93,TSSC,Spring,410.1,28.4,35.7,79.95,0.64,63.96,0.54,34.4,0.67
2025-02-02,08:30,Flat,93,TSSC,Spring,455.6,28.9,37.3,79.44,0.71,63.56,0.6,38.0,0.67
2025-02-02,08:45,Flat,93,TSSC,Spring,501.1,29.3,38.9,78.94,0.79,63.15,0.66,41.6,0.67
2025-02-02,09:00,Flat,93,TSSC,Spring,546.6,29.8,40.5,78.43,0.86,62.74,0.72,45.2,0.67
2025-02-02,09:15,Flat,93,TSSC,Spring,591.5,30.2,42.0,77.95,0.93,62.36,0.78,48.7,0.67
2025-02-02,09:30,Flat,93,TSSC,Spring,636.3,30.6,43.5,77.46,1.0,61.97,0.84,52.1,0.67
2025-02-02,09:45,Flat,93,TSSC,Spring,681.2,31.0,45.0,76.98,1.08,61.58,0.9,55.5,0.67
2025-02-02,10:00,Flat,93,TSSC,Spring,726.1,31.4,46.6,76.5,1.15,61.2,0.96,58.9,0.67
