Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Flat,93,TSSC,17.1,25.6,23.0,83.96,0.03,67.17,0.02,1.5,0.67
2025-04-01,05:30,Flat,93,TSSC,34.1,25.8,23.7,83.75,0.05,67.0,0.04,3.0,0.67
2025-04-01,05:45,Flat,93,TSSC,51.2,26.0,24.3,83.55,0.08,66.84,0.07,4.4,0.67
2025-04-01,06:00,Flat,93,TSSC,68.2,26.3,25.0,83.34,0.11,66.67,0.09,5.9,0.67
2025-04-01,06:15,Flat,93,TSSC,109.6,26.8,26.6,82.83,0.17,66.26,0.14,9.4,0.67
2025-04-01,06:30,Flat,93,TSSC,151.0,27.4,28.2,82.32,0.23,65.86,0.2,12.9,0.67
2025-04-01,06:45,Flat,93,TSSC,192.4,28.0,29.8,81.81,0.3,65.45,0.25,16.4,0.67
2025-04-01,07:00,Flat,93,TSSC,233.7,28.6,31.4,81.3,0.36,65.04,0.31,19.9,0.67
2025-04-01,07:15,Flat,93,TSSC,284.0,29.1,33.2,80.74,0.44,64.59,0.37,24.0,0.67
2025-04-01,07:30,Flat,93,TSSC,334.3,29.6,35.0,80.17,0.52,64.14,0.44,28.1,0.67
2025-04-01,07:45,Flat,93,TSSC,384.6,30.1,36.8,79.61,0.6,63.68,0.51,32.2,0.67
2025-04-01,08:00,Flat,93,TSSC,434.9,30.7,38.5,79.04,0.68,63.23,0.57,36.2,0.67
2025-04-01,08:15,Flat,93,TSSC,481.4,31.1,40.2,78.53,0.76,62.82,0.63,39.9,0.67
2025-04-01,08:30,Flat,93,TSSC,528.0,31.6,41.8,78.02,0.83,62.41,0.7,43.5,0.67
2025-04-01,08:45,Flat,93,TSSC,574.6,32.0,43.4,77.51,0.91,62.01,0.76,47.1,0.67
2025-04-01,09:00,Flat,93,TSSC,621.1,32.5,45.0,77.0,0.98,61.6,0.82,50.7,0.67
2025-04-01,09:15,Flat,93,TSSC,636.6,32.9,45.8,76.75,1.01,61.4,0.84,51.8,0.67
2025-04-01,09:30,Flat,93,TSSC,652.1,33.3,46.6,76.5,1.03,61.2,0.86,52.9,0.67
2025-04-01,09:45,Flat,93,TSSC,667.6,33.7,47.4,76.25,1.06,61.0,0.89,54.0,0.67
2025-04-01,10:00,Flat,93,TSSC,683.1,34.1,48.1,76.0,1.08,60.8,0.91,55.2,0.67
2025-04-01,10:15,Flat,93,TSSC,712.2,34.4,49.2,75.67,1.13,60.53,0.95,57.3,0.67
2025-04-01,10:30,Flat,93,TSSC,741.2,34.7,50.2,75.33,1.18,60.27,0.99,59.4,0.67
2025-04-01,10:45,Flat,93,TSSC,770.3,35.0,51.3,75.0,1.23,60.0,1.03,61.6,0.67
2025-04-01,11:00,Flat,93,TSSC,799.4,35.4,52.4,74.67,1.27,59.73,1.07,63.7,0.67
2025-04-01,11:15,Flat,93,TSSC,784.8,35.6,52.2,74.72,1.25,59.77,1.05,62.5,0.67
2025-04-01,11:30,Flat,93,TSSC,770.2,35.8,52.0,74.77,1.23,59.81,1.03,61.4,0.67
2025-04-01,11:45,Flat,93,TSSC,755.7,36.0,51.9,74.82,1.2,59.85,1.01,60.3,0.67
2025-04-01,12:00,Flat,93,TSSC,741.1,36.2,51.7,74.87,1.18,59.89,0.99,59.2,0.67
2025-04-01,12:15,Flat,93,TSSC,734.4,36.2,51.6,74.9,1.17,59.92,0.98,58.6,0.67
2025-04-01,12:30,Flat,93,TSSC,727.7,36.3,51.5,74.94,1.16,59.95,0.97,58.1,0.67
2025-04-01,12:45,Flat,93,TSSC,720.9,36.4,51.4,74.97,1.15,59.98,0.96,57.6,0.67
2025-04-01,13:00,Flat,93,TSSC,714.2,36.4,51.3,75.0,1.14,60.0,0.95,57.1,0.67
2025-04-01,13:15,Flat,93,TSSC,666.7,36.4,50.0,75.4,1.06,60.32,0.89,53.5,0.67
2025-04-01,13:30,Flat,93,TSSC,619.1,36.3,48.8,75.8,0.98,60.64,0.82,49.9,0.67
2025-04-01,13:45,Flat,93,TSSC,571.6,36.2,47.5,76.2,0.91,60.96,0.76,46.2,0.67
2025-04-01,14:00,Flat,93,TSSC,524.0,36.1,46.3,76.6,0.83,61.28,0.69,42.6,0.67
2025-04-01,14:15,Flat,93,TSSC,499.7,35.9,45.4,76.88,0.79,61.5,0.66,40.7,0.67
2025-04-01,14:30,Flat,93,TSSC,475.3,35.6,44.5,77.16,0.75,61.73,0.63,38.8,0.67
2025-04-01,14:45,Flat,93,TSSC,451.0,35.3,43.6,77.44,0.71,61.95,0.6,36.9,0.67
2025-04-01,15:00,Flat,93,TSSC,426.6,35.0,42.7,77.72,0.67,62.18,0.56,35.0,0.67
2025-04-01,15:15,Flat,93,TSSC,373.7,34.6,40.9,78.28,0.59,62.62,0.49,30.9,0.67
2025-04-01,15:30,Flat,93,TSSC,320.8,34.2,39.2,78.83,0.5,63.07,0.42,26.6,0.67
