Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Inverted-V,77,TSSC,24.1,25.1,23.7,83.75,0.04,67.0,0.03,2.2,0.67
2024-11-01,05:30,Inverted-V,77,TSSC,48.3,25.2,24.4,83.51,0.08,66.81,0.07,4.4,0.67
2024-11-01,05:45,Inverted-V,77,TSSC,72.4,25.3,25.2,83.28,0.12,66.62,0.1,6.6,0.67
2024-11-01,06:00,Inverted-V,77,TSSC,96.6,25.5,25.9,83.04,0.16,66.44,0.13,8.7,0.67
2024-11-01,06:15,Inverted-V,77,TSSC,145.8,25.7,27.4,82.58,0.24,66.06,0.2,13.1,0.67
2024-11-01,06:30,Inverted-V,77,TSSC,195.0,26.0,28.8,82.12,0.32,65.69,0.27,17.5,0.67
2024-11-01,06:45,Inverted-V,77,TSSC,244.3,26.2,30.3,81.65,0.4,65.32,0.33,21.8,0.67
2024-11-01,07:00,Inverted-V,77,TSSC,293.5,26.4,31.8,81.19,0.48,64.95,0.4,26.1,0.67
2024-11-01,07:15,Inverted-V,77,TSSC,350.6,26.8,33.5,80.63,0.57,64.51,0.48,31.0,0.67
2024-11-01,07:30,Inverted-V,77,TSSC,407.8,27.1,35.3,80.08,0.67,64.06,0.56,35.9,0.67
2024-11-01,07:45,Inverted-V,77,TSSC,465.0,27.4,37.0,79.52,0.76,63.62,0.64,40.7,0.67
2024-11-01,08:00,Inverted-V,77,TSSC,522.1,27.7,38.8,78.97,0.86,63.18,0.72,45.5,0.67
2024-11-01,08:15,Inverted-V,77,TSSC,568.7,28.1,40.3,78.49,0.94,62.79,0.79,49.3,0.67
2024-11-01,08:30,Inverted-V,77,TSSC,615.2,28.4,41.8,78.01,1.02,62.41,0.85,53.1,0.67
2024-11-01,08:45,Inverted-V,77,TSSC,661.8,28.8,43.3,77.53,1.09,62.03,0.92,56.8,0.67
2024-11-01,09:00,Inverted-V,77,TSSC,708.4,29.1,44.8,77.06,1.17,61.64,0.98,60.6,0.67
2024-11-01,09:15,Inverted-V,77,TSSC,736.3,29.4,45.8,76.74,1.22,61.39,1.02,62.7,0.67
2024-11-01,09:30,Inverted-V,77,TSSC,764.3,29.7,46.8,76.42,1.27,61.14,1.06,64.9,0.67
2024-11-01,09:45,Inverted-V,77,TSSC,792.3,30.0,47.8,76.1,1.32,60.88,1.1,67.1,0.67
2024-11-01,10:00,Inverted-V,77,TSSC,820.3,30.3,48.8,75.78,1.36,60.63,1.14,69.2,0.67
2024-11-01,10:15,Inverted-V,77,TSSC,818.8,30.5,49.0,75.72,1.36,60.58,1.14,69.1,0.67
