Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,V-Shape,77,TSSC,Autumn,18.6,25.9,25.4,83.21,0.03,66.57,0.02,1.6,0.67
2025-09-01,05:30,V-Shape,77,TSSC,Autumn,37.2,26.2,26.1,82.98,0.06,66.38,0.05,3.2,0.67
2025-09-01,05:45,V-Shape,77,TSSC,Autumn,55.8,26.4,26.8,82.75,0.09,66.2,0.07,4.9,0.67
2025-09-01,06:00,V-Shape,77,TSSC,Autumn,74.4,26.7,27.6,82.52,0.12,66.02,0.1,6.5,0.67
2025-09-01,06:15,V-Shape,77,TSSC,Autumn,109.9,27.2,28.9,82.09,0.17,65.67,0.14,9.5,0.67
2025-09-01,06:30,V-Shape,77,TSSC,Autumn,145.4,27.6,30.3,81.66,0.23,65.33,0.19,12.5,0.67
2025-09-01,06:45,V-Shape,77,TSSC,Autumn,180.9,28.1,31.6,81.23,0.28,64.98,0.24,15.5,0.67
2025-09-01,07:00,V-Shape,77,TSSC,Autumn,216.4,28.6,33.0,80.8,0.34,64.64,0.29,18.5,0.67
2025-09-01,07:15,V-Shape,77,TSSC,Autumn,254.2,29.1,34.4,80.34,0.4,64.27,0.34,21.6,0.67
2025-09-01,07:30,V-Shape,77,TSSC,Autumn,292.0,29.6,35.9,79.88,0.46,63.91,0.39,24.7,0.67
2025-09-01,07:45,V-Shape,77,TSSC,Autumn,329.8,30.1,37.3,79.42,0.52,63.54,0.44,27.8,0.67
2025-09-01,08:00,V-Shape,77,TSSC,Autumn,367.7,30.6,38.8,78.96,0.58,63.17,0.49,30.9,0.67
2025-09-01,08:15,V-Shape,77,TSSC,Autumn,412.4,31.0,40.3,78.47,0.66,62.77,0.55,34.4,0.67
2025-09-01,08:30,V-Shape,77,TSSC,Autumn,457.1,31.5,41.9,77.97,0.73,62.38,0.61,38.0,0.67
2025-09-01,08:45,V-Shape,77,TSSC,Autumn,501.8,31.9,43.5,77.48,0.8,61.98,0.67,41.5,0.67
2025-09-01,09:00,V-Shape,77,TSSC,Autumn,546.5,32.4,45.0,76.99,0.87,61.59,0.73,45.0,0.67
2025-09-01,09:15,V-Shape,77,TSSC,Autumn,572.5,32.7,46.0,76.66,0.91,61.33,0.77,47.0,0.67
2025-09-01,09:30,V-Shape,77,TSSC,Autumn,598.4,33.1,47.1,76.34,0.96,61.07,0.8,48.9,0.67
2025-09-01,09:45,V-Shape,77,TSSC,Autumn,624.3,33.5,48.1,76.02,1.0,60.81,0.84,50.9,0.67
2025-09-01,10:00,V-Shape,77,TSSC,Autumn,650.3,33.9,49.1,75.69,1.04,60.55,0.87,52.8,0.67
2025-09-01,10:15,V-Shape,77,TSSC,Autumn,655.8,34.1,49.5,75.56,1.05,60.45,0.88,53.2,0.67
2025-09-01,10:30,V-Shape,77,TSSC,Autumn,661.4,34.4,50.0,75.42,1.06,60.34,0.89,53.6,0.67
2025-09-01,10:45,V-Shape,77,TSSC,Autumn,666.9,34.7,50.4,75.29,1.07,60.23,0.9,54.0,0.67
2025-09-01,11:00,V-Shape,77,TSSC,Autumn,672.4,35.0,50.8,75.15,1.08,60.12,0.9,54.3,0.67
2025-09-01,11:15,V-Shape,77,TSSC,Autumn,656.7,35.1,50.6,75.23,1.05,60.19,0.88,53.1,0.67
2025-09-01,11:30,V-Shape,77,TSSC,Autumn,640.9,35.3,50.3,75.31,1.03,60.25,0.86,51.9,0.67
2025-09-01,11:45,V-Shape,77,TSSC,Autumn,625.1,35.4,50.1,75.4,1.0,60.32,0.84,50.6,0.67
2025-09-01,12:00,V-Shape,77,TSSC,Autumn,609.4,35.6,49.8,75.48,0.98,60.38,0.82,49.4,0.67
2025-09-01,12:15,V-Shape,77,TSSC,Autumn,609.4,35.6,49.8,75.46,0.98,60.37,0.82,49.4,0.67
2025-09-01,12:30,V-Shape,77,TSSC,Autumn,609.4,35.7,49.9,75.44,0.98,60.36,0.82,49.4,0.67
2025-09-01,12:45,V-Shape,77,TSSC,Autumn,609.5,35.7,49.9,75.43,0.98,60.34,0.82,49.4,0.67
2025-09-01,13:00,V-Shape,77,TSSC,Autumn,609.5,35.8,50.0,75.41,0.98,60.33,0.82,49.4,0.67
2025-09-01,13:15,V-Shape,77,TSSC,Autumn,584.3,35.7,49.3,75.63,0.94,60.5,0.78,47.5,0.67
2025-09-01,13:30,V-Shape,77,TSSC,Autumn,559.2,35.6,48.6,75.85,0.9,60.68,0.75,45.5,0.67
2025-09-01,13:45,V-Shape,77,TSSC,Autumn,534.0,35.6,47.9,76.06,0.85,60.85,0.72,43.6,0.67
2025-09-01,14:00,V-Shape,77,TSSC,Autumn,508.9,35.5,47.3,76.28,0.81,61.02,0.68,41.6,0.67
2025-09-01,14:15,V-Shape,77,TSSC,Autumn,468.3,35.4,46.1,76.65,0.75,61.32,0.63,38.4,0.67
