Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,V-Shape,93,TSSC,Spring,6.1,22.9,19.1,85.21,0.01,68.17,0.01,0.5,0.67
2025-02-01,05:30,V-Shape,93,TSSC,Spring,12.2,23.2,19.5,85.07,0.02,68.06,0.02,1.1,0.67
2025-02-01,05:45,V-Shape,93,TSSC,Spring,18.3,23.5,19.9,84.94,0.03,67.95,0.02,1.6,0.67
2025-02-01,06:00,V-Shape,93,TSSC,Spring,24.5,23.7,20.3,84.8,0.04,67.84,0.03,2.2,0.67
2025-02-01,06:15,V-Shape,93,TSSC,Spring,60.2,24.3,21.8,84.35,0.09,67.48,0.08,5.3,0.67
2025-02-01,06:30,V-Shape,93,TSSC,Spring,95.9,24.8,23.2,83.89,0.15,67.11,0.13,8.4,0.67
2025-02-01,06:45,V-Shape,93,TSSC,Spring,131.7,25.4,24.6,83.44,0.21,66.75,0.17,11.5,0.67
2025-02-01,07:00,V-Shape,93,TSSC,Spring,167.4,25.9,26.1,82.98,0.26,66.39,0.22,14.6,0.67
2025-02-01,07:15,V-Shape,93,TSSC,Spring,210.3,26.5,27.7,82.47,0.33,65.97,0.28,18.2,0.67
2025-02-01,07:30,V-Shape,93,TSSC,Spring,253.3,27.0,29.3,81.95,0.4,65.56,0.33,21.9,0.67
2025-02-01,07:45,V-Shape,93,TSSC,Spring,296.2,27.6,31.0,81.44,0.47,65.15,0.39,25.4,0.67
2025-02-01,08:00,V-Shape,93,TSSC,Spring,339.2,28.1,32.6,80.92,0.53,64.73,0.45,29.0,0.67
2025-02-01,08:15,V-Shape,93,TSSC,Spring,396.9,28.6,34.5,80.32,0.63,64.26,0.52,33.7,0.67
2025-02-01,08:30,V-Shape,93,TSSC,Spring,454.5,29.0,36.4,79.72,0.72,63.78,0.6,38.4,0.67
2025-02-01,08:45,V-Shape,93,TSSC,Spring,512.2,29.5,38.3,79.13,0.81,63.3,0.68,43.0,0.67
2025-02-01,09:00,V-Shape,93,TSSC,Spring,569.9,29.9,40.2,78.53,0.91,62.82,0.76,47.6,0.67
2025-02-01,09:15,V-Shape,93,TSSC,Spring,622.5,30.3,41.8,78.0,0.99,62.4,0.83,51.8,0.67
2025-02-01,09:30,V-Shape,93,TSSC,Spring,675.0,30.6,43.5,77.48,1.08,61.98,0.9,55.8,0.67
2025-02-01,09:45,V-Shape,93,TSSC,Spring,727.6,31.0,45.1,76.95,1.16,61.56,0.97,59.9,0.67
2025-02-01,10:00,V-Shape,93,TSSC,Spring,780.1,31.3,46.8,76.42,1.25,61.14,1.04,63.9,0.67
2025-02-01,10:15,V-Shape,93,TSSC,Spring,813.0,31.6,47.9,76.08,1.3,60.87,1.09,66.3,0.67
2025-02-01,10:30,V-Shape,93,TSSC,Spring,845.9,31.8,48.9,75.75,1.36,60.6,1.13,68.8,0.67
2025-02-01,10:45,V-Shape,93,TSSC,Spring,878.7,32.0,50.0,75.41,1.41,60.32,1.18,71.2,0.67
2025-02-01,11:00,V-Shape,93,TSSC,Spring,911.6,32.3,51.1,75.07,1.46,60.05,1.23,73.6,0.67
2025-02-01,11:15,V-Shape,93,TSSC,Spring,911.3,32.5,51.3,75.02,1.46,60.01,1.23,73.5,0.67
2025-02-01,11:30,V-Shape,93,TSSC,Spring,910.9,32.6,51.4,74.96,1.46,59.97,1.23,73.5,0.67
2025-02-01,11:45,V-Shape,93,TSSC,Spring,910.6,32.8,51.6,74.91,1.46,59.93,1.22,73.4,0.67
2025-02-01,12:00,V-Shape,93,TSSC,Spring,910.3,33.0,51.7,74.86,1.46,59.89,1.22,73.3,0.67
2025-02-01,12:15,V-Shape,93,TSSC,Spring,890.5,33.0,51.3,75.01,1.43,60.0,1.2,71.9,0.67
2025-02-01,12:30,V-Shape,93,TSSC,Spring,870.7,33.1,50.8,75.15,1.4,60.12,1.17,70.4,0.67
2025-02-01,12:45,V-Shape,93,TSSC,Spring,851.0,33.1,50.4,75.29,1.37,60.23,1.14,68.9,0.67
2025-02-01,13:00,V-Shape,93,TSSC,Spring,831.2,33.1,49.9,75.44,1.33,60.35,1.12,67.4,0.67
2025-02-01,13:15,V-Shape,93,TSSC,Spring,794.4,33.1,48.9,75.75,1.27,60.6,1.07,64.6,0.67
2025-02-01,13:30,V-Shape,93,TSSC,Spring,757.5,33.0,47.9,76.07,1.21,60.86,1.02,61.8,0.67
2025-02-01,13:45,V-Shape,93,TSSC,Spring,720.7,32.9,46.9,76.39,1.15,61.11,0.97,59.0,0.67
2025-02-01,14:00,V-Shape,93,TSSC,Spring,683.9,32.8,45.9,76.71,1.09,61.37,0.91,56.1,0.67
2025-02-01,14:15,V-Shape,93,TSSC,Spring,636.4,32.6,44.5,77.14,1.02,61.71,0.85,52.5,0.67
2025-02-01,14:30,V-Shape,93,TSSC,Spring,589.0,32.5,43.2,77.57,0.94,62.06,0.79,48.8,0.67
2025-02-01,14:45,V-Shape,93,TSSC,Spring,541.5,32.3,41.8,78.01,0.86,62.4,0.72,45.0,0.67
2025-02-01,15:00,V-Shape,93,TSSC,Spring,494.1,32.1,40.4,78.44,0.79,62.75,0.66,41.3,0.67
2025-02-01,15:15,V-Shape,93,TSSC,Spring,432.1,31.8,38.6,79.03,0.69,63.23,0.57,36.3,0.67
2025-02-01,15:30,V-Shape,93,TSSC,Spring,370.2,31.4,36.7,79.63,0.59,63.7,0.49,31.3,0.67
2025-02-01,15:45,V-Shape,93,TSSC,Spring,308.2,31.1,34.8,80.22,0.49,64.18,0.41,26.2,0.67
2025-02-01,16:00,V-Shape,93,TSSC,Spring,246.2,30.8,32.9,80.82,0.39,64.65,0.33,21.0,0.67
2025-02-01,16:15,V-Shape,93,TSSC,Spring,195.3,30.2,31.0,81.41,0.31,65.13,0.26,16.8,0.67
2025-02-01,16:30,V-Shape,93,TSSC,Spring,144.4,29.6,29.2,82.01,0.23,65.61,0.19,12.5,0.67
2025-02-01,16:45,V-Shape,93,TSSC,Spring,93.5,28.9,27.3,82.61,0.15,66.09,0.12,8.1,0.67
2025-02-01,17:00,V-Shape,93,TSSC,Spring,42.6,28.3,25.4,83.21,0.07,66.57,0.06,3.7,0.67
2025-02-01,17:15,V-Shape,93,TSSC,Spring,31.9,27.9,24.7,83.42,0.05,66.73,0.04,2.8,0.67
2025-02-01,17:30,V-Shape,93,TSSC,Spring,21.3,27.5,24.1,83.63,0.03,66.9,0.03,1.9,0.67
2025-02-01,17:45,V-Shape,93,TSSC,Spring,10.6,27.1,23.4,83.83,0.02,67.07,0.01,0.9,0.67
2025-02-02,05:15,V-Shape,93,TSSC,Spring,6.4,22.7,18.8,85.28,0.01,68.22,0.01,0.6,0.67
