Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,93,TSSC,17.9,25.6,22.0,84.27,0.03,67.42,0.02,1.6,0.67
2025-04-01,05:30,V-Shape,93,TSSC,35.8,25.8,22.7,84.06,0.06,67.25,0.05,3.2,0.67
2025-04-01,05:45,V-Shape,93,TSSC,53.7,26.0,23.4,83.84,0.09,67.07,0.07,4.8,0.67
2025-04-01,06:00,V-Shape,93,TSSC,71.6,26.3,24.1,83.63,0.11,66.9,0.1,6.4,0.67
2025-04-01,06:15,V-Shape,93,TSSC,115.1,26.8,25.7,83.1,0.18,66.48,0.15,10.2,0.67
2025-04-01,06:30,V-Shape,93,TSSC,158.5,27.4,27.4,82.58,0.25,66.06,0.21,14.0,0.67
2025-04-01,06:45,V-Shape,93,TSSC,202.0,28.0,29.0,82.05,0.32,65.64,0.27,17.8,0.67
2025-04-01,07:00,V-Shape,93,TSSC,245.4,28.6,30.7,81.53,0.39,65.22,0.33,21.5,0.67
2025-04-01,07:15,V-Shape,93,TSSC,298.2,29.1,32.5,80.94,0.48,64.75,0.4,26.0,0.67
2025-04-01,07:30,V-Shape,93,TSSC,351.0,29.6,34.4,80.36,0.56,64.28,0.47,30.4,0.67
2025-04-01,07:45,V-Shape,93,TSSC,403.8,30.1,36.2,79.77,0.65,63.82,0.55,34.8,0.67
2025-04-01,08:00,V-Shape,93,TSSC,456.6,30.7,38.1,79.18,0.74,63.35,0.62,39.1,0.67
2025-04-01,08:15,V-Shape,93,TSSC,505.5,31.1,39.8,78.66,0.82,62.92,0.68,43.1,0.67
2025-04-01,08:30,V-Shape,93,TSSC,554.4,31.6,41.4,78.13,0.9,62.5,0.75,47.0,0.67
2025-04-01,08:45,V-Shape,93,TSSC,603.3,32.0,43.1,77.6,0.98,62.08,0.82,50.9,0.67
2025-04-01,09:00,V-Shape,93,TSSC,652.2,32.5,44.8,77.07,1.06,61.65,0.89,54.7,0.67
2025-04-01,09:15,V-Shape,93,TSSC,668.4,32.9,45.6,76.81,1.09,61.45,0.91,56.0,0.67
