Date,Time,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,08:30,250,37.1,37.7,79.31,0.37,63.45,0.31,20.0,0.67
2025-04-01,09:00,250,37.1,37.7,79.31,0.37,63.45,0.31,20.0,0.67
2025-04-01,09:30,357,37.1,38.0,79.22,0.53,63.38,0.45,28.0,0.67
2025-04-01,10:00,481,37.1,38.3,79.13,0.72,63.3,0.6,38.0,0.67
2025-04-01,10:30,608,37.1,38.6,79.03,0.91,63.22,0.76,48.0,0.67
2025-04-01,11:00,756,37.1,39.0,78.91,1.13,63.13,0.95,60.0,0.67
2025-04-01,11:30,902,37.1,39.3,78.79,1.35,63.03,1.13,71.0,0.67
2025-04-01,12:00,950,37.1,39.4,78.76,1.42,63.0,1.19,75.0,0.67
2025-04-01,12:30,1017,37.1,39.6,78.7,1.52,62.96,1.28,80.0,0.67
2025-04-01,13:00,1085,37.1,39.8,78.65,1.63,62.92,1.36,86.0,0.67
2025-04-01,13:30,1059,37.1,39.7,78.67,1.59,62.94,1.33,84.0,0.67
2025-04-01,14:00,1113,37.1,39.8,78.63,1.67,62.9,1.4,88.0,0.67
2025-04-01,14:30,1075,37.1,39.8,78.66,1.61,62.93,1.35,85.0,0.67
2025-04-01,15:00,993,37.1,39.5,78.72,1.49,62.98,1.25,78.0,0.67
2025-04-01,15:30,913,37.1,39.3,78.78,1.37,63.03,1.15,72.0,0.67
2025-04-01,16:00,780,37.1,39.0,78.89,1.17,63.11,0.98,62.0,0.67
2025-04-01,16:30,620,37.1,38.6,79.02,0.93,63.21,0.78,49.0,0.67
2025-04-01,17:00,519,37.1,38.4,79.1,0.78,63.28,0.65,41.0,0.67
2025-04-01,17:30,307,37.1,37.8,79.26,0.46,63.41,0.39,24.0,0.67
2025-04-01,18:00,250,37.1,37.7,79.31,0.37,63.45,0.31,20.0,0.67
2025-04-01,18:30,250,37.1,37.7,79.31,0.37,63.45,0.31,20.0,0.67
2025-04-02,08:30,250,37.4,38.0,79.21,0.37,63.37,0.31,20.0,0.67
2025-04-02,09:00,250,37.4,38.0,79.21,0.37,63.37,0.31,20.0,0.67
2025-04-02,09:30,355,37.4,38.3,79.13,0.53,63.3,0.45,28.0,0.67
2025-04-02,10:00,506,37.4,38.6,79.01,0.76,63.2,0.63,40.0,0.67
2025-04-02,10:30,663,37.4,39.0,78.88,0.99,63.11,0.83,53.0,0.67
2025-04-02,11:00,815,37.4,39.4,78.76,1.22,63.01,1.02,64.0,0.67
2025-04-02,11:30,942,37.4,39.7,78.66,1.41,62.93,1.18,74.0,0.67
2025-04-02,12:00,991,37.4,39.9,78.62,1.48,62.9,1.24,78.0,0.67
2025-04-02,12:30,1037,37.4,40.0,78.59,1.56,62.87,1.3,82.0,0.67
2025-04-02,13:00,1131,37.4,40.2,78.51,1.7,62.81,1.42,89.0,0.67
2025-04-02,13:30,1159,37.4,40.3,78.49,1.74,62.79,1.46,91.0,0.67
2025-04-02,14:00,1131,37.4,40.2,78.51,1.7,62.81,1.42,89.0,0.67
2025-04-02,14:30,1082,37.4,40.1,78.55,1.62,62.84,1.36,85.0,0.67
2025-04-02,15:00,999,37.4,39.9,78.62,1.5,62.89,1.25,79.0,0.67
2025-04-02,15:30,887,37.4,39.6,78.7,1.33,62.96,1.11,70.0,0.67
2025-04-02,16:00,800,37.4,39.4,78.77,1.2,63.02,1.0,63.0,0.67
2025-04-02,16:30,634,37.4,39.0,78.9,0.95,63.12,0.8,50.0,0.67
2025-04-02,17:00,504,37.4,38.6,79.01,0.75,63.21,0.63,40.0,0.67
2025-04-02,17:30,365,37.4,38.3,79.12,0.55,63.29,0.46,29.0,0.67
2025-04-02,18:00,250,37.4,38.0,79.21,0.37,63.37,0.31,20.0,0.67
2025-04-02,18:30,250,37.4,38.0,79.21,0.37,63.37,0.31,20.0,0.67
2025-04-03,08:30,250,32.1,32.7,80.89,0.37,64.71,0.31,20.0,0.67
2025-04-03,09:00,250,32.1,32.7,80.89,0.37,64.71,0.31,20.0,0.67
2025-04-03,09:30,362,32.1,33.0,80.8,0.54,64.64,0.45,29.0,0.67
2025-04-03,10:00,472,32.1,33.3,80.72,0.7,64.57,0.59,38.0,0.67
2025-04-03,10:30,613,32.1,33.6,80.6,0.91,64.48,0.76,49.0,0.67
2025-04-03,11:00,766,32.1,34.0,80.48,1.14,64.39,0.96,62.0,0.67
2025-04-03,11:30,893,32.1,34.3,80.38,1.33,64.31,1.12,72.0,0.67
2025-04-03,12:00,982,32.1,34.5,80.31,1.46,64.25,1.23,79.0,0.67
2025-04-03,12:30,1028,32.1,34.6,80.28,1.53,64.22,1.28,82.0,0.67
2025-04-03,13:00,1056,32.1,34.7,80.25,1.57,64.2,1.32,85.0,0.67
2025-04-03,13:30,1051,32.1,34.7,80.26,1.57,64.21,1.31,84.0,0.67
2025-04-03,14:00,1074,32.1,34.8,80.24,1.6,64.19,1.34,86.0,0.67
2025-04-03,14:30,1009,32.1,34.6,80.29,1.5,64.23,1.26,81.0,0.67
