Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Flat,62,TCT,17.1,25.6,30.0,81.75,0.03,65.4,0.02,1.5,0.67
2025-04-01,05:30,Flat,62,TCT,34.1,25.8,30.7,81.54,0.05,65.23,0.05,3.0,0.67
2025-04-01,05:45,Flat,62,TCT,51.2,26.0,31.3,81.33,0.08,65.06,0.07,4.4,0.67
2025-04-01,06:00,Flat,62,TCT,68.2,26.3,32.0,81.12,0.11,64.9,0.09,5.9,0.67
2025-04-01,06:15,Flat,62,TCT,109.6,26.8,33.6,80.61,0.17,64.49,0.15,9.4,0.67
2025-04-01,06:30,Flat,62,TCT,151.0,27.4,35.2,80.1,0.24,64.08,0.2,12.9,0.67
2025-04-01,06:45,Flat,62,TCT,192.4,28.0,36.8,79.6,0.31,63.68,0.26,16.4,0.67
2025-04-01,07:00,Flat,62,TCT,233.7,28.6,38.4,79.09,0.37,63.27,0.31,19.8,0.67
2025-04-01,07:15,Flat,62,TCT,284.0,29.1,40.2,78.52,0.46,62.82,0.38,24.0,0.67
2025-04-01,07:30,Flat,62,TCT,334.3,29.6,42.0,77.96,0.54,62.36,0.45,28.0,0.67
2025-04-01,07:45,Flat,62,TCT,384.6,30.1,43.8,77.39,0.62,61.91,0.52,32.1,0.67
2025-04-01,08:00,Flat,62,TCT,434.9,30.7,45.5,76.82,0.7,61.46,0.59,36.1,0.67
2025-04-01,08:15,Flat,62,TCT,481.4,31.1,47.2,76.31,0.78,61.05,0.65,39.7,0.67
2025-04-01,08:30,Flat,62,TCT,528.0,31.6,48.8,75.8,0.85,60.64,0.71,43.4,0.67
2025-04-01,08:45,Flat,62,TCT,574.6,32.0,50.4,75.29,0.93,60.23,0.78,46.9,0.67
2025-04-01,09:00,Flat,62,TCT,621.1,32.5,52.0,74.78,1.01,59.82,0.84,50.5,0.67
2025-04-01,09:15,Flat,62,TCT,636.6,32.9,52.8,74.53,1.03,59.62,0.87,51.6,0.67
2025-04-01,09:30,Flat,62,TCT,652.1,33.3,53.6,74.28,1.06,59.43,0.89,52.7,0.67
2025-04-01,09:45,Flat,62,TCT,667.6,33.7,54.4,74.03,1.09,59.23,0.91,53.8,0.67
2025-04-01,10:00,Flat,62,TCT,683.1,34.1,55.1,73.79,1.11,59.03,0.93,54.9,0.67
2025-04-01,10:15,Flat,62,TCT,712.2,34.4,56.2,73.45,1.16,58.76,0.97,57.1,0.67
2025-04-01,10:30,Flat,62,TCT,741.2,34.7,57.2,73.12,1.21,58.49,1.01,59.2,0.67
2025-04-01,10:45,Flat,62,TCT,770.3,35.0,58.3,72.78,1.26,58.23,1.05,61.3,0.67
2025-04-01,11:00,Flat,62,TCT,799.4,35.4,59.4,72.45,1.31,57.96,1.09,63.4,0.67
2025-04-01,11:15,Flat,62,TCT,784.8,35.6,59.2,72.5,1.28,58.0,1.07,62.3,0.67
2025-04-01,11:30,Flat,62,TCT,770.2,35.8,59.0,72.55,1.26,58.04,1.05,61.1,0.67
2025-04-01,11:45,Flat,62,TCT,755.7,36.0,58.9,72.6,1.23,58.08,1.03,60.0,0.67
2025-04-01,12:00,Flat,62,TCT,741.1,36.2,58.7,72.65,1.21,58.12,1.01,58.9,0.67
2025-04-01,12:15,Flat,62,TCT,734.4,36.2,58.6,72.69,1.2,58.15,1.0,58.4,0.67
2025-04-01,12:30,Flat,62,TCT,727.7,36.3,58.5,72.72,1.19,58.18,0.99,57.9,0.67
2025-04-01,12:45,Flat,62,TCT,720.9,36.4,58.4,72.75,1.18,58.2,0.99,57.4,0.67
2025-04-01,13:00,Flat,62,TCT,714.2,36.4,58.3,72.79,1.17,58.23,0.98,56.8,0.67
2025-04-01,13:15,Flat,62,TCT,666.7,36.4,57.0,73.19,1.09,58.55,0.91,53.3,0.67
2025-04-01,13:30,Flat,62,TCT,619.1,36.3,55.8,73.59,1.01,58.87,0.84,49.7,0.67
2025-04-01,13:45,Flat,62,TCT,571.6,36.2,54.5,73.98,0.93,59.19,0.78,46.1,0.67
2025-04-01,14:00,Flat,62,TCT,524.0,36.1,53.3,74.38,0.85,59.51,0.71,42.4,0.67
2025-04-01,14:15,Flat,62,TCT,499.7,35.9,52.4,74.66,0.81,59.73,0.68,40.6,0.67
