Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,62,TCT,18.4,25.6,28.0,82.37,0.03,65.9,0.02,1.6,0.67
2025-04-01,05:30,Inverted-V,62,TCT,36.8,25.8,28.7,82.15,0.06,65.72,0.05,3.2,0.67
2025-04-01,05:45,Inverted-V,62,TCT,55.3,26.0,29.4,81.93,0.09,65.54,0.07,4.8,0.67
2025-04-01,06:00,Inverted-V,62,TCT,73.7,26.3,30.1,81.71,0.12,65.37,0.1,6.4,0.67
2025-04-01,06:15,Inverted-V,62,TCT,118.4,26.8,31.8,81.18,0.19,64.94,0.16,10.2,0.67
2025-04-01,06:30,Inverted-V,62,TCT,163.1,27.4,33.5,80.64,0.26,64.51,0.22,14.0,0.67
2025-04-01,06:45,Inverted-V,62,TCT,207.7,28.0,35.2,80.11,0.33,64.09,0.28,17.8,0.67
2025-04-01,07:00,Inverted-V,62,TCT,252.4,28.6,36.9,79.57,0.4,63.66,0.34,21.5,0.67
2025-04-01,07:15,Inverted-V,62,TCT,306.7,29.1,38.7,78.97,0.49,63.18,0.41,26.0,0.67
2025-04-01,07:30,Inverted-V,62,TCT,361.0,29.6,40.6,78.38,0.58,62.7,0.48,30.4,0.67
2025-04-01,07:45,Inverted-V,62,TCT,415.3,30.1,42.5,77.78,0.67,62.22,0.56,34.8,0.67
2025-04-01,08:00,Inverted-V,62,TCT,469.6,30.7,44.4,77.18,0.76,61.75,0.63,39.1,0.67
2025-04-01,08:15,Inverted-V,62,TCT,519.9,31.1,46.1,76.64,0.84,61.31,0.7,43.1,0.67
2025-04-01,08:30,Inverted-V,62,TCT,570.2,31.6,47.8,76.1,0.92,60.88,0.77,47.0,0.67
2025-04-01,08:45,Inverted-V,62,TCT,620.5,32.0,49.5,75.56,1.0,60.45,0.84,50.8,0.67
2025-04-01,09:00,Inverted-V,62,TCT,670.8,32.5,51.2,75.02,1.09,60.02,0.91,54.6,0.67
2025-04-01,09:15,Inverted-V,62,TCT,687.5,32.9,52.1,74.76,1.12,59.81,0.93,55.9,0.67
2025-04-01,09:30,Inverted-V,62,TCT,704.3,33.3,52.9,74.5,1.14,59.6,0.96,57.1,0.67
2025-04-01,09:45,Inverted-V,62,TCT,721.0,33.7,53.7,74.24,1.17,59.4,0.98,58.3,0.67
2025-04-01,10:00,Inverted-V,62,TCT,737.7,34.1,54.5,73.99,1.2,59.19,1.0,59.5,0.67
2025-04-01,10:15,Inverted-V,62,TCT,769.1,34.4,55.6,73.63,1.25,58.91,1.05,61.8,0.67
2025-04-01,10:30,Inverted-V,62,TCT,800.5,34.7,56.7,73.28,1.3,58.63,1.09,64.0,0.67
2025-04-01,10:45,Inverted-V,62,TCT,831.9,35.0,57.8,72.93,1.36,58.34,1.14,66.3,0.67
2025-04-01,11:00,Inverted-V,62,TCT,863.3,35.4,59.0,72.58,1.41,58.06,1.18,68.6,0.67
2025-04-01,11:15,Inverted-V,62,TCT,847.6,35.6,58.8,72.64,1.38,58.11,1.16,67.3,0.67
2025-04-01,11:30,Inverted-V,62,TCT,831.9,35.8,58.6,72.7,1.36,58.16,1.14,66.1,0.67
2025-04-01,11:45,Inverted-V,62,TCT,816.1,36.0,58.4,72.76,1.33,58.2,1.12,64.9,0.67
2025-04-01,12:00,Inverted-V,62,TCT,800.4,36.2,58.2,72.82,1.31,58.25,1.09,63.7,0.67
2025-04-01,12:15,Inverted-V,62,TCT,793.1,36.2,58.1,72.85,1.29,58.28,1.08,63.2,0.67
2025-04-01,12:30,Inverted-V,62,TCT,785.9,36.3,58.0,72.89,1.28,58.31,1.07,62.6,0.67
2025-04-01,12:45,Inverted-V,62,TCT,778.6,36.4,57.8,72.93,1.27,58.34,1.06,62.1,0.67
2025-04-01,13:00,Inverted-V,62,TCT,771.4,36.4,57.7,72.97,1.26,58.38,1.05,61.5,0.67
2025-04-01,13:15,Inverted-V,62,TCT,720.0,36.4,56.4,73.4,1.17,58.72,0.98,57.7,0.67
2025-04-01,13:30,Inverted-V,62,TCT,668.7,36.3,55.0,73.83,1.09,59.06,0.91,53.8,0.67
2025-04-01,13:45,Inverted-V,62,TCT,617.3,36.2,53.7,74.26,1.0,59.4,0.84,49.9,0.67
2025-04-01,14:00,Inverted-V,62,TCT,566.0,36.1,52.3,74.68,0.92,59.75,0.77,45.9,0.67
2025-04-01,14:15,Inverted-V,62,TCT,539.7,35.9,51.4,74.98,0.87,59.98,0.73,43.9,0.67
2025-04-01,14:30,Inverted-V,62,TCT,513.4,35.6,50.4,75.28,0.83,60.22,0.7,41.9,0.67
2025-04-01,14:45,Inverted-V,62,TCT,487.1,35.3,49.5,75.57,0.79,60.46,0.66,39.9,0.67
2025-04-01,15:00,Inverted-V,62,TCT,460.8,35.0,48.5,75.87,0.74,60.7,0.62,37.9,0.67
2025-04-01,15:15,Inverted-V,62,TCT,403.6,34.6,46.7,76.46,0.65,61.17,0.55,33.4,0.67
2025-04-01,15:30,Inverted-V,62,TCT,346.5,34.2,44.8,77.04,0.56,61.64,0.47,28.8,0.67
2025-04-01,15:45,Inverted-V,62,TCT,289.4,33.8,43.0,77.63,0.47,62.11,0.39,24.2,0.67
2025-04-01,16:00,Inverted-V,62,TCT,232.2,33.3,41.1,78.22,0.37,62.57,0.31,19.5,0.67
2025-04-01,16:15,Inverted-V,62,TCT,185.4,32.8,39.4,78.75,0.3,63.0,0.25,15.7,0.67
2025-04-01,16:30,Inverted-V,62,TCT,138.6,32.3,37.8,79.29,0.22,63.43,0.19,11.8,0.67
2025-04-01,16:45,Inverted-V,62,TCT,91.8,31.8,36.1,79.82,0.15,63.86,0.12,7.8,0.67
2025-04-01,17:00,Inverted-V,62,TCT,45.0,31.2,34.4,80.36,0.07,64.29,0.06,3.9,0.67
2025-04-01,17:15,Inverted-V,62,TCT,33.7,30.8,33.6,80.59,0.05,64.47,0.05,2.9,0.67
2025-04-01,17:30,Inverted-V,62,TCT,22.5,30.4,32.9,80.82,0.04,64.66,0.03,1.9,0.67
2025-04-01,17:45,Inverted-V,62,TCT,11.2,29.9,32.2,81.05,0.02,64.84,0.01,1.0,0.67
2025-04-02,05:15,Inverted-V,62,TCT,22.0,26.1,28.7,82.16,0.03,65.73,0.03,1.9,0.67
2025-04-02,05:30,Inverted-V,62,TCT,44.0,26.4,29.5,81.89,0.07,65.52,0.06,3.8,0.67
2025-04-02,05:45,Inverted-V,62,TCT,66.1,26.7,30.4,81.62,0.1,65.3,0.09,5.7,0.67
2025-04-02,06:00,Inverted-V,62,TCT,88.1,27.0,31.2,81.35,0.14,65.08,0.12,7.6,0.67
2025-04-02,06:15,Inverted-V,62,TCT,142.6,27.5,33.0,80.78,0.23,64.63,0.19,12.3,0.67
2025-04-02,06:30,Inverted-V,62,TCT,197.1,27.9,34.9,80.21,0.31,64.17,0.26,16.9,0.67
2025-04-02,06:45,Inverted-V,62,TCT,251.5,28.4,36.7,79.64,0.4,63.71,0.34,21.4,0.67
2025-04-02,07:00,Inverted-V,62,TCT,306.0,28.8,38.5,79.06,0.49,63.25,0.41,25.9,0.67
2025-04-02,07:15,Inverted-V,62,TCT,350.0,29.3,40.1,78.55,0.56,62.84,0.47,29.5,0.67
2025-04-02,07:30,Inverted-V,62,TCT,394.1,29.9,41.7,78.03,0.63,62.43,0.53,33.1,0.67
2025-04-02,07:45,Inverted-V,62,TCT,438.1,30.4,43.4,77.52,0.7,62.01,0.59,36.6,0.67
2025-04-02,08:00,Inverted-V,62,TCT,482.1,30.9,45.0,77.0,0.78,61.6,0.65,40.1,0.67
2025-04-02,08:15,Inverted-V,62,TCT,527.9,31.3,46.5,76.52,0.85,61.22,0.71,43.7,0.67
2025-04-02,08:30,Inverted-V,62,TCT,573.7,31.7,48.0,76.04,0.93,60.84,0.78,47.2,0.67
2025-04-02,08:45,Inverted-V,62,TCT,619.4,32.0,49.5,75.57,1.0,60.45,0.84,50.7,0.67
2025-04-02,09:00,Inverted-V,62,TCT,665.2,32.4,51.0,75.09,1.08,60.07,0.9,54.2,0.67
2025-04-02,09:15,Inverted-V,62,TCT,712.2,32.6,52.4,74.64,1.16,59.71,0.97,57.8,0.67
2025-04-02,09:30,Inverted-V,62,TCT,759.1,32.9,53.8,74.2,1.23,59.36,1.03,61.3,0.67
2025-04-02,09:45,Inverted-V,62,TCT,806.0,33.1,55.2,73.75,1.31,59.0,1.1,64.8,0.67
2025-04-02,10:00,Inverted-V,62,TCT,853.0,33.3,56.6,73.31,1.39,58.65,1.16,68.3,0.67
2025-04-02,10:15,Inverted-V,62,TCT,864.8,33.5,57.1,73.17,1.41,58.54,1.18,69.1,0.67
2025-04-02,10:30,Inverted-V,62,TCT,876.5,33.6,57.5,73.03,1.43,58.43,1.2,69.9,0.67
2025-04-02,10:45,Inverted-V,62,TCT,888.3,33.7,58.0,72.89,1.45,58.31,1.21,70.8,0.67
2025-04-02,11:00,Inverted-V,62,TCT,900.1,33.9,58.4,72.75,1.47,58.2,1.23,71.6,0.67
2025-04-02,11:15,Inverted-V,62,TCT,867.8,34.0,57.7,72.99,1.42,58.39,1.19,69.2,0.67
2025-04-02,11:30,Inverted-V,62,TCT,835.5,34.0,56.9,73.22,1.36,58.57,1.14,66.8,0.67
2025-04-02,11:45,Inverted-V,62,TCT,803.2,34.1,56.2,73.45,1.31,58.76,1.1,64.4,0.67
2025-04-02,12:00,Inverted-V,62,TCT,770.9,34.2,55.5,73.68,1.25,58.94,1.05,61.9,0.67
2025-04-02,12:15,Inverted-V,62,TCT,744.8,34.2,54.8,73.88,1.21,59.1,1.01,60.0,0.67
2025-04-02,12:30,Inverted-V,62,TCT,718.7,34.2,54.2,74.08,1.17,59.27,0.98,58.0,0.67
2025-04-02,12:45,Inverted-V,62,TCT,692.6,34.2,53.6,74.28,1.13,59.43,0.94,56.0,0.67
2025-04-02,13:00,Inverted-V,62,TCT,666.5,34.3,52.9,74.49,1.08,59.59,0.91,54.0,0.67
2025-04-02,13:15,Inverted-V,62,TCT,644.0,34.2,52.3,74.7,1.04,59.76,0.88,52.3,0.67
2025-04-02,13:30,Inverted-V,62,TCT,621.6,34.0,51.6,74.91,1.01,59.93,0.84,50.6,0.67
2025-04-02,13:45,Inverted-V,62,TCT,599.2,33.9,50.9,75.12,0.97,60.1,0.81,48.9,0.67
2025-04-02,14:00,Inverted-V,62,TCT,576.7,33.8,50.2,75.33,0.93,60.27,0.78,47.1,0.67
2025-04-02,14:15,Inverted-V,62,TCT,537.7,33.6,49.1,75.71,0.87,60.57,0.73,44.1,0.67
2025-04-02,14:30,Inverted-V,62,TCT,498.7,33.4,47.9,76.08,0.81,60.86,0.67,41.1,0.67
2025-04-02,14:45,Inverted-V,62,TCT,459.7,33.2,46.7,76.45,0.74,61.16,0.62,38.0,0.67
2025-04-02,15:00,Inverted-V,62,TCT,420.6,33.0,45.5,76.83,0.68,61.46,0.57,34.9,0.67
2025-04-02,15:15,Inverted-V,62,TCT,373.1,32.7,44.0,77.3,0.6,61.84,0.5,31.1,0.67
2025-04-02,15:30,Inverted-V,62,TCT,325.6,32.4,42.5,77.78,0.52,62.22,0.44,27.3,0.67
2025-04-02,15:45,Inverted-V,62,TCT,278.0,32.1,41.0,78.25,0.45,62.6,0.37,23.4,0.67
2025-04-02,16:00,Inverted-V,62,TCT,230.5,31.8,39.5,78.73,0.37,62.98,0.31,19.5,0.67
2025-04-02,16:15,Inverted-V,62,TCT,183.6,31.2,37.8,79.28,0.29,63.43,0.25,15.6,0.67
2025-04-02,16:30,Inverted-V,62,TCT,136.7,30.6,36.0,79.84,0.22,63.87,0.18,11.7,0.67
2025-04-02,16:45,Inverted-V,62,TCT,89.8,30.0,34.3,80.39,0.14,64.31,0.12,7.7,0.67
2025-04-02,17:00,Inverted-V,62,TCT,42.9,29.4,32.5,80.95,0.07,64.76,0.06,3.7,0.67
2025-04-02,17:15,Inverted-V,62,TCT,32.2,29.0,31.8,81.17,0.05,64.94,0.04,2.8,0.67
2025-04-02,17:30,Inverted-V,62,TCT,21.5,28.5,31.1,81.4,0.03,65.12,0.03,1.9,0.67
2025-04-02,17:45,Inverted-V,62,TCT,10.7,28.1,30.4,81.63,0.02,65.3,0.01,0.9,0.67
2025-04-03,05:15,Inverted-V,62,TCT,24.6,25.2,27.8,82.45,0.04,65.96,0.03,2.1,0.67
2025-04-03,05:30,Inverted-V,62,TCT,49.1,25.4,28.6,82.18,0.08,65.75,0.07,4.3,0.67
2025-04-03,05:45,Inverted-V,62,TCT,73.7,25.6,29.5,81.91,0.12,65.53,0.1,6.4,0.67
2025-04-03,06:00,Inverted-V,62,TCT,98.3,25.9,30.3,81.64,0.16,65.32,0.13,8.5,0.67
2025-04-03,06:15,Inverted-V,62,TCT,157.3,26.2,32.2,81.06,0.25,64.84,0.21,13.6,0.67
2025-04-03,06:30,Inverted-V,62,TCT,216.4,26.6,34.0,80.47,0.34,64.37,0.29,18.6,0.67
2025-04-03,06:45,Inverted-V,62,TCT,275.4,27.0,35.9,79.88,0.44,63.9,0.37,23.5,0.67
2025-04-03,07:00,Inverted-V,62,TCT,334.4,27.4,37.8,79.29,0.53,63.43,0.45,28.4,0.67
2025-04-03,07:15,Inverted-V,62,TCT,388.8,27.8,39.5,78.74,0.62,62.99,0.52,32.9,0.67
2025-04-03,07:30,Inverted-V,62,TCT,443.2,28.1,41.2,78.19,0.71,62.55,0.6,37.3,0.67
2025-04-03,07:45,Inverted-V,62,TCT,497.5,28.5,43.0,77.64,0.8,62.11,0.67,41.6,0.67
2025-04-03,08:00,Inverted-V,62,TCT,551.9,28.9,44.7,77.09,0.89,61.67,0.74,45.9,0.67
2025-04-03,08:15,Inverted-V,62,TCT,592.8,29.3,46.1,76.65,0.96,61.32,0.8,49.1,0.67
2025-04-03,08:30,Inverted-V,62,TCT,633.8,29.7,47.5,76.2,1.02,60.96,0.86,52.3,0.67
2025-04-03,08:45,Inverted-V,62,TCT,674.7,30.0,48.9,75.76,1.09,60.61,0.91,55.4,0.67
2025-04-03,09:00,Inverted-V,62,TCT,715.7,30.4,50.3,75.31,1.16,60.25,0.97,58.5,0.67
2025-04-03,09:15,Inverted-V,62,TCT,743.3,30.7,51.3,75.0,1.2,60.0,1.01,60.5,0.67
2025-04-03,09:30,Inverted-V,62,TCT,771.0,31.0,52.3,74.69,1.25,59.75,1.05,62.6,0.67
2025-04-03,09:45,Inverted-V,62,TCT,798.6,31.3,53.3,74.38,1.3,59.5,1.09,64.6,0.67
2025-04-03,10:00,Inverted-V,62,TCT,826.3,31.6,54.3,74.06,1.34,59.25,1.12,66.7,0.67
2025-04-03,10:15,Inverted-V,62,TCT,839.8,31.8,54.8,73.89,1.37,59.12,1.14,67.6,0.67
2025-04-03,10:30,Inverted-V,62,TCT,853.3,32.0,55.3,73.72,1.39,58.98,1.16,68.6,0.67
2025-04-03,10:45,Inverted-V,62,TCT,866.9,32.2,55.9,73.56,1.41,58.84,1.18,69.6,0.67
2025-04-03,11:00,Inverted-V,62,TCT,880.4,32.4,56.4,73.39,1.43,58.71,1.2,70.5,0.67
2025-04-03,11:15,Inverted-V,62,TCT,870.3,32.5,56.2,73.44,1.42,58.75,1.19,69.7,0.67
2025-04-03,11:30,Inverted-V,62,TCT,860.3,32.5,56.0,73.5,1.4,58.8,1.17,69.0,0.67
2025-04-03,11:45,Inverted-V,62,TCT,850.2,32.6,55.9,73.56,1.38,58.85,1.16,68.2,0.67
2025-04-03,12:00,Inverted-V,62,TCT,840.2,32.7,55.7,73.62,1.37,58.89,1.15,67.5,0.67
2025-04-03,12:15,Inverted-V,62,TCT,800.8,32.6,54.6,73.94,1.3,59.15,1.09,64.5,0.67
2025-04-03,12:30,Inverted-V,62,TCT,761.4,32.6,53.6,74.27,1.24,59.42,1.04,61.6,0.67
2025-04-03,12:45,Inverted-V,62,TCT,722.1,32.5,52.6,74.6,1.17,59.68,0.98,58.6,0.67
2025-04-03,13:00,Inverted-V,62,TCT,682.7,32.5,51.5,74.92,1.11,59.94,0.93,55.6,0.67
2025-04-03,13:15,Inverted-V,62,TCT,628.7,32.3,50.1,75.39,1.02,60.32,0.85,51.4,0.67
2025-04-03,13:30,Inverted-V,62,TCT,574.7,32.2,48.6,75.86,0.93,60.69,0.78,47.2,0.67
2025-04-03,13:45,Inverted-V,62,TCT,520.7,32.1,47.1,76.33,0.84,61.07,0.7,43.0,0.67
2025-04-03,14:00,Inverted-V,62,TCT,466.7,31.9,45.6,76.8,0.75,61.44,0.63,38.7,0.67
2025-04-03,14:15,Inverted-V,62,TCT,423.0,31.7,44.3,77.21,0.68,61.77,0.57,35.2,0.67
