Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,77,TCT,17.9,25.6,25.0,83.32,0.03,66.66,0.02,1.6,0.67
2025-04-01,05:30,V-Shape,77,TCT,35.8,25.8,25.7,83.11,0.06,66.49,0.05,3.2,0.67
2025-04-01,05:45,V-Shape,77,TCT,53.7,26.0,26.4,82.89,0.08,66.31,0.07,4.7,0.67
2025-04-01,06:00,V-Shape,77,TCT,71.6,26.3,27.1,82.68,0.11,66.14,0.09,6.3,0.67
2025-04-01,06:15,V-Shape,77,TCT,115.1,26.8,28.7,82.15,0.18,65.72,0.15,10.0,0.67
2025-04-01,06:30,V-Shape,77,TCT,158.5,27.4,30.4,81.63,0.25,65.3,0.21,13.8,0.67
2025-04-01,06:45,V-Shape,77,TCT,202.0,28.0,32.0,81.1,0.32,64.88,0.27,17.5,0.67
2025-04-01,07:00,V-Shape,77,TCT,245.4,28.6,33.7,80.58,0.39,64.46,0.33,21.1,0.67
2025-04-01,07:15,V-Shape,77,TCT,298.2,29.1,35.5,79.99,0.48,63.99,0.4,25.5,0.67
2025-04-01,07:30,V-Shape,77,TCT,351.0,29.6,37.4,79.41,0.56,63.53,0.47,29.9,0.67
2025-04-01,07:45,V-Shape,77,TCT,403.8,30.1,39.2,78.82,0.65,63.06,0.54,34.2,0.67
2025-04-01,08:00,V-Shape,77,TCT,456.6,30.7,41.1,78.23,0.73,62.59,0.61,38.4,0.67
2025-04-01,08:15,V-Shape,77,TCT,505.5,31.1,42.8,77.71,0.81,62.16,0.68,42.3,0.67
2025-04-01,08:30,V-Shape,77,TCT,554.4,31.6,44.4,77.18,0.89,61.74,0.75,46.2,0.67
2025-04-01,08:45,V-Shape,77,TCT,603.3,32.0,46.1,76.65,0.97,61.32,0.81,50.0,0.67
2025-04-01,09:00,V-Shape,77,TCT,652.2,32.5,47.8,76.12,1.05,60.89,0.88,53.7,0.67
2025-04-01,09:15,V-Shape,77,TCT,668.4,32.9,48.6,75.86,1.08,60.69,0.9,54.9,0.67
2025-04-01,09:30,V-Shape,77,TCT,684.7,33.3,49.4,75.61,1.11,60.49,0.93,56.1,0.67
2025-04-01,09:45,V-Shape,77,TCT,701.0,33.7,50.2,75.35,1.13,60.28,0.95,57.3,0.67
2025-04-01,10:00,V-Shape,77,TCT,717.3,34.1,51.0,75.1,1.16,60.08,0.97,58.5,0.67
2025-04-01,10:15,V-Shape,77,TCT,747.8,34.4,52.1,74.75,1.21,59.8,1.02,60.8,0.67
2025-04-01,10:30,V-Shape,77,TCT,778.3,34.7,53.2,74.41,1.26,59.53,1.06,63.0,0.67
2025-04-01,10:45,V-Shape,77,TCT,808.8,35.0,54.3,74.06,1.31,59.25,1.1,65.2,0.67
2025-04-01,11:00,V-Shape,77,TCT,839.3,35.4,55.4,73.72,1.37,58.97,1.14,67.5,0.67
2025-04-01,11:15,V-Shape,77,TCT,824.1,35.6,55.2,73.77,1.34,59.02,1.12,66.3,0.67
2025-04-01,11:30,V-Shape,77,TCT,808.8,35.8,55.0,73.83,1.32,59.06,1.1,65.1,0.67
2025-04-01,11:45,V-Shape,77,TCT,793.5,36.0,54.8,73.89,1.29,59.11,1.08,63.9,0.67
2025-04-01,12:00,V-Shape,77,TCT,778.2,36.2,54.6,73.94,1.27,59.15,1.06,62.7,0.67
2025-04-01,12:15,V-Shape,77,TCT,771.1,36.2,54.5,73.98,1.25,59.18,1.05,62.1,0.67
2025-04-01,12:30,V-Shape,77,TCT,764.0,36.3,54.4,74.02,1.24,59.21,1.04,61.6,0.67
2025-04-01,12:45,V-Shape,77,TCT,757.0,36.4,54.3,74.05,1.23,59.24,1.03,61.1,0.67
2025-04-01,13:00,V-Shape,77,TCT,749.9,36.4,54.2,74.09,1.22,59.27,1.02,60.5,0.67
2025-04-01,13:15,V-Shape,77,TCT,700.0,36.4,52.9,74.51,1.14,59.6,0.95,56.7,0.67
2025-04-01,13:30,V-Shape,77,TCT,650.1,36.3,51.5,74.92,1.05,59.94,0.88,52.9,0.67
2025-04-01,13:45,V-Shape,77,TCT,600.2,36.2,50.2,75.34,0.97,60.27,0.81,49.1,0.67
2025-04-01,14:00,V-Shape,77,TCT,550.3,36.1,48.9,75.76,0.89,60.61,0.75,45.2,0.67
2025-04-01,14:15,V-Shape,77,TCT,524.7,35.9,48.0,76.05,0.85,60.84,0.71,43.2,0.67
2025-04-01,14:30,V-Shape,77,TCT,499.1,35.6,47.1,76.34,0.81,61.07,0.67,41.2,0.67
2025-04-01,14:45,V-Shape,77,TCT,473.6,35.3,46.1,76.63,0.76,61.31,0.64,39.2,0.67
2025-04-01,15:00,V-Shape,77,TCT,448.0,35.0,45.2,76.92,0.72,61.54,0.6,37.2,0.67
2025-04-01,15:15,V-Shape,77,TCT,392.4,34.6,43.4,77.5,0.63,62.0,0.53,32.8,0.67
2025-04-01,15:30,V-Shape,77,TCT,336.9,34.2,41.6,78.07,0.54,62.46,0.45,28.3,0.67
2025-04-01,15:45,V-Shape,77,TCT,281.3,33.8,39.8,78.65,0.45,62.92,0.38,23.8,0.67
2025-04-01,16:00,V-Shape,77,TCT,225.8,33.3,38.0,79.22,0.36,63.38,0.3,19.2,0.67
2025-04-01,16:15,V-Shape,77,TCT,180.3,32.8,36.3,79.74,0.29,63.8,0.24,15.4,0.67
2025-04-01,16:30,V-Shape,77,TCT,134.8,32.3,34.7,80.27,0.21,64.22,0.18,11.6,0.67
2025-04-01,16:45,V-Shape,77,TCT,89.2,31.8,33.0,80.79,0.14,64.64,0.12,7.7,0.67
2025-04-01,17:00,V-Shape,77,TCT,43.7,31.2,31.3,81.32,0.07,65.06,0.06,3.8,0.67
2025-04-01,17:15,V-Shape,77,TCT,32.8,30.8,30.6,81.55,0.05,65.24,0.04,2.8,0.67
2025-04-01,17:30,V-Shape,77,TCT,21.9,30.4,29.9,81.77,0.03,65.42,0.03,1.9,0.67
2025-04-01,17:45,V-Shape,77,TCT,10.9,29.9,29.2,82.0,0.02,65.6,0.01,1.0,0.67
2025-04-02,05:15,V-Shape,77,TCT,21.4,26.1,25.7,83.12,0.03,66.5,0.03,1.9,0.67
2025-04-02,05:30,V-Shape,77,TCT,42.8,26.4,26.5,82.85,0.07,66.28,0.06,3.8,0.67
