Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,Flat,77,TSSC,Autumn,17.7,25.9,26.3,82.9,0.03,66.32,0.02,1.5,0.67
2025-09-01,05:30,Flat,77,TSSC,Autumn,35.5,26.2,27.1,82.68,0.06,66.14,0.05,3.0,0.67
2025-09-01,05:45,Flat,77,TSSC,Autumn,53.2,26.4,27.8,82.46,0.08,65.96,0.07,4.6,0.67
2025-09-01,06:00,Flat,77,TSSC,Autumn,70.9,26.7,28.5,82.23,0.11,65.79,0.09,6.1,0.67
2025-09-01,06:15,Flat,77,TSSC,Autumn,104.7,27.2,29.8,81.82,0.16,65.45,0.14,8.9,0.67
2025-09-01,06:30,Flat,77,TSSC,Autumn,138.5,27.6,31.1,81.4,0.22,65.12,0.18,11.8,0.67
2025-09-01,06:45,Flat,77,TSSC,Autumn,172.3,28.1,32.4,80.98,0.27,64.79,0.23,14.6,0.67
2025-09-01,07:00,Flat,77,TSSC,Autumn,206.1,28.6,33.7,80.57,0.32,64.45,0.27,17.4,0.67
2025-09-01,07:15,Flat,77,TSSC,Autumn,242.1,29.1,35.1,80.12,0.38,64.1,0.32,20.3,0.67
2025-09-01,07:30,Flat,77,TSSC,Autumn,278.1,29.6,36.5,79.67,0.44,63.74,0.37,23.3,0.67
2025-09-01,07:45,Flat,77,TSSC,Autumn,314.1,30.1,37.9,79.23,0.49,63.38,0.41,26.2,0.67
2025-09-01,08:00,Flat,77,TSSC,Autumn,350.1,30.6,39.4,78.78,0.55,63.03,0.46,29.1,0.67
2025-09-01,08:15,Flat,77,TSSC,Autumn,392.7,31.0,40.9,78.31,0.62,62.65,0.52,32.4,0.67
2025-09-01,08:30,Flat,77,TSSC,Autumn,435.3,31.5,42.4,77.83,0.69,62.26,0.57,35.8,0.67
2025-09-01,08:45,Flat,77,TSSC,Autumn,477.9,31.9,43.9,77.35,0.75,61.88,0.63,39.1,0.67
2025-09-01,09:00,Flat,77,TSSC,Autumn,520.5,32.4,45.4,76.88,0.82,61.5,0.69,42.4,0.67
2025-09-01,09:15,Flat,77,TSSC,Autumn,545.2,32.7,46.4,76.56,0.86,61.25,0.72,44.3,0.67
2025-09-01,09:30,Flat,77,TSSC,Autumn,569.9,33.1,47.4,76.25,0.9,61.0,0.76,46.1,0.67
2025-09-01,09:45,Flat,77,TSSC,Autumn,594.6,33.5,48.3,75.93,0.94,60.75,0.79,48.0,0.67
