Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,Flat,77,TSSC,Spring,5.8,22.9,23.1,83.95,0.01,67.16,0.01,0.5,0.67
2025-02-01,05:30,Flat,77,TSSC,Spring,11.7,23.2,23.5,83.81,0.02,67.05,0.02,1.0,0.67
2025-02-01,05:45,Flat,77,TSSC,Spring,17.5,23.5,23.9,83.68,0.03,66.94,0.02,1.5,0.67
2025-02-01,06:00,Flat,77,TSSC,Spring,23.3,23.7,24.3,83.55,0.04,66.84,0.03,2.0,0.67
2025-02-01,06:15,Flat,77,TSSC,Spring,57.3,24.3,25.7,83.1,0.09,66.48,0.07,5.0,0.67
2025-02-01,06:30,Flat,77,TSSC,Spring,91.4,24.8,27.1,82.66,0.14,66.13,0.12,7.9,0.67
2025-02-01,06:45,Flat,77,TSSC,Spring,125.4,25.4,28.5,82.22,0.2,65.78,0.16,10.7,0.67
2025-02-01,07:00,Flat,77,TSSC,Spring,159.4,25.9,29.9,81.78,0.25,65.42,0.21,13.6,0.67
2025-02-01,07:15,Flat,77,TSSC,Spring,200.3,26.5,31.5,81.28,0.31,65.02,0.26,17.0,0.67
2025-02-01,07:30,Flat,77,TSSC,Spring,241.2,27.0,33.0,80.78,0.38,64.62,0.32,20.4,0.67
2025-02-01,07:45,Flat,77,TSSC,Spring,282.1,27.6,34.6,80.28,0.44,64.22,0.37,23.7,0.67
2025-02-01,08:00,Flat,77,TSSC,Spring,323.0,28.1,36.2,79.78,0.51,63.82,0.42,27.1,0.67
2025-02-01,08:15,Flat,77,TSSC,Spring,378.0,28.6,38.0,79.2,0.59,63.36,0.5,31.5,0.67
2025-02-01,08:30,Flat,77,TSSC,Spring,432.9,29.0,39.8,78.63,0.68,62.9,0.57,35.9,0.67
2025-02-01,08:45,Flat,77,TSSC,Spring,487.8,29.5,41.7,78.05,0.77,62.44,0.64,40.2,0.67
2025-02-01,09:00,Flat,77,TSSC,Spring,542.8,29.9,43.5,77.48,0.86,61.98,0.72,44.5,0.67
2025-02-01,09:15,Flat,77,TSSC,Spring,592.8,30.3,45.1,76.97,0.94,61.58,0.78,48.3,0.67
2025-02-01,09:30,Flat,77,TSSC,Spring,642.9,30.6,46.7,76.46,1.02,61.17,0.85,52.1,0.67
2025-02-01,09:45,Flat,77,TSSC,Spring,692.9,31.0,48.3,75.96,1.1,60.77,0.92,55.9,0.67
2025-02-01,10:00,Flat,77,TSSC,Spring,743.0,31.3,49.9,75.45,1.18,60.36,0.99,59.7,0.67
2025-02-01,10:15,Flat,77,TSSC,Spring,774.3,31.6,50.9,75.12,1.23,60.1,1.03,62.0,0.67
2025-02-01,10:30,Flat,77,TSSC,Spring,805.6,31.8,51.9,74.8,1.28,59.84,1.07,64.3,0.67
2025-02-01,10:45,Flat,77,TSSC,Spring,836.9,32.0,53.0,74.47,1.33,59.58,1.12,66.5,0.67
2025-02-01,11:00,Flat,77,TSSC,Spring,868.2,32.3,54.0,74.14,1.38,59.32,1.16,68.8,0.67
2025-02-01,11:15,Flat,77,TSSC,Spring,867.9,32.5,54.2,74.09,1.38,59.27,1.16,68.7,0.67
2025-02-01,11:30,Flat,77,TSSC,Spring,867.5,32.6,54.3,74.04,1.38,59.23,1.16,68.7,0.67
2025-02-01,11:45,Flat,77,TSSC,Spring,867.2,32.8,54.5,73.99,1.38,59.19,1.16,68.6,0.67
2025-02-01,12:00,Flat,77,TSSC,Spring,866.9,33.0,54.7,73.94,1.38,59.15,1.16,68.5,0.67
2025-02-01,12:15,Flat,77,TSSC,Spring,848.1,33.0,54.2,74.07,1.35,59.26,1.13,67.1,0.67
2025-02-01,12:30,Flat,77,TSSC,Spring,829.3,33.1,53.8,74.21,1.32,59.37,1.11,65.7,0.67
2025-02-01,12:45,Flat,77,TSSC,Spring,810.4,33.1,53.4,74.35,1.29,59.48,1.08,64.3,0.67
2025-02-01,13:00,Flat,77,TSSC,Spring,791.6,33.1,52.9,74.48,1.26,59.59,1.06,62.9,0.67
2025-02-01,13:15,Flat,77,TSSC,Spring,756.5,33.1,52.0,74.79,1.2,59.83,1.01,60.3,0.67
2025-02-01,13:30,Flat,77,TSSC,Spring,721.5,33.0,51.0,75.09,1.15,60.07,0.96,57.7,0.67
2025-02-01,13:45,Flat,77,TSSC,Spring,686.4,32.9,50.1,75.4,1.09,60.32,0.91,55.1,0.67
2025-02-01,14:00,Flat,77,TSSC,Spring,651.3,32.8,49.1,75.7,1.03,60.56,0.87,52.4,0.67
2025-02-01,14:15,Flat,77,TSSC,Spring,606.1,32.6,47.8,76.11,0.96,60.89,0.8,49.0,0.67
2025-02-01,14:30,Flat,77,TSSC,Spring,560.9,32.5,46.5,76.53,0.89,61.22,0.74,45.5,0.67
2025-02-01,14:45,Flat,77,TSSC,Spring,515.8,32.3,45.2,76.94,0.82,61.55,0.68,42.0,0.67
2025-02-01,15:00,Flat,77,TSSC,Spring,470.6,32.1,43.9,77.36,0.74,61.89,0.62,38.5,0.67
2025-02-01,15:15,Flat,77,TSSC,Spring,411.6,31.8,42.1,77.93,0.65,62.34,0.54,33.9,0.67
2025-02-01,15:30,Flat,77,TSSC,Spring,352.5,31.4,40.2,78.5,0.55,62.8,0.46,29.2,0.67
2025-02-01,15:45,Flat,77,TSSC,Spring,293.5,31.1,38.4,79.07,0.46,63.26,0.39,24.4,0.67
2025-02-01,16:00,Flat,77,TSSC,Spring,234.5,30.8,36.6,79.64,0.37,63.71,0.31,19.6,0.67
2025-02-01,16:15,Flat,77,TSSC,Spring,186.0,30.2,34.8,80.22,0.29,64.18,0.24,15.6,0.67
2025-02-01,16:30,Flat,77,TSSC,Spring,137.5,29.6,33.0,80.8,0.21,64.64,0.18,11.6,0.67
2025-02-01,16:45,Flat,77,TSSC,Spring,89.0,28.9,31.2,81.38,0.14,65.1,0.12,7.6,0.67
2025-02-01,17:00,Flat,77,TSSC,Spring,40.5,28.3,29.3,81.96,0.06,65.56,0.05,3.5,0.67
2025-02-01,17:15,Flat,77,TSSC,Spring,30.4,27.9,28.7,82.16,0.05,65.73,0.04,2.6,0.67
2025-02-01,17:30,Flat,77,TSSC,Spring,20.3,27.5,28.0,82.37,0.03,65.89,0.03,1.7,0.67
2025-02-01,17:45,Flat,77,TSSC,Spring,10.1,27.1,27.4,82.57,0.02,66.06,0.01,0.9,0.67
2025-02-02,05:15,Flat,77,TSSC,Spring,6.1,22.7,22.8,84.02,0.01,67.21,0.01,0.5,0.67
2025-02-02,05:30,Flat,77,TSSC,Spring,12.2,23.0,23.3,83.87,0.02,67.1,0.02,1.1,0.67
2025-02-02,05:45,Flat,77,TSSC,Spring,18.3,23.3,23.7,83.73,0.03,66.98,0.02,1.6,0.67
