Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Flat,77,TSSC,17.1,25.6,26.0,83.01,0.03,66.41,0.02,1.5,0.67
2025-04-01,05:30,Flat,77,TSSC,34.1,25.8,26.7,82.8,0.05,66.24,0.04,2.9,0.67
2025-04-01,05:45,Flat,77,TSSC,51.2,26.0,27.3,82.6,0.08,66.08,0.07,4.4,0.67
2025-04-01,06:00,Flat,77,TSSC,68.2,26.3,28.0,82.39,0.11,65.91,0.09,5.9,0.67
2025-04-01,06:15,Flat,77,TSSC,109.6,26.8,29.6,81.88,0.17,65.5,0.14,9.4,0.67
2025-04-01,06:30,Flat,77,TSSC,151.0,27.4,31.2,81.37,0.24,65.1,0.2,12.8,0.67
2025-04-01,06:45,Flat,77,TSSC,192.4,28.0,32.8,80.86,0.3,64.69,0.25,16.3,0.67
2025-04-01,07:00,Flat,77,TSSC,233.7,28.6,34.4,80.35,0.37,64.28,0.31,19.7,0.67
2025-04-01,07:15,Flat,77,TSSC,284.0,29.1,36.2,79.79,0.45,63.83,0.37,23.8,0.67
2025-04-01,07:30,Flat,77,TSSC,334.3,29.6,38.0,79.22,0.52,63.38,0.44,27.9,0.67
2025-04-01,07:45,Flat,77,TSSC,384.6,30.1,39.8,78.66,0.6,62.92,0.51,31.9,0.67
2025-04-01,08:00,Flat,77,TSSC,434.9,30.7,41.5,78.09,0.69,62.47,0.57,35.8,0.67
2025-04-01,08:15,Flat,77,TSSC,481.4,31.1,43.2,77.58,0.76,62.06,0.64,39.5,0.67
2025-04-01,08:30,Flat,77,TSSC,528.0,31.6,44.8,77.07,0.83,61.65,0.7,43.1,0.67
2025-04-01,08:45,Flat,77,TSSC,574.6,32.0,46.4,76.56,0.91,61.25,0.76,46.7,0.67
2025-04-01,09:00,Flat,77,TSSC,621.1,32.5,48.0,76.05,0.98,60.84,0.82,50.2,0.67
2025-04-01,09:15,Flat,77,TSSC,636.6,32.9,48.8,75.8,1.01,60.64,0.85,51.3,0.67
2025-04-01,09:30,Flat,77,TSSC,652.1,33.3,49.6,75.55,1.04,60.44,0.87,52.4,0.67
2025-04-01,09:45,Flat,77,TSSC,667.6,33.7,50.4,75.3,1.06,60.24,0.89,53.5,0.67
2025-04-01,10:00,Flat,77,TSSC,683.1,34.1,51.1,75.05,1.09,60.04,0.91,54.6,0.67
2025-04-01,10:15,Flat,77,TSSC,712.2,34.4,52.2,74.72,1.13,59.77,0.95,56.8,0.67
2025-04-01,10:30,Flat,77,TSSC,741.2,34.7,53.2,74.38,1.18,59.51,0.99,58.9,0.67
2025-04-01,10:45,Flat,77,TSSC,770.3,35.0,54.3,74.05,1.23,59.24,1.03,61.0,0.67
2025-04-01,11:00,Flat,77,TSSC,799.4,35.4,55.4,73.72,1.28,58.97,1.07,63.0,0.67
2025-04-01,11:15,Flat,77,TSSC,784.8,35.6,55.2,73.77,1.25,59.01,1.05,61.9,0.67
2025-04-01,11:30,Flat,77,TSSC,770.2,35.8,55.0,73.82,1.23,59.05,1.03,60.8,0.67
2025-04-01,11:45,Flat,77,TSSC,755.7,36.0,54.9,73.87,1.21,59.09,1.01,59.7,0.67
2025-04-01,12:00,Flat,77,TSSC,741.1,36.2,54.7,73.92,1.18,59.13,0.99,58.6,0.67
2025-04-01,12:15,Flat,77,TSSC,734.4,36.2,54.6,73.95,1.17,59.16,0.98,58.1,0.67
2025-04-01,12:30,Flat,77,TSSC,727.7,36.3,54.5,73.99,1.16,59.19,0.97,57.6,0.67
