Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Flat,77,TSSC,22.4,25.1,25.6,83.13,0.03,66.5,0.03,1.9,0.67
2024-11-01,05:30,Flat,77,TSSC,44.7,25.2,26.3,82.91,0.07,66.33,0.06,3.9,0.67
2024-11-01,05:45,Flat,77,TSSC,67.1,25.3,27.0,82.69,0.1,66.15,0.09,5.8,0.67
2024-11-01,06:00,Flat,77,TSSC,89.4,25.5,27.7,82.47,0.14,65.97,0.12,7.7,0.67
2024-11-01,06:15,Flat,77,TSSC,135.0,25.7,29.1,82.03,0.21,65.63,0.18,11.5,0.67
2024-11-01,06:30,Flat,77,TSSC,180.6,26.0,30.5,81.6,0.28,65.28,0.24,15.4,0.67
2024-11-01,06:45,Flat,77,TSSC,226.2,26.2,31.8,81.16,0.35,64.93,0.3,19.2,0.67
2024-11-01,07:00,Flat,77,TSSC,271.8,26.4,33.2,80.72,0.42,64.58,0.36,23.0,0.67
2024-11-01,07:15,Flat,77,TSSC,324.7,26.8,34.9,80.2,0.51,64.16,0.43,27.3,0.67
2024-11-01,07:30,Flat,77,TSSC,377.6,27.1,36.5,79.68,0.59,63.75,0.5,31.6,0.67
2024-11-01,07:45,Flat,77,TSSC,430.5,27.4,38.2,79.16,0.68,63.33,0.57,35.9,0.67
2024-11-01,08:00,Flat,77,TSSC,483.4,27.7,39.8,78.64,0.76,62.91,0.64,40.1,0.67
2024-11-01,08:15,Flat,77,TSSC,526.6,28.1,41.2,78.19,0.83,62.55,0.69,43.4,0.67
2024-11-01,08:30,Flat,77,TSSC,569.7,28.4,42.6,77.74,0.9,62.19,0.75,46.8,0.67
2024-11-01,08:45,Flat,77,TSSC,612.8,28.8,44.1,77.29,0.97,61.83,0.81,50.1,0.67
2024-11-01,09:00,Flat,77,TSSC,655.9,29.1,45.5,76.84,1.04,61.47,0.87,53.4,0.67
2024-11-01,09:15,Flat,77,TSSC,681.8,29.4,46.5,76.54,1.08,61.23,0.9,55.3,0.67
2024-11-01,09:30,Flat,77,TSSC,707.7,29.7,47.4,76.23,1.12,60.99,0.94,57.3,0.67
2024-11-01,09:45,Flat,77,TSSC,733.7,30.0,48.4,75.93,1.16,60.75,0.97,59.2,0.67
2024-11-01,10:00,Flat,77,TSSC,759.6,30.3,49.3,75.63,1.21,60.5,1.01,61.1,0.67
2024-11-01,10:15,Flat,77,TSSC,758.1,30.5,49.5,75.57,1.2,60.46,1.01,60.9,0.67
2024-11-01,10:30,Flat,77,TSSC,756.7,30.8,49.7,75.51,1.2,60.41,1.01,60.8,0.67
