Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,V-Shape,77,TSSC,Spring,6.1,22.9,22.1,84.26,0.01,67.41,0.01,0.5,0.67
2025-02-01,05:30,V-Shape,77,TSSC,Spring,12.2,23.2,22.5,84.12,0.02,67.3,0.02,1.1,0.67
2025-02-01,05:45,V-Shape,77,TSSC,Spring,18.3,23.5,22.9,83.99,0.03,67.19,0.02,1.6,0.67
2025-02-01,06:00,V-Shape,77,TSSC,Spring,24.5,23.7,23.3,83.85,0.04,67.08,0.03,2.1,0.67
2025-02-01,06:15,V-Shape,77,TSSC,Spring,60.2,24.3,24.8,83.4,0.09,66.72,0.08,5.3,0.67
2025-02-01,06:30,V-Shape,77,TSSC,Spring,95.9,24.8,26.2,82.94,0.15,66.36,0.13,8.4,0.67
2025-02-01,06:45,V-Shape,77,TSSC,Spring,131.7,25.4,27.6,82.49,0.21,65.99,0.17,11.4,0.67
2025-02-01,07:00,V-Shape,77,TSSC,Spring,167.4,25.9,29.1,82.03,0.26,65.63,0.22,14.5,0.67
2025-02-01,07:15,V-Shape,77,TSSC,Spring,210.3,26.5,30.7,81.52,0.33,65.21,0.28,18.1,0.67
2025-02-01,07:30,V-Shape,77,TSSC,Spring,253.3,27.0,32.3,81.0,0.4,64.8,0.33,21.7,0.67
2025-02-01,07:45,V-Shape,77,TSSC,Spring,296.2,27.6,34.0,80.49,0.47,64.39,0.39,25.2,0.67
2025-02-01,08:00,V-Shape,77,TSSC,Spring,339.2,28.1,35.6,79.97,0.54,63.97,0.45,28.7,0.67
2025-02-01,08:15,V-Shape,77,TSSC,Spring,396.9,28.6,37.5,79.37,0.63,63.5,0.53,33.4,0.67
2025-02-01,08:30,V-Shape,77,TSSC,Spring,454.5,29.0,39.4,78.77,0.72,63.02,0.6,38.1,0.67
2025-02-01,08:45,V-Shape,77,TSSC,Spring,512.2,29.5,41.3,78.18,0.81,62.54,0.68,42.7,0.67
2025-02-01,09:00,V-Shape,77,TSSC,Spring,569.9,29.9,43.2,77.58,0.91,62.06,0.76,47.2,0.67
2025-02-01,09:15,V-Shape,77,TSSC,Spring,622.5,30.3,44.8,77.05,0.99,61.64,0.83,51.3,0.67
2025-02-01,09:30,V-Shape,77,TSSC,Spring,675.0,30.6,46.5,76.53,1.08,61.22,0.9,55.3,0.67
2025-02-01,09:45,V-Shape,77,TSSC,Spring,727.6,31.0,48.1,76.0,1.16,60.8,0.98,59.3,0.67
2025-02-01,10:00,V-Shape,77,TSSC,Spring,780.1,31.3,49.8,75.47,1.25,60.38,1.05,63.3,0.67
2025-02-01,10:15,V-Shape,77,TSSC,Spring,813.0,31.6,50.9,75.13,1.3,60.11,1.09,65.7,0.67
2025-02-01,10:30,V-Shape,77,TSSC,Spring,845.9,31.8,51.9,74.8,1.36,59.84,1.14,68.1,0.67
2025-02-01,10:45,V-Shape,77,TSSC,Spring,878.7,32.0,53.0,74.46,1.41,59.56,1.18,70.5,0.67
2025-02-01,11:00,V-Shape,77,TSSC,Spring,911.6,32.3,54.1,74.12,1.47,59.29,1.23,72.9,0.67
2025-02-01,11:15,V-Shape,77,TSSC,Spring,911.3,32.5,54.3,74.07,1.47,59.25,1.23,72.8,0.67
2025-02-01,11:30,V-Shape,77,TSSC,Spring,910.9,32.6,54.4,74.01,1.47,59.21,1.23,72.8,0.67
2025-02-01,11:45,V-Shape,77,TSSC,Spring,910.6,32.8,54.6,73.96,1.47,59.17,1.23,72.7,0.67
2025-02-01,12:00,V-Shape,77,TSSC,Spring,910.3,33.0,54.7,73.91,1.47,59.13,1.23,72.6,0.67
2025-02-01,12:15,V-Shape,77,TSSC,Spring,890.5,33.0,54.3,74.06,1.43,59.24,1.2,71.2,0.67
2025-02-01,12:30,V-Shape,77,TSSC,Spring,870.7,33.1,53.8,74.2,1.4,59.36,1.17,69.7,0.67
2025-02-01,12:45,V-Shape,77,TSSC,Spring,851.0,33.1,53.4,74.34,1.37,59.47,1.15,68.2,0.67
2025-02-01,13:00,V-Shape,77,TSSC,Spring,831.2,33.1,52.9,74.49,1.34,59.59,1.12,66.7,0.67
2025-02-01,13:15,V-Shape,77,TSSC,Spring,794.4,33.1,51.9,74.8,1.28,59.84,1.07,64.0,0.67
2025-02-01,13:30,V-Shape,77,TSSC,Spring,757.5,33.0,50.9,75.12,1.22,60.1,1.02,61.2,0.67
2025-02-01,13:45,V-Shape,77,TSSC,Spring,720.7,32.9,49.9,75.44,1.16,60.35,0.97,58.4,0.67
2025-02-01,14:00,V-Shape,77,TSSC,Spring,683.9,32.8,48.9,75.76,1.1,60.61,0.92,55.6,0.67
2025-02-01,14:15,V-Shape,77,TSSC,Spring,636.4,32.6,47.5,76.19,1.02,60.95,0.85,52.0,0.67
2025-02-01,14:30,V-Shape,77,TSSC,Spring,589.0,32.5,46.2,76.62,0.94,61.3,0.79,48.3,0.67
2025-02-01,14:45,V-Shape,77,TSSC,Spring,541.5,32.3,44.8,77.06,0.86,61.64,0.72,44.6,0.67
2025-02-01,15:00,V-Shape,77,TSSC,Spring,494.1,32.1,43.4,77.49,0.79,61.99,0.66,40.9,0.67
2025-02-01,15:15,V-Shape,77,TSSC,Spring,432.1,31.8,41.6,78.08,0.69,62.47,0.58,36.0,0.67
2025-02-01,15:30,V-Shape,77,TSSC,Spring,370.2,31.4,39.7,78.68,0.59,62.94,0.49,31.0,0.67
2025-02-01,15:45,V-Shape,77,TSSC,Spring,308.2,31.1,37.8,79.27,0.49,63.42,0.41,25.9,0.67
2025-02-01,16:00,V-Shape,77,TSSC,Spring,246.2,30.8,35.9,79.87,0.39,63.89,0.33,20.8,0.67
2025-02-01,16:15,V-Shape,77,TSSC,Spring,195.3,30.2,34.0,80.46,0.31,64.37,0.26,16.6,0.67
2025-02-01,16:30,V-Shape,77,TSSC,Spring,144.4,29.6,32.2,81.06,0.23,64.85,0.19,12.4,0.67
2025-02-01,16:45,V-Shape,77,TSSC,Spring,93.5,28.9,30.3,81.66,0.15,65.33,0.12,8.0,0.67
2025-02-01,17:00,V-Shape,77,TSSC,Spring,42.6,28.3,28.4,82.26,0.07,65.81,0.06,3.7,0.67
2025-02-01,17:15,V-Shape,77,TSSC,Spring,31.9,27.9,27.7,82.47,0.05,65.97,0.04,2.8,0.67
2025-02-01,17:30,V-Shape,77,TSSC,Spring,21.3,27.5,27.1,82.68,0.03,66.14,0.03,1.8,0.67
2025-02-01,17:45,V-Shape,77,TSSC,Spring,10.6,27.1,26.4,82.88,0.02,66.31,0.01,0.9,0.67
2025-02-02,05:15,V-Shape,77,TSSC,Spring,6.4,22.7,21.8,84.33,0.01,67.46,0.01,0.6,0.67
2025-02-02,05:30,V-Shape,77,TSSC,Spring,12.8,23.0,22.3,84.18,0.02,67.35,0.02,1.1,0.67
2025-02-02,05:45,V-Shape,77,TSSC,Spring,19.2,23.3,22.8,84.04,0.03,67.23,0.03,1.7,0.67
2025-02-02,06:00,V-Shape,77,TSSC,Spring,25.6,23.6,23.2,83.89,0.04,67.11,0.03,2.2,0.67
2025-02-02,06:15,V-Shape,77,TSSC,Spring,66.6,24.2,24.8,83.38,0.1,66.7,0.09,5.8,0.67
2025-02-02,06:30,V-Shape,77,TSSC,Spring,107.7,24.8,26.5,82.86,0.17,66.29,0.14,9.4,0.67
2025-02-02,06:45,V-Shape,77,TSSC,Spring,148.7,25.4,28.1,82.35,0.23,65.88,0.2,12.9,0.67
2025-02-02,07:00,V-Shape,77,TSSC,Spring,189.7,26.0,29.7,81.83,0.3,65.47,0.25,16.4,0.67
2025-02-02,07:15,V-Shape,77,TSSC,Spring,238.0,26.5,31.4,81.3,0.37,65.04,0.31,20.4,0.67
2025-02-02,07:30,V-Shape,77,TSSC,Spring,286.3,27.0,33.1,80.76,0.45,64.61,0.38,24.4,0.67
2025-02-02,07:45,V-Shape,77,TSSC,Spring,334.6,27.5,34.8,80.22,0.53,64.18,0.44,28.4,0.67
2025-02-02,08:00,V-Shape,77,TSSC,Spring,382.9,27.9,36.5,79.68,0.61,63.75,0.51,32.3,0.67
2025-02-02,08:15,V-Shape,77,TSSC,Spring,430.6,28.4,38.2,79.16,0.68,63.33,0.57,36.2,0.67
2025-02-02,08:30,V-Shape,77,TSSC,Spring,478.4,28.9,39.8,78.63,0.76,62.9,0.64,40.0,0.67
2025-02-02,08:45,V-Shape,77,TSSC,Spring,526.2,29.3,41.5,78.1,0.84,62.48,0.7,43.8,0.67
2025-02-02,09:00,V-Shape,77,TSSC,Spring,573.9,29.8,43.2,77.58,0.91,62.06,0.77,47.5,0.67
2025-02-02,09:15,V-Shape,77,TSSC,Spring,621.0,30.2,44.7,77.08,0.99,61.66,0.83,51.2,0.67
2025-02-02,09:30,V-Shape,77,TSSC,Spring,668.2,30.6,46.3,76.58,1.07,61.26,0.89,54.8,0.67
2025-02-02,09:45,V-Shape,77,TSSC,Spring,715.3,31.0,47.9,76.08,1.14,60.86,0.96,58.3,0.67
2025-02-02,10:00,V-Shape,77,TSSC,Spring,762.4,31.4,49.5,75.58,1.22,60.46,1.02,61.9,0.67
2025-02-02,10:15,V-Shape,77,TSSC,Spring,800.5,31.7,50.7,75.18,1.28,60.14,1.08,64.7,0.67
2025-02-02,10:30,V-Shape,77,TSSC,Spring,838.6,32.0,52.0,74.78,1.35,59.82,1.13,67.5,0.67
2025-02-02,10:45,V-Shape,77,TSSC,Spring,876.8,32.3,53.3,74.38,1.41,59.51,1.18,70.3,0.67
2025-02-02,11:00,V-Shape,77,TSSC,Spring,914.9,32.6,54.5,73.98,1.47,59.19,1.23,73.0,0.67
2025-02-02,11:15,V-Shape,77,TSSC,Spring,922.0,32.8,54.9,73.86,1.49,59.09,1.24,73.5,0.67
2025-02-02,11:30,V-Shape,77,TSSC,Spring,929.1,33.0,55.3,73.75,1.5,59.0,1.25,74.0,0.67
2025-02-02,11:45,V-Shape,77,TSSC,Spring,936.2,33.2,55.6,73.63,1.51,58.9,1.26,74.5,0.67
2025-02-02,12:00,V-Shape,77,TSSC,Spring,943.3,33.4,56.0,73.51,1.52,58.81,1.27,74.9,0.67
2025-02-02,12:15,V-Shape,77,TSSC,Spring,925.9,33.5,55.6,73.63,1.49,58.9,1.25,73.6,0.67
