Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,77,TSSC,17.9,25.6,25.0,83.32,0.03,66.66,0.02,1.6,0.67
2025-04-01,05:30,V-Shape,77,TSSC,35.8,25.8,25.7,83.11,0.06,66.49,0.05,3.2,0.67
2025-04-01,05:45,V-Shape,77,TSSC,53.7,26.0,26.4,82.89,0.09,66.31,0.07,4.8,0.67
2025-04-01,06:00,V-Shape,77,TSSC,71.6,26.3,27.1,82.68,0.11,66.14,0.1,6.3,0.67
2025-04-01,06:15,V-Shape,77,TSSC,115.1,26.8,28.7,82.15,0.18,65.72,0.15,10.1,0.67
2025-04-01,06:30,V-Shape,77,TSSC,158.5,27.4,30.4,81.63,0.25,65.3,0.21,13.9,0.67
2025-04-01,06:45,V-Shape,77,TSSC,202.0,28.0,32.0,81.1,0.32,64.88,0.27,17.6,0.67
2025-04-01,07:00,V-Shape,77,TSSC,245.4,28.6,33.7,80.58,0.39,64.46,0.33,21.3,0.67
2025-04-01,07:15,V-Shape,77,TSSC,298.2,29.1,35.5,79.99,0.48,63.99,0.4,25.7,0.67
2025-04-01,07:30,V-Shape,77,TSSC,351.0,29.6,37.4,79.41,0.57,63.53,0.47,30.1,0.67
2025-04-01,07:45,V-Shape,77,TSSC,403.8,30.1,39.2,78.82,0.65,63.06,0.55,34.5,0.67
2025-04-01,08:00,V-Shape,77,TSSC,456.6,30.7,41.1,78.23,0.74,62.59,0.62,38.8,0.67
2025-04-01,08:15,V-Shape,77,TSSC,505.5,31.1,42.8,77.71,0.82,62.16,0.69,42.7,0.67
2025-04-01,08:30,V-Shape,77,TSSC,554.4,31.6,44.4,77.18,0.9,61.74,0.75,46.6,0.67
2025-04-01,08:45,V-Shape,77,TSSC,603.3,32.0,46.1,76.65,0.98,61.32,0.82,50.4,0.67
2025-04-01,09:00,V-Shape,77,TSSC,652.2,32.5,47.8,76.12,1.06,60.89,0.89,54.2,0.67
2025-04-01,09:15,V-Shape,77,TSSC,668.4,32.9,48.6,75.86,1.09,60.69,0.91,55.4,0.67
2025-04-01,09:30,V-Shape,77,TSSC,684.7,33.3,49.4,75.61,1.12,60.49,0.94,56.6,0.67
