Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,V-Shape,77,TSSC,23.5,25.1,24.7,83.44,0.04,66.75,0.03,2.0,0.67
2024-11-01,05:30,V-Shape,77,TSSC,46.9,25.2,25.4,83.21,0.07,66.57,0.06,4.1,0.67
2024-11-01,05:45,V-Shape,77,TSSC,70.4,25.3,26.1,82.98,0.11,66.38,0.09,6.1,0.67
2024-11-01,06:00,V-Shape,77,TSSC,93.9,25.5,26.8,82.75,0.15,66.2,0.12,8.1,0.67
2024-11-01,06:15,V-Shape,77,TSSC,141.7,25.7,28.3,82.3,0.22,65.84,0.18,12.2,0.67
2024-11-01,06:30,V-Shape,77,TSSC,189.6,26.0,29.7,81.84,0.3,65.47,0.25,16.2,0.67
2024-11-01,06:45,V-Shape,77,TSSC,237.5,26.2,31.1,81.39,0.37,65.11,0.31,20.2,0.67
2024-11-01,07:00,V-Shape,77,TSSC,285.3,26.4,32.6,80.93,0.45,64.75,0.37,24.2,0.67
2024-11-01,07:15,V-Shape,77,TSSC,340.9,26.8,34.3,80.39,0.53,64.31,0.45,28.7,0.67
2024-11-01,07:30,V-Shape,77,TSSC,396.5,27.1,36.0,79.85,0.62,63.88,0.52,33.2,0.67
2024-11-01,07:45,V-Shape,77,TSSC,452.1,27.4,37.7,79.31,0.71,63.45,0.59,37.7,0.67
2024-11-01,08:00,V-Shape,77,TSSC,507.6,27.7,39.4,78.77,0.8,63.01,0.67,42.1,0.67
2024-11-01,08:15,V-Shape,77,TSSC,552.9,28.1,40.9,78.3,0.87,62.64,0.73,45.7,0.67
2024-11-01,08:30,V-Shape,77,TSSC,598.1,28.4,42.4,77.83,0.94,62.27,0.79,49.2,0.67
2024-11-01,08:45,V-Shape,77,TSSC,643.4,28.8,43.8,77.36,1.02,61.89,0.85,52.7,0.67
2024-11-01,09:00,V-Shape,77,TSSC,688.7,29.1,45.3,76.89,1.09,61.52,0.91,56.1,0.67
2024-11-01,09:15,V-Shape,77,TSSC,715.9,29.4,46.3,76.58,1.13,61.27,0.95,58.1,0.67
2024-11-01,09:30,V-Shape,77,TSSC,743.1,29.7,47.3,76.27,1.18,61.02,0.99,60.2,0.67
2024-11-01,09:45,V-Shape,77,TSSC,770.3,30.0,48.3,75.96,1.22,60.77,1.02,62.2,0.67
2024-11-01,10:00,V-Shape,77,TSSC,797.6,30.3,49.3,75.65,1.27,60.52,1.06,64.2,0.67
2024-11-01,10:15,V-Shape,77,TSSC,796.0,30.5,49.4,75.59,1.26,60.47,1.06,64.0,0.67
2024-11-01,10:30,V-Shape,77,TSSC,794.5,30.8,49.6,75.53,1.26,60.42,1.06,63.8,0.67
2024-11-01,10:45,V-Shape,77,TSSC,793.0,31.0,49.8,75.47,1.26,60.38,1.05,63.7,0.67
2024-11-01,11:00,V-Shape,77,TSSC,791.5,31.2,50.0,75.41,1.26,60.33,1.05,63.5,0.67
2024-11-01,11:15,V-Shape,77,TSSC,765.4,31.3,49.5,75.58,1.22,60.46,1.02,61.5,0.67
2024-11-01,11:30,V-Shape,77,TSSC,739.3,31.5,48.9,75.75,1.17,60.6,0.98,59.5,0.67
2024-11-01,11:45,V-Shape,77,TSSC,713.2,31.6,48.4,75.92,1.13,60.73,0.95,57.5,0.67
2024-11-01,12:00,V-Shape,77,TSSC,687.1,31.7,47.9,76.08,1.09,60.87,0.91,55.5,0.67
2024-11-01,12:15,V-Shape,77,TSSC,627.7,31.7,46.4,76.54,0.99,61.24,0.83,51.0,0.67
2024-11-01,12:30,V-Shape,77,TSSC,568.3,31.8,45.0,77.0,0.9,61.6,0.75,46.3,0.67
2024-11-01,12:45,V-Shape,77,TSSC,508.9,31.8,43.5,77.46,0.8,61.97,0.67,41.7,0.67
2024-11-01,13:00,V-Shape,77,TSSC,449.5,31.8,42.1,77.92,0.71,62.34,0.59,37.0,0.67
2024-11-01,13:15,V-Shape,77,TSSC,409.3,31.7,41.0,78.27,0.64,62.62,0.54,33.8,0.67
2024-11-01,13:30,V-Shape,77,TSSC,369.1,31.6,39.9,78.62,0.58,62.89,0.49,30.6,0.67
2024-11-01,13:45,V-Shape,77,TSSC,328.9,31.6,38.8,78.96,0.52,63.17,0.43,27.3,0.67
2024-11-01,14:00,V-Shape,77,TSSC,288.6,31.5,37.7,79.31,0.45,63.45,0.38,24.1,0.67
2024-11-01,14:15,V-Shape,77,TSSC,260.6,31.4,36.9,79.57,0.41,63.66,0.34,21.8,0.67
2024-11-01,14:30,V-Shape,77,TSSC,232.5,31.2,36.1,79.83,0.36,63.86,0.31,19.5,0.67
2024-11-01,14:45,V-Shape,77,TSSC,204.5,31.1,35.2,80.09,0.32,64.07,0.27,17.2,0.67
2024-11-01,15:00,V-Shape,77,TSSC,176.4,31.0,34.4,80.35,0.28,64.28,0.23,14.9,0.67
2024-11-01,15:15,V-Shape,77,TSSC,150.2,30.8,33.6,80.62,0.23,64.49,0.2,12.7,0.67
2024-11-01,15:30,V-Shape,77,TSSC,123.9,30.6,32.7,80.89,0.19,64.71,0.16,10.5,0.67
2024-11-01,15:45,V-Shape,77,TSSC,97.6,30.4,31.8,81.16,0.15,64.93,0.13,8.3,0.67
2024-11-01,16:00,V-Shape,77,TSSC,71.4,30.2,31.0,81.43,0.11,65.15,0.09,6.1,0.67
2024-11-01,16:15,V-Shape,77,TSSC,54.4,29.8,30.2,81.68,0.08,65.34,0.07,4.6,0.67
2024-11-01,16:30,V-Shape,77,TSSC,37.4,29.5,29.4,81.93,0.06,65.54,0.05,3.2,0.67
2024-11-01,16:45,V-Shape,77,TSSC,20.4,29.1,28.7,82.17,0.03,65.74,0.03,1.7,0.67
2024-11-02,05:15,V-Shape,77,TSSC,21.1,25.0,24.5,83.49,0.03,66.79,0.03,1.8,0.67
2024-11-02,05:30,V-Shape,77,TSSC,42.3,25.0,25.1,83.3,0.07,66.64,0.05,3.7,0.67
2024-11-02,05:45,V-Shape,77,TSSC,63.4,25.1,25.7,83.1,0.1,66.48,0.08,5.5,0.67
2024-11-02,06:00,V-Shape,77,TSSC,84.5,25.2,26.3,82.91,0.13,66.32,0.11,7.3,0.67
2024-11-02,06:15,V-Shape,77,TSSC,127.2,25.4,27.6,82.51,0.2,66.01,0.17,10.9,0.67
2024-11-02,06:30,V-Shape,77,TSSC,169.9,25.6,28.8,82.12,0.26,65.7,0.22,14.5,0.67
2024-11-02,06:45,V-Shape,77,TSSC,212.6,25.7,30.1,81.73,0.33,65.38,0.28,18.1,0.67
2024-11-02,07:00,V-Shape,77,TSSC,255.3,25.9,31.3,81.34,0.4,65.07,0.33,21.7,0.67
2024-11-02,07:15,V-Shape,77,TSSC,310.5,26.1,32.9,80.84,0.48,64.67,0.41,26.3,0.67
2024-11-02,07:30,V-Shape,77,TSSC,365.6,26.3,34.4,80.34,0.57,64.27,0.48,30.8,0.67
2024-11-02,07:45,V-Shape,77,TSSC,420.7,26.5,36.0,79.84,0.66,63.87,0.55,35.3,0.67
2024-11-02,08:00,V-Shape,77,TSSC,475.9,26.7,37.6,79.34,0.75,63.47,0.63,39.7,0.67
2024-11-02,08:15,V-Shape,77,TSSC,506.9,26.9,38.5,79.04,0.8,63.23,0.67,42.2,0.67
2024-11-02,08:30,V-Shape,77,TSSC,537.9,27.0,39.5,78.75,0.85,63.0,0.71,44.6,0.67
2024-11-02,08:45,V-Shape,77,TSSC,568.9,27.2,40.4,78.45,0.9,62.76,0.75,47.1,0.67
