Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,77,TSSC,18.4,25.6,24.0,83.64,0.03,66.91,0.03,1.7,0.67
2025-04-01,05:30,Inverted-V,77,TSSC,36.8,25.8,24.7,83.42,0.06,66.73,0.05,3.3,0.67
2025-04-01,05:45,Inverted-V,77,TSSC,55.3,26.0,25.4,83.2,0.09,66.56,0.08,5.0,0.67
2025-04-01,06:00,Inverted-V,77,TSSC,73.7,26.3,26.1,82.98,0.12,66.38,0.1,6.7,0.67
2025-04-01,06:15,Inverted-V,77,TSSC,118.4,26.8,27.8,82.44,0.19,65.95,0.16,10.6,0.67
2025-04-01,06:30,Inverted-V,77,TSSC,163.1,27.4,29.5,81.91,0.27,65.53,0.22,14.6,0.67
2025-04-01,06:45,Inverted-V,77,TSSC,207.7,28.0,31.2,81.37,0.34,65.1,0.28,18.5,0.67
2025-04-01,07:00,Inverted-V,77,TSSC,252.4,28.6,32.9,80.84,0.41,64.67,0.35,22.4,0.67
2025-04-01,07:15,Inverted-V,77,TSSC,306.7,29.1,34.7,80.24,0.5,64.19,0.42,27.0,0.67
2025-04-01,07:30,Inverted-V,77,TSSC,361.0,29.6,36.6,79.64,0.59,63.71,0.5,31.6,0.67
2025-04-01,07:45,Inverted-V,77,TSSC,415.3,30.1,38.5,79.05,0.68,63.24,0.57,36.2,0.67
2025-04-01,08:00,Inverted-V,77,TSSC,469.6,30.7,40.4,78.45,0.77,62.76,0.65,40.7,0.67
2025-04-01,08:15,Inverted-V,77,TSSC,519.9,31.1,42.1,77.91,0.86,62.33,0.72,44.8,0.67
2025-04-01,08:30,Inverted-V,77,TSSC,570.2,31.6,43.8,77.37,0.94,61.89,0.79,48.9,0.67
2025-04-01,08:45,Inverted-V,77,TSSC,620.5,32.0,45.5,76.83,1.03,61.46,0.86,52.9,0.67
2025-04-01,09:00,Inverted-V,77,TSSC,670.8,32.5,47.2,76.29,1.11,61.03,0.93,56.9,0.67
2025-04-01,09:15,Inverted-V,77,TSSC,687.5,32.9,48.1,76.03,1.14,60.82,0.96,58.2,0.67
2025-04-01,09:30,Inverted-V,77,TSSC,704.3,33.3,48.9,75.77,1.17,60.62,0.98,59.4,0.67
2025-04-01,09:45,Inverted-V,77,TSSC,721.0,33.7,49.7,75.51,1.2,60.41,1.0,60.7,0.67
2025-04-01,10:00,Inverted-V,77,TSSC,737.7,34.1,50.5,75.25,1.23,60.2,1.03,61.9,0.67
2025-04-01,10:15,Inverted-V,77,TSSC,769.1,34.4,51.6,74.9,1.28,59.92,1.07,64.3,0.67
2025-04-01,10:30,Inverted-V,77,TSSC,800.5,34.7,52.7,74.55,1.34,59.64,1.12,66.7,0.67
2025-04-01,10:45,Inverted-V,77,TSSC,831.9,35.0,53.8,74.2,1.39,59.36,1.16,69.1,0.67
2025-04-01,11:00,Inverted-V,77,TSSC,863.3,35.4,55.0,73.84,1.44,59.07,1.21,71.4,0.67
2025-04-01,11:15,Inverted-V,77,TSSC,847.6,35.6,54.8,73.9,1.42,59.12,1.19,70.2,0.67
2025-04-01,11:30,Inverted-V,77,TSSC,831.9,35.8,54.6,73.96,1.39,59.17,1.16,68.9,0.67
2025-04-01,11:45,Inverted-V,77,TSSC,816.1,36.0,54.4,74.02,1.36,59.22,1.14,67.6,0.67
2025-04-01,12:00,Inverted-V,77,TSSC,800.4,36.2,54.2,74.08,1.34,59.27,1.12,66.4,0.67
2025-04-01,12:15,Inverted-V,77,TSSC,793.1,36.2,54.1,74.12,1.33,59.3,1.11,65.8,0.67
2025-04-01,12:30,Inverted-V,77,TSSC,785.9,36.3,54.0,74.16,1.31,59.33,1.1,65.2,0.67
2025-04-01,12:45,Inverted-V,77,TSSC,778.6,36.4,53.8,74.2,1.3,59.36,1.09,64.7,0.67
2025-04-01,13:00,Inverted-V,77,TSSC,771.4,36.4,53.7,74.24,1.29,59.39,1.08,64.1,0.67
2025-04-01,13:15,Inverted-V,77,TSSC,720.0,36.4,52.4,74.66,1.2,59.73,1.01,60.1,0.67
2025-04-01,13:30,Inverted-V,77,TSSC,668.7,36.3,51.0,75.09,1.11,60.07,0.93,56.0,0.67
2025-04-01,13:45,Inverted-V,77,TSSC,617.3,36.2,49.7,75.52,1.03,60.42,0.86,52.0,0.67
2025-04-01,14:00,Inverted-V,77,TSSC,566.0,36.1,48.3,75.95,0.94,60.76,0.79,47.9,0.67
2025-04-01,14:15,Inverted-V,77,TSSC,539.7,35.9,47.4,76.25,0.9,61.0,0.75,45.8,0.67
2025-04-01,14:30,Inverted-V,77,TSSC,513.4,35.6,46.4,76.54,0.85,61.24,0.71,43.7,0.67
2025-04-01,14:45,Inverted-V,77,TSSC,487.1,35.3,45.5,76.84,0.81,61.47,0.68,41.5,0.67
2025-04-01,15:00,Inverted-V,77,TSSC,460.8,35.0,44.5,77.14,0.76,61.71,0.64,39.4,0.67
2025-04-01,15:15,Inverted-V,77,TSSC,403.6,34.6,42.7,77.72,0.67,62.18,0.56,34.7,0.67
2025-04-01,15:30,Inverted-V,77,TSSC,346.5,34.2,40.8,78.31,0.57,62.65,0.48,30.0,0.67
2025-04-01,15:45,Inverted-V,77,TSSC,289.4,33.8,39.0,78.9,0.48,63.12,0.4,25.2,0.67
2025-04-01,16:00,Inverted-V,77,TSSC,232.2,33.3,37.1,79.49,0.38,63.59,0.32,20.3,0.67
2025-04-01,16:15,Inverted-V,77,TSSC,185.4,32.8,35.4,80.02,0.3,64.02,0.25,16.3,0.67
2025-04-01,16:30,Inverted-V,77,TSSC,138.6,32.3,33.8,80.56,0.23,64.44,0.19,12.3,0.67
2025-04-01,16:45,Inverted-V,77,TSSC,91.8,31.8,32.1,81.09,0.15,64.87,0.13,8.2,0.67
2025-04-01,17:00,Inverted-V,77,TSSC,45.0,31.2,30.4,81.63,0.07,65.3,0.06,4.0,0.67
2025-04-01,17:15,Inverted-V,77,TSSC,33.7,30.8,29.6,81.86,0.06,65.48,0.05,3.0,0.67
2025-04-01,17:30,Inverted-V,77,TSSC,22.5,30.4,28.9,82.09,0.04,65.67,0.03,2.0,0.67
2025-04-01,17:45,Inverted-V,77,TSSC,11.2,29.9,28.2,82.32,0.02,65.85,0.02,1.0,0.67
2025-04-02,05:15,Inverted-V,77,TSSC,22.0,26.1,24.7,83.43,0.04,66.75,0.03,2.0,0.67
2025-04-02,05:30,Inverted-V,77,TSSC,44.0,26.4,25.5,83.16,0.07,66.53,0.06,4.0,0.67
2025-04-02,05:45,Inverted-V,77,TSSC,66.1,26.7,26.4,82.89,0.11,66.31,0.09,6.0,0.67
2025-04-02,06:00,Inverted-V,77,TSSC,88.1,27.0,27.2,82.62,0.14,66.1,0.12,7.9,0.67
2025-04-02,06:15,Inverted-V,77,TSSC,142.6,27.5,29.0,82.05,0.23,65.64,0.19,12.8,0.67
2025-04-02,06:30,Inverted-V,77,TSSC,197.1,27.9,30.9,81.48,0.32,65.18,0.27,17.6,0.67
2025-04-02,06:45,Inverted-V,77,TSSC,251.5,28.4,32.7,80.9,0.41,64.72,0.34,22.3,0.67
2025-04-02,07:00,Inverted-V,77,TSSC,306.0,28.8,34.5,80.33,0.5,64.26,0.42,27.0,0.67
2025-04-02,07:15,Inverted-V,77,TSSC,350.0,29.3,36.1,79.81,0.57,63.85,0.48,30.7,0.67
2025-04-02,07:30,Inverted-V,77,TSSC,394.1,29.9,37.7,79.3,0.65,63.44,0.54,34.4,0.67
2025-04-02,07:45,Inverted-V,77,TSSC,438.1,30.4,39.4,78.78,0.72,63.03,0.6,38.1,0.67
2025-04-02,08:00,Inverted-V,77,TSSC,482.1,30.9,41.0,78.27,0.8,62.61,0.67,41.7,0.67
2025-04-02,08:15,Inverted-V,77,TSSC,527.9,31.3,42.5,77.79,0.87,62.23,0.73,45.5,0.67
2025-04-02,08:30,Inverted-V,77,TSSC,573.7,31.7,44.0,77.31,0.95,61.85,0.79,49.2,0.67
2025-04-02,08:45,Inverted-V,77,TSSC,619.4,32.0,45.5,76.83,1.03,61.47,0.86,52.8,0.67
2025-04-02,09:00,Inverted-V,77,TSSC,665.2,32.4,47.0,76.36,1.1,61.08,0.92,56.5,0.67
2025-04-02,09:15,Inverted-V,77,TSSC,712.2,32.6,48.4,75.91,1.18,60.73,0.99,60.2,0.67
2025-04-02,09:30,Inverted-V,77,TSSC,759.1,32.9,49.8,75.46,1.26,60.37,1.06,63.9,0.67
2025-04-02,09:45,Inverted-V,77,TSSC,806.0,33.1,51.2,75.02,1.34,60.02,1.12,67.5,0.67
2025-04-02,10:00,Inverted-V,77,TSSC,853.0,33.3,52.6,74.57,1.42,59.66,1.19,71.1,0.67
2025-04-02,10:15,Inverted-V,77,TSSC,864.8,33.5,53.1,74.44,1.44,59.55,1.21,72.0,0.67
2025-04-02,10:30,Inverted-V,77,TSSC,876.5,33.6,53.5,74.3,1.46,59.44,1.23,72.9,0.67
2025-04-02,10:45,Inverted-V,77,TSSC,888.3,33.7,54.0,74.16,1.48,59.33,1.24,73.7,0.67
2025-04-02,11:00,Inverted-V,77,TSSC,900.1,33.9,54.4,74.02,1.5,59.22,1.26,74.6,0.67
2025-04-02,11:15,Inverted-V,77,TSSC,867.8,34.0,53.7,74.25,1.45,59.4,1.21,72.1,0.67
2025-04-02,11:30,Inverted-V,77,TSSC,835.5,34.0,52.9,74.48,1.39,59.59,1.17,69.6,0.67
2025-04-02,11:45,Inverted-V,77,TSSC,803.2,34.1,52.2,74.71,1.34,59.77,1.12,67.1,0.67
2025-04-02,12:00,Inverted-V,77,TSSC,770.9,34.2,51.5,74.95,1.28,59.96,1.08,64.5,0.67
2025-04-02,12:15,Inverted-V,77,TSSC,744.8,34.2,50.8,75.15,1.24,60.12,1.04,62.5,0.67
2025-04-02,12:30,Inverted-V,77,TSSC,718.7,34.2,50.2,75.35,1.2,60.28,1.0,60.4,0.67
2025-04-02,12:45,Inverted-V,77,TSSC,692.6,34.2,49.6,75.55,1.15,60.44,0.96,58.3,0.67
2025-04-02,13:00,Inverted-V,77,TSSC,666.5,34.3,48.9,75.75,1.11,60.6,0.93,56.2,0.67
2025-04-02,13:15,Inverted-V,77,TSSC,644.0,34.2,48.3,75.96,1.07,60.77,0.9,54.5,0.67
2025-04-02,13:30,Inverted-V,77,TSSC,621.6,34.0,47.6,76.18,1.03,60.94,0.86,52.7,0.67
2025-04-02,13:45,Inverted-V,77,TSSC,599.2,33.9,46.9,76.39,0.99,61.11,0.83,50.9,0.67
2025-04-02,14:00,Inverted-V,77,TSSC,576.7,33.8,46.2,76.6,0.96,61.28,0.8,49.1,0.67
2025-04-02,14:15,Inverted-V,77,TSSC,537.7,33.6,45.1,76.97,0.89,61.58,0.75,45.9,0.67
2025-04-02,14:30,Inverted-V,77,TSSC,498.7,33.4,43.9,77.35,0.82,61.88,0.69,42.8,0.67
2025-04-02,14:45,Inverted-V,77,TSSC,459.7,33.2,42.7,77.72,0.76,62.18,0.64,39.5,0.67
2025-04-02,15:00,Inverted-V,77,TSSC,420.6,33.0,41.5,78.09,0.69,62.47,0.58,36.3,0.67
2025-04-02,15:15,Inverted-V,77,TSSC,373.1,32.7,40.0,78.57,0.61,62.85,0.51,32.4,0.67
2025-04-02,15:30,Inverted-V,77,TSSC,325.6,32.4,38.5,79.04,0.54,63.24,0.45,28.4,0.67
