Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,62,TSSC,17.9,25.6,29.0,82.06,0.03,65.65,0.02,1.6,0.67
2025-04-01,05:30,V-Shape,62,TSSC,35.8,25.8,29.7,81.84,0.06,65.47,0.05,3.1,0.67
2025-04-01,05:45,V-Shape,62,TSSC,53.7,26.0,30.4,81.63,0.09,65.3,0.07,4.7,0.67
2025-04-01,06:00,V-Shape,62,TSSC,71.6,26.3,31.1,81.41,0.11,65.13,0.1,6.3,0.67
2025-04-01,06:15,V-Shape,62,TSSC,115.1,26.8,32.7,80.88,0.18,64.71,0.15,10.0,0.67
2025-04-01,06:30,V-Shape,62,TSSC,158.5,27.4,34.4,80.36,0.26,64.29,0.21,13.7,0.67
2025-04-01,06:45,V-Shape,62,TSSC,202.0,28.0,36.0,79.84,0.33,63.87,0.27,17.4,0.67
2025-04-01,07:00,V-Shape,62,TSSC,245.4,28.6,37.7,79.31,0.4,63.45,0.33,21.1,0.67
2025-04-01,07:15,V-Shape,62,TSSC,298.2,29.1,39.5,78.73,0.48,62.98,0.4,25.4,0.67
2025-04-01,07:30,V-Shape,62,TSSC,351.0,29.6,41.4,78.14,0.57,62.51,0.48,29.8,0.67
2025-04-01,07:45,V-Shape,62,TSSC,403.8,30.1,43.2,77.55,0.66,62.04,0.55,34.1,0.67
2025-04-01,08:00,V-Shape,62,TSSC,456.6,30.7,45.1,76.97,0.74,61.57,0.62,38.3,0.67
2025-04-01,08:15,V-Shape,62,TSSC,505.5,31.1,46.8,76.44,0.82,61.15,0.69,42.2,0.67
2025-04-01,08:30,V-Shape,62,TSSC,554.4,31.6,48.4,75.91,0.9,60.73,0.76,46.0,0.67
2025-04-01,08:45,V-Shape,62,TSSC,603.3,32.0,50.1,75.38,0.99,60.3,0.83,49.8,0.67
2025-04-01,09:00,V-Shape,62,TSSC,652.2,32.5,51.8,74.85,1.07,59.88,0.89,53.5,0.67
2025-04-01,09:15,V-Shape,62,TSSC,668.4,32.9,52.6,74.6,1.09,59.68,0.92,54.7,0.67
2025-04-01,09:30,V-Shape,62,TSSC,684.7,33.3,53.4,74.34,1.12,59.47,0.94,55.9,0.67
2025-04-01,09:45,V-Shape,62,TSSC,701.0,33.7,54.2,74.09,1.15,59.27,0.96,57.1,0.67
2025-04-01,10:00,V-Shape,62,TSSC,717.3,34.1,55.0,73.83,1.18,59.07,0.99,58.3,0.67
2025-04-01,10:15,V-Shape,62,TSSC,747.8,34.4,56.1,73.49,1.23,58.79,1.03,60.5,0.67
2025-04-01,10:30,V-Shape,62,TSSC,778.3,34.7,57.2,73.14,1.28,58.51,1.07,62.8,0.67
