Time,Hour,Month,GHI,POA,POA_shade,Shade%,Voc,Isc,Vm,Im,Pm,FF,Tmod
2025-01-01 00:00:00,0,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 01:00:00,1,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 02:00:00,2,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 03:00:00,3,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 04:00:00,4,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 05:00:00,5,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 06:00:00,6,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 07:00:00,7,1,255.8,237.4,197.8,83.3%,37.727,2.117,29.427,2.119,62.359,0.781,30.935
2025-01-01 08:00:00,8,1,459.2,457.4,381.2,83.3%,37.067,4.149,28.913,4.084,118.073,0.768,36.436
2025-01-01 09:00:00,9,1,690.0,680.5,567.1,83.3%,36.392,6.279,28.386,6.073,172.379,0.754,42.013
2025-01-01 10:00:00,10,1,795.6,744.7,620.5,83.3%,36.197,6.904,28.234,6.644,187.576,0.751,43.616
2025-01-01 11:00:00,11,1,887.3,786.2,655.2,83.3%,36.071,7.312,28.135,7.013,197.318,0.748,44.655
2025-01-01 12:00:00,12,1,958.7,830.3,691.9,83.3%,35.937,7.747,28.031,7.405,207.559,0.745,45.757
2025-01-01 13:00:00,13,1,808.0,716.0,596.6,83.3%,36.284,6.624,28.302,6.388,180.803,0.752,42.899
2025-01-01 14:00:00,14,1,733.7,686.7,572.2,83.3%,36.373,6.339,28.371,6.128,173.85,0.754,42.167
2025-01-01 15:00:00,15,1,645.7,636.8,530.7,83.3%,36.524,5.856,28.489,5.684,161.921,0.757,40.921
2025-01-01 16:00:00,16,1,443.8,442.1,368.4,83.3%,37.114,4.005,28.949,3.947,114.255,0.769,36.052
2025-01-01 17:00:00,17,1,249.2,231.2,192.7,83.3%,37.745,2.061,29.441,2.064,60.767,0.781,30.781
2025-01-01 18:00:00,18,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 19:00:00,19,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 20:00:00,20,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 21:00:00,21,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 22:00:00,22,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 23:00:00,23,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 00:00:00,0,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 01:00:00,1,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 02:00:00,2,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 03:00:00,3,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 04:00:00,4,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 05:00:00,5,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 06:00:00,6,1,0.0,0.0,0.0,83.3%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 07:00:00,7,1,271.8,252.2,210.2,83.3%,37.683,2.251,29.393,2.251,66.164,0.78,31.305
2025-01-02 08:00:00,8,1,472.1,470.3,391.9,83.3%,37.028,4.27,28.882,4.199,121.269,0.767,36.758
