Time,Hour,Month,GHI,POA,POA_shade,Shade%,Voc,Isc,Vm,Im,Pm,FF,Tmod
2025-01-01 00:00:00,0,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 01:00:00,1,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 02:00:00,2,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 03:00:00,3,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 04:00:00,4,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 05:00:00,5,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 06:00:00,6,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 07:00:00,7,1,255.8,190.5,152.1,79.9%,37.889,1.621,29.553,1.629,48.152,0.784,29.564
2025-01-01 08:00:00,8,1,459.2,416.2,332.4,79.9%,37.244,3.602,29.05,3.561,103.446,0.771,34.972
2025-01-01 09:00:00,9,1,690.0,678.4,541.8,79.9%,36.484,5.985,28.457,5.803,165.136,0.756,41.255
2025-01-01 10:00:00,10,1,795.6,795.6,635.4,79.9%,36.143,7.079,28.191,6.803,191.775,0.75,44.063
2025-01-01 11:00:00,11,1,887.3,879.5,702.4,79.9%,35.898,7.873,28.001,7.517,210.481,0.745,46.073
2025-01-01 12:00:00,12,1,958.7,944.2,754.1,79.9%,35.709,8.491,27.853,8.067,224.698,0.741,47.623
2025-01-01 13:00:00,13,1,808.0,800.9,639.7,79.9%,36.127,7.129,28.179,6.848,192.965,0.749,44.19
2025-01-01 14:00:00,14,1,733.7,733.7,586.0,79.9%,36.323,6.499,28.332,6.274,177.767,0.753,42.579
2025-01-01 15:00:00,15,1,645.7,634.9,507.1,79.9%,36.61,5.583,28.556,5.431,155.087,0.759,40.212
2025-01-01 16:00:00,16,1,443.8,402.2,321.2,79.9%,37.284,3.477,29.082,3.441,100.084,0.772,34.637
2025-01-01 17:00:00,17,1,249.2,185.5,148.2,79.9%,37.903,1.578,29.564,1.587,46.917,0.784,29.445
2025-01-01 18:00:00,18,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 19:00:00,19,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 20:00:00,20,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 21:00:00,21,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 22:00:00,22,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-01 23:00:00,23,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 00:00:00,0,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 01:00:00,1,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 02:00:00,2,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 03:00:00,3,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 04:00:00,4,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 05:00:00,5,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 06:00:00,6,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 07:00:00,7,1,271.8,202.3,161.6,79.9%,37.856,1.723,29.527,1.731,51.105,0.783,29.848
2025-01-02 08:00:00,8,1,472.1,427.9,341.8,79.9%,37.21,3.706,29.024,3.661,106.262,0.771,35.253
2025-01-02 09:00:00,9,1,625.8,615.3,491.5,79.9%,36.667,5.404,28.6,5.264,150.555,0.76,39.744
2025-01-02 10:00:00,10,1,858.8,858.7,685.9,79.9%,35.959,7.676,28.048,7.341,205.885,0.746,45.576
2025-01-02 11:00:00,11,1,845.9,838.5,669.7,79.9%,36.018,7.484,28.094,7.168,201.377,0.747,45.091
2025-01-02 12:00:00,12,1,956.8,942.3,752.6,79.9%,35.715,8.473,27.858,8.051,224.294,0.741,47.579
2025-01-02 13:00:00,13,1,805.5,798.4,637.7,79.9%,36.135,7.105,28.185,6.826,192.399,0.749,44.13
2025-01-02 14:00:00,14,1,753.2,753.1,601.5,79.9%,36.266,6.681,28.288,6.441,182.19,0.752,43.046
2025-01-02 15:00:00,15,1,676.1,664.8,531.0,79.9%,36.523,5.859,28.488,5.687,162.001,0.757,40.929
2025-01-02 16:00:00,16,1,493.4,447.2,357.2,79.9%,37.154,3.879,28.98,3.827,110.894,0.769,35.715
2025-01-02 17:00:00,17,1,247.1,184.0,146.9,79.9%,37.907,1.565,29.568,1.574,46.527,0.784,29.408
2025-01-02 18:00:00,18,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 19:00:00,19,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 20:00:00,20,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 21:00:00,21,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 22:00:00,22,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
2025-01-02 23:00:00,23,1,0.0,0.0,0.0,79.9%,0.0,0.0,0.0,0.0,0.0,0.795,25.0
