Date,Time,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,06:00,77,68.2,26.3,28.0,82.39,0.1,65.91,0.08,5.6,0.67
2025-04-01,07:00,77,233.7,28.6,34.4,80.35,0.35,64.28,0.29,18.7,0.67
2025-04-01,08:00,77,434.9,30.7,41.5,78.09,0.65,62.47,0.55,34.1,0.67
2025-04-01,09:00,77,621.1,32.5,48.0,76.05,0.94,60.84,0.79,47.8,0.67
2025-04-01,10:00,77,683.1,34.1,51.1,75.05,1.03,60.04,0.87,52.0,0.67
2025-04-01,11:00,77,799.4,35.4,55.4,73.72,1.22,58.97,1.02,60.0,0.67
2025-04-01,12:00,77,741.1,36.2,54.7,73.92,1.13,59.13,0.94,55.8,0.67
2025-04-01,13:00,77,714.2,36.4,54.3,74.05,1.09,59.24,0.91,53.8,0.67
2025-04-01,14:00,77,524.0,36.1,49.3,75.65,0.79,60.52,0.66,40.2,0.67
2025-04-01,15:00,77,426.6,35.0,45.7,76.77,0.64,61.42,0.54,33.1,0.67
2025-04-01,16:00,77,215.0,33.3,38.7,78.99,0.32,63.19,0.27,17.0,0.67
2025-04-01,17:00,77,41.6,31.2,32.3,81.02,0.06,64.82,0.05,3.4,0.67
2025-04-02,06:00,77,81.6,27.0,29.1,82.04,0.12,65.63,0.1,6.6,0.67
2025-04-02,07:00,77,283.4,28.8,35.9,79.88,0.42,63.9,0.35,22.6,0.67
2025-04-02,08:00,77,446.4,30.9,42.1,77.92,0.67,62.33,0.56,35.0,0.67
2025-04-02,09:00,77,616.0,32.4,47.8,76.11,0.93,60.89,0.78,47.4,0.67
2025-04-02,10:00,77,789.8,33.3,53.1,74.44,1.2,59.55,1.0,59.8,0.67
2025-04-02,11:00,77,833.4,33.9,54.7,73.92,1.27,59.13,1.06,62.7,0.67
2025-04-02,12:00,77,713.8,34.2,52.0,74.76,1.08,59.81,0.91,54.2,0.67
2025-04-02,13:00,77,617.1,34.3,49.7,75.51,0.93,60.41,0.78,47.2,0.67
2025-04-02,14:00,77,534.0,33.8,47.2,76.3,0.81,61.04,0.67,41.2,0.67
2025-04-02,15:00,77,389.5,33.0,42.8,77.71,0.59,62.16,0.49,30.5,0.67
2025-04-02,16:00,77,213.4,31.8,37.1,79.5,0.32,63.6,0.27,17.0,0.67
2025-04-02,17:00,77,39.8,29.4,30.4,81.6,0.06,65.28,0.05,3.2,0.67
2025-04-03,06:00,77,91.0,25.9,28.1,82.34,0.13,65.87,0.11,7.4,0.67
