Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:30,V-shape,93,35.8,25.8,22.7,84.06,0.05,67.25,0.04,3.0,0.67
2025-04-01,06:00,V-shape,93,71.6,26.3,24.1,83.63,0.11,66.9,0.09,5.9,0.67
2025-04-01,06:30,V-shape,93,158.5,27.4,27.4,82.58,0.23,66.06,0.2,13.0,0.67
2025-04-01,07:00,V-shape,93,245.4,28.6,30.7,81.53,0.36,65.22,0.31,19.9,0.67
2025-04-01,07:30,V-shape,93,351.0,29.6,34.4,80.36,0.52,64.28,0.44,28.2,0.67
2025-04-01,08:00,V-shape,93,456.6,30.7,38.1,79.18,0.68,63.35,0.57,36.2,0.67
2025-04-01,08:30,V-shape,93,554.4,31.6,41.4,78.13,0.83,62.5,0.7,43.5,0.67
2025-04-01,09:00,V-shape,93,652.2,32.5,44.8,77.07,0.98,61.65,0.82,50.7,0.67
2025-04-01,09:30,V-shape,93,684.7,33.3,46.4,76.56,1.03,61.25,0.86,52.9,0.67
2025-04-01,10:00,V-shape,93,717.3,34.1,48.0,76.05,1.08,60.84,0.91,55.2,0.67
2025-04-01,10:30,V-shape,93,778.3,34.7,50.2,75.36,1.18,60.29,0.99,59.5,0.67
2025-04-01,11:00,V-shape,93,839.3,35.4,52.4,74.67,1.27,59.73,1.07,63.7,0.67
2025-04-01,11:30,V-shape,93,808.8,35.8,52.0,74.78,1.23,59.82,1.03,61.4,0.67
2025-04-01,12:00,V-shape,93,778.2,36.2,51.6,74.89,1.18,59.91,0.99,59.2,0.67
2025-04-01,12:30,V-shape,93,764.0,36.3,51.4,74.97,1.16,59.97,0.97,58.1,0.67
2025-04-01,13:00,V-shape,93,749.9,36.4,51.2,75.04,1.14,60.03,0.95,57.1,0.67
2025-04-01,13:30,V-shape,93,650.1,36.3,48.5,75.87,0.98,60.7,0.82,49.9,0.67
2025-04-01,14:00,V-shape,93,550.3,36.1,45.9,76.71,0.83,61.37,0.69,42.6,0.67
2025-04-01,14:30,V-shape,93,499.1,35.6,44.1,77.29,0.75,61.83,0.63,38.9,0.67
2025-04-01,15:00,V-shape,93,448.0,35.0,42.2,77.87,0.67,62.3,0.56,35.1,0.67
2025-04-01,15:30,V-shape,93,336.9,34.2,38.6,79.02,0.5,63.22,0.42,26.7,0.67
2025-04-01,16:00,V-shape,93,225.8,33.3,35.0,80.17,0.34,64.14,0.28,18.1,0.67
2025-04-01,16:30,V-shape,93,134.8,32.3,31.7,81.22,0.2,64.98,0.17,10.9,0.67
2025-04-01,17:00,V-shape,93,43.7,31.2,28.3,82.27,0.06,65.82,0.05,3.6,0.67
2025-04-01,17:30,V-shape,93,21.9,30.4,26.9,82.72,0.03,66.18,0.03,1.8,0.67
