Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,05:15,Flat,62,TCT,Autumn,23.5,24.4,29.0,82.06,0.04,65.65,0.03,2.1,0.67
2024-09-01,05:30,Flat,62,TCT,Autumn,47.0,24.6,29.8,81.81,0.07,65.45,0.06,4.1,0.67
2024-09-01,05:45,Flat,62,TCT,Autumn,70.6,24.8,30.6,81.56,0.11,65.25,0.09,6.1,0.67
2024-09-01,06:00,Flat,62,TCT,Autumn,94.1,25.0,31.4,81.31,0.15,65.05,0.13,8.1,0.67
2024-09-01,06:15,Flat,62,TCT,Autumn,133.1,25.3,32.7,80.9,0.21,64.72,0.18,11.5,0.67
2024-09-01,06:30,Flat,62,TCT,Autumn,172.1,25.6,33.9,80.5,0.27,64.4,0.23,14.8,0.67
2024-09-01,06:45,Flat,62,TCT,Autumn,211.1,26.0,35.2,80.09,0.34,64.07,0.28,18.1,0.67
2024-09-01,07:00,Flat,62,TCT,Autumn,250.1,26.3,36.5,79.68,0.4,63.75,0.33,21.3,0.67
2024-09-01,07:15,Flat,62,TCT,Autumn,299.6,26.7,38.2,79.14,0.48,63.31,0.4,25.4,0.67
2024-09-01,07:30,Flat,62,TCT,Autumn,349.0,27.2,40.0,78.59,0.56,62.87,0.47,29.5,0.67
2024-09-01,07:45,Flat,62,TCT,Autumn,398.5,27.7,41.7,78.04,0.64,62.44,0.54,33.5,0.67
2024-09-01,08:00,Flat,62,TCT,Autumn,448.0,28.2,43.4,77.5,0.72,62.0,0.6,37.4,0.67
2024-09-01,08:15,Flat,62,TCT,Autumn,471.2,28.7,44.5,77.15,0.76,61.72,0.64,39.2,0.67
2024-09-01,08:30,Flat,62,TCT,Autumn,494.4,29.2,45.6,76.81,0.8,61.45,0.67,41.0,0.67
2024-09-01,08:45,Flat,62,TCT,Autumn,517.7,29.7,46.7,76.46,0.84,61.17,0.7,42.8,0.67
2024-09-01,09:00,Flat,62,TCT,Autumn,540.9,30.3,47.8,76.11,0.87,60.89,0.73,44.6,0.67
2024-09-01,09:15,Flat,62,TCT,Autumn,561.2,30.7,48.7,75.82,0.91,60.66,0.76,46.1,0.67
2024-09-01,09:30,Flat,62,TCT,Autumn,581.6,31.1,49.6,75.54,0.94,60.43,0.79,47.6,0.67
2024-09-01,09:45,Flat,62,TCT,Autumn,601.9,31.5,50.5,75.25,0.97,60.2,0.82,49.1,0.67
2024-09-01,10:00,Flat,62,TCT,Autumn,622.2,31.9,51.4,74.96,1.01,59.97,0.84,50.7,0.67
2024-09-01,10:15,Flat,62,TCT,Autumn,607.6,32.1,51.3,74.99,0.98,59.99,0.82,49.5,0.67
2024-09-01,10:30,Flat,62,TCT,Autumn,593.0,32.4,51.2,75.02,0.96,60.01,0.8,48.3,0.67
2024-09-01,10:45,Flat,62,TCT,Autumn,578.4,32.7,51.1,75.05,0.94,60.04,0.79,47.1,0.67
2024-09-01,11:00,Flat,62,TCT,Autumn,563.8,33.0,51.1,75.08,0.91,60.06,0.77,46.0,0.67
2024-09-01,11:15,Flat,62,TCT,Autumn,541.4,33.1,50.6,75.21,0.88,60.17,0.73,44.2,0.67
2024-09-01,11:30,Flat,62,TCT,Autumn,519.0,33.3,50.2,75.34,0.84,60.27,0.7,42.4,0.67
2024-09-01,11:45,Flat,62,TCT,Autumn,496.7,33.4,49.8,75.47,0.8,60.37,0.67,40.6,0.67
2024-09-01,12:00,Flat,62,TCT,Autumn,474.4,33.6,49.4,75.6,0.77,60.48,0.64,38.9,0.67
