Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Flat,62,TSSC,17.1,25.6,30.0,81.75,0.03,65.4,0.02,1.5,0.67
2025-04-01,05:30,Flat,62,TSSC,34.1,25.8,30.7,81.54,0.05,65.23,0.04,2.9,0.67
2025-04-01,05:45,Flat,62,TSSC,51.2,26.0,31.3,81.33,0.08,65.06,0.07,4.3,0.67
2025-04-01,06:00,Flat,62,TSSC,68.2,26.3,32.0,81.12,0.11,64.9,0.09,5.8,0.67
2025-04-01,06:15,Flat,62,TSSC,109.6,26.8,33.6,80.61,0.17,64.49,0.14,9.3,0.67
2025-04-01,06:30,Flat,62,TSSC,151.0,27.4,35.2,80.1,0.24,64.08,0.2,12.7,0.67
2025-04-01,06:45,Flat,62,TSSC,192.4,28.0,36.8,79.6,0.3,63.68,0.25,16.1,0.67
2025-04-01,07:00,Flat,62,TSSC,233.7,28.6,38.4,79.09,0.37,63.27,0.31,19.5,0.67
2025-04-01,07:15,Flat,62,TSSC,284.0,29.1,40.2,78.52,0.45,62.82,0.37,23.5,0.67
2025-04-01,07:30,Flat,62,TSSC,334.3,29.6,42.0,77.96,0.53,62.36,0.44,27.5,0.67
2025-04-01,07:45,Flat,62,TSSC,384.6,30.1,43.8,77.39,0.61,61.91,0.51,31.5,0.67
2025-04-01,08:00,Flat,62,TSSC,434.9,30.7,45.5,76.82,0.69,61.46,0.58,35.4,0.67
2025-04-01,08:15,Flat,62,TSSC,481.4,31.1,47.2,76.31,0.76,61.05,0.64,39.0,0.67
2025-04-01,08:30,Flat,62,TSSC,528.0,31.6,48.8,75.8,0.84,60.64,0.7,42.5,0.67
2025-04-01,08:45,Flat,62,TSSC,574.6,32.0,50.4,75.29,0.91,60.23,0.76,46.1,0.67
2025-04-01,09:00,Flat,62,TSSC,621.1,32.5,52.0,74.78,0.99,59.82,0.83,49.5,0.67
2025-04-01,09:15,Flat,62,TSSC,636.6,32.9,52.8,74.53,1.01,59.62,0.85,50.6,0.67
2025-04-01,09:30,Flat,62,TSSC,652.1,33.3,53.6,74.28,1.04,59.43,0.87,51.7,0.67
2025-04-01,09:45,Flat,62,TSSC,667.6,33.7,54.4,74.03,1.07,59.23,0.89,52.8,0.67
2025-04-01,10:00,Flat,62,TSSC,683.1,34.1,55.1,73.79,1.09,59.03,0.91,53.9,0.67
2025-04-01,10:15,Flat,62,TSSC,712.2,34.4,56.2,73.45,1.14,58.76,0.95,56.0,0.67
2025-04-01,10:30,Flat,62,TSSC,741.2,34.7,57.2,73.12,1.19,58.49,0.99,58.1,0.67
2025-04-01,10:45,Flat,62,TSSC,770.3,35.0,58.3,72.78,1.23,58.23,1.03,60.2,0.67
2025-04-01,11:00,Flat,62,TSSC,799.4,35.4,59.4,72.45,1.28,57.96,1.07,62.2,0.67
2025-04-01,11:15,Flat,62,TSSC,784.8,35.6,59.2,72.5,1.26,58.0,1.05,61.1,0.67
2025-04-01,11:30,Flat,62,TSSC,770.2,35.8,59.0,72.55,1.23,58.04,1.03,60.0,0.67
2025-04-01,11:45,Flat,62,TSSC,755.7,36.0,58.9,72.6,1.21,58.08,1.01,58.9,0.67
2025-04-01,12:00,Flat,62,TSSC,741.1,36.2,58.7,72.65,1.19,58.12,0.99,57.8,0.67
2025-04-01,12:15,Flat,62,TSSC,734.4,36.2,58.6,72.69,1.18,58.15,0.99,57.3,0.67
2025-04-01,12:30,Flat,62,TSSC,727.7,36.3,58.5,72.72,1.17,58.18,0.98,56.8,0.67
2025-04-01,12:45,Flat,62,TSSC,720.9,36.4,58.4,72.75,1.15,58.2,0.97,56.3,0.67
2025-04-01,13:00,Flat,62,TSSC,714.2,36.4,58.3,72.79,1.14,58.23,0.96,55.8,0.67
2025-04-01,13:15,Flat,62,TSSC,666.7,36.4,57.0,73.19,1.07,58.55,0.89,52.3,0.67
2025-04-01,13:30,Flat,62,TSSC,619.1,36.3,55.8,73.59,0.99,58.87,0.83,48.8,0.67
2025-04-01,13:45,Flat,62,TSSC,571.6,36.2,54.5,73.98,0.91,59.19,0.76,45.2,0.67
2025-04-01,14:00,Flat,62,TSSC,524.0,36.1,53.3,74.38,0.84,59.51,0.7,41.6,0.67
2025-04-01,14:15,Flat,62,TSSC,499.7,35.9,52.4,74.66,0.8,59.73,0.67,39.8,0.67
2025-04-01,14:30,Flat,62,TSSC,475.3,35.6,51.5,74.95,0.76,59.96,0.63,38.0,0.67
2025-04-01,14:45,Flat,62,TSSC,451.0,35.3,50.6,75.23,0.72,60.18,0.6,36.1,0.67
2025-04-01,15:00,Flat,62,TSSC,426.6,35.0,49.7,75.51,0.68,60.41,0.57,34.3,0.67
2025-04-01,15:15,Flat,62,TSSC,373.7,34.6,47.9,76.06,0.59,60.85,0.5,30.2,0.67
2025-04-01,15:30,Flat,62,TSSC,320.8,34.2,46.2,76.61,0.51,61.29,0.43,26.1,0.67
2025-04-01,15:45,Flat,62,TSSC,267.9,33.8,44.5,77.17,0.42,61.73,0.35,21.9,0.67
2025-04-01,16:00,Flat,62,TSSC,215.0,33.3,42.7,77.72,0.34,62.18,0.28,17.7,0.67
2025-04-01,16:15,Flat,62,TSSC,171.7,32.8,41.1,78.23,0.27,62.58,0.23,14.2,0.67
2025-04-01,16:30,Flat,62,TSSC,128.3,32.3,39.5,78.74,0.2,62.99,0.17,10.6,0.67
2025-04-01,16:45,Flat,62,TSSC,85.0,31.8,37.9,79.24,0.13,63.4,0.11,7.1,0.67
2025-04-01,17:00,Flat,62,TSSC,41.6,31.2,36.3,79.75,0.07,63.8,0.05,3.5,0.67
2025-04-01,17:15,Flat,62,TSSC,31.2,30.8,35.6,79.98,0.05,63.98,0.04,2.6,0.67
