Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Flat,62,TSSC,22.4,25.1,29.6,81.86,0.03,65.49,0.03,1.9,0.67
2024-11-01,05:30,Flat,62,TSSC,44.7,25.2,30.3,81.64,0.07,65.31,0.06,3.8,0.67
2024-11-01,05:45,Flat,62,TSSC,67.1,25.3,31.0,81.42,0.1,65.14,0.09,5.7,0.67
2024-11-01,06:00,Flat,62,TSSC,89.4,25.5,31.7,81.2,0.14,64.96,0.12,7.6,0.67
2024-11-01,06:15,Flat,62,TSSC,135.0,25.7,33.1,80.77,0.21,64.61,0.18,11.4,0.67
2024-11-01,06:30,Flat,62,TSSC,180.6,26.0,34.5,80.33,0.28,64.26,0.24,15.2,0.67
2024-11-01,06:45,Flat,62,TSSC,226.2,26.2,35.8,79.89,0.35,63.91,0.3,19.0,0.67
2024-11-01,07:00,Flat,62,TSSC,271.8,26.4,37.2,79.46,0.43,63.57,0.36,22.7,0.67
2024-11-01,07:15,Flat,62,TSSC,324.7,26.8,38.9,78.94,0.51,63.15,0.43,27.0,0.67
2024-11-01,07:30,Flat,62,TSSC,377.6,27.1,40.5,78.42,0.59,62.73,0.5,31.2,0.67
2024-11-01,07:45,Flat,62,TSSC,430.5,27.4,42.2,77.9,0.68,62.32,0.57,35.4,0.67
2024-11-01,08:00,Flat,62,TSSC,483.4,27.7,43.8,77.38,0.76,61.9,0.64,39.6,0.67
2024-11-01,08:15,Flat,62,TSSC,526.6,28.1,45.2,76.92,0.83,61.54,0.7,42.9,0.67
2024-11-01,08:30,Flat,62,TSSC,569.7,28.4,46.6,76.47,0.9,61.18,0.76,46.2,0.67
2024-11-01,08:45,Flat,62,TSSC,612.8,28.8,48.1,76.02,0.97,60.82,0.81,49.5,0.67
2024-11-01,09:00,Flat,62,TSSC,655.9,29.1,49.5,75.57,1.04,60.46,0.87,52.7,0.67
2024-11-01,09:15,Flat,62,TSSC,681.8,29.4,50.5,75.27,1.08,60.22,0.91,54.6,0.67
2024-11-01,09:30,Flat,62,TSSC,707.7,29.7,51.4,74.97,1.13,59.97,0.94,56.5,0.67
2024-11-01,09:45,Flat,62,TSSC,733.7,30.0,52.4,74.67,1.17,59.73,0.98,58.4,0.67
2024-11-01,10:00,Flat,62,TSSC,759.6,30.3,53.3,74.36,1.21,59.49,1.01,60.3,0.67
2024-11-01,10:15,Flat,62,TSSC,758.1,30.5,53.5,74.3,1.21,59.44,1.01,60.2,0.67
2024-11-01,10:30,Flat,62,TSSC,756.7,30.8,53.7,74.24,1.21,59.4,1.01,60.0,0.67
2024-11-01,10:45,Flat,62,TSSC,755.2,31.0,53.9,74.18,1.2,59.35,1.01,59.9,0.67
2024-11-01,11:00,Flat,62,TSSC,753.8,31.2,54.1,74.12,1.2,59.3,1.01,59.7,0.67
2024-11-01,11:15,Flat,62,TSSC,728.9,31.3,53.6,74.28,1.16,59.43,0.97,57.8,0.67
2024-11-01,11:30,Flat,62,TSSC,704.1,31.5,53.1,74.44,1.12,59.55,0.94,56.0,0.67
2024-11-01,11:45,Flat,62,TSSC,679.2,31.6,52.6,74.6,1.08,59.68,0.91,54.1,0.67
2024-11-01,12:00,Flat,62,TSSC,654.4,31.7,52.1,74.76,1.04,59.81,0.87,52.2,0.67
2024-11-01,12:15,Flat,62,TSSC,597.8,31.7,50.7,75.2,0.95,60.16,0.8,47.9,0.67
2024-11-01,12:30,Flat,62,TSSC,541.2,31.8,49.3,75.63,0.86,60.51,0.72,43.5,0.67
2024-11-01,12:45,Flat,62,TSSC,484.7,31.8,47.9,76.07,0.77,60.86,0.64,39.2,0.67
2024-11-01,13:00,Flat,62,TSSC,428.1,31.8,46.5,76.51,0.68,61.21,0.57,34.7,0.67
