Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,Flat,77,TCT,Spring,5.8,22.9,23.1,83.95,0.01,67.16,0.01,0.5,0.67
2025-02-01,05:30,Flat,77,TCT,Spring,11.7,23.2,23.5,83.81,0.02,67.05,0.02,1.0,0.67
2025-02-01,05:45,Flat,77,TCT,Spring,17.5,23.5,23.9,83.68,0.03,66.94,0.02,1.5,0.67
2025-02-01,06:00,Flat,77,TCT,Spring,23.3,23.7,24.3,83.55,0.04,66.84,0.03,2.1,0.67
2025-02-01,06:15,Flat,77,TCT,Spring,57.3,24.3,25.7,83.1,0.09,66.48,0.08,5.0,0.67
2025-02-01,06:30,Flat,77,TCT,Spring,91.4,24.8,27.1,82.66,0.14,66.13,0.12,8.0,0.67
2025-02-01,06:45,Flat,77,TCT,Spring,125.4,25.4,28.5,82.22,0.2,65.78,0.17,10.9,0.67
2025-02-01,07:00,Flat,77,TCT,Spring,159.4,25.9,29.9,81.78,0.25,65.42,0.21,13.9,0.67
2025-02-01,07:15,Flat,77,TCT,Spring,200.3,26.5,31.5,81.28,0.32,65.02,0.27,17.3,0.67
2025-02-01,07:30,Flat,77,TCT,Spring,241.2,27.0,33.0,80.78,0.38,64.62,0.32,20.8,0.67
2025-02-01,07:45,Flat,77,TCT,Spring,282.1,27.6,34.6,80.28,0.45,64.22,0.38,24.2,0.67
2025-02-01,08:00,Flat,77,TCT,Spring,323.0,28.1,36.2,79.78,0.52,63.82,0.43,27.6,0.67
2025-02-01,08:15,Flat,77,TCT,Spring,378.0,28.6,38.0,79.2,0.6,63.36,0.51,32.1,0.67
2025-02-01,08:30,Flat,77,TCT,Spring,432.9,29.0,39.8,78.63,0.69,62.9,0.58,36.6,0.67
2025-02-01,08:45,Flat,77,TCT,Spring,487.8,29.5,41.7,78.05,0.78,62.44,0.66,41.0,0.67
2025-02-01,09:00,Flat,77,TCT,Spring,542.8,29.9,43.5,77.48,0.87,61.98,0.73,45.3,0.67
2025-02-01,09:15,Flat,77,TCT,Spring,592.8,30.3,45.1,76.97,0.96,61.58,0.8,49.3,0.67
2025-02-01,09:30,Flat,77,TCT,Spring,642.9,30.6,46.7,76.46,1.04,61.17,0.87,53.1,0.67
2025-02-01,09:45,Flat,77,TCT,Spring,692.9,31.0,48.3,75.96,1.12,60.77,0.94,57.0,0.67
2025-02-01,10:00,Flat,77,TCT,Spring,743.0,31.3,49.9,75.45,1.2,60.36,1.01,60.8,0.67
2025-02-01,10:15,Flat,77,TCT,Spring,774.3,31.6,50.9,75.12,1.25,60.1,1.05,63.1,0.67
2025-02-01,10:30,Flat,77,TCT,Spring,805.6,31.8,51.9,74.8,1.31,59.84,1.09,65.5,0.67
2025-02-01,10:45,Flat,77,TCT,Spring,836.9,32.0,53.0,74.47,1.36,59.58,1.14,67.8,0.67
2025-02-01,11:00,Flat,77,TCT,Spring,868.2,32.3,54.0,74.14,1.41,59.32,1.18,70.1,0.67
2025-02-01,11:15,Flat,77,TCT,Spring,867.9,32.5,54.2,74.09,1.41,59.27,1.18,70.0,0.67
2025-02-01,11:30,Flat,77,TCT,Spring,867.5,32.6,54.3,74.04,1.41,59.23,1.18,70.0,0.67
2025-02-01,11:45,Flat,77,TCT,Spring,867.2,32.8,54.5,73.99,1.41,59.19,1.18,69.9,0.67
2025-02-01,12:00,Flat,77,TCT,Spring,866.9,33.0,54.7,73.94,1.41,59.15,1.18,69.8,0.67
2025-02-01,12:15,Flat,77,TCT,Spring,848.1,33.0,54.2,74.07,1.38,59.26,1.15,68.4,0.67
2025-02-01,12:30,Flat,77,TCT,Spring,829.3,33.1,53.8,74.21,1.35,59.37,1.13,67.0,0.67
2025-02-01,12:45,Flat,77,TCT,Spring,810.4,33.1,53.4,74.35,1.32,59.48,1.1,65.6,0.67
2025-02-01,13:00,Flat,77,TCT,Spring,791.6,33.1,52.9,74.48,1.29,59.59,1.08,64.1,0.67
2025-02-01,13:15,Flat,77,TCT,Spring,756.5,33.1,52.0,74.79,1.23,59.83,1.03,61.5,0.67
2025-02-01,13:30,Flat,77,TCT,Spring,721.5,33.0,51.0,75.09,1.17,60.07,0.98,58.8,0.67
2025-02-01,13:45,Flat,77,TCT,Spring,686.4,32.9,50.1,75.4,1.11,60.32,0.93,56.1,0.67
2025-02-01,14:00,Flat,77,TCT,Spring,651.3,32.8,49.1,75.7,1.05,60.56,0.88,53.4,0.67
2025-02-01,14:15,Flat,77,TCT,Spring,606.1,32.6,47.8,76.11,0.98,60.89,0.82,49.9,0.67
2025-02-01,14:30,Flat,77,TCT,Spring,560.9,32.5,46.5,76.53,0.9,61.22,0.76,46.4,0.67
2025-02-01,14:45,Flat,77,TCT,Spring,515.8,32.3,45.2,76.94,0.83,61.55,0.7,42.8,0.67
2025-02-01,15:00,Flat,77,TCT,Spring,470.6,32.1,43.9,77.36,0.76,61.89,0.63,39.2,0.67
2025-02-01,15:15,Flat,77,TCT,Spring,411.6,31.8,42.1,77.93,0.66,62.34,0.55,34.5,0.67
2025-02-01,15:30,Flat,77,TCT,Spring,352.5,31.4,40.2,78.5,0.57,62.8,0.47,29.7,0.67
2025-02-01,15:45,Flat,77,TCT,Spring,293.5,31.1,38.4,79.07,0.47,63.26,0.39,24.9,0.67
2025-02-01,16:00,Flat,77,TCT,Spring,234.5,30.8,36.6,79.64,0.37,63.71,0.31,20.0,0.67
2025-02-01,16:15,Flat,77,TCT,Spring,186.0,30.2,34.8,80.22,0.3,64.18,0.25,15.9,0.67
