Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,Flat,93,TSSC,Autumn,17.7,25.9,23.3,83.85,0.03,67.08,0.02,1.5,0.67
2025-09-01,05:30,Flat,93,TSSC,Autumn,35.5,26.2,24.1,83.63,0.05,66.9,0.05,3.1,0.67
2025-09-01,05:45,Flat,93,TSSC,Autumn,53.2,26.4,24.8,83.4,0.08,66.72,0.07,4.6,0.67
2025-09-01,06:00,Flat,93,TSSC,Autumn,70.9,26.7,25.5,83.18,0.11,66.55,0.09,6.1,0.67
2025-09-01,06:15,Flat,93,TSSC,Autumn,104.7,27.2,26.8,82.77,0.16,66.21,0.14,9.0,0.67
2025-09-01,06:30,Flat,93,TSSC,Autumn,138.5,27.6,28.1,82.35,0.22,65.88,0.18,11.9,0.67
2025-09-01,06:45,Flat,93,TSSC,Autumn,172.3,28.1,29.4,81.93,0.27,65.55,0.22,14.7,0.67
2025-09-01,07:00,Flat,93,TSSC,Autumn,206.1,28.6,30.7,81.52,0.32,65.21,0.27,17.5,0.67
2025-09-01,07:15,Flat,93,TSSC,Autumn,242.1,29.1,32.1,81.07,0.38,64.86,0.32,20.5,0.67
2025-09-01,07:30,Flat,93,TSSC,Autumn,278.1,29.6,33.5,80.62,0.43,64.5,0.36,23.5,0.67
2025-09-01,07:45,Flat,93,TSSC,Autumn,314.1,30.1,34.9,80.18,0.49,64.14,0.41,26.4,0.67
2025-09-01,08:00,Flat,93,TSSC,Autumn,350.1,30.6,36.4,79.73,0.55,63.79,0.46,29.3,0.67
2025-09-01,08:15,Flat,93,TSSC,Autumn,392.7,31.0,37.9,79.26,0.62,63.41,0.52,32.7,0.67
2025-09-01,08:30,Flat,93,TSSC,Autumn,435.3,31.5,39.4,78.78,0.68,63.02,0.57,36.1,0.67
2025-09-01,08:45,Flat,93,TSSC,Autumn,477.9,31.9,40.9,78.3,0.75,62.64,0.63,39.5,0.67
2025-09-01,09:00,Flat,93,TSSC,Autumn,520.5,32.4,42.4,77.83,0.82,62.26,0.69,42.8,0.67
2025-09-01,09:15,Flat,93,TSSC,Autumn,545.2,32.7,43.4,77.51,0.86,62.01,0.72,44.7,0.67
2025-09-01,09:30,Flat,93,TSSC,Autumn,569.9,33.1,44.4,77.2,0.9,61.76,0.75,46.6,0.67
2025-09-01,09:45,Flat,93,TSSC,Autumn,594.6,33.5,45.3,76.88,0.94,61.51,0.79,48.4,0.67
2025-09-01,10:00,Flat,93,TSSC,Autumn,619.3,33.9,46.3,76.57,0.98,61.26,0.82,50.3,0.67
2025-09-01,10:15,Flat,93,TSSC,Autumn,624.6,34.1,46.8,76.44,0.99,61.15,0.83,50.7,0.67
2025-09-01,10:30,Flat,93,TSSC,Autumn,629.9,34.4,47.2,76.3,1.0,61.04,0.84,51.0,0.67
2025-09-01,10:45,Flat,93,TSSC,Autumn,635.1,34.7,47.6,76.17,1.01,60.94,0.84,51.4,0.67
