Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,62,TSSC,18.4,25.6,28.0,82.37,0.03,65.9,0.03,1.7,0.67
2025-04-01,05:30,Inverted-V,62,TSSC,36.8,25.8,28.7,82.15,0.06,65.72,0.05,3.3,0.67
2025-04-01,05:45,Inverted-V,62,TSSC,55.3,26.0,29.4,81.93,0.09,65.54,0.08,4.9,0.67
2025-04-01,06:00,Inverted-V,62,TSSC,73.7,26.3,30.1,81.71,0.12,65.37,0.1,6.6,0.67
2025-04-01,06:15,Inverted-V,62,TSSC,118.4,26.8,31.8,81.18,0.19,64.94,0.16,10.5,0.67
2025-04-01,06:30,Inverted-V,62,TSSC,163.1,27.4,33.5,80.64,0.27,64.51,0.22,14.4,0.67
2025-04-01,06:45,Inverted-V,62,TSSC,207.7,28.0,35.2,80.11,0.34,64.09,0.29,18.3,0.67
2025-04-01,07:00,Inverted-V,62,TSSC,252.4,28.6,36.9,79.57,0.41,63.66,0.35,22.1,0.67
2025-04-01,07:15,Inverted-V,62,TSSC,306.7,29.1,38.7,78.97,0.5,63.18,0.42,26.7,0.67
2025-04-01,07:30,Inverted-V,62,TSSC,361.0,29.6,40.6,78.38,0.6,62.7,0.5,31.3,0.67
2025-04-01,07:45,Inverted-V,62,TSSC,415.3,30.1,42.5,77.78,0.69,62.22,0.57,35.8,0.67
2025-04-01,08:00,Inverted-V,62,TSSC,469.6,30.7,44.4,77.18,0.78,61.75,0.65,40.2,0.67
2025-04-01,08:15,Inverted-V,62,TSSC,519.9,31.1,46.1,76.64,0.86,61.31,0.72,44.3,0.67
2025-04-01,08:30,Inverted-V,62,TSSC,570.2,31.6,47.8,76.1,0.95,60.88,0.79,48.3,0.67
2025-04-01,08:45,Inverted-V,62,TSSC,620.5,32.0,49.5,75.56,1.03,60.45,0.86,52.3,0.67
2025-04-01,09:00,Inverted-V,62,TSSC,670.8,32.5,51.2,75.02,1.12,60.02,0.94,56.2,0.67
2025-04-01,09:15,Inverted-V,62,TSSC,687.5,32.9,52.1,74.76,1.15,59.81,0.96,57.4,0.67
2025-04-01,09:30,Inverted-V,62,TSSC,704.3,33.3,52.9,74.5,1.18,59.6,0.98,58.7,0.67
