Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-09-01,05:15,Inverted-V,77,Se-P,Autumn,25.4,24.4,23.0,83.95,0.04,67.16,0.03,2.1,0.67
2024-09-01,05:30,Inverted-V,77,Se-P,Autumn,50.8,24.6,23.9,83.68,0.07,66.95,0.06,4.2,0.67
2024-09-01,05:45,Inverted-V,77,Se-P,Autumn,76.2,24.8,24.7,83.42,0.11,66.73,0.09,6.3,0.67
2024-09-01,06:00,Inverted-V,77,Se-P,Autumn,101.6,25.0,25.6,83.15,0.15,66.52,0.13,8.4,0.67
2024-09-01,06:15,Inverted-V,77,Se-P,Autumn,143.7,25.3,26.9,82.72,0.21,66.18,0.18,11.8,0.67
2024-09-01,06:30,Inverted-V,77,Se-P,Autumn,185.9,25.6,28.3,82.29,0.28,65.83,0.23,15.2,0.67
2024-09-01,06:45,Inverted-V,77,Se-P,Autumn,228.0,26.0,29.6,81.86,0.34,65.48,0.28,18.5,0.67
2024-09-01,07:00,Inverted-V,77,Se-P,Autumn,270.1,26.3,31.0,81.42,0.4,65.14,0.34,21.9,0.67
2024-09-01,07:15,Inverted-V,77,Se-P,Autumn,323.5,26.7,32.8,80.85,0.48,64.68,0.4,26.1,0.67
2024-09-01,07:30,Inverted-V,77,Se-P,Autumn,377.0,27.2,34.7,80.27,0.56,64.22,0.47,30.2,0.67
2024-09-01,07:45,Inverted-V,77,Se-P,Autumn,430.4,27.7,36.5,79.69,0.64,63.75,0.54,34.3,0.67
2024-09-01,08:00,Inverted-V,77,Se-P,Autumn,483.8,28.2,38.3,79.11,0.72,63.29,0.61,38.4,0.67
2024-09-01,08:15,Inverted-V,77,Se-P,Autumn,508.9,28.7,39.4,78.75,0.76,63.0,0.64,40.2,0.67
2024-09-01,08:30,Inverted-V,77,Se-P,Autumn,534.0,29.2,40.6,78.39,0.8,62.71,0.67,42.0,0.67
2024-09-01,08:45,Inverted-V,77,Se-P,Autumn,559.1,29.7,41.7,78.03,0.84,62.43,0.7,43.9,0.67
2024-09-01,09:00,Inverted-V,77,Se-P,Autumn,584.2,30.3,42.9,77.67,0.88,62.14,0.73,45.7,0.67
2024-09-01,09:15,Inverted-V,77,Se-P,Autumn,606.1,30.7,43.8,77.37,0.91,61.9,0.76,47.2,0.67
2024-09-01,09:30,Inverted-V,77,Se-P,Autumn,628.1,31.1,44.8,77.07,0.95,61.65,0.79,48.8,0.67
2024-09-01,09:45,Inverted-V,77,Se-P,Autumn,650.1,31.5,45.7,76.77,0.98,61.41,0.82,50.4,0.67
2024-09-01,10:00,Inverted-V,77,Se-P,Autumn,672.0,31.9,46.7,76.46,1.01,61.17,0.85,51.9,0.67
2024-09-01,10:15,Inverted-V,77,Se-P,Autumn,656.2,32.1,46.6,76.5,0.99,61.2,0.83,50.7,0.67
2024-09-01,10:30,Inverted-V,77,Se-P,Autumn,640.4,32.4,46.4,76.54,0.97,61.23,0.81,49.5,0.67
2024-09-01,10:45,Inverted-V,77,Se-P,Autumn,624.6,32.7,46.3,76.58,0.94,61.27,0.79,48.3,0.67
2024-09-01,11:00,Inverted-V,77,Se-P,Autumn,608.9,33.0,46.2,76.62,0.92,61.3,0.77,47.1,0.67
2024-09-01,11:15,Inverted-V,77,Se-P,Autumn,584.7,33.1,45.7,76.76,0.88,61.41,0.74,45.3,0.67
2024-09-01,11:30,Inverted-V,77,Se-P,Autumn,560.6,33.3,45.3,76.91,0.84,61.53,0.71,43.5,0.67
2024-09-01,11:45,Inverted-V,77,Se-P,Autumn,536.4,33.4,44.8,77.05,0.81,61.64,0.68,41.7,0.67
2024-09-01,12:00,Inverted-V,77,Se-P,Autumn,512.3,33.6,44.4,77.2,0.77,61.76,0.65,39.9,0.67
2024-09-01,12:15,Inverted-V,77,Se-P,Autumn,483.0,33.6,43.6,77.42,0.73,61.94,0.61,37.7,0.67
2024-09-01,12:30,Inverted-V,77,Se-P,Autumn,453.8,33.6,42.9,77.65,0.68,62.12,0.57,35.5,0.67
2024-09-01,12:45,Inverted-V,77,Se-P,Autumn,424.5,33.6,42.2,77.88,0.64,62.3,0.53,33.3,0.67
2024-09-01,13:00,Inverted-V,77,Se-P,Autumn,395.3,33.6,41.5,78.11,0.59,62.48,0.5,31.0,0.67
2024-09-01,13:15,Inverted-V,77,Se-P,Autumn,401.2,33.5,41.5,78.1,0.6,62.48,0.5,31.5,0.67
2024-09-01,13:30,Inverted-V,77,Se-P,Autumn,407.0,33.3,41.5,78.1,0.61,62.48,0.51,32.0,0.67
2024-09-01,13:45,Inverted-V,77,Se-P,Autumn,412.9,33.2,41.5,78.1,0.62,62.48,0.52,32.4,0.67
2024-09-01,14:00,Inverted-V,77,Se-P,Autumn,418.8,33.1,41.5,78.09,0.63,62.48,0.53,32.9,0.67
2024-09-01,14:15,Inverted-V,77,Se-P,Autumn,387.5,32.8,40.5,78.42,0.58,62.74,0.49,30.5,0.67
2024-09-01,14:30,Inverted-V,77,Se-P,Autumn,356.3,32.6,39.5,78.75,0.53,63.0,0.45,28.1,0.67
2024-09-01,14:45,Inverted-V,77,Se-P,Autumn,325.1,32.3,38.4,79.07,0.49,63.26,0.41,25.8,0.67
2024-09-01,15:00,Inverted-V,77,Se-P,Autumn,293.8,32.1,37.4,79.4,0.44,63.52,0.37,23.4,0.67
2024-09-01,15:15,Inverted-V,77,Se-P,Autumn,259.2,31.7,36.2,79.78,0.39,63.82,0.32,20.7,0.67
2024-09-01,15:30,Inverted-V,77,Se-P,Autumn,224.5,31.4,35.0,80.16,0.33,64.13,0.28,18.0,0.67
2024-09-01,15:45,Inverted-V,77,Se-P,Autumn,189.9,31.1,33.8,80.54,0.28,64.43,0.24,15.3,0.67
2024-09-01,16:00,Inverted-V,77,Se-P,Autumn,155.2,30.7,32.6,80.92,0.23,64.74,0.19,12.5,0.67
2024-09-01,16:15,Inverted-V,77,Se-P,Autumn,125.2,30.2,31.3,81.32,0.19,65.06,0.16,10.1,0.67
2024-09-01,16:30,Inverted-V,77,Se-P,Autumn,95.1,29.7,30.1,81.73,0.14,65.38,0.12,7.7,0.67
2024-09-01,16:45,Inverted-V,77,Se-P,Autumn,65.0,29.2,28.8,82.13,0.1,65.7,0.08,5.3,0.67
2024-09-01,17:00,Inverted-V,77,Se-P,Autumn,34.9,28.6,27.5,82.53,0.05,66.03,0.04,2.9,0.67
2024-09-01,17:15,Inverted-V,77,Se-P,Autumn,26.2,28.2,26.9,82.73,0.04,66.19,0.03,2.1,0.67
2024-09-01,17:30,Inverted-V,77,Se-P,Autumn,17.5,27.8,26.3,82.93,0.03,66.35,0.02,1.4,0.67
2024-09-01,17:45,Inverted-V,77,Se-P,Autumn,8.7,27.4,25.6,83.13,0.01,66.51,0.01,0.7,0.67
2024-09-02,05:15,Inverted-V,77,Se-P,Autumn,18.7,24.3,22.7,84.04,0.03,67.23,0.02,1.5,0.67
2024-09-02,05:30,Inverted-V,77,Se-P,Autumn,37.3,24.6,23.5,83.81,0.06,67.04,0.05,3.1,0.67
2024-09-02,05:45,Inverted-V,77,Se-P,Autumn,56.0,24.8,24.2,83.57,0.08,66.85,0.07,4.6,0.67
2024-09-02,06:00,Inverted-V,77,Se-P,Autumn,74.6,25.1,25.0,83.33,0.11,66.66,0.09,6.2,0.67
2024-09-02,06:15,Inverted-V,77,Se-P,Autumn,102.7,25.5,26.1,82.98,0.15,66.38,0.13,8.4,0.67
2024-09-02,06:30,Inverted-V,77,Se-P,Autumn,130.8,25.9,27.2,82.63,0.19,66.1,0.16,10.7,0.67
2024-09-02,06:45,Inverted-V,77,Se-P,Autumn,158.9,26.3,28.3,82.28,0.24,65.82,0.2,13.0,0.67
2024-09-02,07:00,Inverted-V,77,Se-P,Autumn,187.0,26.8,29.4,81.93,0.28,65.54,0.23,15.2,0.67
2024-09-02,07:15,Inverted-V,77,Se-P,Autumn,226.4,27.2,30.9,81.46,0.34,65.17,0.28,18.3,0.67
2024-09-02,07:30,Inverted-V,77,Se-P,Autumn,265.9,27.7,32.4,81.0,0.4,64.8,0.33,21.5,0.67
2024-09-02,07:45,Inverted-V,77,Se-P,Autumn,305.4,28.2,33.8,80.53,0.45,64.42,0.38,24.5,0.67
2024-09-02,08:00,Inverted-V,77,Se-P,Autumn,344.9,28.7,35.3,80.07,0.51,64.05,0.43,27.6,0.67
2024-09-02,08:15,Inverted-V,77,Se-P,Autumn,391.5,29.1,36.9,79.56,0.58,63.65,0.49,31.2,0.67
2024-09-02,08:30,Inverted-V,77,Se-P,Autumn,438.1,29.6,38.5,79.05,0.66,63.24,0.55,34.7,0.67
2024-09-02,08:45,Inverted-V,77,Se-P,Autumn,484.7,30.0,40.1,78.55,0.73,62.84,0.61,38.2,0.67
2024-09-02,09:00,Inverted-V,77,Se-P,Autumn,531.3,30.4,41.7,78.04,0.8,62.43,0.67,41.7,0.67
2024-09-02,09:15,Inverted-V,77,Se-P,Autumn,588.7,30.8,43.5,77.46,0.89,61.97,0.74,45.9,0.67
2024-09-02,09:30,Inverted-V,77,Se-P,Autumn,646.1,31.2,45.4,76.88,0.97,61.51,0.81,50.1,0.67
2024-09-02,09:45,Inverted-V,77,Se-P,Autumn,703.5,31.6,47.2,76.3,1.06,61.04,0.89,54.3,0.67
2024-09-02,10:00,Inverted-V,77,Se-P,Autumn,760.9,32.0,49.0,75.72,1.15,60.58,0.96,58.3,0.67
2024-09-02,10:15,Inverted-V,77,Se-P,Autumn,768.3,32.4,49.6,75.55,1.16,60.44,0.97,58.8,0.67
2024-09-02,10:30,Inverted-V,77,Se-P,Autumn,775.7,32.7,50.1,75.38,1.17,60.3,0.98,59.3,0.67
2024-09-02,10:45,Inverted-V,77,Se-P,Autumn,783.1,33.1,50.7,75.2,1.19,60.16,0.99,59.7,0.67
2024-09-02,11:00,Inverted-V,77,Se-P,Autumn,790.5,33.5,51.2,75.03,1.2,60.02,1.0,60.2,0.67
2024-09-02,11:15,Inverted-V,77,Se-P,Autumn,793.0,33.8,51.6,74.9,1.2,59.92,1.01,60.3,0.67
2024-09-02,11:30,Inverted-V,77,Se-P,Autumn,795.4,34.1,52.0,74.78,1.21,59.82,1.01,60.4,0.67
2024-09-02,11:45,Inverted-V,77,Se-P,Autumn,797.9,34.5,52.4,74.65,1.21,59.72,1.01,60.5,0.67
2024-09-02,12:00,Inverted-V,77,Se-P,Autumn,800.3,34.8,52.8,74.52,1.21,59.62,1.02,60.6,0.67
2024-09-02,12:15,Inverted-V,77,Se-P,Autumn,759.0,35.0,51.9,74.79,1.15,59.84,0.96,57.7,0.67
2024-09-02,12:30,Inverted-V,77,Se-P,Autumn,717.6,35.1,51.1,75.07,1.09,60.05,0.91,54.7,0.67
2024-09-02,12:45,Inverted-V,77,Se-P,Autumn,676.3,35.3,50.2,75.34,1.02,60.27,0.86,51.7,0.67
2024-09-02,13:00,Inverted-V,77,Se-P,Autumn,634.9,35.5,49.4,75.61,0.96,60.49,0.8,48.6,0.67
2024-09-02,13:15,Inverted-V,77,Se-P,Autumn,603.8,35.4,48.5,75.88,0.91,60.7,0.76,46.4,0.67
