Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Inverted-V,77,Se-P,24.1,25.1,23.7,83.75,0.04,67.0,0.03,2.0,0.67
2024-11-01,05:30,Inverted-V,77,Se-P,48.3,25.2,24.4,83.51,0.07,66.81,0.06,4.0,0.67
2024-11-01,05:45,Inverted-V,77,Se-P,72.4,25.3,25.2,83.28,0.11,66.62,0.09,6.0,0.67
2024-11-01,06:00,Inverted-V,77,Se-P,96.6,25.5,25.9,83.04,0.14,66.44,0.12,7.9,0.67
2024-11-01,06:15,Inverted-V,77,Se-P,145.8,25.7,27.4,82.58,0.22,66.06,0.18,11.9,0.67
2024-11-01,06:30,Inverted-V,77,Se-P,195.0,26.0,28.8,82.12,0.29,65.69,0.24,15.9,0.67
2024-11-01,06:45,Inverted-V,77,Se-P,244.3,26.2,30.3,81.65,0.36,65.32,0.3,19.8,0.67
2024-11-01,07:00,Inverted-V,77,Se-P,293.5,26.4,31.8,81.19,0.44,64.95,0.37,23.7,0.67
2024-11-01,07:15,Inverted-V,77,Se-P,350.6,26.8,33.5,80.63,0.52,64.51,0.44,28.2,0.67
2024-11-01,07:30,Inverted-V,77,Se-P,407.8,27.1,35.3,80.08,0.61,64.06,0.51,32.6,0.67
2024-11-01,07:45,Inverted-V,77,Se-P,465.0,27.4,37.0,79.52,0.69,63.62,0.58,37.0,0.67
2024-11-01,08:00,Inverted-V,77,Se-P,522.1,27.7,38.8,78.97,0.78,63.18,0.65,41.3,0.67
2024-11-01,08:15,Inverted-V,77,Se-P,568.7,28.1,40.3,78.49,0.85,62.79,0.71,44.8,0.67
2024-11-01,08:30,Inverted-V,77,Se-P,615.2,28.4,41.8,78.01,0.92,62.41,0.77,48.3,0.67
2024-11-01,08:45,Inverted-V,77,Se-P,661.8,28.8,43.3,77.53,0.99,62.03,0.83,51.7,0.67
2024-11-01,09:00,Inverted-V,77,Se-P,708.4,29.1,44.8,77.06,1.07,61.64,0.89,55.0,0.67
2024-11-01,09:15,Inverted-V,77,Se-P,736.3,29.4,45.8,76.74,1.11,61.39,0.93,57.0,0.67
2024-11-01,09:30,Inverted-V,77,Se-P,764.3,29.7,46.8,76.42,1.15,61.14,0.97,59.0,0.67
