Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,Inverted-V,77,TCT,Autumn,19.1,25.9,24.4,83.52,0.03,66.82,0.03,1.7,0.67
2025-09-01,05:30,Inverted-V,77,TCT,Autumn,38.3,26.2,25.1,83.29,0.06,66.63,0.05,3.4,0.67
2025-09-01,05:45,Inverted-V,77,TCT,Autumn,57.4,26.4,25.9,83.05,0.09,66.44,0.08,5.1,0.67
2025-09-01,06:00,Inverted-V,77,TCT,Autumn,76.6,26.7,26.6,82.82,0.12,66.26,0.1,6.7,0.67
2025-09-01,06:15,Inverted-V,77,TCT,Autumn,113.1,27.2,28.0,82.38,0.18,65.91,0.15,9.9,0.67
2025-09-01,06:30,Inverted-V,77,TCT,Autumn,149.6,27.6,29.4,81.94,0.24,65.56,0.2,13.0,0.67
2025-09-01,06:45,Inverted-V,77,TCT,Autumn,186.0,28.1,30.8,81.51,0.3,65.21,0.25,16.1,0.67
2025-09-01,07:00,Inverted-V,77,TCT,Autumn,222.5,28.6,32.1,81.07,0.35,64.86,0.3,19.2,0.67
2025-09-01,07:15,Inverted-V,77,TCT,Autumn,261.4,29.1,33.6,80.6,0.42,64.48,0.35,22.5,0.67
2025-09-01,07:30,Inverted-V,77,TCT,Autumn,300.3,29.6,35.1,80.13,0.48,64.11,0.4,25.7,0.67
2025-09-01,07:45,Inverted-V,77,TCT,Autumn,339.3,30.1,36.6,79.66,0.54,63.73,0.45,28.9,0.67
2025-09-01,08:00,Inverted-V,77,TCT,Autumn,378.2,30.6,38.1,79.19,0.61,63.36,0.51,32.1,0.67
2025-09-01,08:15,Inverted-V,77,TCT,Autumn,424.2,31.0,39.6,78.69,0.68,62.95,0.57,35.8,0.67
2025-09-01,08:30,Inverted-V,77,TCT,Autumn,470.2,31.5,41.2,78.19,0.75,62.55,0.63,39.5,0.67
2025-09-01,08:45,Inverted-V,77,TCT,Autumn,516.1,31.9,42.8,77.68,0.83,62.15,0.69,43.2,0.67
2025-09-01,09:00,Inverted-V,77,TCT,Autumn,562.1,32.4,44.4,77.18,0.91,61.74,0.76,46.8,0.67
2025-09-01,09:15,Inverted-V,77,TCT,Autumn,588.8,32.7,45.5,76.85,0.95,61.48,0.79,48.9,0.67
2025-09-01,09:30,Inverted-V,77,TCT,Autumn,615.5,33.1,46.5,76.52,0.99,61.22,0.83,50.9,0.67
2025-09-01,09:45,Inverted-V,77,TCT,Autumn,642.2,33.5,47.5,76.19,1.04,60.95,0.87,52.9,0.67
2025-09-01,10:00,Inverted-V,77,TCT,Autumn,668.8,33.9,48.6,75.86,1.08,60.69,0.91,55.0,0.67
2025-09-01,10:15,Inverted-V,77,TCT,Autumn,674.5,34.1,49.0,75.72,1.09,60.58,0.91,55.3,0.67
2025-09-01,10:30,Inverted-V,77,TCT,Autumn,680.2,34.4,49.4,75.59,1.1,60.47,0.92,55.7,0.67
2025-09-01,10:45,Inverted-V,77,TCT,Autumn,686.0,34.7,49.9,75.45,1.11,60.36,0.93,56.1,0.67
2025-09-01,11:00,Inverted-V,77,TCT,Autumn,691.7,35.0,50.3,75.32,1.12,60.25,0.94,56.5,0.67
2025-09-01,11:15,Inverted-V,77,TCT,Autumn,675.4,35.1,50.0,75.4,1.09,60.32,0.92,55.2,0.67
2025-09-01,11:30,Inverted-V,77,TCT,Autumn,659.2,35.3,49.8,75.49,1.07,60.39,0.89,54.0,0.67
2025-09-01,11:45,Inverted-V,77,TCT,Autumn,643.0,35.4,49.5,75.57,1.04,60.46,0.87,52.7,0.67
2025-09-01,12:00,Inverted-V,77,TCT,Autumn,626.8,35.6,49.2,75.66,1.01,60.52,0.85,51.4,0.67
2025-09-01,12:15,Inverted-V,77,TCT,Autumn,626.8,35.6,49.3,75.64,1.01,60.51,0.85,51.4,0.67
2025-09-01,12:30,Inverted-V,77,TCT,Autumn,626.8,35.7,49.3,75.62,1.01,60.5,0.85,51.4,0.67
2025-09-01,12:45,Inverted-V,77,TCT,Autumn,626.9,35.7,49.4,75.61,1.01,60.49,0.85,51.4,0.67
2025-09-01,13:00,Inverted-V,77,TCT,Autumn,626.9,35.8,49.4,75.59,1.01,60.47,0.85,51.4,0.67
2025-09-01,13:15,Inverted-V,77,TCT,Autumn,601.0,35.7,48.7,75.81,0.97,60.65,0.81,49.4,0.67
2025-09-01,13:30,Inverted-V,77,TCT,Autumn,575.2,35.6,48.0,76.04,0.93,60.83,0.78,47.3,0.67
2025-09-01,13:45,Inverted-V,77,TCT,Autumn,549.3,35.6,47.3,76.26,0.89,61.01,0.74,45.3,0.67
2025-09-01,14:00,Inverted-V,77,TCT,Autumn,523.4,35.5,46.6,76.48,0.84,61.18,0.71,43.3,0.67
2025-09-01,14:15,Inverted-V,77,TCT,Autumn,481.7,35.4,45.4,76.86,0.78,61.49,0.65,40.0,0.67
2025-09-01,14:30,Inverted-V,77,TCT,Autumn,440.0,35.2,44.2,77.25,0.71,61.8,0.59,36.7,0.67
2025-09-01,14:45,Inverted-V,77,TCT,Autumn,398.3,35.0,43.0,77.63,0.64,62.1,0.54,33.3,0.67
2025-09-01,15:00,Inverted-V,77,TCT,Autumn,356.5,34.9,41.8,78.01,0.57,62.41,0.48,29.9,0.67
2025-09-01,15:15,Inverted-V,77,TCT,Autumn,311.3,34.6,40.3,78.47,0.5,62.77,0.42,26.2,0.67
2025-09-01,15:30,Inverted-V,77,TCT,Autumn,266.0,34.3,38.9,78.92,0.43,63.14,0.36,22.5,0.67
2025-09-01,15:45,Inverted-V,77,TCT,Autumn,220.8,34.0,37.5,79.38,0.35,63.5,0.3,18.8,0.67
2025-09-01,16:00,Inverted-V,77,TCT,Autumn,175.5,33.6,36.0,79.83,0.28,63.87,0.23,15.0,0.67
2025-09-01,16:15,Inverted-V,77,TCT,Autumn,140.7,33.1,34.6,80.29,0.22,64.23,0.19,12.1,0.67
2025-09-01,16:30,Inverted-V,77,TCT,Autumn,106.0,32.5,33.2,80.74,0.17,64.59,0.14,9.1,0.67
2025-09-01,16:45,Inverted-V,77,TCT,Autumn,71.2,31.9,31.7,81.2,0.11,64.96,0.09,6.2,0.67
2025-09-01,17:00,Inverted-V,77,TCT,Autumn,36.5,31.4,30.3,81.65,0.06,65.32,0.05,3.2,0.67
2025-09-01,17:15,Inverted-V,77,TCT,Autumn,27.4,30.9,29.6,81.88,0.04,65.5,0.04,2.4,0.67
2025-09-01,17:30,Inverted-V,77,TCT,Autumn,18.2,30.4,28.9,82.11,0.03,65.69,0.02,1.6,0.67
2025-09-01,17:45,Inverted-V,77,TCT,Autumn,9.1,29.9,28.1,82.33,0.01,65.87,0.01,0.8,0.67
2025-09-02,05:15,Inverted-V,77,TCT,Autumn,23.5,25.4,24.0,83.64,0.04,66.91,0.03,2.1,0.67
2025-09-02,05:30,Inverted-V,77,TCT,Autumn,46.9,25.7,24.9,83.36,0.07,66.69,0.06,4.1,0.67
2025-09-02,05:45,Inverted-V,77,TCT,Autumn,70.4,26.0,25.8,83.09,0.11,66.47,0.09,6.2,0.67
2025-09-02,06:00,Inverted-V,77,TCT,Autumn,93.8,26.3,26.6,82.82,0.15,66.25,0.12,8.2,0.67
2025-09-02,06:15,Inverted-V,77,TCT,Autumn,139.2,26.8,28.3,82.3,0.22,65.84,0.18,12.2,0.67
2025-09-02,06:30,Inverted-V,77,TCT,Autumn,184.5,27.3,29.9,81.78,0.29,65.42,0.25,16.0,0.67
2025-09-02,06:45,Inverted-V,77,TCT,Autumn,229.8,27.8,31.5,81.26,0.37,65.01,0.31,19.9,0.67
2025-09-02,07:00,Inverted-V,77,TCT,Autumn,275.1,28.3,33.2,80.74,0.44,64.59,0.37,23.7,0.67
2025-09-02,07:15,Inverted-V,77,TCT,Autumn,322.5,28.9,35.0,80.16,0.51,64.13,0.43,27.6,0.67
2025-09-02,07:30,Inverted-V,77,TCT,Autumn,369.8,29.6,36.8,79.58,0.59,63.66,0.49,31.5,0.67
2025-09-02,07:45,Inverted-V,77,TCT,Autumn,417.2,30.2,38.7,79.0,0.67,63.2,0.56,35.3,0.67
2025-09-02,08:00,Inverted-V,77,TCT,Autumn,464.5,30.9,40.5,78.42,0.74,62.73,0.62,39.1,0.67
2025-09-02,08:15,Inverted-V,77,TCT,Autumn,496.4,31.5,41.9,77.98,0.8,62.38,0.67,41.7,0.67
2025-09-02,08:30,Inverted-V,77,TCT,Autumn,528.3,32.1,43.3,77.54,0.85,62.03,0.71,44.1,0.67
2025-09-02,08:45,Inverted-V,77,TCT,Autumn,560.2,32.7,44.7,77.1,0.9,61.68,0.76,46.6,0.67
2025-09-02,09:00,Inverted-V,77,TCT,Autumn,592.2,33.3,46.1,76.66,0.95,61.33,0.8,49.0,0.67
2025-09-02,09:15,Inverted-V,77,TCT,Autumn,624.7,33.7,47.4,76.25,1.01,61.0,0.84,51.5,0.67
2025-09-02,09:30,Inverted-V,77,TCT,Autumn,657.3,34.2,48.7,75.84,1.06,60.67,0.89,54.0,0.67
2025-09-02,09:45,Inverted-V,77,TCT,Autumn,689.9,34.7,50.0,75.42,1.12,60.34,0.94,56.4,0.67
2025-09-02,10:00,Inverted-V,77,TCT,Autumn,722.4,35.2,51.3,75.01,1.17,60.01,0.98,58.8,0.67
2025-09-02,10:15,Inverted-V,77,TCT,Autumn,728.9,35.6,51.8,74.84,1.18,59.87,0.99,59.3,0.67
2025-09-02,10:30,Inverted-V,77,TCT,Autumn,735.3,36.0,52.4,74.66,1.19,59.73,1.0,59.7,0.67
2025-09-02,10:45,Inverted-V,77,TCT,Autumn,741.8,36.4,52.9,74.49,1.2,59.59,1.01,60.1,0.67
2025-09-02,11:00,Inverted-V,77,TCT,Autumn,748.2,36.8,53.5,74.31,1.22,59.45,1.02,60.5,0.67
2025-09-02,11:15,Inverted-V,77,TCT,Autumn,773.4,37.0,54.3,74.05,1.26,59.24,1.05,62.4,0.67
2025-09-02,11:30,Inverted-V,77,TCT,Autumn,798.7,37.2,55.2,73.78,1.3,59.02,1.09,64.2,0.67
2025-09-02,11:45,Inverted-V,77,TCT,Autumn,823.9,37.4,56.0,73.51,1.34,58.81,1.12,66.1,0.67
2025-09-02,12:00,Inverted-V,77,TCT,Autumn,849.1,37.6,56.8,73.25,1.38,58.6,1.16,67.9,0.67
2025-09-02,12:15,Inverted-V,77,TCT,Autumn,823.1,37.6,56.2,73.44,1.34,58.75,1.12,66.0,0.67
2025-09-02,12:30,Inverted-V,77,TCT,Autumn,797.1,37.7,55.6,73.64,1.3,58.91,1.09,64.0,0.67
2025-09-02,12:45,Inverted-V,77,TCT,Autumn,771.1,37.7,55.0,73.84,1.25,59.07,1.05,62.1,0.67
2025-09-02,13:00,Inverted-V,77,TCT,Autumn,745.1,37.7,54.4,74.03,1.21,59.23,1.01,60.1,0.67
2025-09-02,13:15,Inverted-V,77,TCT,Autumn,698.4,37.6,53.0,74.45,1.13,59.56,0.95,56.6,0.67
2025-09-02,13:30,Inverted-V,77,TCT,Autumn,651.6,37.4,51.7,74.87,1.06,59.9,0.88,53.0,0.67
2025-09-02,13:45,Inverted-V,77,TCT,Autumn,604.9,37.3,50.4,75.29,0.98,60.23,0.82,49.4,0.67
2025-09-02,14:00,Inverted-V,77,TCT,Autumn,558.1,37.1,49.1,75.71,0.9,60.57,0.76,45.8,0.67
2025-09-02,14:15,Inverted-V,77,TCT,Autumn,516.4,36.8,47.8,76.12,0.83,60.9,0.7,42.5,0.67
2025-09-02,14:30,Inverted-V,77,TCT,Autumn,474.6,36.6,46.4,76.54,0.77,61.23,0.64,39.3,0.67
2025-09-02,14:45,Inverted-V,77,TCT,Autumn,432.8,36.3,45.1,76.95,0.7,61.56,0.58,35.9,0.67
2025-09-02,15:00,Inverted-V,77,TCT,Autumn,391.0,36.0,43.8,77.37,0.63,61.89,0.53,32.6,0.67
2025-09-02,15:15,Inverted-V,77,TCT,Autumn,342.1,35.7,42.2,77.88,0.55,62.3,0.46,28.7,0.67
