Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,Inverted-V,77,TCT,24.1,25.1,23.7,83.75,0.04,67.0,0.03,2.1,0.67
2024-11-01,05:30,Inverted-V,77,TCT,48.3,25.2,24.4,83.51,0.08,66.81,0.06,4.3,0.67
2024-11-01,05:45,Inverted-V,77,TCT,72.4,25.3,25.2,83.28,0.11,66.62,0.1,6.4,0.67
2024-11-01,06:00,Inverted-V,77,TCT,96.6,25.5,25.9,83.04,0.15,66.44,0.13,8.5,0.67
2024-11-01,06:15,Inverted-V,77,TCT,145.8,25.7,27.4,82.58,0.23,66.06,0.19,12.8,0.67
2024-11-01,06:30,Inverted-V,77,TCT,195.0,26.0,28.8,82.12,0.31,65.69,0.26,17.0,0.67
2024-11-01,06:45,Inverted-V,77,TCT,244.3,26.2,30.3,81.65,0.39,65.32,0.32,21.2,0.67
2024-11-01,07:00,Inverted-V,77,TCT,293.5,26.4,31.8,81.19,0.47,64.95,0.39,25.4,0.67
2024-11-01,07:15,Inverted-V,77,TCT,350.6,26.8,33.5,80.63,0.56,64.51,0.47,30.2,0.67
2024-11-01,07:30,Inverted-V,77,TCT,407.8,27.1,35.3,80.08,0.65,64.06,0.54,34.9,0.67
2024-11-01,07:45,Inverted-V,77,TCT,465.0,27.4,37.0,79.52,0.74,63.62,0.62,39.6,0.67
2024-11-01,08:00,Inverted-V,77,TCT,522.1,27.7,38.8,78.97,0.84,63.18,0.7,44.2,0.67
2024-11-01,08:15,Inverted-V,77,TCT,568.7,28.1,40.3,78.49,0.91,62.79,0.76,48.0,0.67
2024-11-01,08:30,Inverted-V,77,TCT,615.2,28.4,41.8,78.01,0.99,62.41,0.83,51.6,0.67
2024-11-01,08:45,Inverted-V,77,TCT,661.8,28.8,43.3,77.53,1.06,62.03,0.89,55.3,0.67
2024-11-01,09:00,Inverted-V,77,TCT,708.4,29.1,44.8,77.06,1.14,61.64,0.96,58.9,0.67
2024-11-01,09:15,Inverted-V,77,TCT,736.3,29.4,45.8,76.74,1.19,61.39,0.99,61.0,0.67
2024-11-01,09:30,Inverted-V,77,TCT,764.3,29.7,46.8,76.42,1.23,61.14,1.03,63.2,0.67
2024-11-01,09:45,Inverted-V,77,TCT,792.3,30.0,47.8,76.1,1.28,60.88,1.07,65.3,0.67
2024-11-01,10:00,Inverted-V,77,TCT,820.3,30.3,48.8,75.78,1.33,60.63,1.11,67.4,0.67
2024-11-01,10:15,Inverted-V,77,TCT,818.8,30.5,49.0,75.72,1.32,60.58,1.11,67.2,0.67
2024-11-01,10:30,Inverted-V,77,TCT,817.2,30.8,49.2,75.66,1.32,60.53,1.11,67.0,0.67
2024-11-01,10:45,Inverted-V,77,TCT,815.7,31.0,49.4,75.61,1.32,60.48,1.11,66.8,0.67
2024-11-01,11:00,Inverted-V,77,TCT,814.1,31.2,49.6,75.55,1.32,60.44,1.1,66.7,0.67
2024-11-01,11:15,Inverted-V,77,TCT,787.3,31.3,49.0,75.72,1.27,60.58,1.07,64.6,0.67
2024-11-01,11:30,Inverted-V,77,TCT,760.4,31.5,48.5,75.9,1.23,60.72,1.03,62.5,0.67
2024-11-01,11:45,Inverted-V,77,TCT,733.6,31.6,47.9,76.07,1.19,60.86,0.99,60.4,0.67
2024-11-01,12:00,Inverted-V,77,TCT,706.8,31.7,47.4,76.25,1.14,61.0,0.96,58.3,0.67
2024-11-01,12:15,Inverted-V,77,TCT,645.6,31.7,45.9,76.72,1.04,61.37,0.87,53.5,0.67
2024-11-01,12:30,Inverted-V,77,TCT,584.5,31.8,44.4,77.19,0.94,61.75,0.79,48.7,0.67
2024-11-01,12:45,Inverted-V,77,TCT,523.4,31.8,42.9,77.67,0.84,62.13,0.7,43.8,0.67
2024-11-01,13:00,Inverted-V,77,TCT,462.3,31.8,41.4,78.14,0.74,62.51,0.62,38.9,0.67
2024-11-01,13:15,Inverted-V,77,TCT,421.0,31.7,40.3,78.49,0.67,62.8,0.57,35.5,0.67
2024-11-01,13:30,Inverted-V,77,TCT,379.6,31.6,39.1,78.85,0.61,63.08,0.51,32.1,0.67
2024-11-01,13:45,Inverted-V,77,TCT,338.3,31.6,38.0,79.21,0.54,63.37,0.45,28.7,0.67
2024-11-01,14:00,Inverted-V,77,TCT,296.9,31.5,36.9,79.56,0.47,63.65,0.4,25.3,0.67
2024-11-01,14:15,Inverted-V,77,TCT,268.0,31.4,36.1,79.83,0.43,63.86,0.36,22.9,0.67
2024-11-01,14:30,Inverted-V,77,TCT,239.2,31.2,35.2,80.09,0.38,64.07,0.32,20.5,0.67
2024-11-01,14:45,Inverted-V,77,TCT,210.3,31.1,34.4,80.36,0.34,64.29,0.28,18.1,0.67
2024-11-01,15:00,Inverted-V,77,TCT,181.5,31.0,33.5,80.62,0.29,64.5,0.24,15.6,0.67
2024-11-01,15:15,Inverted-V,77,TCT,154.4,30.8,32.7,80.9,0.25,64.72,0.21,13.3,0.67
2024-11-01,15:30,Inverted-V,77,TCT,127.4,30.6,31.8,81.18,0.2,64.94,0.17,11.0,0.67
2024-11-01,15:45,Inverted-V,77,TCT,100.4,30.4,30.9,81.46,0.16,65.16,0.13,8.7,0.67
2024-11-01,16:00,Inverted-V,77,TCT,73.4,30.2,30.0,81.73,0.12,65.39,0.1,6.4,0.67
2024-11-01,16:15,Inverted-V,77,TCT,55.9,29.8,29.2,81.98,0.09,65.59,0.07,4.9,0.67
2024-11-01,16:30,Inverted-V,77,TCT,38.5,29.5,28.5,82.23,0.06,65.79,0.05,3.4,0.67
2024-11-01,16:45,Inverted-V,77,TCT,21.0,29.1,27.7,82.48,0.03,65.99,0.03,1.8,0.67
2024-11-02,05:15,Inverted-V,77,TCT,21.7,25.0,23.5,83.8,0.03,67.04,0.03,1.9,0.67
2024-11-02,05:30,Inverted-V,77,TCT,43.5,25.0,24.1,83.6,0.07,66.88,0.06,3.8,0.67
2024-11-02,05:45,Inverted-V,77,TCT,65.2,25.1,24.8,83.4,0.1,66.72,0.09,5.8,0.67
2024-11-02,06:00,Inverted-V,77,TCT,86.9,25.2,25.4,83.2,0.14,66.56,0.12,7.7,0.67
2024-11-02,06:15,Inverted-V,77,TCT,130.9,25.4,26.7,82.8,0.21,66.24,0.17,11.5,0.67
2024-11-02,06:30,Inverted-V,77,TCT,174.8,25.6,27.9,82.4,0.28,65.92,0.23,15.3,0.67
2024-11-02,06:45,Inverted-V,77,TCT,218.7,25.7,29.2,82.0,0.35,65.6,0.29,19.1,0.67
2024-11-02,07:00,Inverted-V,77,TCT,262.6,25.9,30.5,81.59,0.42,65.28,0.35,22.8,0.67
2024-11-02,07:15,Inverted-V,77,TCT,319.3,26.1,32.1,81.08,0.51,64.87,0.43,27.6,0.67
2024-11-02,07:30,Inverted-V,77,TCT,376.0,26.3,33.7,80.57,0.6,64.46,0.5,32.3,0.67
2024-11-02,07:45,Inverted-V,77,TCT,432.8,26.5,35.3,80.06,0.69,64.05,0.58,37.0,0.67
2024-11-02,08:00,Inverted-V,77,TCT,489.5,26.7,36.9,79.55,0.78,63.64,0.66,41.7,0.67
2024-11-02,08:15,Inverted-V,77,TCT,521.4,26.9,37.9,79.24,0.83,63.4,0.7,44.3,0.67
2024-11-02,08:30,Inverted-V,77,TCT,553.3,27.0,38.9,78.94,0.89,63.15,0.74,46.9,0.67
2024-11-02,08:45,Inverted-V,77,TCT,585.1,27.2,39.8,78.64,0.94,62.91,0.79,49.4,0.67
2024-11-02,09:00,Inverted-V,77,TCT,617.0,27.4,40.8,78.33,0.99,62.67,0.83,52.0,0.67
2024-11-02,09:15,Inverted-V,77,TCT,638.5,27.5,41.5,78.12,1.02,62.49,0.86,53.6,0.67
2024-11-02,09:30,Inverted-V,77,TCT,659.9,27.6,42.1,77.9,1.06,62.32,0.89,55.3,0.67
2024-11-02,09:45,Inverted-V,77,TCT,681.4,27.8,42.8,77.69,1.1,62.15,0.92,57.0,0.67
2024-11-02,10:00,Inverted-V,77,TCT,702.8,27.9,43.5,77.47,1.13,61.98,0.95,58.7,0.67
2024-11-02,10:15,Inverted-V,77,TCT,703.5,28.0,43.6,77.43,1.13,61.94,0.95,58.7,0.67
2024-11-02,10:30,Inverted-V,77,TCT,704.1,28.1,43.7,77.39,1.13,61.91,0.95,58.7,0.67
2024-11-02,10:45,Inverted-V,77,TCT,704.8,28.3,43.9,77.35,1.13,61.88,0.95,58.8,0.67
2024-11-02,11:00,Inverted-V,77,TCT,705.5,28.4,44.0,77.31,1.14,61.85,0.95,58.8,0.67
2024-11-02,11:15,Inverted-V,77,TCT,677.7,28.4,43.4,77.52,1.09,62.01,0.91,56.6,0.67
2024-11-02,11:30,Inverted-V,77,TCT,650.0,28.5,42.7,77.72,1.04,62.17,0.87,54.4,0.67
2024-11-02,11:45,Inverted-V,77,TCT,622.2,28.5,42.1,77.92,1.0,62.34,0.84,52.2,0.67
2024-11-02,12:00,Inverted-V,77,TCT,594.5,28.6,41.4,78.12,0.95,62.5,0.8,50.0,0.67
2024-11-02,12:15,Inverted-V,77,TCT,572.6,28.6,40.9,78.29,0.92,62.64,0.77,48.2,0.67
2024-11-02,12:30,Inverted-V,77,TCT,550.8,28.6,40.4,78.47,0.88,62.77,0.74,46.4,0.67
2024-11-02,12:45,Inverted-V,77,TCT,529.0,28.6,39.8,78.64,0.85,62.91,0.71,44.7,0.67
