Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,Inverted-V,77,TSSC,Spring,6.3,22.9,21.1,84.57,0.01,67.66,0.01,0.6,0.67
2025-02-01,05:30,Inverted-V,77,TSSC,Spring,12.6,23.2,21.5,84.44,0.02,67.55,0.02,1.2,0.67
2025-02-01,05:45,Inverted-V,77,TSSC,Spring,18.9,23.5,21.9,84.3,0.03,67.44,0.03,1.7,0.67
2025-02-01,06:00,Inverted-V,77,TSSC,Spring,25.2,23.7,22.4,84.16,0.04,67.33,0.03,2.3,0.67
2025-02-01,06:15,Inverted-V,77,TSSC,Spring,61.9,24.3,23.8,83.7,0.1,66.96,0.08,5.6,0.67
2025-02-01,06:30,Inverted-V,77,TSSC,Spring,98.7,24.8,25.3,83.24,0.16,66.59,0.13,8.9,0.67
2025-02-01,06:45,Inverted-V,77,TSSC,Spring,135.4,25.4,26.7,82.78,0.22,66.22,0.18,12.2,0.67
2025-02-01,07:00,Inverted-V,77,TSSC,Spring,172.2,25.9,28.2,82.31,0.28,65.85,0.23,15.5,0.67
2025-02-01,07:15,Inverted-V,77,TSSC,Spring,216.4,26.5,29.9,81.79,0.35,65.43,0.3,19.3,0.67
2025-02-01,07:30,Inverted-V,77,TSSC,Spring,260.5,27.0,31.5,81.26,0.43,65.01,0.36,23.2,0.67
2025-02-01,07:45,Inverted-V,77,TSSC,Spring,304.7,27.6,33.2,80.73,0.5,64.59,0.42,27.0,0.67
2025-02-01,08:00,Inverted-V,77,TSSC,Spring,348.9,28.1,34.9,80.21,0.57,64.17,0.48,30.7,0.67
2025-02-01,08:15,Inverted-V,77,TSSC,Spring,408.2,28.6,36.8,79.6,0.67,63.68,0.56,35.8,0.67
2025-02-01,08:30,Inverted-V,77,TSSC,Spring,467.5,29.0,38.7,78.99,0.77,63.19,0.64,40.7,0.67
2025-02-01,08:45,Inverted-V,77,TSSC,Spring,526.8,29.5,40.6,78.38,0.87,62.7,0.73,45.6,0.67
2025-02-01,09:00,Inverted-V,77,TSSC,Spring,586.2,29.9,42.6,77.77,0.97,62.21,0.81,50.5,0.67
2025-02-01,09:15,Inverted-V,77,TSSC,Spring,640.2,30.3,44.3,77.23,1.06,61.78,0.89,54.8,0.67
2025-02-01,09:30,Inverted-V,77,TSSC,Spring,694.3,30.6,46.0,76.69,1.15,61.35,0.96,59.1,0.67
2025-02-01,09:45,Inverted-V,77,TSSC,Spring,748.4,31.0,47.7,76.15,1.24,60.92,1.04,63.4,0.67
2025-02-01,10:00,Inverted-V,77,TSSC,Spring,802.4,31.3,49.4,75.61,1.33,60.49,1.12,67.6,0.67
2025-02-01,10:15,Inverted-V,77,TSSC,Spring,836.2,31.6,50.5,75.27,1.39,60.21,1.17,70.2,0.67
2025-02-01,10:30,Inverted-V,77,TSSC,Spring,870.0,31.8,51.6,74.92,1.45,59.94,1.21,72.8,0.67
2025-02-01,10:45,Inverted-V,77,TSSC,Spring,903.8,32.0,52.6,74.57,1.51,59.66,1.26,75.3,0.67
2025-02-01,11:00,Inverted-V,77,TSSC,Spring,937.6,32.3,53.7,74.23,1.57,59.38,1.31,77.9,0.67
2025-02-01,11:15,Inverted-V,77,TSSC,Spring,937.3,32.5,53.9,74.18,1.57,59.34,1.31,77.8,0.67
2025-02-01,11:30,Inverted-V,77,TSSC,Spring,936.9,32.6,54.1,74.13,1.57,59.3,1.31,77.7,0.67
2025-02-01,11:45,Inverted-V,77,TSSC,Spring,936.6,32.8,54.2,74.07,1.57,59.26,1.31,77.7,0.67
2025-02-01,12:00,Inverted-V,77,TSSC,Spring,936.3,33.0,54.4,74.02,1.56,59.22,1.31,77.6,0.67
2025-02-01,12:15,Inverted-V,77,TSSC,Spring,915.9,33.0,53.9,74.17,1.53,59.34,1.28,76.0,0.67
2025-02-01,12:30,Inverted-V,77,TSSC,Spring,895.6,33.1,53.5,74.32,1.5,59.46,1.25,74.5,0.67
2025-02-01,12:45,Inverted-V,77,TSSC,Spring,875.3,33.1,53.0,74.47,1.46,59.57,1.22,72.9,0.67
2025-02-01,13:00,Inverted-V,77,TSSC,Spring,854.9,33.1,52.5,74.62,1.43,59.69,1.19,71.3,0.67
2025-02-01,13:15,Inverted-V,77,TSSC,Spring,817.1,33.1,51.5,74.94,1.36,59.95,1.14,68.4,0.67
2025-02-01,13:30,Inverted-V,77,TSSC,Spring,779.2,33.0,50.5,75.27,1.3,60.21,1.09,65.4,0.67
2025-02-01,13:45,Inverted-V,77,TSSC,Spring,741.3,32.9,49.4,75.59,1.23,60.48,1.03,62.4,0.67
2025-02-01,14:00,Inverted-V,77,TSSC,Spring,703.4,32.8,48.4,75.92,1.17,60.74,0.98,59.5,0.67
2025-02-01,14:15,Inverted-V,77,TSSC,Spring,654.6,32.6,47.0,76.36,1.09,61.09,0.91,55.6,0.67
2025-02-01,14:30,Inverted-V,77,TSSC,Spring,605.8,32.5,45.6,76.81,1.0,61.45,0.84,51.7,0.67
2025-02-01,14:45,Inverted-V,77,TSSC,Spring,557.0,32.3,44.2,77.25,0.92,61.8,0.77,47.7,0.67
2025-02-01,15:00,Inverted-V,77,TSSC,Spring,508.2,32.1,42.8,77.69,0.84,62.15,0.7,43.7,0.67
2025-02-01,15:15,Inverted-V,77,TSSC,Spring,444.5,31.8,40.9,78.3,0.73,62.64,0.61,38.5,0.67
2025-02-01,15:30,Inverted-V,77,TSSC,Spring,380.7,31.4,39.0,78.91,0.63,63.13,0.52,33.1,0.67
2025-02-01,15:45,Inverted-V,77,TSSC,Spring,317.0,31.1,37.0,79.52,0.52,63.61,0.44,27.7,0.67
2025-02-01,16:00,Inverted-V,77,TSSC,Spring,253.2,30.8,35.1,80.13,0.42,64.1,0.35,22.3,0.67
2025-02-01,16:15,Inverted-V,77,TSSC,Spring,200.9,30.2,33.2,80.74,0.33,64.59,0.28,17.8,0.67
2025-02-01,16:30,Inverted-V,77,TSSC,Spring,148.5,29.6,31.3,81.34,0.24,65.08,0.2,13.2,0.67
2025-02-01,16:45,Inverted-V,77,TSSC,Spring,96.1,28.9,29.3,81.95,0.16,65.56,0.13,8.6,0.67
2025-02-01,17:00,Inverted-V,77,TSSC,Spring,43.8,28.3,27.4,82.56,0.07,66.05,0.06,3.9,0.67
2025-02-01,17:15,Inverted-V,77,TSSC,Spring,32.8,27.9,26.7,82.78,0.05,66.22,0.04,3.0,0.67
2025-02-01,17:30,Inverted-V,77,TSSC,Spring,21.9,27.5,26.1,82.99,0.04,66.39,0.03,2.0,0.67
2025-02-01,17:45,Inverted-V,77,TSSC,Spring,10.9,27.1,25.4,83.2,0.02,66.56,0.01,1.0,0.67
2025-02-02,05:15,Inverted-V,77,TSSC,Spring,6.6,22.7,20.8,84.65,0.01,67.72,0.01,0.6,0.67
2025-02-02,05:30,Inverted-V,77,TSSC,Spring,13.2,23.0,21.3,84.5,0.02,67.6,0.02,1.2,0.67
2025-02-02,05:45,Inverted-V,77,TSSC,Spring,19.8,23.3,21.8,84.35,0.03,67.48,0.03,1.8,0.67
2025-02-02,06:00,Inverted-V,77,TSSC,Spring,26.4,23.6,22.2,84.2,0.04,67.36,0.04,2.4,0.67
2025-02-02,06:15,Inverted-V,77,TSSC,Spring,68.5,24.2,23.9,83.68,0.11,66.94,0.09,6.2,0.67
2025-02-02,06:30,Inverted-V,77,TSSC,Spring,110.7,24.8,25.5,83.15,0.18,66.52,0.15,10.0,0.67
2025-02-02,06:45,Inverted-V,77,TSSC,Spring,152.9,25.4,27.2,82.63,0.25,66.1,0.21,13.8,0.67
2025-02-02,07:00,Inverted-V,77,TSSC,Spring,195.1,26.0,28.9,82.11,0.32,65.69,0.27,17.5,0.67
2025-02-02,07:15,Inverted-V,77,TSSC,Spring,244.8,26.5,30.6,81.56,0.4,65.25,0.33,21.8,0.67
2025-02-02,07:30,Inverted-V,77,TSSC,Spring,294.5,27.0,32.3,81.01,0.48,64.81,0.4,26.1,0.67
2025-02-02,07:45,Inverted-V,77,TSSC,Spring,344.2,27.5,34.1,80.46,0.56,64.37,0.47,30.4,0.67
2025-02-02,08:00,Inverted-V,77,TSSC,Spring,393.8,27.9,35.8,79.91,0.65,63.93,0.54,34.6,0.67
2025-02-02,08:15,Inverted-V,77,TSSC,Spring,442.9,28.4,37.5,79.38,0.73,63.5,0.61,38.7,0.67
2025-02-02,08:30,Inverted-V,77,TSSC,Spring,492.1,28.9,39.2,78.84,0.81,63.07,0.68,42.8,0.67
2025-02-02,08:45,Inverted-V,77,TSSC,Spring,541.2,29.3,40.9,78.3,0.89,62.64,0.75,46.8,0.67
2025-02-02,09:00,Inverted-V,77,TSSC,Spring,590.3,29.8,42.6,77.77,0.98,62.21,0.82,50.8,0.67
2025-02-02,09:15,Inverted-V,77,TSSC,Spring,638.8,30.2,44.2,77.25,1.06,61.8,0.89,54.7,0.67
2025-02-02,09:30,Inverted-V,77,TSSC,Spring,687.2,30.6,45.8,76.74,1.14,61.39,0.95,58.6,0.67
2025-02-02,09:45,Inverted-V,77,TSSC,Spring,735.7,31.0,47.4,76.23,1.22,60.99,1.02,62.4,0.67
2025-02-02,10:00,Inverted-V,77,TSSC,Spring,784.2,31.4,49.0,75.72,1.3,60.58,1.09,66.1,0.67
2025-02-02,10:15,Inverted-V,77,TSSC,Spring,823.4,31.7,50.3,75.31,1.37,60.25,1.15,69.2,0.67
2025-02-02,10:30,Inverted-V,77,TSSC,Spring,862.6,32.0,51.6,74.91,1.44,59.93,1.2,72.2,0.67
2025-02-02,10:45,Inverted-V,77,TSSC,Spring,901.8,32.3,52.9,74.5,1.5,59.6,1.26,75.1,0.67
2025-02-02,11:00,Inverted-V,77,TSSC,Spring,941.0,32.6,54.2,74.09,1.57,59.27,1.32,78.1,0.67
2025-02-02,11:15,Inverted-V,77,TSSC,Spring,948.3,32.8,54.5,73.97,1.59,59.18,1.33,78.6,0.67
2025-02-02,11:30,Inverted-V,77,TSSC,Spring,955.6,33.0,54.9,73.85,1.6,59.08,1.34,79.1,0.67
2025-02-02,11:45,Inverted-V,77,TSSC,Spring,962.9,33.2,55.3,73.73,1.61,58.99,1.35,79.6,0.67
2025-02-02,12:00,Inverted-V,77,TSSC,Spring,970.3,33.4,55.7,73.61,1.62,58.89,1.36,80.1,0.67
2025-02-02,12:15,Inverted-V,77,TSSC,Spring,952.3,33.5,55.3,73.73,1.59,58.99,1.33,78.7,0.67
2025-02-02,12:30,Inverted-V,77,TSSC,Spring,934.4,33.5,54.9,73.86,1.56,59.09,1.31,77.3,0.67
2025-02-02,12:45,Inverted-V,77,TSSC,Spring,916.5,33.6,54.5,73.98,1.53,59.18,1.28,75.9,0.67
2025-02-02,13:00,Inverted-V,77,TSSC,Spring,898.6,33.7,54.1,74.1,1.5,59.28,1.26,74.5,0.67
2025-02-02,13:15,Inverted-V,77,TSSC,Spring,863.3,33.6,53.2,74.4,1.44,59.52,1.21,71.8,0.67
2025-02-02,13:30,Inverted-V,77,TSSC,Spring,828.0,33.5,52.2,74.7,1.38,59.76,1.16,69.1,0.67
2025-02-02,13:45,Inverted-V,77,TSSC,Spring,792.8,33.5,51.3,75.0,1.32,60.0,1.11,66.4,0.67
2025-02-02,14:00,Inverted-V,77,TSSC,Spring,757.5,33.4,50.3,75.3,1.26,60.24,1.06,63.6,0.67
2025-02-02,14:15,Inverted-V,77,TSSC,Spring,704.6,33.2,48.8,75.78,1.17,60.63,0.98,59.5,0.67
2025-02-02,14:30,Inverted-V,77,TSSC,Spring,651.7,33.0,47.3,76.27,1.08,61.01,0.91,55.3,0.67
2025-02-02,14:45,Inverted-V,77,TSSC,Spring,598.8,32.8,45.8,76.75,0.99,61.4,0.83,51.0,0.67
2025-02-02,15:00,Inverted-V,77,TSSC,Spring,546.0,32.6,44.3,77.23,0.9,61.78,0.76,46.8,0.67
2025-02-02,15:15,Inverted-V,77,TSSC,Spring,480.5,32.2,42.2,77.87,0.79,62.29,0.66,41.4,0.67
2025-02-02,15:30,Inverted-V,77,TSSC,Spring,415.0,31.9,40.2,78.51,0.68,62.8,0.57,36.0,0.67
2025-02-02,15:45,Inverted-V,77,TSSC,Spring,349.5,31.5,38.2,79.14,0.58,63.31,0.48,30.5,0.67
2025-02-02,16:00,Inverted-V,77,TSSC,Spring,284.1,31.1,36.2,79.78,0.47,63.82,0.39,24.9,0.67
2025-02-02,16:15,Inverted-V,77,TSSC,Spring,225.8,30.3,34.0,80.49,0.37,64.39,0.31,19.9,0.67
2025-02-02,16:30,Inverted-V,77,TSSC,Spring,167.5,29.5,31.7,81.2,0.27,64.96,0.23,14.9,0.67
2025-02-02,16:45,Inverted-V,77,TSSC,Spring,109.2,28.8,29.5,81.91,0.18,65.52,0.15,9.8,0.67
2025-02-02,17:00,Inverted-V,77,TSSC,Spring,50.9,28.0,27.3,82.61,0.08,66.09,0.07,4.6,0.67
2025-02-02,17:15,Inverted-V,77,TSSC,Spring,38.2,27.6,26.5,82.85,0.06,66.28,0.05,3.4,0.67
2025-02-02,17:30,Inverted-V,77,TSSC,Spring,25.5,27.1,25.8,83.08,0.04,66.46,0.03,2.3,0.67
2025-02-02,17:45,Inverted-V,77,TSSC,Spring,12.7,26.7,25.0,83.31,0.02,66.65,0.02,1.2,0.67
2025-02-03,05:15,Inverted-V,77,TSSC,Spring,7.4,21.9,20.1,84.88,0.01,67.9,0.01,0.7,0.67
2025-02-03,05:30,Inverted-V,77,TSSC,Spring,14.8,22.2,20.6,84.73,0.02,67.79,0.02,1.4,0.67
2025-02-03,05:45,Inverted-V,77,TSSC,Spring,22.2,22.5,21.0,84.59,0.04,67.67,0.03,2.0,0.67
2025-02-03,06:00,Inverted-V,77,TSSC,Spring,29.6,22.8,21.5,84.44,0.05,67.55,0.04,2.7,0.67
2025-02-03,06:15,Inverted-V,77,TSSC,Spring,79.5,23.3,23.3,83.86,0.13,67.09,0.11,7.2,0.67
2025-02-03,06:30,Inverted-V,77,TSSC,Spring,129.5,23.9,25.1,83.29,0.21,66.63,0.18,11.7,0.67
2025-02-03,06:45,Inverted-V,77,TSSC,Spring,179.4,24.5,26.9,82.71,0.29,66.17,0.24,16.2,0.67
2025-02-03,07:00,Inverted-V,77,TSSC,Spring,229.4,25.0,28.8,82.14,0.37,65.71,0.31,20.6,0.67
2025-02-03,07:15,Inverted-V,77,TSSC,Spring,289.7,25.6,30.8,81.49,0.47,65.19,0.4,25.8,0.67
2025-02-03,07:30,Inverted-V,77,TSSC,Spring,350.1,26.1,32.9,80.84,0.57,64.67,0.48,31.0,0.67
2025-02-03,07:45,Inverted-V,77,TSSC,Spring,410.4,26.6,34.9,80.19,0.67,64.16,0.56,36.2,0.67
2025-02-03,08:00,Inverted-V,77,TSSC,Spring,470.8,27.2,36.9,79.55,0.77,63.64,0.65,41.2,0.67
2025-02-03,08:15,Inverted-V,77,TSSC,Spring,529.4,27.7,38.9,78.93,0.87,63.14,0.73,46.1,0.67
2025-02-03,08:30,Inverted-V,77,TSSC,Spring,588.0,28.1,40.9,78.31,0.97,62.65,0.81,50.9,0.67
2025-02-03,08:45,Inverted-V,77,TSSC,Spring,646.7,28.6,42.8,77.69,1.07,62.15,0.9,55.6,0.67
2025-02-03,09:00,Inverted-V,77,TSSC,Spring,705.3,29.1,44.8,77.07,1.17,61.66,0.98,60.3,0.67
2025-02-03,09:15,Inverted-V,77,TSSC,Spring,747.4,29.6,46.2,76.6,1.24,61.28,1.04,63.6,0.67
2025-02-03,09:30,Inverted-V,77,TSSC,Spring,789.5,30.0,47.7,76.13,1.31,60.91,1.1,66.9,0.67
