Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,Inverted-V,93,TCT,Spring,6.3,22.9,18.1,85.52,0.01,68.42,0.01,0.6,0.67
2025-02-01,05:30,Inverted-V,93,TCT,Spring,12.6,23.2,18.5,85.39,0.02,68.31,0.02,1.1,0.67
2025-02-01,05:45,Inverted-V,93,TCT,Spring,18.9,23.5,18.9,85.25,0.03,68.2,0.02,1.7,0.67
2025-02-01,06:00,Inverted-V,93,TCT,Spring,25.2,23.7,19.4,85.11,0.04,68.09,0.03,2.3,0.67
2025-02-01,06:15,Inverted-V,93,TCT,Spring,61.9,24.3,20.8,84.65,0.1,67.72,0.08,5.5,0.67
2025-02-01,06:30,Inverted-V,93,TCT,Spring,98.7,24.8,22.3,84.19,0.16,67.35,0.13,8.8,0.67
2025-02-01,06:45,Inverted-V,93,TCT,Spring,135.4,25.4,23.7,83.73,0.21,66.98,0.18,12.0,0.67
2025-02-01,07:00,Inverted-V,93,TCT,Spring,172.2,25.9,25.2,83.26,0.27,66.61,0.23,15.2,0.67
2025-02-01,07:15,Inverted-V,93,TCT,Spring,216.4,26.5,26.9,82.74,0.34,66.19,0.29,19.0,0.67
2025-02-01,07:30,Inverted-V,93,TCT,Spring,260.5,27.0,28.5,82.21,0.41,65.77,0.35,22.7,0.67
2025-02-01,07:45,Inverted-V,93,TCT,Spring,304.7,27.6,30.2,81.68,0.48,65.35,0.41,26.5,0.67
2025-02-01,08:00,Inverted-V,93,TCT,Spring,348.9,28.1,31.9,81.16,0.55,64.93,0.46,30.2,0.67
2025-02-01,08:15,Inverted-V,93,TCT,Spring,408.2,28.6,33.8,80.55,0.65,64.44,0.54,35.1,0.67
2025-02-01,08:30,Inverted-V,93,TCT,Spring,467.5,29.0,35.7,79.94,0.75,63.95,0.62,40.0,0.67
2025-02-01,08:45,Inverted-V,93,TCT,Spring,526.8,29.5,37.6,79.33,0.84,63.46,0.71,44.8,0.67
2025-02-01,09:00,Inverted-V,93,TCT,Spring,586.2,29.9,39.6,78.72,0.94,62.97,0.79,49.5,0.67
2025-02-01,09:15,Inverted-V,93,TCT,Spring,640.2,30.3,41.3,78.18,1.03,62.54,0.86,53.8,0.67
2025-02-01,09:30,Inverted-V,93,TCT,Spring,694.3,30.6,43.0,77.64,1.12,62.11,0.93,58.1,0.67
2025-02-01,09:45,Inverted-V,93,TCT,Spring,748.4,31.0,44.7,77.1,1.21,61.68,1.01,62.3,0.67
2025-02-01,10:00,Inverted-V,93,TCT,Spring,802.4,31.3,46.4,76.56,1.29,61.25,1.08,66.4,0.67
2025-02-01,10:15,Inverted-V,93,TCT,Spring,836.2,31.6,47.5,76.22,1.35,60.97,1.13,69.0,0.67
2025-02-01,10:30,Inverted-V,93,TCT,Spring,870.0,31.8,48.6,75.87,1.41,60.7,1.18,71.5,0.67
2025-02-01,10:45,Inverted-V,93,TCT,Spring,903.8,32.0,49.6,75.52,1.46,60.42,1.22,74.0,0.67
2025-02-01,11:00,Inverted-V,93,TCT,Spring,937.6,32.3,50.7,75.18,1.52,60.14,1.27,76.5,0.67
2025-02-01,11:15,Inverted-V,93,TCT,Spring,937.3,32.5,50.9,75.13,1.52,60.1,1.27,76.4,0.67
2025-02-01,11:30,Inverted-V,93,TCT,Spring,936.9,32.6,51.1,75.08,1.52,60.06,1.27,76.4,0.67
2025-02-01,11:45,Inverted-V,93,TCT,Spring,936.6,32.8,51.2,75.02,1.52,60.02,1.27,76.3,0.67
2025-02-01,12:00,Inverted-V,93,TCT,Spring,936.3,33.0,51.4,74.97,1.52,59.98,1.27,76.2,0.67
2025-02-01,12:15,Inverted-V,93,TCT,Spring,915.9,33.0,50.9,75.12,1.48,60.1,1.24,74.7,0.67
2025-02-01,12:30,Inverted-V,93,TCT,Spring,895.6,33.1,50.5,75.27,1.45,60.22,1.21,73.1,0.67
2025-02-01,12:45,Inverted-V,93,TCT,Spring,875.3,33.1,50.0,75.42,1.42,60.33,1.19,71.6,0.67
2025-02-01,13:00,Inverted-V,93,TCT,Spring,854.9,33.1,49.5,75.57,1.38,60.45,1.16,70.0,0.67
2025-02-01,13:15,Inverted-V,93,TCT,Spring,817.1,33.1,48.5,75.89,1.32,60.71,1.11,67.2,0.67
2025-02-01,13:30,Inverted-V,93,TCT,Spring,779.2,33.0,47.5,76.22,1.26,60.97,1.05,64.3,0.67
2025-02-01,13:45,Inverted-V,93,TCT,Spring,741.3,32.9,46.4,76.54,1.2,61.24,1.0,61.3,0.67
2025-02-01,14:00,Inverted-V,93,TCT,Spring,703.4,32.8,45.4,76.87,1.13,61.5,0.95,58.4,0.67
2025-02-01,14:15,Inverted-V,93,TCT,Spring,654.6,32.6,44.0,77.31,1.05,61.85,0.88,54.6,0.67
2025-02-01,14:30,Inverted-V,93,TCT,Spring,605.8,32.5,42.6,77.76,0.97,62.21,0.82,50.7,0.67
2025-02-01,14:45,Inverted-V,93,TCT,Spring,557.0,32.3,41.2,78.2,0.89,62.56,0.75,46.8,0.67
2025-02-01,15:00,Inverted-V,93,TCT,Spring,508.2,32.1,39.8,78.64,0.81,62.91,0.68,42.9,0.67
2025-02-01,15:15,Inverted-V,93,TCT,Spring,444.5,31.8,37.9,79.25,0.71,63.4,0.6,37.8,0.67
