Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,Inverted-V,93,TSSC,Autumn,19.1,25.9,21.4,84.47,0.03,67.58,0.03,1.8,0.67
2025-09-01,05:30,Inverted-V,93,TSSC,Autumn,38.3,26.2,22.1,84.24,0.06,67.39,0.05,3.5,0.67
2025-09-01,05:45,Inverted-V,93,TSSC,Autumn,57.4,26.4,22.9,84.0,0.09,67.2,0.08,5.2,0.67
2025-09-01,06:00,Inverted-V,93,TSSC,Autumn,76.6,26.7,23.6,83.77,0.12,67.02,0.1,7.0,0.67
2025-09-01,06:15,Inverted-V,93,TSSC,Autumn,113.1,27.2,25.0,83.33,0.18,66.67,0.15,10.2,0.67
2025-09-01,06:30,Inverted-V,93,TSSC,Autumn,149.6,27.6,26.4,82.89,0.24,66.32,0.2,13.5,0.67
2025-09-01,06:45,Inverted-V,93,TSSC,Autumn,186.0,28.1,27.8,82.46,0.3,65.97,0.25,16.7,0.67
2025-09-01,07:00,Inverted-V,93,TSSC,Autumn,222.5,28.6,29.1,82.02,0.36,65.62,0.3,19.9,0.67
2025-09-01,07:15,Inverted-V,93,TSSC,Autumn,261.4,29.1,30.6,81.55,0.43,65.24,0.36,23.3,0.67
2025-09-01,07:30,Inverted-V,93,TSSC,Autumn,300.3,29.6,32.1,81.08,0.49,64.87,0.41,26.7,0.67
2025-09-01,07:45,Inverted-V,93,TSSC,Autumn,339.3,30.1,33.6,80.61,0.56,64.49,0.47,30.0,0.67
2025-09-01,08:00,Inverted-V,93,TSSC,Autumn,378.2,30.6,35.1,80.14,0.62,64.12,0.52,33.3,0.67
2025-09-01,08:15,Inverted-V,93,TSSC,Autumn,424.2,31.0,36.6,79.64,0.7,63.71,0.58,37.2,0.67
2025-09-01,08:30,Inverted-V,93,TSSC,Autumn,470.2,31.5,38.2,79.14,0.77,63.31,0.65,41.0,0.67
2025-09-01,08:45,Inverted-V,93,TSSC,Autumn,516.1,31.9,39.8,78.63,0.85,62.91,0.71,44.8,0.67
2025-09-01,09:00,Inverted-V,93,TSSC,Autumn,562.1,32.4,41.4,78.13,0.93,62.5,0.78,48.6,0.67
2025-09-01,09:15,Inverted-V,93,TSSC,Autumn,588.8,32.7,42.5,77.8,0.97,62.24,0.81,50.7,0.67
2025-09-01,09:30,Inverted-V,93,TSSC,Autumn,615.5,33.1,43.5,77.47,1.02,61.98,0.85,52.8,0.67
2025-09-01,09:45,Inverted-V,93,TSSC,Autumn,642.2,33.5,44.5,77.14,1.06,61.71,0.89,54.9,0.67
2025-09-01,10:00,Inverted-V,93,TSSC,Autumn,668.8,33.9,45.6,76.81,1.11,61.45,0.93,57.0,0.67
2025-09-01,10:15,Inverted-V,93,TSSC,Autumn,674.5,34.1,46.0,76.67,1.12,61.34,0.94,57.4,0.67
2025-09-01,10:30,Inverted-V,93,TSSC,Autumn,680.2,34.4,46.4,76.54,1.13,61.23,0.94,57.9,0.67
2025-09-01,10:45,Inverted-V,93,TSSC,Autumn,686.0,34.7,46.9,76.4,1.14,61.12,0.95,58.3,0.67
2025-09-01,11:00,Inverted-V,93,TSSC,Autumn,691.7,35.0,47.3,76.27,1.15,61.01,0.96,58.7,0.67
2025-09-01,11:15,Inverted-V,93,TSSC,Autumn,675.4,35.1,47.0,76.35,1.12,61.08,0.94,57.3,0.67
2025-09-01,11:30,Inverted-V,93,TSSC,Autumn,659.2,35.3,46.8,76.44,1.09,61.15,0.92,56.0,0.67
2025-09-01,11:45,Inverted-V,93,TSSC,Autumn,643.0,35.4,46.5,76.52,1.07,61.22,0.89,54.7,0.67
2025-09-01,12:00,Inverted-V,93,TSSC,Autumn,626.8,35.6,46.2,76.61,1.04,61.28,0.87,53.3,0.67
2025-09-01,12:15,Inverted-V,93,TSSC,Autumn,626.8,35.6,46.3,76.59,1.04,61.27,0.87,53.3,0.67
2025-09-01,12:30,Inverted-V,93,TSSC,Autumn,626.8,35.7,46.3,76.57,1.04,61.26,0.87,53.3,0.67
2025-09-01,12:45,Inverted-V,93,TSSC,Autumn,626.9,35.7,46.4,76.56,1.04,61.25,0.87,53.3,0.67
2025-09-01,13:00,Inverted-V,93,TSSC,Autumn,626.9,35.8,46.4,76.54,1.04,61.23,0.87,53.3,0.67
2025-09-01,13:15,Inverted-V,93,TSSC,Autumn,601.0,35.7,45.7,76.76,1.0,61.41,0.83,51.2,0.67
2025-09-01,13:30,Inverted-V,93,TSSC,Autumn,575.2,35.6,45.0,76.99,0.95,61.59,0.8,49.1,0.67
2025-09-01,13:45,Inverted-V,93,TSSC,Autumn,549.3,35.6,44.3,77.21,0.91,61.77,0.76,47.0,0.67
2025-09-01,14:00,Inverted-V,93,TSSC,Autumn,523.4,35.5,43.6,77.43,0.87,61.94,0.72,44.9,0.67
2025-09-01,14:15,Inverted-V,93,TSSC,Autumn,481.7,35.4,42.4,77.81,0.8,62.25,0.67,41.5,0.67
2025-09-01,14:30,Inverted-V,93,TSSC,Autumn,440.0,35.2,41.2,78.2,0.73,62.56,0.61,38.0,0.67
2025-09-01,14:45,Inverted-V,93,TSSC,Autumn,398.3,35.0,40.0,78.58,0.66,62.86,0.55,34.6,0.67
2025-09-01,15:00,Inverted-V,93,TSSC,Autumn,356.5,34.9,38.8,78.96,0.59,63.17,0.49,31.0,0.67
2025-09-01,15:15,Inverted-V,93,TSSC,Autumn,311.3,34.6,37.3,79.42,0.51,63.53,0.43,27.2,0.67
2025-09-01,15:30,Inverted-V,93,TSSC,Autumn,266.0,34.3,35.9,79.87,0.44,63.9,0.37,23.4,0.67
2025-09-01,15:45,Inverted-V,93,TSSC,Autumn,220.8,34.0,34.5,80.33,0.36,64.26,0.3,19.5,0.67
2025-09-01,16:00,Inverted-V,93,TSSC,Autumn,175.5,33.6,33.0,80.78,0.29,64.63,0.24,15.5,0.67
2025-09-01,16:15,Inverted-V,93,TSSC,Autumn,140.7,33.1,31.6,81.24,0.23,64.99,0.19,12.5,0.67
2025-09-01,16:30,Inverted-V,93,TSSC,Autumn,106.0,32.5,30.2,81.69,0.17,65.35,0.14,9.5,0.67
2025-09-01,16:45,Inverted-V,93,TSSC,Autumn,71.2,31.9,28.7,82.15,0.12,65.72,0.1,6.4,0.67
2025-09-01,17:00,Inverted-V,93,TSSC,Autumn,36.5,31.4,27.3,82.6,0.06,66.08,0.05,3.3,0.67
2025-09-01,17:15,Inverted-V,93,TSSC,Autumn,27.4,30.9,26.6,82.83,0.04,66.26,0.04,2.5,0.67
2025-09-01,17:30,Inverted-V,93,TSSC,Autumn,18.2,30.4,25.9,83.06,0.03,66.45,0.02,1.6,0.67
2025-09-01,17:45,Inverted-V,93,TSSC,Autumn,9.1,29.9,25.1,83.28,0.01,66.63,0.01,0.8,0.67
2025-09-02,05:15,Inverted-V,93,TSSC,Autumn,23.5,25.4,21.0,84.59,0.04,67.67,0.03,2.1,0.67
2025-09-02,05:30,Inverted-V,93,TSSC,Autumn,46.9,25.7,21.9,84.31,0.08,67.45,0.06,4.3,0.67
2025-09-02,05:45,Inverted-V,93,TSSC,Autumn,70.4,26.0,22.8,84.04,0.11,67.23,0.1,6.4,0.67
2025-09-02,06:00,Inverted-V,93,TSSC,Autumn,93.8,26.3,23.6,83.77,0.15,67.01,0.13,8.5,0.67
2025-09-02,06:15,Inverted-V,93,TSSC,Autumn,139.2,26.8,25.3,83.25,0.23,66.6,0.19,12.6,0.67
2025-09-02,06:30,Inverted-V,93,TSSC,Autumn,184.5,27.3,26.9,82.73,0.3,66.18,0.25,16.6,0.67
2025-09-02,06:45,Inverted-V,93,TSSC,Autumn,229.8,27.8,28.5,82.21,0.37,65.77,0.31,20.6,0.67
2025-09-02,07:00,Inverted-V,93,TSSC,Autumn,275.1,28.3,30.2,81.69,0.45,65.35,0.38,24.6,0.67
2025-09-02,07:15,Inverted-V,93,TSSC,Autumn,322.5,28.9,32.0,81.11,0.53,64.89,0.44,28.7,0.67
2025-09-02,07:30,Inverted-V,93,TSSC,Autumn,369.8,29.6,33.8,80.53,0.61,64.42,0.51,32.7,0.67
2025-09-02,07:45,Inverted-V,93,TSSC,Autumn,417.2,30.2,35.7,79.95,0.68,63.96,0.57,36.7,0.67
2025-09-02,08:00,Inverted-V,93,TSSC,Autumn,464.5,30.9,37.5,79.37,0.76,63.49,0.64,40.6,0.67
2025-09-02,08:15,Inverted-V,93,TSSC,Autumn,496.4,31.5,38.9,78.93,0.82,63.14,0.68,43.2,0.67
2025-09-02,08:30,Inverted-V,93,TSSC,Autumn,528.3,32.1,40.3,78.49,0.87,62.79,0.73,45.8,0.67
2025-09-02,08:45,Inverted-V,93,TSSC,Autumn,560.2,32.7,41.7,78.05,0.92,62.44,0.77,48.4,0.67
2025-09-02,09:00,Inverted-V,93,TSSC,Autumn,592.2,33.3,43.1,77.61,0.98,62.09,0.82,50.9,0.67
2025-09-02,09:15,Inverted-V,93,TSSC,Autumn,624.7,33.7,44.4,77.2,1.03,61.76,0.87,53.5,0.67
2025-09-02,09:30,Inverted-V,93,TSSC,Autumn,657.3,34.2,45.7,76.79,1.09,61.43,0.91,56.0,0.67
2025-09-02,09:45,Inverted-V,93,TSSC,Autumn,689.9,34.7,47.0,76.37,1.14,61.1,0.96,58.6,0.67
2025-09-02,10:00,Inverted-V,93,TSSC,Autumn,722.4,35.2,48.3,75.96,1.2,60.77,1.01,61.1,0.67
2025-09-02,10:15,Inverted-V,93,TSSC,Autumn,728.9,35.6,48.8,75.79,1.21,60.63,1.01,61.5,0.67
2025-09-02,10:30,Inverted-V,93,TSSC,Autumn,735.3,36.0,49.4,75.61,1.22,60.49,1.02,62.0,0.67
2025-09-02,10:45,Inverted-V,93,TSSC,Autumn,741.8,36.4,49.9,75.44,1.23,60.35,1.03,62.4,0.67
2025-09-02,11:00,Inverted-V,93,TSSC,Autumn,748.2,36.8,50.5,75.26,1.25,60.21,1.04,62.8,0.67
2025-09-02,11:15,Inverted-V,93,TSSC,Autumn,773.4,37.0,51.3,75.0,1.29,60.0,1.08,64.8,0.67
2025-09-02,11:30,Inverted-V,93,TSSC,Autumn,798.7,37.2,52.2,74.73,1.33,59.78,1.12,66.7,0.67
2025-09-02,11:45,Inverted-V,93,TSSC,Autumn,823.9,37.4,53.0,74.46,1.38,59.57,1.15,68.6,0.67
2025-09-02,12:00,Inverted-V,93,TSSC,Autumn,849.1,37.6,53.8,74.2,1.42,59.36,1.19,70.5,0.67
2025-09-02,12:15,Inverted-V,93,TSSC,Autumn,823.1,37.6,53.2,74.39,1.37,59.51,1.15,68.5,0.67
2025-09-02,12:30,Inverted-V,93,TSSC,Autumn,797.1,37.7,52.6,74.59,1.33,59.67,1.11,66.5,0.67
2025-09-02,12:45,Inverted-V,93,TSSC,Autumn,771.1,37.7,52.0,74.79,1.29,59.83,1.08,64.4,0.67
2025-09-02,13:00,Inverted-V,93,TSSC,Autumn,745.1,37.7,51.4,74.98,1.24,59.99,1.04,62.4,0.67
2025-09-02,13:15,Inverted-V,93,TSSC,Autumn,698.4,37.6,50.0,75.4,1.16,60.32,0.97,58.7,0.67
2025-09-02,13:30,Inverted-V,93,TSSC,Autumn,651.6,37.4,48.7,75.82,1.08,60.66,0.91,55.0,0.67
2025-09-02,13:45,Inverted-V,93,TSSC,Autumn,604.9,37.3,47.4,76.24,1.0,60.99,0.84,51.3,0.67
2025-09-02,14:00,Inverted-V,93,TSSC,Autumn,558.1,37.1,46.1,76.66,0.93,61.33,0.77,47.5,0.67
2025-09-02,14:15,Inverted-V,93,TSSC,Autumn,516.4,36.8,44.8,77.07,0.85,61.66,0.72,44.1,0.67
2025-09-02,14:30,Inverted-V,93,TSSC,Autumn,474.6,36.6,43.4,77.49,0.78,61.99,0.66,40.7,0.67
2025-09-02,14:45,Inverted-V,93,TSSC,Autumn,432.8,36.3,42.1,77.9,0.71,62.32,0.6,37.3,0.67
2025-09-02,15:00,Inverted-V,93,TSSC,Autumn,391.0,36.0,40.8,78.32,0.64,62.65,0.54,33.8,0.67
