Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-09-01,05:15,V-Shape,62,TCT,Autumn,18.6,25.9,29.4,81.94,0.03,65.56,0.02,1.6,0.67
2025-09-01,05:30,V-Shape,62,TCT,Autumn,37.2,26.2,30.1,81.71,0.06,65.37,0.05,3.2,0.67
2025-09-01,05:45,V-Shape,62,TCT,Autumn,55.8,26.4,30.8,81.48,0.09,65.19,0.07,4.8,0.67
2025-09-01,06:00,V-Shape,62,TCT,Autumn,74.4,26.7,31.6,81.25,0.12,65.0,0.1,6.4,0.67
2025-09-01,06:15,V-Shape,62,TCT,Autumn,109.9,27.2,32.9,80.82,0.17,64.66,0.15,9.4,0.67
2025-09-01,06:30,V-Shape,62,TCT,Autumn,145.4,27.6,34.3,80.39,0.23,64.32,0.19,12.4,0.67
2025-09-01,06:45,V-Shape,62,TCT,Autumn,180.9,28.1,35.6,79.96,0.29,63.97,0.24,15.3,0.67
2025-09-01,07:00,V-Shape,62,TCT,Autumn,216.4,28.6,37.0,79.53,0.34,63.63,0.29,18.3,0.67
2025-09-01,07:15,V-Shape,62,TCT,Autumn,254.2,29.1,38.4,79.07,0.4,63.26,0.34,21.4,0.67
2025-09-01,07:30,V-Shape,62,TCT,Autumn,292.0,29.6,39.9,78.61,0.46,62.89,0.39,24.4,0.67
2025-09-01,07:45,V-Shape,62,TCT,Autumn,329.8,30.1,41.3,78.15,0.52,62.52,0.44,27.5,0.67
2025-09-01,08:00,V-Shape,62,TCT,Autumn,367.7,30.6,42.8,77.69,0.59,62.16,0.49,30.5,0.67
2025-09-01,08:15,V-Shape,62,TCT,Autumn,412.4,31.0,44.3,77.2,0.66,61.76,0.55,34.0,0.67
2025-09-01,08:30,V-Shape,62,TCT,Autumn,457.1,31.5,45.9,76.71,0.73,61.37,0.61,37.5,0.67
2025-09-01,08:45,V-Shape,62,TCT,Autumn,501.8,31.9,47.5,76.21,0.8,60.97,0.67,41.0,0.67
2025-09-01,09:00,V-Shape,62,TCT,Autumn,546.5,32.4,49.0,75.72,0.88,60.58,0.73,44.4,0.67
2025-09-01,09:15,V-Shape,62,TCT,Autumn,572.5,32.7,50.0,75.4,0.92,60.32,0.77,46.4,0.67
2025-09-01,09:30,V-Shape,62,TCT,Autumn,598.4,33.1,51.1,75.07,0.96,60.06,0.8,48.3,0.67
2025-09-01,09:45,V-Shape,62,TCT,Autumn,624.3,33.5,52.1,74.75,1.0,59.8,0.84,50.2,0.67
2025-09-01,10:00,V-Shape,62,TCT,Autumn,650.3,33.9,53.1,74.42,1.05,59.54,0.88,52.2,0.67
2025-09-01,10:15,V-Shape,62,TCT,Autumn,655.8,34.1,53.5,74.29,1.06,59.43,0.88,52.5,0.67
2025-09-01,10:30,V-Shape,62,TCT,Autumn,661.4,34.4,54.0,74.16,1.06,59.32,0.89,52.9,0.67
