Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,V-Shape,62,TCT,23.5,25.1,29.2,82.01,0.04,65.61,0.03,2.0,0.67
2024-11-01,05:30,V-Shape,62,TCT,46.9,25.2,29.9,81.78,0.07,65.43,0.06,4.1,0.67
2024-11-01,05:45,V-Shape,62,TCT,70.4,25.3,30.6,81.55,0.11,65.24,0.09,6.1,0.67
2024-11-01,06:00,V-Shape,62,TCT,93.9,25.5,31.3,81.32,0.15,65.06,0.12,8.1,0.67
2024-11-01,06:15,V-Shape,62,TCT,141.7,25.7,32.8,80.87,0.23,64.7,0.19,12.2,0.67
2024-11-01,06:30,V-Shape,62,TCT,189.6,26.0,34.2,80.42,0.3,64.33,0.25,16.3,0.67
2024-11-01,06:45,V-Shape,62,TCT,237.5,26.2,35.6,79.96,0.38,63.97,0.32,20.3,0.67
2024-11-01,07:00,V-Shape,62,TCT,285.3,26.4,37.1,79.51,0.46,63.61,0.38,24.3,0.67
2024-11-01,07:15,V-Shape,62,TCT,340.9,26.8,38.8,78.97,0.55,63.17,0.46,28.9,0.67
2024-11-01,07:30,V-Shape,62,TCT,396.5,27.1,40.5,78.43,0.64,62.74,0.53,33.4,0.67
2024-11-01,07:45,V-Shape,62,TCT,452.1,27.4,42.2,77.88,0.73,62.31,0.61,37.9,0.67
2024-11-01,08:00,V-Shape,62,TCT,507.6,27.7,43.9,77.34,0.82,61.87,0.68,42.3,0.67
2024-11-01,08:15,V-Shape,62,TCT,552.9,28.1,45.4,76.87,0.89,61.5,0.75,45.9,0.67
2024-11-01,08:30,V-Shape,62,TCT,598.1,28.4,46.9,76.41,0.97,61.13,0.81,49.4,0.67
2024-11-01,08:45,V-Shape,62,TCT,643.4,28.8,48.3,75.94,1.04,60.75,0.87,52.9,0.67
2024-11-01,09:00,V-Shape,62,TCT,688.7,29.1,49.8,75.47,1.11,60.38,0.93,56.4,0.67
2024-11-01,09:15,V-Shape,62,TCT,715.9,29.4,50.8,75.16,1.16,60.13,0.97,58.4,0.67
2024-11-01,09:30,V-Shape,62,TCT,743.1,29.7,51.8,74.85,1.21,59.88,1.01,60.4,0.67
2024-11-01,09:45,V-Shape,62,TCT,770.3,30.0,52.8,74.53,1.25,59.63,1.05,62.4,0.67
2024-11-01,10:00,V-Shape,62,TCT,797.6,30.3,53.8,74.22,1.3,59.38,1.09,64.4,0.67
2024-11-01,10:15,V-Shape,62,TCT,796.0,30.5,53.9,74.16,1.29,59.33,1.08,64.3,0.67
2024-11-01,10:30,V-Shape,62,TCT,794.5,30.8,54.1,74.1,1.29,59.28,1.08,64.1,0.67
2024-11-01,10:45,V-Shape,62,TCT,793.0,31.0,54.3,74.04,1.29,59.24,1.08,64.0,0.67
2024-11-01,11:00,V-Shape,62,TCT,791.5,31.2,54.5,73.98,1.29,59.19,1.08,63.8,0.67
2024-11-01,11:15,V-Shape,62,TCT,765.4,31.3,54.0,74.15,1.24,59.32,1.04,61.8,0.67
2024-11-01,11:30,V-Shape,62,TCT,739.3,31.5,53.4,74.32,1.2,59.46,1.01,59.8,0.67
2024-11-01,11:45,V-Shape,62,TCT,713.2,31.6,52.9,74.49,1.16,59.59,0.97,57.8,0.67
2024-11-01,12:00,V-Shape,62,TCT,687.1,31.7,52.4,74.66,1.11,59.73,0.93,55.8,0.67
2024-11-01,12:15,V-Shape,62,TCT,627.7,31.7,50.9,75.12,1.02,60.1,0.85,51.2,0.67
2024-11-01,12:30,V-Shape,62,TCT,568.3,31.8,49.5,75.58,0.92,60.46,0.77,46.6,0.67
2024-11-01,12:45,V-Shape,62,TCT,508.9,31.8,48.0,76.04,0.82,60.83,0.69,41.9,0.67
2024-11-01,13:00,V-Shape,62,TCT,449.5,31.8,46.6,76.5,0.73,61.2,0.61,37.2,0.67
2024-11-01,13:15,V-Shape,62,TCT,409.3,31.7,45.5,76.85,0.66,61.48,0.55,34.0,0.67
2024-11-01,13:30,V-Shape,62,TCT,369.1,31.6,44.4,77.19,0.59,61.75,0.5,30.7,0.67
2024-11-01,13:45,V-Shape,62,TCT,328.9,31.6,43.3,77.54,0.53,62.03,0.44,27.5,0.67
2024-11-01,14:00,V-Shape,62,TCT,288.6,31.5,42.2,77.89,0.46,62.31,0.39,24.2,0.67
2024-11-01,14:15,V-Shape,62,TCT,260.6,31.4,41.4,78.14,0.42,62.52,0.35,21.9,0.67
2024-11-01,14:30,V-Shape,62,TCT,232.5,31.2,40.6,78.4,0.37,62.72,0.31,19.6,0.67
2024-11-01,14:45,V-Shape,62,TCT,204.5,31.1,39.7,78.66,0.33,62.93,0.27,17.3,0.67
2024-11-01,15:00,V-Shape,62,TCT,176.4,31.0,38.9,78.92,0.28,63.14,0.24,14.9,0.67
2024-11-01,15:15,V-Shape,62,TCT,150.2,30.8,38.1,79.19,0.24,63.35,0.2,12.7,0.67
2024-11-01,15:30,V-Shape,62,TCT,123.9,30.6,37.2,79.46,0.2,63.57,0.17,10.5,0.67
2024-11-01,15:45,V-Shape,62,TCT,97.6,30.4,36.3,79.74,0.16,63.79,0.13,8.3,0.67
2024-11-01,16:00,V-Shape,62,TCT,71.4,30.2,35.5,80.01,0.11,64.01,0.1,6.1,0.67
2024-11-01,16:15,V-Shape,62,TCT,54.4,29.8,34.7,80.25,0.09,64.2,0.07,4.7,0.67
2024-11-01,16:30,V-Shape,62,TCT,37.4,29.5,33.9,80.5,0.06,64.4,0.05,3.2,0.67
2024-11-01,16:45,V-Shape,62,TCT,20.4,29.1,33.2,80.75,0.03,64.6,0.03,1.8,0.67
2024-11-02,05:15,V-Shape,62,TCT,21.1,25.0,29.0,82.07,0.03,65.65,0.03,1.8,0.67
2024-11-02,05:30,V-Shape,62,TCT,42.3,25.0,29.6,81.87,0.07,65.5,0.06,3.7,0.67
2024-11-02,05:45,V-Shape,62,TCT,63.4,25.1,30.2,81.68,0.1,65.34,0.08,5.5,0.67
2024-11-02,06:00,V-Shape,62,TCT,84.5,25.2,30.8,81.48,0.13,65.18,0.11,7.3,0.67
2024-11-02,06:15,V-Shape,62,TCT,127.2,25.4,32.1,81.09,0.2,64.87,0.17,11.0,0.67
2024-11-02,06:30,V-Shape,62,TCT,169.9,25.6,33.3,80.7,0.27,64.56,0.23,14.6,0.67
2024-11-02,06:45,V-Shape,62,TCT,212.6,25.7,34.6,80.3,0.34,64.24,0.28,18.2,0.67
2024-11-02,07:00,V-Shape,62,TCT,255.3,25.9,35.8,79.91,0.41,63.93,0.34,21.8,0.67
2024-11-02,07:15,V-Shape,62,TCT,310.5,26.1,37.4,79.41,0.5,63.53,0.42,26.4,0.67
2024-11-02,07:30,V-Shape,62,TCT,365.6,26.3,38.9,78.91,0.59,63.13,0.49,31.0,0.67
2024-11-02,07:45,V-Shape,62,TCT,420.7,26.5,40.5,78.41,0.67,62.73,0.57,35.5,0.67
2024-11-02,08:00,V-Shape,62,TCT,475.9,26.7,42.1,77.91,0.76,62.33,0.64,39.9,0.67
2024-11-02,08:15,V-Shape,62,TCT,506.9,26.9,43.0,77.62,0.81,62.09,0.68,42.4,0.67
2024-11-02,08:30,V-Shape,62,TCT,537.9,27.0,44.0,77.32,0.87,61.86,0.72,44.8,0.67
2024-11-02,08:45,V-Shape,62,TCT,568.9,27.2,44.9,77.02,0.92,61.62,0.77,47.3,0.67
2024-11-02,09:00,V-Shape,62,TCT,599.9,27.4,45.8,76.73,0.97,61.38,0.81,49.7,0.67
2024-11-02,09:15,V-Shape,62,TCT,620.7,27.5,46.5,76.52,1.0,61.21,0.84,51.3,0.67
2024-11-02,09:30,V-Shape,62,TCT,641.6,27.6,47.2,76.3,1.04,61.04,0.87,53.0,0.67
2024-11-02,09:45,V-Shape,62,TCT,662.4,27.8,47.8,76.09,1.07,60.88,0.9,54.6,0.67
2024-11-02,10:00,V-Shape,62,TCT,683.3,27.9,48.5,75.88,1.1,60.71,0.93,56.2,0.67
2024-11-02,10:15,V-Shape,62,TCT,683.9,28.0,48.6,75.84,1.11,60.68,0.93,56.2,0.67
2024-11-02,10:30,V-Shape,62,TCT,684.6,28.1,48.8,75.8,1.11,60.64,0.93,56.2,0.67
2024-11-02,10:45,V-Shape,62,TCT,685.2,28.3,48.9,75.77,1.11,60.61,0.93,56.2,0.67
2024-11-02,11:00,V-Shape,62,TCT,685.9,28.4,49.0,75.73,1.11,60.58,0.93,56.3,0.67
