Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,V-Shape,62,TSSC,23.5,25.1,28.7,82.17,0.04,65.73,0.03,2.0,0.67
2024-11-01,05:30,V-Shape,62,TSSC,46.9,25.2,29.4,81.94,0.07,65.55,0.06,4.0,0.67
2024-11-01,05:45,V-Shape,62,TSSC,70.4,25.3,30.1,81.71,0.11,65.37,0.09,6.0,0.67
2024-11-01,06:00,V-Shape,62,TSSC,93.9,25.5,30.8,81.48,0.15,65.19,0.12,8.0,0.67
2024-11-01,06:15,V-Shape,62,TSSC,141.7,25.7,32.3,81.03,0.22,64.82,0.19,12.0,0.67
2024-11-01,06:30,V-Shape,62,TSSC,189.6,26.0,33.7,80.57,0.3,64.46,0.25,16.0,0.67
2024-11-01,06:45,V-Shape,62,TSSC,237.5,26.2,35.1,80.12,0.37,64.1,0.31,20.0,0.67
2024-11-01,07:00,V-Shape,62,TSSC,285.3,26.4,36.6,79.67,0.45,63.73,0.37,23.9,0.67
2024-11-01,07:15,V-Shape,62,TSSC,340.9,26.8,38.3,79.13,0.54,63.3,0.45,28.4,0.67
2024-11-01,07:30,V-Shape,62,TSSC,396.5,27.1,40.0,78.58,0.62,62.87,0.52,32.8,0.67
2024-11-01,07:45,V-Shape,62,TSSC,452.1,27.4,41.7,78.04,0.71,62.43,0.6,37.2,0.67
2024-11-01,08:00,V-Shape,62,TSSC,507.6,27.7,43.4,77.5,0.8,62.0,0.67,41.6,0.67
2024-11-01,08:15,V-Shape,62,TSSC,552.9,28.1,44.9,77.03,0.87,61.63,0.73,45.1,0.67
2024-11-01,08:30,V-Shape,62,TSSC,598.1,28.4,46.4,76.56,0.95,61.25,0.79,48.6,0.67
2024-11-01,08:45,V-Shape,62,TSSC,643.4,28.8,47.8,76.1,1.02,60.88,0.85,52.0,0.67
2024-11-01,09:00,V-Shape,62,TSSC,688.7,29.1,49.3,75.63,1.09,60.5,0.92,55.4,0.67
2024-11-01,09:15,V-Shape,62,TSSC,715.9,29.4,50.3,75.32,1.14,60.25,0.95,57.4,0.67
2024-11-01,09:30,V-Shape,62,TSSC,743.1,29.7,51.3,75.0,1.18,60.0,0.99,59.4,0.67
2024-11-01,09:45,V-Shape,62,TSSC,770.3,30.0,52.3,74.69,1.23,59.75,1.03,61.4,0.67
