Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-02-01,05:15,V-Shape,77,Se-P,Spring,6.1,22.9,22.1,84.26,0.01,67.41,0.01,0.5,0.67
2025-02-01,05:30,V-Shape,77,Se-P,Spring,12.2,23.2,22.5,84.12,0.02,67.3,0.02,1.0,0.67
2025-02-01,05:45,V-Shape,77,Se-P,Spring,18.3,23.5,22.9,83.99,0.03,67.19,0.02,1.5,0.67
2025-02-01,06:00,V-Shape,77,Se-P,Spring,24.5,23.7,23.3,83.85,0.04,67.08,0.03,2.0,0.67
2025-02-01,06:15,V-Shape,77,Se-P,Spring,60.2,24.3,24.8,83.4,0.09,66.72,0.07,5.0,0.67
2025-02-01,06:30,V-Shape,77,Se-P,Spring,95.9,24.8,26.2,82.94,0.14,66.36,0.12,7.9,0.67
2025-02-01,06:45,V-Shape,77,Se-P,Spring,131.7,25.4,27.6,82.49,0.19,65.99,0.16,10.8,0.67
2025-02-01,07:00,V-Shape,77,Se-P,Spring,167.4,25.9,29.1,82.03,0.25,65.63,0.21,13.6,0.67
2025-02-01,07:15,V-Shape,77,Se-P,Spring,210.3,26.5,30.7,81.52,0.31,65.21,0.26,17.1,0.67
2025-02-01,07:30,V-Shape,77,Se-P,Spring,253.3,27.0,32.3,81.0,0.38,64.8,0.32,20.4,0.67
2025-02-01,07:45,V-Shape,77,Se-P,Spring,296.2,27.6,34.0,80.49,0.44,64.39,0.37,23.8,0.67
2025-02-01,08:00,V-Shape,77,Se-P,Spring,339.2,28.1,35.6,79.97,0.51,63.97,0.42,27.1,0.67
2025-02-01,08:15,V-Shape,77,Se-P,Spring,396.9,28.6,37.5,79.37,0.59,63.5,0.5,31.5,0.67
2025-02-01,08:30,V-Shape,77,Se-P,Spring,454.5,29.0,39.4,78.77,0.68,63.02,0.57,35.9,0.67
2025-02-01,08:45,V-Shape,77,Se-P,Spring,512.2,29.5,41.3,78.18,0.77,62.54,0.64,40.2,0.67
2025-02-01,09:00,V-Shape,77,Se-P,Spring,569.9,29.9,43.2,77.58,0.86,62.06,0.72,44.5,0.67
2025-02-01,09:15,V-Shape,77,Se-P,Spring,622.5,30.3,44.8,77.05,0.94,61.64,0.78,48.4,0.67
2025-02-01,09:30,V-Shape,77,Se-P,Spring,675.0,30.6,46.5,76.53,1.02,61.22,0.85,52.2,0.67
2025-02-01,09:45,V-Shape,77,Se-P,Spring,727.6,31.0,48.1,76.0,1.1,60.8,0.92,55.9,0.67
2025-02-01,10:00,V-Shape,77,Se-P,Spring,780.1,31.3,49.8,75.47,1.18,60.38,0.99,59.7,0.67
2025-02-01,10:15,V-Shape,77,Se-P,Spring,813.0,31.6,50.9,75.13,1.23,60.11,1.03,62.0,0.67
2025-02-01,10:30,V-Shape,77,Se-P,Spring,845.9,31.8,51.9,74.8,1.28,59.84,1.07,64.3,0.67
2025-02-01,10:45,V-Shape,77,Se-P,Spring,878.7,32.0,53.0,74.46,1.33,59.56,1.12,66.5,0.67
2025-02-01,11:00,V-Shape,77,Se-P,Spring,911.6,32.3,54.1,74.12,1.38,59.29,1.16,68.8,0.67
2025-02-01,11:15,V-Shape,77,Se-P,Spring,911.3,32.5,54.3,74.07,1.38,59.25,1.16,68.7,0.67
2025-02-01,11:30,V-Shape,77,Se-P,Spring,910.9,32.6,54.4,74.01,1.38,59.21,1.16,68.6,0.67
2025-02-01,11:45,V-Shape,77,Se-P,Spring,910.6,32.8,54.6,73.96,1.38,59.17,1.16,68.6,0.67
2025-02-01,12:00,V-Shape,77,Se-P,Spring,910.3,33.0,54.7,73.91,1.38,59.13,1.16,68.5,0.67
2025-02-01,12:15,V-Shape,77,Se-P,Spring,890.5,33.0,54.3,74.06,1.35,59.24,1.13,67.1,0.67
2025-02-01,12:30,V-Shape,77,Se-P,Spring,870.7,33.1,53.8,74.2,1.32,59.36,1.11,65.7,0.67
2025-02-01,12:45,V-Shape,77,Se-P,Spring,851.0,33.1,53.4,74.34,1.29,59.47,1.08,64.3,0.67
2025-02-01,13:00,V-Shape,77,Se-P,Spring,831.2,33.1,52.9,74.49,1.26,59.59,1.06,62.9,0.67
2025-02-01,13:15,V-Shape,77,Se-P,Spring,794.4,33.1,51.9,74.8,1.2,59.84,1.01,60.3,0.67
2025-02-01,13:30,V-Shape,77,Se-P,Spring,757.5,33.0,50.9,75.12,1.15,60.1,0.96,57.7,0.67
2025-02-01,13:45,V-Shape,77,Se-P,Spring,720.7,32.9,49.9,75.44,1.09,60.35,0.91,55.1,0.67
2025-02-01,14:00,V-Shape,77,Se-P,Spring,683.9,32.8,48.9,75.76,1.03,60.61,0.87,52.5,0.67
2025-02-01,14:15,V-Shape,77,Se-P,Spring,636.4,32.6,47.5,76.19,0.96,60.95,0.8,49.0,0.67
2025-02-01,14:30,V-Shape,77,Se-P,Spring,589.0,32.5,46.2,76.62,0.89,61.3,0.74,45.6,0.67
2025-02-01,14:45,V-Shape,77,Se-P,Spring,541.5,32.3,44.8,77.06,0.82,61.64,0.68,42.1,0.67
2025-02-01,15:00,V-Shape,77,Se-P,Spring,494.1,32.1,43.4,77.49,0.74,61.99,0.62,38.6,0.67
2025-02-01,15:15,V-Shape,77,Se-P,Spring,432.1,31.8,41.6,78.08,0.65,62.47,0.54,33.9,0.67
2025-02-01,15:30,V-Shape,77,Se-P,Spring,370.2,31.4,39.7,78.68,0.55,62.94,0.46,29.2,0.67
2025-02-01,15:45,V-Shape,77,Se-P,Spring,308.2,31.1,37.8,79.27,0.46,63.42,0.39,24.5,0.67
2025-02-01,16:00,V-Shape,77,Se-P,Spring,246.2,30.8,35.9,79.87,0.37,63.89,0.31,19.7,0.67
2025-02-01,16:15,V-Shape,77,Se-P,Spring,195.3,30.2,34.0,80.46,0.29,64.37,0.24,15.7,0.67
2025-02-01,16:30,V-Shape,77,Se-P,Spring,144.4,29.6,32.2,81.06,0.21,64.85,0.18,11.7,0.67
2025-02-01,16:45,V-Shape,77,Se-P,Spring,93.5,28.9,30.3,81.66,0.14,65.33,0.12,7.6,0.67
2025-02-01,17:00,V-Shape,77,Se-P,Spring,42.6,28.3,28.4,82.26,0.06,65.81,0.05,3.5,0.67
2025-02-01,17:15,V-Shape,77,Se-P,Spring,31.9,27.9,27.7,82.47,0.05,65.97,0.04,2.6,0.67
2025-02-01,17:30,V-Shape,77,Se-P,Spring,21.3,27.5,27.1,82.68,0.03,66.14,0.03,1.7,0.67
2025-02-01,17:45,V-Shape,77,Se-P,Spring,10.6,27.1,26.4,82.88,0.02,66.31,0.01,0.9,0.67
2025-02-02,05:15,V-Shape,77,Se-P,Spring,6.4,22.7,21.8,84.33,0.01,67.46,0.01,0.5,0.67
2025-02-02,05:30,V-Shape,77,Se-P,Spring,12.8,23.0,22.3,84.18,0.02,67.35,0.02,1.1,0.67
2025-02-02,05:45,V-Shape,77,Se-P,Spring,19.2,23.3,22.8,84.04,0.03,67.23,0.02,1.6,0.67
2025-02-02,06:00,V-Shape,77,Se-P,Spring,25.6,23.6,23.2,83.89,0.04,67.11,0.03,2.1,0.67
2025-02-02,06:15,V-Shape,77,Se-P,Spring,66.6,24.2,24.8,83.38,0.1,66.7,0.08,5.5,0.67
2025-02-02,06:30,V-Shape,77,Se-P,Spring,107.7,24.8,26.5,82.86,0.16,66.29,0.13,8.8,0.67
2025-02-02,06:45,V-Shape,77,Se-P,Spring,148.7,25.4,28.1,82.35,0.22,65.88,0.18,12.1,0.67
2025-02-02,07:00,V-Shape,77,Se-P,Spring,189.7,26.0,29.7,81.83,0.28,65.47,0.24,15.4,0.67
2025-02-02,07:15,V-Shape,77,Se-P,Spring,238.0,26.5,31.4,81.3,0.35,65.04,0.3,19.3,0.67
2025-02-02,07:30,V-Shape,77,Se-P,Spring,286.3,27.0,33.1,80.76,0.43,64.61,0.36,23.1,0.67
2025-02-02,07:45,V-Shape,77,Se-P,Spring,334.6,27.5,34.8,80.22,0.5,64.18,0.42,26.8,0.67
2025-02-02,08:00,V-Shape,77,Se-P,Spring,382.9,27.9,36.5,79.68,0.57,63.75,0.48,30.5,0.67
