Date,Time,Shape,Spacing_cm,Connection,Season,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-11-01,05:15,V-Shape,77,Se-P,Winter,23.5,25.1,24.7,83.44,0.03,66.75,0.03,1.9,0.67
2024-11-01,05:30,V-Shape,77,Se-P,Winter,46.9,25.2,25.4,83.21,0.07,66.57,0.06,3.9,0.67
2024-11-01,05:45,V-Shape,77,Se-P,Winter,70.4,25.3,26.1,82.98,0.1,66.38,0.09,5.8,0.67
2024-11-01,06:00,V-Shape,77,Se-P,Winter,93.9,25.5,26.8,82.75,0.14,66.2,0.12,7.7,0.67
2024-11-01,06:15,V-Shape,77,Se-P,Winter,141.7,25.7,28.3,82.3,0.21,65.84,0.18,11.6,0.67
2024-11-01,06:30,V-Shape,77,Se-P,Winter,189.6,26.0,29.7,81.84,0.28,65.47,0.24,15.4,0.67
2024-11-01,06:45,V-Shape,77,Se-P,Winter,237.5,26.2,31.1,81.39,0.35,65.11,0.3,19.2,0.67
2024-11-01,07:00,V-Shape,77,Se-P,Winter,285.3,26.4,32.6,80.93,0.42,64.75,0.36,23.0,0.67
2024-11-01,07:15,V-Shape,77,Se-P,Winter,340.9,26.8,34.3,80.39,0.51,64.31,0.43,27.4,0.67
2024-11-01,07:30,V-Shape,77,Se-P,Winter,396.5,27.1,36.0,79.85,0.59,63.88,0.5,31.7,0.67
2024-11-01,07:45,V-Shape,77,Se-P,Winter,452.1,27.4,37.7,79.31,0.68,63.45,0.57,35.9,0.67
2024-11-01,08:00,V-Shape,77,Se-P,Winter,507.6,27.7,39.4,78.77,0.76,63.01,0.64,40.1,0.67
2024-11-01,08:15,V-Shape,77,Se-P,Winter,552.9,28.1,40.9,78.3,0.83,62.64,0.69,43.5,0.67
2024-11-01,08:30,V-Shape,77,Se-P,Winter,598.1,28.4,42.4,77.83,0.9,62.27,0.75,46.8,0.67
2024-11-01,08:45,V-Shape,77,Se-P,Winter,643.4,28.8,43.8,77.36,0.97,61.89,0.81,50.2,0.67
2024-11-01,09:00,V-Shape,77,Se-P,Winter,688.7,29.1,45.3,76.89,1.04,61.52,0.87,53.4,0.67
2024-11-01,09:15,V-Shape,77,Se-P,Winter,715.9,29.4,46.3,76.58,1.08,61.27,0.9,55.4,0.67
2024-11-01,09:30,V-Shape,77,Se-P,Winter,743.1,29.7,47.3,76.27,1.12,61.02,0.94,57.3,0.67
2024-11-01,09:45,V-Shape,77,Se-P,Winter,770.3,30.0,48.3,75.96,1.16,60.77,0.97,59.2,0.67
2024-11-01,10:00,V-Shape,77,Se-P,Winter,797.6,30.3,49.3,75.65,1.21,60.52,1.01,61.1,0.67
2024-11-01,10:15,V-Shape,77,Se-P,Winter,796.0,30.5,49.4,75.59,1.2,60.47,1.01,61.0,0.67
2024-11-01,10:30,V-Shape,77,Se-P,Winter,794.5,30.8,49.6,75.53,1.2,60.42,1.01,60.8,0.67
