Date,Time,Shape,Spacing_cm,Connection,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,93,TCT,17.9,25.6,22.0,84.27,0.03,67.42,0.02,1.6,0.67
2025-04-01,05:30,V-Shape,93,TCT,35.8,25.8,22.7,84.06,0.06,67.25,0.05,3.2,0.67
2025-04-01,05:45,V-Shape,93,TCT,53.7,26.0,23.4,83.84,0.08,67.07,0.07,4.8,0.67
2025-04-01,06:00,V-Shape,93,TCT,71.6,26.3,24.1,83.63,0.11,66.9,0.09,6.3,0.67
2025-04-01,06:15,V-Shape,93,TCT,115.1,26.8,25.7,83.1,0.18,66.48,0.15,10.1,0.67
2025-04-01,06:30,V-Shape,93,TCT,158.5,27.4,27.4,82.58,0.25,66.06,0.21,13.9,0.67
2025-04-01,06:45,V-Shape,93,TCT,202.0,28.0,29.0,82.05,0.32,65.64,0.27,17.6,0.67
2025-04-01,07:00,V-Shape,93,TCT,245.4,28.6,30.7,81.53,0.39,65.22,0.33,21.3,0.67
2025-04-01,07:15,V-Shape,93,TCT,298.2,29.1,32.5,80.94,0.47,64.75,0.4,25.7,0.67
2025-04-01,07:30,V-Shape,93,TCT,351.0,29.6,34.4,80.36,0.56,64.28,0.47,30.1,0.67
2025-04-01,07:45,V-Shape,93,TCT,403.8,30.1,36.2,79.77,0.64,63.82,0.54,34.5,0.67
2025-04-01,08:00,V-Shape,93,TCT,456.6,30.7,38.1,79.18,0.73,63.35,0.61,38.8,0.67
2025-04-01,08:15,V-Shape,93,TCT,505.5,31.1,39.8,78.66,0.81,62.92,0.68,42.7,0.67
2025-04-01,08:30,V-Shape,93,TCT,554.4,31.6,41.4,78.13,0.89,62.5,0.75,46.6,0.67
2025-04-01,08:45,V-Shape,93,TCT,603.3,32.0,43.1,77.6,0.97,62.08,0.81,50.4,0.67
2025-04-01,09:00,V-Shape,93,TCT,652.2,32.5,44.8,77.07,1.05,61.65,0.88,54.2,0.67
2025-04-01,09:15,V-Shape,93,TCT,668.4,32.9,45.6,76.81,1.08,61.45,0.9,55.4,0.67
2025-04-01,09:30,V-Shape,93,TCT,684.7,33.3,46.4,76.56,1.1,61.25,0.93,56.7,0.67
2025-04-01,09:45,V-Shape,93,TCT,701.0,33.7,47.2,76.3,1.13,61.04,0.95,57.9,0.67
2025-04-01,10:00,V-Shape,93,TCT,717.3,34.1,48.0,76.05,1.16,60.84,0.97,59.0,0.67
2025-04-01,10:15,V-Shape,93,TCT,747.8,34.4,49.1,75.7,1.21,60.56,1.01,61.3,0.67
2025-04-01,10:30,V-Shape,93,TCT,778.3,34.7,50.2,75.36,1.26,60.29,1.06,63.6,0.67
2025-04-01,10:45,V-Shape,93,TCT,808.8,35.0,51.3,75.01,1.31,60.01,1.1,65.9,0.67
2025-04-01,11:00,V-Shape,93,TCT,839.3,35.4,52.4,74.67,1.36,59.73,1.14,68.1,0.67
2025-04-01,11:15,V-Shape,93,TCT,824.1,35.6,52.2,74.72,1.34,59.78,1.12,66.9,0.67
2025-04-01,11:30,V-Shape,93,TCT,808.8,35.8,52.0,74.78,1.31,59.82,1.1,65.7,0.67
2025-04-01,11:45,V-Shape,93,TCT,793.5,36.0,51.8,74.84,1.29,59.87,1.08,64.5,0.67
2025-04-01,12:00,V-Shape,93,TCT,778.2,36.2,51.6,74.89,1.26,59.91,1.06,63.3,0.67
2025-04-01,12:15,V-Shape,93,TCT,771.1,36.2,51.5,74.93,1.25,59.94,1.05,62.8,0.67
2025-04-01,12:30,V-Shape,93,TCT,764.0,36.3,51.4,74.97,1.24,59.97,1.04,62.2,0.67
2025-04-01,12:45,V-Shape,93,TCT,757.0,36.4,51.3,75.0,1.23,60.0,1.03,61.7,0.67
2025-04-01,13:00,V-Shape,93,TCT,749.9,36.4,51.2,75.04,1.22,60.03,1.02,61.1,0.67
2025-04-01,13:15,V-Shape,93,TCT,700.0,36.4,49.9,75.46,1.13,60.36,0.95,57.3,0.67
2025-04-01,13:30,V-Shape,93,TCT,650.1,36.3,48.5,75.87,1.05,60.7,0.88,53.4,0.67
2025-04-01,13:45,V-Shape,93,TCT,600.2,36.2,47.2,76.29,0.97,61.03,0.81,49.5,0.67
2025-04-01,14:00,V-Shape,93,TCT,550.3,36.1,45.9,76.71,0.89,61.37,0.74,45.6,0.67
2025-04-01,14:15,V-Shape,93,TCT,524.7,35.9,45.0,77.0,0.85,61.6,0.71,43.6,0.67
2025-04-01,14:30,V-Shape,93,TCT,499.1,35.6,44.1,77.29,0.8,61.83,0.67,41.6,0.67
2025-04-01,14:45,V-Shape,93,TCT,473.6,35.3,43.1,77.58,0.76,62.07,0.64,39.6,0.67
2025-04-01,15:00,V-Shape,93,TCT,448.0,35.0,42.2,77.87,0.72,62.3,0.6,37.5,0.67
2025-04-01,15:15,V-Shape,93,TCT,392.4,34.6,40.4,78.45,0.63,62.76,0.53,33.1,0.67
2025-04-01,15:30,V-Shape,93,TCT,336.9,34.2,38.6,79.02,0.54,63.22,0.45,28.6,0.67
2025-04-01,15:45,V-Shape,93,TCT,281.3,33.8,36.8,79.6,0.45,63.68,0.38,24.0,0.67
2025-04-01,16:00,V-Shape,93,TCT,225.8,33.3,35.0,80.17,0.36,64.14,0.3,19.3,0.67
2025-04-01,16:15,V-Shape,93,TCT,180.3,32.8,33.3,80.69,0.29,64.56,0.24,15.5,0.67
2025-04-01,16:30,V-Shape,93,TCT,134.8,32.3,31.7,81.22,0.21,64.98,0.18,11.7,0.67
2025-04-01,16:45,V-Shape,93,TCT,89.2,31.8,30.0,81.74,0.14,65.4,0.12,7.8,0.67
2025-04-01,17:00,V-Shape,93,TCT,43.7,31.2,28.3,82.27,0.07,65.82,0.06,3.8,0.67
2025-04-01,17:15,V-Shape,93,TCT,32.8,30.8,27.6,82.5,0.05,66.0,0.04,2.9,0.67
2025-04-01,17:30,V-Shape,93,TCT,21.9,30.4,26.9,82.72,0.03,66.18,0.03,1.9,0.67
2025-04-01,17:45,V-Shape,93,TCT,10.9,29.9,26.2,82.95,0.02,66.36,0.01,1.0,0.67
