Date,Time,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,62,17.1,25.6,30.0,81.75,0.03,65.4,0.02,1.4,0.67
2025-04-01,05:30,62,34.1,25.8,30.7,81.54,0.05,65.23,0.04,2.8,0.67
2025-04-01,05:45,62,51.2,26.0,31.3,81.33,0.08,65.06,0.06,4.1,0.67
2025-04-01,06:00,62,68.2,26.3,32.0,81.12,0.1,64.9,0.08,5.5,0.67
2025-04-01,06:15,62,109.6,26.8,33.6,80.61,0.16,64.49,0.14,8.8,0.67
2025-04-01,06:30,62,151.0,27.4,35.2,80.1,0.23,64.08,0.19,12.1,0.67
2025-04-01,06:45,62,192.4,28.0,36.8,79.6,0.29,63.68,0.24,15.3,0.67
2025-04-01,07:00,62,233.7,28.6,38.4,79.09,0.35,63.27,0.29,18.5,0.67
2025-04-01,07:15,62,284.0,29.1,40.2,78.52,0.43,62.82,0.36,22.4,0.67
2025-04-01,07:30,62,334.3,29.6,42.0,77.96,0.5,62.36,0.42,26.2,0.67
2025-04-01,07:45,62,384.6,30.1,43.8,77.39,0.58,61.91,0.48,30.0,0.67
2025-04-01,08:00,62,434.9,30.7,45.5,76.82,0.66,61.46,0.55,33.7,0.67
2025-04-01,08:15,62,481.4,31.1,47.2,76.31,0.73,61.05,0.61,37.1,0.67
2025-04-01,08:30,62,528.0,31.6,48.8,75.8,0.8,60.64,0.67,40.5,0.67
2025-04-01,08:45,62,574.6,32.0,50.4,75.29,0.87,60.23,0.73,43.9,0.67
2025-04-01,09:00,62,621.1,32.5,52.0,74.78,0.94,59.82,0.79,47.2,0.67
2025-04-01,09:15,62,636.6,32.9,52.8,74.53,0.97,59.62,0.81,48.2,0.67
2025-04-01,09:30,62,652.1,33.3,53.6,74.28,0.99,59.43,0.83,49.3,0.67
2025-04-01,09:45,62,667.6,33.7,54.4,74.03,1.01,59.23,0.85,50.3,0.67
2025-04-01,10:00,62,683.1,34.1,55.1,73.79,1.04,59.03,0.87,51.3,0.67
2025-04-01,10:15,62,712.2,34.4,56.2,73.45,1.08,58.76,0.91,53.3,0.67
2025-04-01,10:30,62,741.2,34.7,57.2,73.12,1.13,58.49,0.95,55.3,0.67
2025-04-01,10:45,62,770.3,35.0,58.3,72.78,1.17,58.23,0.98,57.3,0.67
2025-04-01,11:00,62,799.4,35.4,59.4,72.45,1.22,57.96,1.02,59.2,0.67
2025-04-01,11:15,62,784.8,35.6,59.2,72.5,1.2,58.0,1.0,58.2,0.67
2025-04-01,11:30,62,770.2,35.8,59.0,72.55,1.18,58.04,0.98,57.1,0.67
2025-04-01,11:45,62,755.7,36.0,58.9,72.6,1.15,58.08,0.97,56.1,0.67
2025-04-01,12:00,62,741.1,36.2,58.7,72.65,1.13,58.12,0.95,55.0,0.67
2025-04-01,12:15,62,734.4,36.2,58.6,72.69,1.12,58.15,0.94,54.6,0.67
2025-04-01,12:30,62,727.7,36.3,58.5,72.72,1.11,58.18,0.93,54.1,0.67
2025-04-01,12:45,62,720.9,36.4,58.4,72.75,1.1,58.2,0.92,53.6,0.67
2025-04-01,13:00,62,714.2,36.4,58.3,72.79,1.09,58.23,0.91,53.1,0.67
2025-04-01,13:15,62,666.7,36.4,57.0,73.19,1.02,58.55,0.85,49.8,0.67
2025-04-01,13:30,62,619.1,36.3,55.8,73.59,0.94,58.87,0.79,46.4,0.67
2025-04-01,13:45,62,571.6,36.2,54.5,73.98,0.87,59.19,0.73,43.1,0.67
2025-04-01,14:00,62,524.0,36.1,53.3,74.38,0.8,59.51,0.67,39.6,0.67
