Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,62,18.4,25.6,28.0,82.37,0.03,65.9,0.02,1.5,0.67
2025-04-01,05:30,Inverted-V,62,36.8,25.8,28.7,82.15,0.05,65.72,0.05,3.0,0.67
2025-04-01,05:45,Inverted-V,62,55.3,26.0,29.4,81.93,0.08,65.54,0.07,4.5,0.67
2025-04-01,06:00,Inverted-V,62,73.7,26.3,30.1,81.71,0.11,65.37,0.09,6.0,0.67
2025-04-01,06:15,Inverted-V,62,118.4,26.8,31.8,81.18,0.18,64.94,0.15,9.6,0.67
2025-04-01,06:30,Inverted-V,62,163.1,27.4,33.5,80.64,0.24,64.51,0.2,13.1,0.67
2025-04-01,06:45,Inverted-V,62,207.7,28.0,35.2,80.11,0.31,64.09,0.26,16.6,0.67
2025-04-01,07:00,Inverted-V,62,252.4,28.6,36.9,79.57,0.38,63.66,0.32,20.1,0.67
2025-04-01,07:15,Inverted-V,62,306.7,29.1,38.7,78.97,0.46,63.18,0.38,24.3,0.67
2025-04-01,07:30,Inverted-V,62,361.0,29.6,40.6,78.38,0.54,62.7,0.45,28.4,0.67
2025-04-01,07:45,Inverted-V,62,415.3,30.1,42.5,77.78,0.62,62.22,0.52,32.5,0.67
2025-04-01,08:00,Inverted-V,62,469.6,30.7,44.4,77.18,0.71,61.75,0.59,36.5,0.67
2025-04-01,08:15,Inverted-V,62,519.9,31.1,46.1,76.64,0.78,61.31,0.66,40.2,0.67
2025-04-01,08:30,Inverted-V,62,570.2,31.6,47.8,76.1,0.86,60.88,0.72,43.9,0.67
2025-04-01,08:45,Inverted-V,62,620.5,32.0,49.5,75.56,0.94,60.45,0.79,47.5,0.67
2025-04-01,09:00,Inverted-V,62,670.8,32.5,51.2,75.02,1.02,60.02,0.85,51.1,0.67
2025-04-01,09:15,Inverted-V,62,687.5,32.9,52.1,74.76,1.04,59.81,0.87,52.2,0.67
2025-04-01,09:30,Inverted-V,62,704.3,33.3,52.9,74.5,1.07,59.6,0.89,53.3,0.67
2025-04-01,09:45,Inverted-V,62,721.0,33.7,53.7,74.24,1.09,59.4,0.92,54.5,0.67
2025-04-01,10:00,Inverted-V,62,737.7,34.1,54.5,73.99,1.12,59.19,0.94,55.6,0.67
2025-04-01,10:15,Inverted-V,62,769.1,34.4,55.6,73.63,1.17,58.91,0.98,57.7,0.67
2025-04-01,10:30,Inverted-V,62,800.5,34.7,56.7,73.28,1.22,58.63,1.02,59.9,0.67
2025-04-01,10:45,Inverted-V,62,831.9,35.0,57.8,72.93,1.27,58.34,1.06,62.0,0.67
2025-04-01,11:00,Inverted-V,62,863.3,35.4,59.0,72.58,1.32,58.06,1.1,64.1,0.67
2025-04-01,11:15,Inverted-V,62,847.6,35.6,58.8,72.64,1.29,58.11,1.08,62.9,0.67
2025-04-01,11:30,Inverted-V,62,831.9,35.8,58.6,72.7,1.27,58.16,1.06,61.8,0.67
