Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,Inverted-V,77,18.4,25.6,24.0,83.64,0.03,66.91,0.02,1.5,0.67
2025-04-01,05:30,Inverted-V,77,36.8,25.8,24.7,83.42,0.05,66.73,0.05,3.0,0.67
2025-04-01,05:45,Inverted-V,77,55.3,26.0,25.4,83.2,0.08,66.56,0.07,4.5,0.67
2025-04-01,06:00,Inverted-V,77,73.7,26.3,26.1,82.98,0.11,66.38,0.09,6.1,0.67
2025-04-01,06:15,Inverted-V,77,118.4,26.8,27.8,82.44,0.18,65.95,0.15,9.7,0.67
2025-04-01,06:30,Inverted-V,77,163.1,27.4,29.5,81.91,0.24,65.53,0.2,13.3,0.67
2025-04-01,06:45,Inverted-V,77,207.7,28.0,31.2,81.37,0.31,65.1,0.26,16.8,0.67
2025-04-01,07:00,Inverted-V,77,252.4,28.6,32.9,80.84,0.38,64.67,0.31,20.3,0.67
2025-04-01,07:15,Inverted-V,77,306.7,29.1,34.7,80.24,0.46,64.19,0.38,24.6,0.67
2025-04-01,07:30,Inverted-V,77,361.0,29.6,36.6,79.64,0.54,63.71,0.45,28.8,0.67
2025-04-01,07:45,Inverted-V,77,415.3,30.1,38.5,79.05,0.62,63.24,0.52,32.9,0.67
2025-04-01,08:00,Inverted-V,77,469.6,30.7,40.4,78.45,0.7,62.76,0.59,37.0,0.67
2025-04-01,08:15,Inverted-V,77,519.9,31.1,42.1,77.91,0.78,62.33,0.65,40.7,0.67
2025-04-01,08:30,Inverted-V,77,570.2,31.6,43.8,77.37,0.86,61.89,0.72,44.4,0.67
2025-04-01,08:45,Inverted-V,77,620.5,32.0,45.5,76.83,0.93,61.46,0.78,48.1,0.67
2025-04-01,09:00,Inverted-V,77,670.8,32.5,47.2,76.29,1.01,61.03,0.85,51.7,0.67
2025-04-01,09:15,Inverted-V,77,687.5,32.9,48.1,76.03,1.04,60.82,0.87,52.9,0.67
2025-04-01,09:30,Inverted-V,77,704.3,33.3,48.9,75.77,1.06,60.62,0.89,54.0,0.67
2025-04-01,09:45,Inverted-V,77,721.0,33.7,49.7,75.51,1.09,60.41,0.91,55.2,0.67
2025-04-01,10:00,Inverted-V,77,737.7,34.1,50.5,75.25,1.12,60.2,0.94,56.3,0.67
2025-04-01,10:15,Inverted-V,77,769.1,34.4,51.6,74.9,1.17,59.92,0.98,58.5,0.67
