Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,62,17.9,25.6,29.0,82.06,0.03,65.65,0.02,1.5,0.67
2025-04-01,05:30,V-Shape,62,35.8,25.8,29.7,81.84,0.05,65.47,0.04,2.9,0.67
2025-04-01,05:45,V-Shape,62,53.7,26.0,30.4,81.63,0.08,65.3,0.07,4.4,0.67
2025-04-01,06:00,V-Shape,62,71.6,26.3,31.1,81.41,0.11,65.13,0.09,5.8,0.67
2025-04-01,06:15,V-Shape,62,115.1,26.8,32.7,80.88,0.17,64.71,0.14,9.3,0.67
2025-04-01,06:30,V-Shape,62,158.5,27.4,34.4,80.36,0.24,64.29,0.2,12.7,0.67
2025-04-01,06:45,V-Shape,62,202.0,28.0,36.0,79.84,0.3,63.87,0.25,16.1,0.67
2025-04-01,07:00,V-Shape,62,245.4,28.6,37.7,79.31,0.37,63.45,0.31,19.5,0.67
2025-04-01,07:15,V-Shape,62,298.2,29.1,39.5,78.73,0.45,62.98,0.37,23.6,0.67
2025-04-01,07:30,V-Shape,62,351.0,29.6,41.4,78.14,0.53,62.51,0.44,27.6,0.67
2025-04-01,07:45,V-Shape,62,403.8,30.1,43.2,77.55,0.61,62.04,0.51,31.5,0.67
2025-04-01,08:00,V-Shape,62,456.6,30.7,45.1,76.97,0.69,61.57,0.58,35.5,0.67
2025-04-01,08:15,V-Shape,62,505.5,31.1,46.8,76.44,0.76,61.15,0.64,39.0,0.67
2025-04-01,08:30,V-Shape,62,554.4,31.6,48.4,75.91,0.84,60.73,0.7,42.6,0.67
2025-04-01,08:45,V-Shape,62,603.3,32.0,50.1,75.38,0.91,60.3,0.76,46.1,0.67
2025-04-01,09:00,V-Shape,62,652.2,32.5,51.8,74.85,0.99,59.88,0.83,49.6,0.67
2025-04-01,09:15,V-Shape,62,668.4,32.9,52.6,74.6,1.01,59.68,0.85,50.7,0.67
2025-04-01,09:30,V-Shape,62,684.7,33.3,53.4,74.34,1.04,59.47,0.87,51.8,0.67
