Date,Time,Shape,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,V-Shape,93,17.9,25.6,22.0,84.27,0.03,67.42,0.02,1.5,0.67
2025-04-01,05:30,V-Shape,93,35.8,25.8,22.7,84.06,0.05,67.25,0.04,3.0,0.67
2025-04-01,05:45,V-Shape,93,53.7,26.0,23.4,83.84,0.08,67.07,0.07,4.4,0.67
2025-04-01,06:00,V-Shape,93,71.6,26.3,24.1,83.63,0.11,66.9,0.09,5.9,0.67
2025-04-01,06:15,V-Shape,93,115.1,26.8,25.7,83.1,0.17,66.48,0.14,9.5,0.67
2025-04-01,06:30,V-Shape,93,158.5,27.4,27.4,82.58,0.23,66.06,0.2,13.0,0.67
2025-04-01,06:45,V-Shape,93,202.0,28.0,29.0,82.05,0.3,65.64,0.25,16.5,0.67
2025-04-01,07:00,V-Shape,93,245.4,28.6,30.7,81.53,0.36,65.22,0.31,19.9,0.67
2025-04-01,07:15,V-Shape,93,298.2,29.1,32.5,80.94,0.44,64.75,0.37,24.1,0.67
2025-04-01,07:30,V-Shape,93,351.0,29.6,34.4,80.36,0.52,64.28,0.44,28.2,0.67
2025-04-01,07:45,V-Shape,93,403.8,30.1,36.2,79.77,0.6,63.82,0.5,32.2,0.67
2025-04-01,08:00,V-Shape,93,456.6,30.7,38.1,79.18,0.68,63.35,0.57,36.2,0.67
2025-04-01,08:15,V-Shape,93,505.5,31.1,39.8,78.66,0.76,62.92,0.63,39.9,0.67
2025-04-01,08:30,V-Shape,93,554.4,31.6,41.4,78.13,0.83,62.5,0.7,43.5,0.67
2025-04-01,08:45,V-Shape,93,603.3,32.0,43.1,77.6,0.91,62.08,0.76,47.1,0.67
2025-04-01,09:00,V-Shape,93,652.2,32.5,44.8,77.07,0.98,61.65,0.82,50.7,0.67
2025-04-01,09:15,V-Shape,93,668.4,32.9,45.6,76.81,1.01,61.45,0.84,51.8,0.67
2025-04-01,09:30,V-Shape,93,684.7,33.3,46.4,76.56,1.03,61.25,0.86,52.9,0.67
2025-04-01,09:45,V-Shape,93,701.0,33.7,47.2,76.3,1.06,61.04,0.89,54.1,0.67
2025-04-01,10:00,V-Shape,93,717.3,34.1,48.0,76.05,1.08,60.84,0.91,55.2,0.67
2025-04-01,10:15,V-Shape,93,747.8,34.4,49.1,75.7,1.13,60.56,0.95,57.3,0.67
2025-04-01,10:30,V-Shape,93,778.3,34.7,50.2,75.36,1.18,60.29,0.99,59.5,0.67
2025-04-01,10:45,V-Shape,93,808.8,35.0,51.3,75.01,1.23,60.01,1.03,61.6,0.67
2025-04-01,11:00,V-Shape,93,839.3,35.4,52.4,74.67,1.27,59.73,1.07,63.7,0.67
2025-04-01,11:15,V-Shape,93,824.1,35.6,52.2,74.72,1.25,59.78,1.05,62.5,0.67
2025-04-01,11:30,V-Shape,93,808.8,35.8,52.0,74.78,1.23,59.82,1.03,61.4,0.67
2025-04-01,11:45,V-Shape,93,793.5,36.0,51.8,74.84,1.2,59.87,1.01,60.3,0.67
2025-04-01,12:00,V-Shape,93,778.2,36.2,51.6,74.89,1.18,59.91,0.99,59.2,0.67
2025-04-01,12:15,V-Shape,93,771.1,36.2,51.5,74.93,1.17,59.94,0.98,58.7,0.67
2025-04-01,12:30,V-Shape,93,764.0,36.3,51.4,74.97,1.16,59.97,0.97,58.1,0.67
2025-04-01,12:45,V-Shape,93,757.0,36.4,51.3,75.0,1.15,60.0,0.96,57.6,0.67
2025-04-01,13:00,V-Shape,93,749.9,36.4,51.2,75.04,1.14,60.03,0.95,57.1,0.67
2025-04-01,13:15,V-Shape,93,700.0,36.4,49.9,75.46,1.06,60.36,0.89,53.5,0.67
2025-04-01,13:30,V-Shape,93,650.1,36.3,48.5,75.87,0.98,60.7,0.82,49.9,0.67
2025-04-01,13:45,V-Shape,93,600.2,36.2,47.2,76.29,0.91,61.03,0.76,46.3,0.67
2025-04-01,14:00,V-Shape,93,550.3,36.1,45.9,76.71,0.83,61.37,0.69,42.6,0.67
2025-04-01,14:15,V-Shape,93,524.7,35.9,45.0,77.0,0.79,61.6,0.66,40.8,0.67
2025-04-01,14:30,V-Shape,93,499.1,35.6,44.1,77.29,0.75,61.83,0.63,38.9,0.67
2025-04-01,14:45,V-Shape,93,473.6,35.3,43.1,77.58,0.71,62.07,0.6,37.0,0.67
2025-04-01,15:00,V-Shape,93,448.0,35.0,42.2,77.87,0.67,62.3,0.56,35.1,0.67
2025-04-01,15:15,V-Shape,93,392.4,34.6,40.4,78.45,0.59,62.76,0.49,30.9,0.67
2025-04-01,15:30,V-Shape,93,336.9,34.2,38.6,79.02,0.5,63.22,0.42,26.7,0.67
2025-04-01,15:45,V-Shape,93,281.3,33.8,36.8,79.6,0.42,63.68,0.35,22.4,0.67
2025-04-01,16:00,V-Shape,93,225.8,33.3,35.0,80.17,0.34,64.14,0.28,18.1,0.67
2025-04-01,16:15,V-Shape,93,180.3,32.8,33.3,80.69,0.27,64.56,0.22,14.5,0.67
2025-04-01,16:30,V-Shape,93,134.8,32.3,31.7,81.22,0.2,64.98,0.17,10.9,0.67
2025-04-01,16:45,V-Shape,93,89.2,31.8,30.0,81.74,0.13,65.4,0.11,7.3,0.67
2025-04-01,17:00,V-Shape,93,43.7,31.2,28.3,82.27,0.06,65.82,0.05,3.6,0.67
2025-04-01,17:15,V-Shape,93,32.8,30.8,27.6,82.5,0.05,66.0,0.04,2.7,0.67
2025-04-01,17:30,V-Shape,93,21.9,30.4,26.9,82.72,0.03,66.18,0.03,1.8,0.67
2025-04-01,17:45,V-Shape,93,10.9,29.9,26.2,82.95,0.02,66.36,0.01,0.9,0.67
2025-04-02,05:15,V-Shape,93,21.4,26.1,22.7,84.07,0.03,67.26,0.03,1.8,0.67
2025-04-02,05:30,V-Shape,93,42.8,26.4,23.5,83.8,0.06,67.04,0.05,3.5,0.67
2025-04-02,05:45,V-Shape,93,64.2,26.7,24.3,83.54,0.09,66.83,0.08,5.3,0.67
2025-04-02,06:00,V-Shape,93,85.6,27.0,25.2,83.27,0.13,66.62,0.11,7.1,0.67
2025-04-02,06:15,V-Shape,93,138.6,27.5,26.9,82.71,0.2,66.17,0.17,11.4,0.67
2025-04-02,06:30,V-Shape,93,191.6,27.9,28.7,82.15,0.28,65.72,0.24,15.6,0.67
2025-04-02,06:45,V-Shape,93,244.6,28.4,30.5,81.59,0.36,65.27,0.3,19.8,0.67
2025-04-02,07:00,V-Shape,93,297.5,28.8,32.3,81.03,0.44,64.82,0.37,24.0,0.67
2025-04-02,07:15,V-Shape,93,340.3,29.3,33.9,80.52,0.51,64.42,0.42,27.3,0.67
2025-04-02,07:30,V-Shape,93,383.1,29.9,35.5,80.02,0.57,64.01,0.48,30.6,0.67
2025-04-02,07:45,V-Shape,93,425.9,30.4,37.1,79.51,0.64,63.61,0.53,33.9,0.67
2025-04-02,08:00,V-Shape,93,468.7,30.9,38.6,79.01,0.7,63.21,0.59,37.1,0.67
2025-04-02,08:15,V-Shape,93,513.2,31.3,40.1,78.54,0.77,62.83,0.64,40.5,0.67
2025-04-02,08:30,V-Shape,93,557.7,31.7,41.6,78.07,0.84,62.46,0.7,43.8,0.67
2025-04-02,08:45,V-Shape,93,602.2,32.0,43.1,77.6,0.9,62.08,0.76,47.1,0.67
2025-04-02,09:00,V-Shape,93,646.7,32.4,44.6,77.13,0.97,61.71,0.82,50.3,0.67
2025-04-02,09:15,V-Shape,93,692.4,32.6,45.9,76.7,1.04,61.36,0.87,53.6,0.67
2025-04-02,09:30,V-Shape,93,738.0,32.9,47.3,76.27,1.11,61.01,0.93,56.9,0.67
2025-04-02,09:45,V-Shape,93,783.7,33.1,48.7,75.83,1.18,60.66,0.99,60.2,0.67
2025-04-02,10:00,V-Shape,93,829.3,33.3,50.1,75.4,1.25,60.32,1.05,63.4,0.67
2025-04-02,10:15,V-Shape,93,840.7,33.5,50.5,75.26,1.27,60.21,1.07,64.2,0.67
2025-04-02,10:30,V-Shape,93,852.2,33.6,50.9,75.12,1.29,60.1,1.08,64.9,0.67
2025-04-02,10:45,V-Shape,93,863.6,33.7,51.3,74.99,1.31,59.99,1.1,65.7,0.67
2025-04-02,11:00,V-Shape,93,875.0,33.9,51.8,74.85,1.33,59.88,1.11,66.5,0.67
2025-04-02,11:15,V-Shape,93,843.7,34.0,51.1,75.08,1.28,60.06,1.07,64.3,0.67
2025-04-02,11:30,V-Shape,93,812.3,34.0,50.4,75.3,1.23,60.24,1.03,62.0,0.67
2025-04-02,11:45,V-Shape,93,780.9,34.1,49.6,75.52,1.18,60.42,0.99,59.8,0.67
2025-04-02,12:00,V-Shape,93,749.5,34.2,48.9,75.75,1.13,60.6,0.95,57.5,0.67
2025-04-02,12:15,V-Shape,93,724.1,34.2,48.3,75.94,1.09,60.76,0.92,55.6,0.67
2025-04-02,12:30,V-Shape,93,698.7,34.2,47.7,76.14,1.05,60.91,0.88,53.8,0.67
2025-04-02,12:45,V-Shape,93,673.3,34.2,47.1,76.34,1.02,61.07,0.85,52.0,0.67
2025-04-02,13:00,V-Shape,93,648.0,34.3,46.5,76.53,0.98,61.23,0.82,50.1,0.67
2025-04-02,13:15,V-Shape,93,626.2,34.2,45.8,76.74,0.94,61.39,0.79,48.5,0.67
2025-04-02,13:30,V-Shape,93,604.3,34.0,45.2,76.95,0.91,61.56,0.76,46.9,0.67
2025-04-02,13:45,V-Shape,93,582.5,33.9,44.5,77.15,0.88,61.72,0.73,45.3,0.67
2025-04-02,14:00,V-Shape,93,560.7,33.8,43.8,77.36,0.84,61.89,0.71,43.7,0.67
2025-04-02,14:15,V-Shape,93,522.8,33.6,42.7,77.72,0.79,62.18,0.66,40.9,0.67
2025-04-02,14:30,V-Shape,93,484.8,33.4,41.5,78.09,0.73,62.47,0.61,38.1,0.67
2025-04-02,14:45,V-Shape,93,446.9,33.2,40.4,78.45,0.67,62.76,0.56,35.2,0.67
2025-04-02,15:00,V-Shape,93,409.0,33.0,39.2,78.82,0.61,63.05,0.51,32.3,0.67
2025-04-02,15:15,V-Shape,93,362.7,32.7,37.8,79.28,0.54,63.43,0.45,28.8,0.67
2025-04-02,15:30,V-Shape,93,316.5,32.4,36.3,79.75,0.47,63.8,0.4,25.2,0.67
2025-04-02,15:45,V-Shape,93,270.3,32.1,34.8,80.21,0.4,64.17,0.34,21.7,0.67
