Month,Shape,Spacing_cm,Connection,Energy_kWh,Reference_Energy_kWh,Deviation_%
April,Flat,62,Se-P,38.266799999999996,38.76555,-1.2865804818969448
April,Flat,62,TCT,27.29665,38.76555,-29.585289000156063
April,Flat,62,TSSC,26.78695,38.76555,-30.900116211429985
April,Flat,77,Se-P,38.76555,38.76555,0.0
April,Flat,77,TCT,27.6528,38.76555,-28.666560902657125
April,Flat,77,TSSC,27.1358,38.76555,-30.000219266849044
April,Flat,93,Se-P,26.09085,38.76555,-32.69578272460986
April,Flat,93,TCT,27.9167,38.76555,-27.98580182662183
April,Flat,93,TSSC,27.39585,38.76555,-29.329391689270494
April,Inverted-V,62,Se-P,41.427925,38.76555,6.867889143840354
April,Inverted-V,62,TCT,29.55225,38.76555,-23.766720709495925
April,Inverted-V,62,TSSC,30.38305,38.76555,-21.623580730829296
April,Inverted-V,77,Se-P,41.9665,38.76555,8.2572025935399
April,Inverted-V,77,TCT,29.93575,38.76555,-22.777440278804246
April,Inverted-V,77,TSSC,30.77615,38.76555,-20.609536044245463
April,Inverted-V,93,Se-P,42.36685,38.76555,9.289949452542276
April,Inverted-V,93,TCT,30.2224,38.76555,-22.037995075524524
April,Inverted-V,93,TSSC,31.0681,38.76555,-19.856418908025287
April,Unknown,93,Se-P,13.045425,38.76555,-66.34789136230492
April,V-Shape,62,Se-P,40.2092,38.76555,3.724053960281758
April,V-Shape,62,TCT,28.5488,38.76555,-26.35523035272297
April,V-Shape,62,TSSC,28.682375,38.76555,-26.010658948473576
April,V-Shape,77,Se-P,40.73135,38.76555,5.070997315915811
April,V-Shape,77,TCT,28.919875,38.76555,-25.398001576141695
April,V-Shape,77,TSSC,29.055925,38.76555,-25.04704563717012
April,V-Shape,93,Se-P,41.11985,38.76555,6.073175796551325
April,V-Shape,93,TCT,29.19505,38.76555,-24.688157397483074
April,V-Shape,93,TSSC,29.332925,38.76555,-24.332493670281988
December,Flat,62,Se-P,10.359775,10.489425,-1.2360067401215968
December,Flat,62,TCT,11.084775,10.489425,5.675716257087493
December,Flat,62,TSSC,10.878075,10.489425,3.7051601970556076
December,Flat,77,Se-P,10.489425,10.489425,0.0
December,Flat,77,TCT,11.224075,10.489425,7.003720413654689
December,Flat,77,TSSC,11.014,10.489425,5.000989091394415
December,Flat,93,Se-P,10.58665,10.489425,0.926885887453315
December,Flat,93,TCT,11.3271,10.489425,7.985900085085684
December,Flat,93,TSSC,11.11515,10.489425,5.965293617142971
December,Inverted-V,62,Se-P,11.22195,10.489425,6.983461915214599
December,Inverted-V,62,TCT,12.00755,10.489425,14.47290962088007
December,Inverted-V,62,TSSC,12.3437,10.489425,17.67756573882743
December,Inverted-V,77,Se-P,11.36165,10.489425,8.315279436194057
December,Inverted-V,77,TCT,12.15685,10.489425,15.896247887753615
December,Inverted-V,77,TSSC,12.497825,10.489425,19.146902713923783
December,Inverted-V,93,Se-P,11.465225,10.489425,9.302702483691903
December,Inverted-V,93,TCT,12.2679,10.489425,16.954933182705425
December,Inverted-V,93,TSSC,12.6117,10.489425,20.232519895037143
December,V-Shape,62,Se-P,10.8891,10.489425,3.810266053668322
December,V-Shape,62,TCT,11.633225,10.489425,10.90431553683828
December,V-Shape,62,TSSC,11.4338,10.489425,9.00311504205425
December,V-Shape,77,Se-P,11.0256,10.489425,5.111576659349773
December,V-Shape,77,TCT,11.779475,10.489425,12.298576900068392
December,V-Shape,77,TSSC,11.576425,10.489425,10.362817790298323
December,V-Shape,93,Se-P,11.127225,10.489425,6.080409555337862
December,V-Shape,93,TCT,11.8878,10.489425,13.331283649961744
December,V-Shape,93,TSSC,11.6827,10.489425,11.375981047578868
February,Flat,62,Se-P,13.3028,13.4773,-1.2947697239061244
February,Flat,62,TCT,14.23345,13.4773,5.610545138863125
February,Flat,62,TSSC,13.967975,13.4773,3.640751485831729
February,Flat,77,Se-P,13.4773,13.4773,0.0
February,Flat,77,TCT,14.420375,13.4773,6.99750691904165
February,Flat,77,TSSC,14.151225,13.4773,5.000445193028281
