Season,Shape,Spacing_cm,Connection,Energy_kWh,Reference_Energy_kWh,Deviation_%
Autumn,Flat,62,Se-P,32.54515,10.92645,197.8565773878981
Autumn,Flat,62,TCT,34.82265,10.92645,218.7004928407671
Autumn,Flat,62,TSSC,11.32665,10.92645,3.6626717735403527
Autumn,Flat,77,Se-P,10.92645,10.92645,0.0
Autumn,Flat,77,TCT,35.26705,10.92645,222.7676875837989
Autumn,Flat,77,TSSC,11.47215,10.92645,4.994302815644589
Autumn,Flat,93,Se-P,11.029675,10.92645,0.9447258716234306
Autumn,Flat,93,TCT,35.597375,10.92645,225.79085613351083
Autumn,Flat,93,TSSC,11.5808,10.92645,5.98867884811626
Autumn,Inverted-V,62,Se-P,35.250775,10.92645,222.61873710125423
Autumn,Inverted-V,62,TCT,12.50135,10.92645,14.413647616563471
Autumn,Inverted-V,62,TSSC,12.852925,10.92645,17.631298363146307
Autumn,Inverted-V,77,Se-P,35.6962,10.92645,226.69531275025275
Autumn,Inverted-V,77,TCT,12.66145,10.92645,15.878899368047255
Autumn,Inverted-V,77,TSSC,13.01695,10.92645,19.13247212040506
Autumn,Inverted-V,93,Se-P,36.0295,10.92645,229.74570880752663
Autumn,Inverted-V,93,TCT,12.781475,10.92645,16.977380576490987
Autumn,Inverted-V,93,TSSC,13.139025,10.92645,20.249715140782225
Autumn,V-Shape,62,Se-P,11.33745,10.92645,3.761514490067676
Autumn,V-Shape,62,TCT,12.01815,10.92645,9.991351262303853
Autumn,V-Shape,62,TSSC,12.01815,10.92645,9.991351262303853
Autumn,V-Shape,77,Se-P,11.4838,10.92645,5.100924820046763
Autumn,V-Shape,77,TCT,12.17275,10.92645,11.40626644518576
Autumn,V-Shape,77,TSSC,12.17275,10.92645,11.40626644518576
Autumn,V-Shape,93,Se-P,11.59195,10.92645,6.090724800827347
Autumn,V-Shape,93,TCT,12.2875,10.92645,12.45647030828859
Autumn,V-Shape,93,TSSC,12.2875,10.92645,12.45647030828859
Spring,Flat,62,Se-P,52.52735,53.216075000000004,-1.2942048055968147
Spring,Flat,62,TCT,42.55495,53.216075000000004,-20.033655244209584
Spring,Flat,62,TSSC,41.7604,53.216075000000004,-21.526719135148554
Spring,Flat,77,Se-P,53.216075000000004,53.216075000000004,0.0
Spring,Flat,77,TCT,43.113925,53.216075000000004,-18.983267743816132
Spring,Flat,77,TSSC,42.308525,53.216075000000004,-20.496720210951295
Spring,Flat,93,Se-P,40.68205,53.216075000000004,-23.55308053064794
Spring,Flat,93,TCT,43.530075,53.216075000000004,-18.201267192291063
Spring,Flat,93,TSSC,42.716575,53.216075000000004,-19.72994062414412
Spring,Inverted-V,62,Se-P,56.853925,53.216075000000004,6.835998333210394
Spring,Inverted-V,62,TCT,46.0573,53.216075000000004,-13.452279222020799
Spring,Inverted-V,62,TSSC,47.3493,53.216075000000004,-11.024441392943775
Spring,Inverted-V,77,Se-P,57.596625,53.216075000000004,8.231629258640362
Spring,Inverted-V,77,TCT,46.66035,53.216075000000004,-12.319069003116073
Spring,Inverted-V,77,TSSC,47.969225,53.216075000000004,-9.859520830876765
Spring,Inverted-V,93,Se-P,58.1491,53.216075000000004,9.269802404630543
Spring,Inverted-V,93,TCT,47.10835,53.216075000000004,-11.477218115015061
Spring,Inverted-V,93,TSSC,48.4293,53.216075000000004,-8.994979430557413
Spring,V-Shape,62,Se-P,55.184325,53.216075000000004,3.698600469876814
