Date,Time,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:30,93,34.1,25.8,23.7,83.75,0.05,67.0,0.04,2.8,0.67
2025-04-01,06:00,93,68.2,26.3,25.0,83.34,0.1,66.67,0.08,5.6,0.67
2025-04-01,06:30,93,151.0,27.4,28.2,82.32,0.22,65.86,0.19,12.3,0.67
2025-04-01,07:00,93,233.7,28.6,31.4,81.3,0.35,65.04,0.29,18.9,0.67
2025-04-01,07:30,93,334.3,29.6,35.0,80.17,0.5,64.14,0.42,26.8,0.67
2025-04-01,08:00,93,434.9,30.7,38.5,79.04,0.65,63.23,0.54,34.5,0.67
2025-04-01,08:30,93,528.0,31.6,41.8,78.02,0.79,62.41,0.66,41.4,0.67
2025-04-01,09:00,93,621.1,32.5,45.0,77.0,0.94,61.6,0.78,48.2,0.67
2025-04-01,09:30,93,652.1,33.3,46.6,76.5,0.98,61.2,0.82,50.4,0.67
2025-04-01,10:00,93,683.1,34.1,48.1,76.0,1.03,60.8,0.86,52.5,0.67
2025-04-01,10:30,93,741.2,34.7,50.2,75.33,1.12,60.27,0.94,56.6,0.67
2025-04-01,11:00,93,799.4,35.4,52.4,74.67,1.21,59.73,1.02,60.6,0.67
2025-04-01,11:30,93,770.2,35.8,52.0,74.77,1.17,59.81,0.98,58.5,0.67
2025-04-01,12:00,93,741.1,36.2,51.7,74.87,1.12,59.89,0.94,56.3,0.67
2025-04-01,12:30,93,727.7,36.3,51.5,74.94,1.1,59.95,0.92,55.4,0.67
2025-04-01,13:00,93,714.2,36.4,51.3,75.0,1.08,60.0,0.91,54.4,0.67
2025-04-01,13:30,93,619.1,36.3,48.8,75.8,0.94,60.64,0.78,47.5,0.67
2025-04-01,14:00,93,524.0,36.1,46.3,76.6,0.79,61.28,0.66,40.5,0.67
2025-04-01,14:30,93,475.3,35.6,44.5,77.16,0.72,61.73,0.6,37.0,0.67
2025-04-01,15:00,93,426.6,35.0,42.7,77.72,0.64,62.18,0.54,33.4,0.67
2025-04-01,15:30,93,320.8,34.2,39.2,78.83,0.48,63.07,0.4,25.4,0.67
2025-04-01,16:00,93,215.0,33.3,35.7,79.94,0.32,63.95,0.27,17.2,0.67
2025-04-01,16:30,93,128.3,32.3,32.5,80.95,0.19,64.76,0.16,10.4,0.67
2025-04-01,17:00,93,41.6,31.2,29.3,81.97,0.06,65.58,0.05,3.4,0.67
2025-04-01,17:30,93,20.8,30.4,27.9,82.42,0.03,65.93,0.03,1.7,0.67
2025-04-02,05:30,93,40.8,26.4,24.4,83.5,0.06,66.8,0.05,3.4,0.67
2025-04-02,06:00,93,81.6,27.0,26.1,82.99,0.12,66.39,0.1,6.7,0.67
2025-04-02,06:30,93,182.5,27.9,29.5,81.91,0.27,65.53,0.23,14.8,0.67
2025-04-02,07:00,93,283.4,28.8,32.9,80.83,0.42,64.66,0.35,22.8,0.67
2025-04-02,07:30,93,364.9,29.9,36.0,79.85,0.54,63.88,0.46,29.1,0.67
2025-04-02,08:00,93,446.4,30.9,39.1,78.87,0.67,63.09,0.56,35.3,0.67
2025-04-02,08:30,93,531.2,31.7,41.9,77.96,0.8,62.37,0.67,41.6,0.67
2025-04-02,09:00,93,616.0,32.4,44.8,77.06,0.93,61.65,0.78,47.9,0.67
2025-04-02,09:30,93,702.9,32.9,47.4,76.23,1.06,60.98,0.89,54.2,0.67
2025-04-02,10:00,93,789.8,33.3,50.1,75.39,1.19,60.31,1.0,60.4,0.67
2025-04-02,10:30,93,811.6,33.6,50.9,75.13,1.23,60.1,1.03,61.9,0.67
2025-04-02,11:00,93,833.4,33.9,51.7,74.87,1.26,59.89,1.06,63.3,0.67
2025-04-02,11:30,93,773.6,34.0,50.4,75.29,1.17,60.23,0.98,59.1,0.67
2025-04-02,12:00,93,713.8,34.2,49.0,75.71,1.08,60.57,0.9,54.7,0.67
2025-04-02,12:30,93,665.5,34.2,47.9,76.09,1.0,60.87,0.84,51.2,0.67
2025-04-02,13:00,93,617.1,34.3,46.7,76.46,0.93,61.17,0.78,47.7,0.67
2025-04-02,13:30,93,575.6,34.0,45.4,76.86,0.87,61.49,0.73,44.6,0.67
2025-04-02,14:00,93,534.0,33.8,44.2,77.25,0.8,61.8,0.67,41.6,0.67
2025-04-02,14:30,93,461.7,33.4,42.0,77.95,0.69,62.36,0.58,36.2,0.67
